Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
niko gieelmann,Union Berlin,20,3,0.0,1.1,1.1,0.06,-1.1,2022-2023,bundesliga
rafa gikiewicz,Augsburg,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
matthias ginter,Freiburg,21,11,0.19,1.9,1.9,0.09,2.1,2022-2023,bundesliga
jamie gittens,Dortmund,24,11,0.13,2.4,2.4,0.1,0.6,2022-2023,bundesliga
serge gnabry,Bayern Munich,81,40,0.16,11.2,10.4,0.13,2.8,2022-2023,bundesliga
jacek goralski,Bochum,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
leon goretzka,Bayern Munich,40,13,0.08,4.7,4.7,0.12,-1.7,2022-2023,bundesliga
mario gotze,Eint Frankfurt,26,7,0.12,3.2,3.2,0.12,-0.2,2022-2023,bundesliga
jeffrey gouweleeuw,Augsburg,15,4,0.0,1.4,1.4,0.1,-1.4,2022-2023,bundesliga
ryan gravenberch,Bayern Munich,11,3,0.0,0.9,0.9,0.08,-0.9,2022-2023,bundesliga
michael gregoritsch,Freiburg,67,38,0.15,10.0,10.0,0.15,0.0,2022-2023,bundesliga
leo greiml,Schalke 04,1,1,0.0,0.1,0.1,0.11,-0.1,2022-2023,bundesliga
vincenzo grifo,Freiburg,58,25,0.14,10.3,3.9,0.07,4.7,2022-2023,bundesliga
lennart grill,Union Berlin,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
christian gro,Werder Bremen,5,1,0.2,0.2,0.2,0.03,0.8,2022-2023,bundesliga
brajan gruda,Mainz 05,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
ilia gruev,Werder Bremen,6,1,0.0,0.3,0.3,0.06,-0.3,2022-2023,bundesliga
carlos gruezo,Augsburg,2,0,0.0,0.0,0.0,0.02,0.0,2022-2023,bundesliga
raphael guerreiro,Dortmund,33,14,0.12,2.7,2.7,0.08,1.3,2022-2023,bundesliga
josuha guilavogui,Wolfsburg,6,1,0.17,0.5,0.5,0.09,0.5,2022-2023,bundesliga
serhou guirassy,Stuttgart,47,18,0.19,10.8,9.2,0.2,0.2,2022-2023,bundesliga
peter gulacsi,RB Leipzig,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
manuel gulde,Freiburg,2,1,0.5,0.7,0.7,0.35,0.3,2022-2023,bundesliga
robert gumny,Augsburg,9,3,0.11,0.7,0.7,0.08,0.3,2022-2023,bundesliga
christian gunter,Freiburg,27,7,0.04,1.2,1.2,0.05,-0.2,2022-2023,bundesliga
josko gvardiol,RB Leipzig,14,4,0.07,1.8,1.8,0.13,-0.8,2022-2023,bundesliga
janik haberer,Union Berlin,32,14,0.16,3.3,3.3,0.1,1.7,2022-2023,bundesliga
alexander hack,Mainz 05,3,0,0.0,0.1,0.1,0.03,-0.1,2022-2023,bundesliga
andre hahn,Augsburg,7,2,0.29,0.4,0.4,0.06,1.6,2022-2023,bundesliga
amadou haidara,RB Leipzig,19,6,0.11,2.8,2.8,0.15,-0.8,2022-2023,bundesliga
sebastien haller,Dortmund,33,19,0.27,8.4,7.7,0.23,0.6,2022-2023,bundesliga
marcel halstenberg,RB Leipzig,9,3,0.11,1.1,1.1,0.12,-0.1,2022-2023,bundesliga
andreas hancheolsen,Mainz 05,7,2,0.14,0.4,0.4,0.06,0.6,2022-2023,bundesliga
genki haraguchi,Stuttgart,5,1,0.0,0.3,0.3,0.06,-0.3,2022-2023,bundesliga
genki haraguchi,Union Berlin,6,1,0.0,0.3,0.3,0.04,-0.3,2022-2023,bundesliga
makoto hasebe,Eint Frankfurt,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
thorgan hazard,Dortmund,8,3,0.0,1.3,1.3,0.17,-1.3,2022-2023,bundesliga
jonas hector,Köln,25,5,0.0,1.7,1.7,0.07,-1.7,2022-2023,bundesliga
dominique heintz,Bochum,4,1,0.0,0.3,0.3,0.08,-0.3,2022-2023,bundesliga
benjamin henrichs,RB Leipzig,31,4,0.06,1.2,1.2,0.04,0.8,2022-2023,bundesliga
lucas hernandez,Bayern Munich,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
patrick herrmann,Gladbach,6,2,0.17,0.4,0.4,0.06,0.6,2022-2023,bundesliga
piero hincapie,Leverkusen,17,6,0.06,1.3,1.3,0.08,-0.3,2022-2023,bundesliga
adam hlozek,Leverkusen,30,11,0.17,2.7,2.7,0.09,2.3,2022-2023,bundesliga
nicolas hofler,Freiburg,21,4,0.0,1.7,1.7,0.08,-1.7,2022-2023,bundesliga
jonas hofmann,Gladbach,44,22,0.27,7.2,6.6,0.15,4.8,2022-2023,bundesliga
philipp hofmann,Bochum,52,21,0.15,8.8,8.8,0.17,-0.8,2022-2023,bundesliga
lucas holer,Freiburg,30,15,0.17,3.3,3.3,0.11,1.7,2022-2023,bundesliga
gerrit holtmann,Bochum,30,14,0.03,2.4,2.4,0.08,-1.4,2022-2023,bundesliga
jannes horn,Bochum,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
lukas hradecky,Leverkusen,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
timo hubers,Köln,15,7,0.2,1.8,1.8,0.12,1.2,2022-2023,bundesliga
callum hudsonodoi,Leverkusen,4,1,0.0,0.2,0.2,0.05,-0.2,2022-2023,bundesliga
mats hummels,Dortmund,17,3,0.06,2.2,2.2,0.13,-1.2,2022-2023,bundesliga
denis huseinbasic,Köln,16,4,0.25,2.4,2.4,0.15,1.6,2022-2023,bundesliga
iago,Augsburg,9,0,0.0,0.4,0.4,0.04,-0.4,2022-2023,bundesliga
arijon ibrahimovic,Bayern Munich,2,2,0.0,0.5,0.5,0.26,-0.5,2022-2023,bundesliga
marcus ingvartsen,Mainz 05,32,13,0.19,8.4,5.2,0.16,1.6,2022-2023,bundesliga
ko itakura,Gladbach,11,4,0.0,0.6,0.6,0.06,-0.6,2022-2023,bundesliga
hiroki ito,Stuttgart,21,7,0.05,0.8,0.8,0.04,0.2,2022-2023,bundesliga
andreas ivan,Schalke 04,1,0,0.0,0.0,0.0,0.04,0.0,2022-2023,bundesliga
lee jaesung,Mainz 05,35,17,0.2,4.3,4.3,0.12,2.7,2022-2023,bundesliga
paul jaeckel,Union Berlin,2,2,0.5,0.1,0.1,0.07,0.9,2022-2023,bundesliga
kristijan jakic,Eint Frankfurt,8,4,0.13,0.7,0.7,0.09,0.3,2022-2023,bundesliga
saidy janko,Bochum,1,0,0.0,0.0,0.0,0.05,0.0,2022-2023,bundesliga
tony jantschke,Gladbach,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
fredrik jensen,Augsburg,11,3,0.18,1.8,1.8,0.16,0.2,2022-2023,bundesliga
moritz jenz,Schalke 04,10,3,0.0,1.0,1.0,0.1,-1.0,2022-2023,bundesliga
stevan jovetic,Hertha BSC,27,6,0.15,2.7,2.7,0.1,1.3,2022-2023,bundesliga
anthony jung,Werder Bremen,17,6,0.12,1.3,1.3,0.08,0.7,2022-2023,bundesliga
josip juranovic,Union Berlin,6,1,0.17,1.6,0.8,0.14,0.4,2022-2023,bundesliga
ozan kabak,Hoffenheim,24,6,0.08,1.3,1.3,0.05,0.7,2022-2023,bundesliga
pavel kaderabek,Hoffenheim,8,1,0.13,1.3,1.3,0.17,-0.3,2022-2023,bundesliga
florian kainz,Köln,51,19,0.06,6.0,3.6,0.07,0.0,2022-2023,bundesliga
sasa kalajdzic,Stuttgart,5,1,0.0,0.5,0.5,0.1,-0.5,2022-2023,bundesliga
daichi kamada,Eint Frankfurt,41,11,0.15,9.9,7.5,0.18,-0.9,2022-2023,bundesliga
jakub kaminski,Wolfsburg,39,14,0.1,5.0,4.8,0.12,-1.0,2022-2023,bundesliga
marcin kaminski,Schalke 04,4,2,0.5,0.4,0.4,0.1,1.6,2022-2023,bundesliga
kevin kampl,RB Leipzig,7,2,0.29,1.1,1.1,0.16,0.9,2022-2023,bundesliga
wilfried kanga,Hertha BSC,25,9,0.08,3.3,3.3,0.13,-1.3,2022-2023,bundesliga
kenan karaman,Schalke 04,22,8,0.05,2.5,2.5,0.11,-1.5,2022-2023,bundesliga
atakan karazor,Stuttgart,6,0,0.0,0.3,0.3,0.05,-0.3,2022-2023,bundesliga
thomas kastanaras,Stuttgart,2,1,0.0,0.3,0.3,0.13,-0.3,2022-2023,bundesliga
silas katompa,Stuttgart,42,16,0.1,6.5,5.7,0.14,-1.5,2022-2023,bundesliga
yannik keitel,Freiburg,4,3,0.0,0.2,0.2,0.04,-0.2,2022-2023,bundesliga
marcoliver kempf,Hertha BSC,16,5,0.06,1.5,1.5,0.1,-0.5,2022-2023,bundesliga
jonjoe kenny,Hertha BSC,6,1,0.0,0.3,0.3,0.04,-0.3,2022-2023,bundesliga
rani khedira,Union Berlin,24,3,0.08,1.7,1.7,0.07,0.3,2022-2023,bundesliga
luca kilian,Köln,4,1,0.25,1.1,1.1,0.28,-0.1,2022-2023,bundesliga
joshua kimmich,Bayern Munich,27,11,0.15,2.2,1.4,0.05,2.8,2022-2023,bundesliga
pascal klemens,Hertha BSC,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
lukas klostermann,RB Leipzig,6,1,0.0,0.3,0.3,0.06,-0.3,2022-2023,bundesliga
ansgar knauff,Eint Frankfurt,15,7,0.07,0.9,0.9,0.06,0.1,2022-2023,bundesliga
robin knoche,Union Berlin,8,1,0.13,2.4,0.8,0.1,-0.4,2022-2023,bundesliga
gregor kobel,Dortmund,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
dominik kohr,Mainz 05,39,8,0.08,2.3,2.3,0.06,0.7,2022-2023,bundesliga
randal kolo muani,Eint Frankfurt,75,30,0.17,13.2,11.6,0.16,1.8,2022-2023,bundesliga
timothee kolodziejczak,Schalke 04,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
manu kone,Gladbach,26,14,0.04,1.2,1.2,0.05,-0.2,2022-2023,bundesliga
odilon kossounou,Leverkusen,3,0,0.0,0.2,0.2,0.05,-0.2,2022-2023,bundesliga
filip kostic,Eint Frankfurt,1,0,0.0,0.0,0.0,0.02,0.0,2022-2023,bundesliga
tomas koubek,Augsburg,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
soichiro kozuki,Schalke 04,14,6,0.07,1.1,1.1,0.08,-0.1,2022-2023,bundesliga
