Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
samuel grandsir,Le Havre,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
mason greenwood,Marseille,111,45,0.13,16.3,9.1,0.08,4.7,2024-2025,ligue-1
albert grnbaek,Rennes,22,9,0.09,1.5,1.5,0.07,0.5,2024-2025,ligue-1
gabriel gudmundsson,Lille,18,5,0.11,0.7,0.7,0.04,1.3,2024-2025,ligue-1
axel gueguin,Montpellier,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
evann guessand,Nice,63,27,0.19,9.2,9.2,0.15,2.8,2024-2025,ligue-1
bahereba guirassy,Nantes,7,4,0.29,0.7,0.7,0.1,1.3,2024-2025,ligue-1
massadio haidara,Brest,10,1,0.0,0.3,0.3,0.03,-0.3,2024-2025,ligue-1
achraf hakimi,Paris S-G,32,12,0.13,2.9,2.9,0.09,1.1,2024-2025,ligue-1
florent hanin,Angers,11,1,0.09,0.9,0.9,0.09,0.1,2024-2025,ligue-1
amine harit,Marseille,8,5,0.25,0.8,0.8,0.1,1.2,2024-2025,ligue-1
hans hateboer,Rennes,8,0,0.0,0.4,0.4,0.05,-0.4,2024-2025,ligue-1
kjetil haug,Toulouse,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
luis henrique,Marseille,30,14,0.23,4.2,4.2,0.14,2.8,2024-2025,ligue-1
lucas hernandez,Paris S-G,3,0,0.0,0.0,0.0,0.01,0.0,2024-2025,ligue-1
kijana hoever,Auxerre,10,5,0.1,0.5,0.5,0.05,0.5,2024-2025,ligue-1
cedric hountondji,Angers,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
ilyes housni,Le Havre,5,0,0.0,0.2,0.2,0.05,-0.2,2024-2025,ligue-1
pierre hjbjerg,Marseille,33,8,0.06,3.3,3.3,0.1,-1.3,2024-2025,ligue-1
hafiz ibrahim,Reims,7,0,0.0,0.5,0.5,0.07,-0.5,2024-2025,ligue-1
george ilenikhena,Monaco,21,9,0.14,5.1,5.1,0.24,-2.1,2024-2025,ligue-1
rares ilie,Nice,1,0,0.0,0.0,0.0,0.04,0.0,2024-2025,ligue-1
ismaily,Lille,10,4,0.0,0.7,0.7,0.07,-0.7,2024-2025,ligue-1
yanis issoufou,Montpellier,2,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,ligue-1
junya ito,Reims,31,11,0.13,4.6,4.6,0.15,-0.6,2024-2025,ligue-1
jeremy jacquet,Rennes,8,3,0.0,0.8,0.8,0.1,-0.8,2024-2025,ligue-1
ismail jakobs,Monaco,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
jordan james,Rennes,17,3,0.0,0.9,0.9,0.05,-0.9,2024-2025,ligue-1
malcolm jeng,Reims,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
john joe,Reims,8,1,0.0,0.2,0.2,0.02,-0.2,2024-2025,ligue-1
karljohan johnsson,Strasbourg,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
paul joly,Auxerre,10,5,0.0,0.6,0.6,0.06,-0.6,2024-2025,ligue-1
jota,Rennes,4,2,0.25,1.3,1.3,0.33,-0.3,2024-2025,ligue-1
antoine joujou,Le Havre,11,2,0.0,0.6,0.6,0.06,-0.6,2024-2025,ligue-1
jubal,Auxerre,26,7,0.12,5.2,2.0,0.08,0.8,2024-2025,ligue-1
hamed junior traore,Auxerre,68,27,0.15,7.9,7.9,0.12,2.1,2024-2025,ligue-1
yaya kader fofana,Reims,13,4,0.08,0.6,0.6,0.05,0.4,2024-2025,ligue-1
tino kadewere,Nantes,8,6,0.13,1.7,1.7,0.21,-0.7,2024-2025,ligue-1
arnaud kalimuendo,Rennes,68,29,0.18,14.9,8.9,0.13,2.1,2024-2025,ligue-1
justinnoel kalumba,Angers,1,0,0.0,0.0,0.0,0.02,0.0,2024-2025,ligue-1
warren kamanzi,Toulouse,7,2,0.14,1.3,1.3,0.18,-0.3,2024-2025,ligue-1
glen kamara,Rennes,1,0,0.0,0.2,0.2,0.17,-0.2,2024-2025,ligue-1
noham kamara,Paris S-G,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
nordine kandil,Strasbourg,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
lee kangin,Paris S-G,41,14,0.15,3.5,3.5,0.09,2.5,2024-2025,ligue-1
yassine kechta,Le Havre,29,9,0.07,2.5,2.5,0.09,-0.5,2024-2025,ligue-1
thilo kehrer,Monaco,12,8,0.33,1.5,1.5,0.12,2.5,2024-2025,ligue-1
reda khadra,Reims,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
