Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
stefan lekovic,Monza,3,0,0.0,0.1,0.1,0.04,-0.1,2024-2025,serie-a
nunzio lella,Venezia,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
giovanni leoni,Parma,2,1,0.5,0.1,0.1,0.07,0.9,2024-2025,serie-a
ben lhassine kone,Como,1,0,0.0,0.0,0.0,0.02,0.0,2024-2025,serie-a
mattia liberali,Milan,2,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,serie-a
karol linetty,Torino,17,4,0.06,1.1,1.1,0.06,-0.1,2024-2025,serie-a
dailon livramento,Hellas Verona,13,4,0.08,1.8,1.8,0.14,-0.8,2024-2025,serie-a
stanislav lobotka,Napoli,7,0,0.0,0.3,0.3,0.05,-0.3,2024-2025,serie-a
manuel locatelli,Juventus,24,7,0.04,1.8,1.0,0.04,0.2,2024-2025,serie-a
ruben loftuscheek,Milan,9,2,0.0,0.7,0.7,0.08,-0.7,2024-2025,serie-a
ademola lookman,Atalanta,81,32,0.17,10.3,9.5,0.12,4.7,2024-2025,serie-a
sandi lovric,Udinese,49,12,0.04,2.6,2.6,0.05,-0.6,2024-2025,serie-a
lorenzo lucca,Udinese,64,25,0.17,7.6,6.8,0.11,4.4,2024-2025,serie-a
jhon lucumi,Bologna,13,2,0.0,0.6,0.6,0.05,-0.6,2024-2025,serie-a
jose luis palomino,Cagliari,2,1,0.5,0.5,0.5,0.24,0.5,2024-2025,serie-a
douglas luiz,Juventus,8,2,0.0,0.6,0.6,0.08,-0.6,2024-2025,serie-a
romelu lukaku,Napoli,60,20,0.18,13.0,9.8,0.17,1.0,2024-2025,serie-a
sebastiano luperto,Cagliari,21,5,0.05,2.2,2.2,0.1,-1.2,2024-2025,serie-a
zito luvumbo,Cagliari,23,4,0.09,2.1,2.1,0.09,-0.1,2024-2025,serie-a
charalampos lykogiannis,Bologna,6,2,0.0,0.2,0.2,0.04,-0.2,2024-2025,serie-a
mathias lvik,Parma,1,0,0.0,0.1,0.1,0.1,-0.1,2024-2025,serie-a
giangiacomo magnani,Hellas Verona,11,2,0.09,1.1,1.1,0.1,-0.1,2024-2025,serie-a
mike maignan,Milan,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
antoine makoumbou,Cagliari,7,0,0.0,0.3,0.3,0.04,-0.3,2024-2025,serie-a
daniel maldini,Monza,39,13,0.08,4.8,4.8,0.13,-1.8,2024-2025,serie-a
daniel maldini,Atalanta,10,5,0.3,1.9,1.9,0.19,1.1,2024-2025,serie-a
youssef maleh,Empoli,17,3,0.0,0.9,0.9,0.05,-0.9,2024-2025,serie-a
ruslan malinovskyi,Genoa,9,3,0.0,0.2,0.2,0.03,-0.2,2024-2025,serie-a
dennis man,Parma,49,20,0.08,5.5,5.5,0.11,-1.5,2024-2025,serie-a
gianluca mancini,Roma,22,5,0.09,1.7,1.7,0.08,0.3,2024-2025,serie-a
christos mandas,Lazio,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
rolando mandragora,Fiorentina,37,14,0.08,2.7,1.9,0.05,1.3,2024-2025,serie-a
alberto manzoni,Atalanta,1,0,0.0,0.1,0.1,0.06,-0.1,2024-2025,serie-a
alessandro marcandalli,Genoa,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
alessandro marcandalli,Venezia,2,1,0.0,0.3,0.3,0.14,-0.3,2024-2025,serie-a
filip marchwinski,Lecce,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
pablo mari,Monza,2,0,0.0,0.2,0.2,0.08,-0.2,2024-2025,serie-a
pablo mari,Fiorentina,5,1,0.0,0.1,0.1,0.03,-0.1,2024-2025,serie-a
luca marianucci,Empoli,8,2,0.0,0.6,0.6,0.08,-0.6,2024-2025,serie-a
mirko maric,Monza,1,0,0.0,0.2,0.2,0.18,-0.2,2024-2025,serie-a
mirko maric,Venezia,6,0,0.0,0.6,0.6,0.1,-0.6,2024-2025,serie-a
rafa marin,Napoli,2,1,0.0,0.2,0.2,0.11,-0.2,2024-2025,serie-a
razvan marin,Cagliari,21,8,0.05,2.4,0.8,0.04,0.6,2024-2025,serie-a
guillermo maripan,Torino,12,5,0.08,0.9,0.9,0.08,0.1,2024-2025,serie-a
aaron martin,Genoa,16,4,0.0,0.9,0.9,0.06,-0.9,2024-2025,serie-a
josep martinez,Inter,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
lautaro martinez,Inter,102,34,0.12,13.5,13.5,0.13,-1.5,2024-2025,serie-a
lucas martinez quarta,Fiorentina,3,1,0.33,0.7,0.7,0.24,0.3,2024-2025,serie-a
kevin martins,Monza,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
adam marusic,Lazio,23,10,0.17,2.0,2.0,0.09,2.0,2024-2025,serie-a
adam masina,Torino,8,2,0.13,0.7,0.7,0.09,0.3,2024-2025,serie-a
patrizio masini,Genoa,8,1,0.13,0.4,0.4,0.05,0.6,2024-2025,serie-a
alan matturro,Genoa,4,3,0.0,0.2,0.2,0.05,-0.2,2024-2025,serie-a
andrea mazza,Monza,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
luca mazzitelli,Como,7,3,0.14,0.2,0.2,0.03,0.8,2024-2025,serie-a
pasquale mazzocchi,Napoli,3,1,0.0,0.3,0.3,0.09,-0.3,2024-2025,serie-a
samuel mbangula,Juventus,9,5,0.33,0.6,0.6,0.07,2.4,2024-2025,serie-a
weston mckennie,Juventus,22,8,0.09,2.9,2.9,0.13,-0.9,2024-2025,serie-a
scott mctominay,Napoli,76,33,0.16,7.4,7.4,0.1,4.6,2024-2025,serie-a
filippo melegoni,Genoa,1,0,0.0,0.0,0.0,0.04,0.0,2024-2025,serie-a
alex meret,Napoli,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
junior messias,Genoa,17,5,0.06,2.4,1.4,0.08,-1.4,2024-2025,serie-a
valentin mihaila,Parma,31,11,0.0,2.4,2.4,0.08,-2.4,2024-2025,serie-a
vanja milinkovicsavic,Torino,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
yerry mina,Cagliari,26,8,0.04,2.3,2.3,0.09,-1.3,2024-2025,serie-a
juan miranda,Bologna,22,5,0.0,0.7,0.7,0.03,-0.7,2024-2025,serie-a
fabio miretti,Genoa,24,6,0.13,3.1,3.1,0.13,-0.1,2024-2025,serie-a
henrikh mkhitaryan,Inter,23,2,0.04,1.5,1.5,0.07,-0.5,2024-2025,serie-a
rui modesto,Udinese,3,2,0.0,0.5,0.5,0.17,-0.5,2024-2025,serie-a
lorenzo montipo,Hellas Verona,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
alvaro morata,Milan,27,10,0.19,3.9,3.9,0.15,1.1,2024-2025,serie-a
alberto moreno,Como,14,6,0.0,0.4,0.4,0.03,-0.4,2024-2025,serie-a
matias moreno,Fiorentina,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
tete morente,Lecce,41,13,0.07,2.9,2.9,0.07,0.1,2024-2025,serie-a
