Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
keyliane abdallah,Marseille,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,ligue1
yunis abdelhamid,Reims,36,23,5,57.8,26,35,39,51,32,19,109,2,2023-2024,ligue1
salis abdul samed,Lens,8,10,3,44.4,8,14,12,12,1,11,18,0,2023-2024,ligue1
laurent abergel,Lorient,43,34,8,39.6,38,52,61,29,6,23,61,3,2023-2024,ligue1
matthis abline,Nantes,4,3,2,37.5,3,4,3,3,0,3,5,0,2023-2024,ligue1
zakaria aboukhlal,Toulouse,1,5,3,25.0,3,8,1,9,1,8,2,0,2023-2024,ligue1
akor adams,Montpellier,3,4,5,42.9,3,4,5,9,2,7,11,0,2023-2024,ligue1
nathaniel adjei,Lorient,8,3,2,85.7,6,9,18,15,8,7,64,1,2023-2024,ligue1
adryelson,Lyon,0,0,0,,0,0,1,0,0,0,3,0,2023-2024,ligue1
adson,Nantes,1,6,0,100.0,2,6,2,5,0,5,2,0,2023-2024,ligue1
emmanuel agbadou,Reims,38,23,4,68.8,44,41,55,47,25,22,116,1,2023-2024,ligue1
ruben aguilar,Lens,27,23,3,60.0,27,31,26,35,5,30,46,0,2023-2024,ligue1
tosin aiyegun,Lorient,2,3,1,33.3,3,4,2,4,1,3,8,0,2023-2024,ligue1
sergio akieme,Reims,6,3,2,72.7,8,5,10,9,3,6,25,0,2023-2024,ligue1
maghnes akliouche,Monaco,12,20,5,33.3,12,23,9,21,0,21,3,0,2023-2024,ligue1
paul akouokou,Lyon,2,10,2,85.7,6,9,6,5,1,4,11,0,2023-2024,ligue1
aboubacar ali,Strasbourg,0,2,0,,0,0,1,1,0,1,2,0,2023-2024,ligue1
mohamed ali cho,Nice,4,7,1,27.3,3,9,3,10,0,10,6,0,2023-2024,ligue1
nabil alioui,Le Havre,2,1,0,50.0,2,2,3,6,1,5,4,0,2023-2024,ligue1
jim allevinah,Clermont Foot,11,14,5,40.0,14,18,13,20,3,17,30,0,2023-2024,ligue1
skelly alvero,Lyon,5,2,1,22.2,2,7,2,5,1,4,5,0,2023-2024,ligue1
papa amadou diallo,Metz,10,7,1,33.3,7,8,11,11,1,10,16,0,2023-2024,ligue1
jordan amavi,Brest,0,1,0,33.3,1,1,3,2,1,1,2,0,2023-2024,ligue1
kelvin amian,Nantes,12,4,0,73.3,11,7,7,6,0,6,28,0,2023-2024,ligue1
michael amir murillo,Marseille,13,6,4,65.2,15,11,11,9,2,7,34,2,2023-2024,ligue1
benjamin andre,Lille,39,45,5,53.1,43,49,35,34,5,29,60,0,2023-2024,ligue1
komnen andric,Clermont Foot,0,1,1,0.0,0,1,0,2,0,2,1,0,2023-2024,ligue1
angelo,Strasbourg,9,7,8,35.5,11,11,9,18,0,18,2,0,2023-2024,ligue1
stredair appuah,Nantes,0,0,0,0.0,0,0,1,0,0,0,1,0,2023-2024,ligue1
yoel armougom,Clermont Foot,2,0,1,66.7,2,3,1,1,0,1,3,0,2023-2024,ligue1
hakon arnar haraldsson,Lille,4,7,1,23.8,5,8,3,7,2,5,5,0,2023-2024,ligue1
mohamed el arouch,Lyon,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,ligue1
marco asensio,Paris S-G,4,7,1,30.8,4,10,5,7,0,7,2,0,2023-2024,ligue1
joel asoro,Metz,7,6,0,30.0,3,9,6,7,1,6,9,0,2023-2024,ligue1
lorenz assignon,Rennes,12,8,4,37.5,9,12,9,9,4,5,27,1,2023-2024,ligue1
youcef atal,Nice,6,2,1,75.0,6,3,4,7,1,6,1,0,2023-2024,ligue1
valentin atangana edoa,Reims,6,9,4,38.5,5,13,6,5,1,4,9,0,2023-2024,ligue1
arthur atta,Metz,8,7,3,42.1,8,14,10,13,3,10,23,0,2023-2024,ligue1
pierreemerick aubameyang,Marseille,4,11,7,26.9,7,14,9,30,5,25,26,0,2023-2024,ligue1
andre ayew,Le Havre,7,6,2,66.7,6,11,2,8,3,5,11,0,2023-2024,ligue1
neil el aynaoui,Lens,13,20,4,43.5,20,20,32,20,6,14,21,1,2023-2024,ligue1
abdellah baallal,Clermont Foot,0,0,0,,0,0,0,1,0,1,0,0,2023-2024,ligue1
shavy babicka,Toulouse,2,7,2,40.0,2,8,0,6,1,5,2,0,2023-2024,ligue1
aliou badara balde,Nice,0,3,1,100.0,1,1,3,2,1,1,0,0,2023-2024,ligue1
tiemoue bakayoko,Lorient,14,17,3,53.6,15,17,26,10,4,6,15,1,2023-2024,ligue1
dilane bakwa,Strasbourg,12,13,5,27.5,11,22,20,26,1,25,11,0,2023-2024,ligue1
carlos baleba,Lille,1,4,1,75.0,3,2,2,0,0,0,0,0,2023-2024,ligue1
leonardo balerdi,Marseille,55,23,1,73.1,49,50,51,38,15,23,91,0,2023-2024,ligue1
folarin balogun,Monaco,3,8,1,38.5,5,4,3,10,0,10,4,0,2023-2024,ligue1
mohamed bamba,Lorient,3,8,3,40.0,4,9,2,7,1,6,3,0,2023-2024,ligue1
mamady bangre,Toulouse,2,2,0,75.0,3,2,4,0,0,0,3,0,2023-2024,ligue1
bradley barcola,Lyon,0,2,3,14.3,1,2,2,4,0,4,0,0,2023-2024,ligue1
bradley barcola,Paris S-G,12,13,9,28.0,7,16,10,27,2,25,13,1,2023-2024,ligue1
melvin bard,Nice,28,30,11,58.7,37,38,42,46,12,34,46,0,2023-2024,ligue1
steven baseya,Strasbourg,1,1,0,100.0,1,1,0,0,0,0,1,0,2023-2024,ligue1
mohamed bechikh,Strasbourg,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,ligue1
yanis begraoui,Toulouse,1,3,1,33.3,3,3,5,4,0,4,5,0,2023-2024,ligue1
jeremie bela,Clermont Foot,0,1,0,33.3,1,1,0,1,0,1,1,0,2023-2024,ligue1
reda belahyane,Nice,0,1,0,100.0,1,0,0,0,0,0,0,0,2023-2024,ligue1
alaa bellaarouch,Strasbourg,0,0,0,,0,0,1,0,0,0,11,2,2023-2024,ligue1
jeanricner bellegarde,Strasbourg,3,2,0,50.0,3,3,4,4,0,4,0,0,2023-2024,ligue1
jeanuel belocian,Rennes,23,8,1,78.6,22,22,13,18,10,8,49,0,2023-2024,ligue1
eliesse ben seghir,Monaco,2,5,2,42.9,3,6,2,6,0,6,2,0,2023-2024,ligue1
wissam ben yedder,Monaco,1,2,1,9.1,1,3,8,18,0,18,1,0,2023-2024,ligue1
said benrahma,Lyon,1,6,2,71.4,5,7,1,7,0,7,3,0,2023-2024,ligue1
nabil bentaleb,Lille,29,18,2,51.2,22,32,37,33,12,21,33,0,2023-2024,ligue1
lucas beraldo,Paris S-G,14,8,0,40.0,10,14,20,15,6,9,25,0,2023-2024,ligue1
dimitry bertaud,Montpellier,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,ligue1
marco bizot,Brest,0,0,0,0.0,0,0,0,0,0,0,18,3,2023-2024,ligue1
ruben blanco,Marseille,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,ligue1
ludovic blas,Rennes,16,13,1,42.9,12,14,6,13,1,12,9,0,2023-2024,ligue1
myron boadu,Monaco,0,1,1,50.0,1,2,0,2,0,2,0,0,2023-2024,ligue1
jeremie boga,Nice,6,10,2,50.0,10,7,8,26,2,24,4,0,2023-2024,ligue1
adama bojang,Reims,1,0,1,,0,1,1,2,1,1,0,0,2023-2024,ligue1
neto borges,Clermont Foot,25,18,5,44.4,28,24,57,28,6,22,84,0,2023-2024,ligue1
saimon bouabre,Monaco,0,2,0,50.0,1,2,0,1,0,1,0,0,2023-2024,ligue1
ayyoub bouaddi,Lille,6,0,0,40.0,2,2,1,2,0,2,3,0,2023-2024,ligue1
badredine bouanani,Nice,1,1,1,75.0,3,2,3,5,0,5,0,0,2023-2024,ligue1
badredine bouanani,Lorient,1,1,2,50.0,2,2,2,3,0,3,3,0,2023-2024,ligue1
mohamed bouchenna,Clermont Foot,1,0,0,,0,0,0,0,0,0,0,0,2023-2024,ligue1
hicham boudaoui,Nice,16,22,3,70.0,21,19,11,15,1,14,15,0,2023-2024,ligue1
benjamin bourigeaud,Rennes,14,9,8,29.5,13,18,22,31,2,29,39,2,2023-2024,ligue1
bilal boutobba,Clermont Foot,6,10,6,43.5,10,12,8,9,0,9,3,0,2023-2024,ligue1
hugo boutsingkham,Nantes,0,0,0,,0,0,0,0,0,0,1,0,2023-2024,ligue1
bilal brahimi,Nice,0,0,0,0.0,0,0,0,0,0,0,0,0,2023-2024,ligue1
bilal brahimi,Brest,0,0,0,0.0,0,0,0,3,0,3,0,0,2023-2024,ligue1
lilian brassier,Brest,18,13,0,50.0,12,18,41,28,21,7,93,0,2023-2024,ligue1
maxime busi,Reims,0,1,1,0.0,0,0,4,6,1,5,5,0,2023-2024,ligue1
marcin buka,Nice,0,0,0,0.0,0,0,0,0,0,0,9,3,2023-2024,ligue1
remy cabella,Lille,19,20,15,37.0,20,36,5,32,0,32,5,0,2023-2024,ligue1
duje caletacar,Lyon,19,6,1,81.8,18,11,18,27,14,13,94,1,2023-2024,ligue1
lamine camara,Metz,26,30,6,49.0,24,42,28,35,2,33,34,0,2023-2024,ligue1
mahdi camara,Brest,8,40,7,40.8,20,39,27,24,1,23,19,0,2023-2024,ligue1
mohamed camara,Monaco,10,20,5,51.7,15,21,11,8,2,6,7,0,2023-2024,ligue1
axel camblan,Brest,0,2,1,50.0,2,1,0,2,0,2,0,0,2023-2024,ligue1
fali cande,Metz,31,9,0,57.1,20,19,20,41,28,13,107,1,2023-2024,ligue1
gino caoki,Lorient,0,0,0,0.0,0,0,0,0,0,0,0,0,2023-2024,ligue1
maxence caqueret,Lyon,39,37,15,35.5,38,64,48,40,9,31,26,2,2023-2024,ligue1
igor carioca,Lorient,6,1,1,66.7,4,6,3,0,0,0,6,0,2023-2024,ligue1
antonin cartillier,Monaco,0,0,0,,0,0,0,1,0,1,0,0,2023-2024,ligue1
josue casimir,Le Havre,14,14,3,38.9,7,18,13,23,2,21,25,0,2023-2024,ligue1
cristian casseres jr,Toulouse,31,33,6,47.5,29,34,27,34,4,30,33,1,2023-2024,ligue1
jeancharles castelletto,Nantes,22,10,2,62.1,18,26,32,19,10,9,81,0,2023-2024,ligue1
maximiliano caufriez,Clermont Foot,31,5,2,65.5,19,28,18,18,12,6,69,2,2023-2024,ligue1
ivan cavaleiro,Lille,3,4,3,35.0,7,6,5,9,2,7,6,0,2023-2024,ligue1
fabien centonze,Nantes,2,0,0,66.7,2,1,0,2,1,1,1,0,2023-2024,ligue1
fares chaibi,Toulouse,0,0,0,,0,0,0,0,0,0,2,0,2023-2024,ligue1
muhammed cham,Clermont Foot,10,13,2,40.7,11,14,8,20,2,18,5,1,2023-2024,ligue1
brendan chardonnet,Brest,33,22,2,50.8,32,34,53,58,34,24,139,3,2023-2024,ligue1
jhoanner chavez,Lens,2,2,2,33.3,3,5,5,2,0,2,11,0,2023-2024,ligue1
rayan cherki,Lyon,4,16,8,37.0,17,15,7,13,3,10,1,0,2023-2024,ligue1
lucas chevalier,Lille,3,0,0,75.0,3,0,0,1,0,1,11,2,2023-2024,ligue1
pedro chirivella,Nantes,20,29,1,39.5,30,28,31,22,5,17,28,0,2023-2024,ligue1
joris chotard,Montpellier,45,25,11,50.0,48,52,44,47,21,26,60,0,2023-2024,ligue1
djaoui cisse,Rennes,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,ligue1
ibrahim cissoko,Toulouse,3,1,0,33.3,1,3,1,3,0,3,0,0,2023-2024,ligue1
alexis claudemaurice,Nice,3,6,3,20.0,1,5,5,4,1,3,7,0,2023-2024,ligue1
jonathan clauss,Marseille,22,19,6,53.1,26,20,36,17,3,14,46,0,2023-2024,ligue1
marcus coco,Nantes,29,10,4,46.7,28,26,21,19,1,18,38,0,2023-2024,ligue1
maxime colin,Metz,25,7,7,55.2,16,23,20,22,7,15,71,0,2023-2024,ligue1
eray comert,Nantes,28,13,1,73.7,28,28,36,35,18,17,77,1,2023-2024,ligue1
alois confais,Le Havre,1,1,0,100.0,1,2,0,0,0,0,0,0,2023-2024,ligue1
joaquin correa,Marseille,4,2,1,0.0,0,5,1,2,0,2,1,0,2023-2024,ligue1
oscar cortes,Lens,0,0,0,,0,0,0,1,0,1,0,0,2023-2024,ligue1
david costa,Lens,5,12,1,43.5,10,10,16,21,4,17,8,1,2023-2024,ligue1
logan costa,Toulouse,31,9,0,62.5,15,24,23,42,27,15,120,1,2023-2024,ligue1
gregoire coudert,Brest,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,ligue1
mamadou coulibaly,Monaco,2,3,2,37.5,3,4,0,4,0,4,0,0,2023-2024,ligue1
tanguy coulibaly,Montpellier,8,4,1,44.4,4,11,2,11,1,10,2,0,2023-2024,ligue1
nicolas cozza,Nantes,23,10,2,70.8,17,23,14,7,0,7,32,0,2023-2024,ligue1
trevis dago,Lille,0,0,0,,0,0,1,0,0,0,0,0,2023-2024,ligue1
thijs dallinga,Toulouse,6,11,12,60.0,9,15,3,11,4,7,35,0,2023-2024,ligue1
kevin danso,Lens,12,11,1,50.0,15,14,23,43,30,13,115,1,2023-2024,ligue1
dante,Nice,44,16,2,73.1,38,30,37,43,22,21,77,2,2023-2024,ligue1
raimane daou,Marseille,1,0,0,50.0,1,1,0,0,0,0,2,0,2023-2024,ligue1
mohamed daramy,Reims,4,4,2,37.5,6,9,4,5,1,4,4,0,2023-2024,ligue1
achraf dari,Brest,1,0,0,0.0,0,1,5,2,0,2,9,1,2023-2024,ligue1
jonathan david,Lille,6,13,7,30.8,8,15,9,16,0,16,4,0,2023-2024,ligue1
thibault de smet,Reims,36,16,4,55.9,33,35,21,25,5,20,51,1,2023-2024,ligue1
romain del castillo,Brest,14,18,14,25.7,18,29,9,33,1,32,8,0,2023-2024,ligue1
thomas delaine,Strasbourg,29,8,1,47.6,20,19,17,18,2,16,51,0,2023-2024,ligue1
sacha delaye,Montpellier,2,2,3,16.7,1,2,0,2,0,2,1,0,2023-2024,ligue1
karamoko dembele,Brest,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,ligue1
ousmane dembele,Paris S-G,2,7,10,46.2,6,14,5,11,0,11,4,1,2023-2024,ligue1
