Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Bolck_Pass,Clearences,Err,Season,Competition
adrian baquerin,Valladolid,0,1,0,,0,1,0,0,0,0,1,0,2024-2025,laliga
valentin barco,Sevilla,8,3,4,80.0,12,9,2,0,0,0,5,0,2024-2025,laliga
borna barisic,Leganés,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,laliga
kike barja,Osasuna,1,3,1,50.0,2,4,3,5,0,5,4,0,2024-2025,laliga
enzo barrenechea,Valencia,22,29,6,69.6,32,30,28,30,8,22,48,1,2024-2025,laliga
ander barrenetxea,Real Sociedad,7,14,5,26.1,6,19,11,15,0,15,16,1,2024-2025,laliga
pablo barrios,Atlético Madrid,23,20,3,48.9,23,26,34,18,5,13,33,9,2024-2025,laliga
thierno barry,Villarreal,2,5,4,40.0,4,8,0,15,2,13,19,0,2024-2025,laliga
marc bartra,Betis,20,13,0,57.7,15,19,33,41,25,16,148,0,2024-2025,laliga
aboubacar bassinga,Las Palmas,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,laliga
augusto batalla,Rayo Vallecano,4,0,0,66.7,4,2,0,0,0,0,15,4,2024-2025,laliga
rafael bauza,Espanyol,3,1,1,57.1,4,3,0,3,1,2,5,0,2024-2025,laliga
sheraldo becker,Real Sociedad,0,3,0,0.0,0,2,1,4,0,4,10,0,2024-2025,laliga
donny van de beek,Girona,17,7,5,50.0,13,18,10,19,3,16,12,0,2024-2025,laliga
luken beitia,Real Sociedad,1,0,0,100.0,1,1,0,0,0,0,2,0,2024-2025,laliga
ismael bekhoucha,Getafe,1,0,0,50.0,1,1,2,2,1,1,2,0,2024-2025,laliga
hector bellerin,Betis,7,4,2,58.8,10,7,6,5,3,2,21,0,2024-2025,laliga
jude bellingham,Real Madrid,20,27,14,66.7,28,33,28,37,2,35,23,1,2024-2025,laliga
fran beltran,Celta Vigo,24,21,5,42.9,24,35,26,26,6,20,34,4,2024-2025,laliga
carlos benavidez,Alavés,10,6,3,54.5,6,14,8,5,2,3,14,1,2024-2025,laliga
iker benito,Osasuna,0,0,0,0.0,0,0,1,0,0,0,2,0,2024-2025,laliga
yuri berchiche,Athletic Club,19,11,3,57.6,19,21,27,25,5,20,72,3,2024-2025,laliga
alex berenguer,Athletic Club,6,16,10,45.2,14,16,10,23,2,21,18,0,2024-2025,laliga
marc bernal,Barcelona,2,5,1,87.5,7,6,1,5,1,4,4,0,2024-2025,laliga
juan bernat,Villarreal,7,1,1,80.0,4,7,1,3,1,2,4,0,2024-2025,laliga
juan bernat,Getafe,9,5,5,58.3,7,13,2,9,3,6,12,0,2024-2025,laliga
juan berrocal,Getafe,10,4,0,71.4,10,7,15,6,3,3,59,0,2024-2025,laliga
