Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Bolck_Pass,Clearences,Err,Season,Competition
james abankwah,Udinese,4,0,0,66.7,2,2,1,2,1,1,3,0,2024-2025,serie-a
saud abdulhamid,Roma,2,0,1,100.0,1,2,2,2,0,2,0,0,2024-2025,serie-a
oliver abildgaard,Como,0,0,0,,0,0,0,1,0,1,0,0,2024-2025,serie-a
tammy abraham,Roma,0,0,0,0.0,0,0,0,0,0,0,0,0,2024-2025,serie-a
tammy abraham,Milan,2,10,5,75.0,6,11,2,13,0,13,16,0,2024-2025,serie-a
federico accornero,Genoa,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,serie-a
francesco acerbi,Inter,16,7,0,64.7,11,19,26,22,16,6,81,0,2024-2025,serie-a
che adams,Torino,2,4,6,14.3,1,6,2,13,6,7,18,0,2024-2025,serie-a
yacine adli,Fiorentina,11,16,5,43.6,17,19,6,13,1,12,19,0,2024-2025,serie-a
vasilije adzic,Juventus,0,1,1,0.0,0,2,0,0,0,0,0,0,2024-2025,serie-a
michel aebischer,Bologna,8,7,3,71.4,10,13,7,4,1,3,6,0,2024-2025,serie-a
honest ahanor,Genoa,2,3,2,70.0,7,5,1,4,0,4,9,0,2024-2025,serie-a
junior ajayi,Hellas Verona,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,serie-a
jeandaniel akpaakpro,Monza,15,14,1,42.9,9,18,13,19,6,13,16,1,2024-2025,serie-a
david akpan ankeye,Genoa,0,0,0,0.0,0,0,0,0,0,0,1,0,2024-2025,serie-a
faride alidou,Hellas Verona,0,0,0,,0,0,1,1,0,1,3,1,2024-2025,serie-a
dele alli,Como,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,serie-a
pontus almqvist,Parma,7,7,3,47.1,8,13,19,13,0,13,8,0,2024-2025,serie-a
giorgio altare,Venezia,8,3,2,53.3,8,12,17,21,11,10,49,0,2024-2025,serie-a
sofyan amrabat,Fiorentina,1,2,0,100.0,2,2,0,1,1,0,2,0,2024-2025,serie-a
angelino,Roma,20,24,2,50.0,17,24,28,33,9,24,98,0,2024-2025,serie-a
lorenzo anghele,Juventus,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,serie-a
faustino anjorin,Empoli,9,14,6,50.0,9,13,13,18,3,15,20,0,2024-2025,serie-a
marko arnautovic,Inter,1,3,3,60.0,3,5,1,3,0,3,1,0,2024-2025,serie-a
kristjan asllani,Inter,8,4,2,36.4,8,3,9,8,1,7,13,1,2024-2025,serie-a
arthur atta,Udinese,9,10,1,66.7,10,12,7,9,5,4,15,1,2024-2025,serie-a
emil audero,Como,0,0,0,0.0,0,0,0,0,0,0,4,1,2024-2025,serie-a
tommaso augello,Cagliari,28,17,4,69.8,30,28,16,23,8,15,109,2,2024-2025,serie-a
carlos augusto,Inter,12,11,6,63.2,12,14,9,21,9,12,50,0,2024-2025,serie-a
yann aurel bisseck,Inter,11,4,2,68.8,11,11,17,23,12,11,64,1,2024-2025,serie-a
paulo azzi,Cagliari,3,6,2,55.6,5,9,5,5,2,3,11,0,2024-2025,serie-a
