Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Bolck_Pass,Clearences,Err,Season,Competition
julian brandt,Dortmund,8,8,1,37.0,10,14,8,20,3,17,18,0,2023-2024,bundesliga
fabian bredlow,Stuttgart,0,0,0,0.0,0,0,0,0,0,0,3,0,2023-2024,bundesliga
tim breithaupt,Augsburg,11,9,0,61.9,13,11,8,15,3,12,10,0,2023-2024,bundesliga
maximilian breunig,Freiburg,0,0,0,,0,0,0,1,0,1,0,0,2023-2024,bundesliga
bennit broger,Wolfsburg,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,bundesliga
john brooks,Hoffenheim,17,10,1,50.0,15,15,27,29,17,12,109,1,2023-2024,bundesliga
moritz broschinski,Bochum,2,5,4,25.0,2,7,0,11,2,9,6,0,2023-2024,bundesliga
alexander brunst,Darmstadt 98,0,0,0,0.0,0,0,0,0,0,0,2,1,2023-2024,bundesliga
marius bulter,Hoffenheim,9,5,4,52.2,12,11,10,17,3,14,20,0,2023-2024,bundesliga
jonathan burkardt,Mainz 05,2,6,4,36.4,4,8,3,16,3,13,2,0,2023-2024,bundesliga
oliver burke,Werder Bremen,0,0,0,0.0,0,0,0,0,0,0,0,0,2023-2024,bundesliga
marnon busch,Heidenheim,6,3,2,58.3,7,9,10,9,2,7,12,0,2023-2024,bundesliga
aurelio buta,Eint Frankfurt,19,16,5,55.3,21,25,15,24,5,19,36,0,2023-2024,bundesliga
anthony caci,Mainz 05,30,25,1,61.4,27,23,32,43,7,36,45,0,2023-2024,bundesliga
emre can,Dortmund,37,23,3,58.3,28,45,22,30,7,23,41,2,2023-2024,bundesliga
irvin cardona,Augsburg,0,0,1,33.3,1,1,0,1,0,1,1,0,2023-2024,bundesliga
rasmus carstensen,Köln,23,20,4,55.4,31,22,20,38,9,29,50,2,2023-2024,bundesliga
fabio carvalho,RB Leipzig,0,2,1,33.3,1,1,0,8,0,8,1,0,2023-2024,bundesliga
koen casteels,Wolfsburg,2,0,0,66.7,2,1,0,0,0,0,16,5,2023-2024,bundesliga
vaclav cerny,Wolfsburg,3,4,1,14.3,2,3,8,13,0,13,6,0,2023-2024,bundesliga
julian chabot,Köln,40,17,2,59.3,35,42,45,66,43,23,145,0,2023-2024,bundesliga
el chadaille bitshiabu,RB Leipzig,1,0,0,,0,0,1,0,0,0,4,0,2023-2024,bundesliga
fares chaibi,Eint Frankfurt,7,12,8,44.4,8,17,5,37,1,36,19,0,2023-2024,bundesliga
timothy chandler,Eint Frankfurt,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,bundesliga
fabio chiarodia,Gladbach,5,1,2,71.4,5,5,3,2,1,1,9,0,2023-2024,bundesliga
jacob christensen,Köln,7,3,0,57.1,4,6,4,8,2,6,4,0,2023-2024,bundesliga
nnamdi collins,Eint Frankfurt,0,0,0,,0,0,2,0,0,0,4,0,2023-2024,bundesliga
kingsley coman,Bayern Munich,5,3,4,52.9,9,7,2,15,1,14,5,0,2023-2024,bundesliga
bambase conte,Hoffenheim,2,0,1,100.0,1,3,0,0,0,0,0,0,2023-2024,bundesliga
danny da costa,Mainz 05,9,7,2,47.4,9,9,16,17,4,13,24,0,2023-2024,bundesliga
nicolas cozza,Wolfsburg,4,4,0,28.6,2,6,4,3,0,3,6,0,2023-2024,bundesliga
tomas cvancara,Gladbach,0,2,2,33.3,1,3,2,5,1,4,8,0,2023-2024,bundesliga
finn dahmen,Augsburg,1,0,0,33.3,1,0,0,0,0,0,17,5,2023-2024,bundesliga
mahmoud dahoud,Stuttgart,1,4,0,42.9,3,1,0,4,0,4,1,0,2023-2024,bundesliga
lukas daschner,Bochum,2,3,4,44.4,4,4,2,7,0,7,2,0,2023-2024,bundesliga
david datro fofana,Union Berlin,3,5,2,44.4,4,7,0,4,0,4,5,0,2023-2024,bundesliga
alphonso davies,Bayern Munich,29,13,5,56.6,30,24,26,30,4,26,49,1,2023-2024,bundesliga
olivier deman,Werder Bremen,21,4,3,47.4,18,15,14,24,8,16,49,1,2023-2024,bundesliga
ermedin demirovic,Augsburg,5,16,3,30.0,12,14,11,28,2,26,26,0,2023-2024,bundesliga
sepp van den berg,Mainz 05,20,15,3,57.7,15,23,43,66,36,30,159,2,2023-2024,bundesliga
samuele di benedetto,Stuttgart,0,0,0,,0,0,1,0,0,0,0,0,2023-2024,bundesliga
justin diehl,Köln,0,0,0,,0,0,0,1,1,0,0,1,2023-2024,bundesliga
eric dier,Bayern Munich,5,5,1,83.3,5,8,10,20,12,8,48,1,2023-2024,bundesliga
florian dietz,Köln,0,0,0,,0,0,0,1,0,1,0,0,2023-2024,bundesliga
junior dina ebimbe,Eint Frankfurt,15,17,12,43.9,18,29,9,28,7,21,39,1,2023-2024,bundesliga
eren dinkci,Heidenheim,16,13,3,39.6,19,18,12,40,4,36,21,0,2023-2024,bundesliga
ritsu doan,Freiburg,21,19,10,58.3,21,27,9,30,3,27,29,0,2023-2024,bundesliga
danilho doekhi,Union Berlin,18,16,0,71.4,15,23,38,46,25,21,111,1,2023-2024,bundesliga
niklas dorsch,Augsburg,13,21,1,39.4,13,24,16,15,9,6,27,0,2023-2024,bundesliga
nikola dovedan,Heidenheim,2,10,2,20.0,5,9,1,9,0,9,3,0,2023-2024,bundesliga
damion downs,Köln,1,0,0,50.0,1,1,0,1,0,1,1,0,2023-2024,bundesliga
dion drena beljo,Augsburg,0,0,0,0.0,0,0,1,8,1,7,4,0,2023-2024,bundesliga
tim drexler,Hoffenheim,12,4,0,47.1,8,9,8,12,8,4,14,0,2023-2024,bundesliga
marvin ducksch,Werder Bremen,4,3,1,42.9,6,3,4,2,0,2,25,0,2023-2024,bundesliga
julien duranville,Dortmund,0,1,0,100.0,1,0,0,0,0,0,0,0,2023-2024,bundesliga
maximilian eggestein,Freiburg,25,19,5,41.7,15,24,28,53,19,34,40,1,2023-2024,bundesliga
lilian egloff,Stuttgart,3,1,0,50.0,2,1,1,3,1,2,0,0,2023-2024,bundesliga
hugo ekitike,Eint Frankfurt,3,6,2,66.7,4,7,2,10,0,10,4,0,2023-2024,bundesliga
elif elmas,RB Leipzig,1,6,1,75.0,6,6,1,5,0,5,2,0,2023-2024,bundesliga
nico elvedi,Gladbach,22,10,1,75.0,18,18,43,40,25,15,150,2,2023-2024,bundesliga
arne engels,Augsburg,15,14,4,41.4,12,18,15,23,1,22,21,0,2023-2024,bundesliga
ohis felix uduokhai,Augsburg,18,14,5,64.0,16,21,46,45,35,10,178,2,2023-2024,bundesliga
edimilson fernandes,Mainz 05,15,9,1,66.7,16,16,22,14,6,8,52,0,2023-2024,bundesliga
nacho ferri,Eint Frankfurt,1,2,0,66.7,2,3,0,0,0,0,2,0,2023-2024,bundesliga
max finkgrafe,Köln,40,25,0,52.7,39,39,22,35,10,25,39,0,2023-2024,bundesliga
kilian fischer,Wolfsburg,4,3,1,40.0,2,6,1,8,1,7,12,0,2023-2024,bundesliga
jonas fohrenbach,Heidenheim,24,14,6,52.8,19,24,31,34,19,15,70,0,2023-2024,bundesliga
emil forsberg,RB Leipzig,2,5,0,41.7,5,3,0,7,0,7,5,0,2023-2024,bundesliga
philipp forster,Bochum,3,4,2,33.3,2,5,7,3,0,3,3,0,2023-2024,bundesliga
bartol franjic,Darmstadt 98,4,10,1,25.0,7,12,30,12,4,8,29,2,2023-2024,bundesliga
marco friedl,Werder Bremen,38,15,0,75.0,36,32,35,45,29,16,129,0,2023-2024,bundesliga
marvin friedrich,Gladbach,16,6,1,60.0,12,15,17,28,20,8,87,0,2023-2024,bundesliga
jeremie frimpong,Leverkusen,12,7,7,40.0,8,17,7,26,0,26,17,0,2023-2024,bundesliga
chris fuhrich,Stuttgart,6,14,10,43.2,16,19,7,31,0,31,7,0,2023-2024,bundesliga
shio fukuda,Gladbach,1,1,0,50.0,1,0,1,0,0,0,0,0,2023-2024,bundesliga
niclas fullkrug,Werder Bremen,0,1,0,100.0,1,1,0,2,1,1,1,0,2023-2024,bundesliga
niclas fullkrug,Dortmund,1,6,0,25.0,2,2,2,17,4,13,25,0,2023-2024,bundesliga
cristian gamboa,Bochum,12,11,1,42.4,14,18,15,20,7,13,34,1,2023-2024,bundesliga
dennis geiger,Hoffenheim,1,0,0,,0,0,0,1,1,0,0,0,2023-2024,bundesliga
yannick gerhardt,Wolfsburg,16,12,3,28.1,9,20,7,15,2,13,35,0,2023-2024,bundesliga
anwar el ghazi,Mainz 05,0,0,0,0.0,0,0,0,0,0,0,0,0,2023-2024,bundesliga
benedikt gimber,Heidenheim,25,14,1,54.3,19,24,16,27,17,10,101,1,2023-2024,bundesliga
matthias ginter,Freiburg,19,9,1,55.2,16,15,16,40,26,14,93,0,2023-2024,bundesliga
jamie gittens,Dortmund,6,7,1,11.8,2,7,4,11,2,9,7,0,2023-2024,bundesliga
klaus gjasula,Darmstadt 98,18,25,1,56.7,17,22,19,26,14,12,42,2,2023-2024,bundesliga
serge gnabry,Bayern Munich,0,5,3,15.4,2,5,3,5,0,5,2,0,2023-2024,bundesliga
leon goretzka,Bayern Munich,18,14,9,44.4,24,23,31,44,8,36,42,1,2023-2024,bundesliga
robin gosens,Union Berlin,25,31,7,68.2,30,44,36,52,9,43,75,0,2023-2024,bundesliga
mario gotze,Eint Frankfurt,18,25,8,45.2,28,34,14,19,3,16,10,0,2023-2024,bundesliga
jeffrey gouweleeuw,Augsburg,13,17,5,64.0,16,23,35,44,24,20,108,0,2023-2024,bundesliga
jens grahl,Eint Frankfurt,0,0,0,,0,0,0,0,0,0,3,0,2023-2024,bundesliga
ryan gravenberch,Bayern Munich,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,bundesliga
michael gregoritsch,Freiburg,8,5,3,14.3,2,12,9,17,4,13,27,0,2023-2024,bundesliga
vincenzo grifo,Freiburg,14,11,6,45.2,14,20,15,22,1,21,20,0,2023-2024,bundesliga
florian grillitsch,Hoffenheim,31,19,4,40.7,22,28,52,41,20,21,90,2,2023-2024,bundesliga
alex grimaldo,Leverkusen,26,10,9,54.5,30,24,22,32,7,25,41,0,2023-2024,bundesliga
christian gro,Werder Bremen,11,9,1,44.0,11,16,13,17,6,11,28,1,2023-2024,bundesliga
brajan gruda,Mainz 05,5,11,6,58.3,14,14,5,15,0,15,4,0,2023-2024,bundesliga
ilia gruev,Werder Bremen,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,bundesliga
raphael guerreiro,Bayern Munich,6,9,4,60.0,9,16,15,7,1,6,5,1,2023-2024,bundesliga
josuha guilavogui,Mainz 05,10,5,0,85.7,6,10,13,13,7,6,21,0,2023-2024,bundesliga
serhou guirassy,Stuttgart,1,4,1,40.0,2,3,6,8,1,7,29,0,2023-2024,bundesliga
peter gulacsi,RB Leipzig,0,0,0,,0,0,0,0,0,0,8,1,2023-2024,bundesliga
manuel gulde,Freiburg,23,13,1,73.9,17,23,25,24,14,10,82,0,2023-2024,bundesliga
robert gumny,Augsburg,1,3,2,20.0,1,5,7,13,5,8,15,0,2023-2024,bundesliga
christian gunter,Freiburg,9,11,0,38.9,7,12,2,9,3,6,16,0,2023-2024,bundesliga
janik haberer,Union Berlin,16,13,7,48.9,22,24,12,21,4,17,18,0,2023-2024,bundesliga
robin hack,Gladbach,6,7,2,23.5,4,8,14,16,0,16,21,0,2023-2024,bundesliga
amadou haidara,RB Leipzig,24,16,2,56.1,23,27,21,28,6,22,37,0,2023-2024,bundesliga
sebastien haller,Dortmund,0,1,0,100.0,1,0,0,4,1,3,7,0,2023-2024,bundesliga
andreas hancheolsen,Mainz 05,10,8,2,62.5,10,12,11,10,4,6,41,0,2023-2024,bundesliga
isak hansenaaren,Werder Bremen,0,0,0,0.0,0,0,1,1,0,1,0,0,2023-2024,bundesliga
genki haraguchi,Stuttgart,1,0,0,,0,1,0,0,0,0,1,0,2023-2024,bundesliga
makoto hasebe,Eint Frankfurt,2,2,0,50.0,3,2,2,2,1,1,5,0,2023-2024,bundesliga
thorgan hazard,Dortmund,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,bundesliga
dominique heintz,Köln,6,6,0,66.7,8,5,3,6,1,5,28,0,2023-2024,bundesliga
benjamin henrichs,RB Leipzig,32,26,10,46.6,27,39,33,49,4,45,37,0,2023-2024,bundesliga
patrick herrmann,Gladbach,2,1,1,100.0,2,4,1,1,0,1,2,0,2023-2024,bundesliga
piero hincapie,Leverkusen,14,17,4,76.5,13,22,13,18,7,11,43,0,2023-2024,bundesliga
adam hlozek,Leverkusen,2,4,4,42.9,3,4,2,4,1,3,1,0,2023-2024,bundesliga
nicolas hofler,Freiburg,36,20,7,44.9,22,40,31,30,16,14,45,0,2023-2024,bundesliga
jonas hofmann,Leverkusen,6,9,5,41.7,10,14,8,18,0,18,6,0,2023-2024,bundesliga
philipp hofmann,Bochum,4,5,1,57.1,4,5,4,11,2,9,17,0,2023-2024,bundesliga
lucas holer,Freiburg,14,10,8,17.4,4,24,15,19,4,15,35,0,2023-2024,bundesliga
fabian holland,Darmstadt 98,18,21,8,54.1,20,26,24,22,12,10,29,0,2023-2024,bundesliga
benedict hollerbach,Union Berlin,5,7,5,31.8,7,11,4,28,0,28,3,0,2023-2024,bundesliga
gerrit holtmann,Darmstadt 98,3,4,1,70.0,7,5,2,7,0,7,4,1,2023-2024,bundesliga
franck honorat,Gladbach,13,10,2,55.0,11,13,9,22,3,19,35,1,2023-2024,bundesliga
mathias honsak,Darmstadt 98,7,6,1,30.0,6,7,8,14,2,12,25,0,2023-2024,bundesliga
fraser hornby,Darmstadt 98,0,0,0,0.0,0,0,0,2,1,1,4,0,2023-2024,bundesliga
lukas hradecky,Leverkusen,0,0,0,0.0,0,0,0,1,0,1,10,2,2023-2024,bundesliga
timo hubers,Köln,51,14,3,61.3,49,47,63,54,28,26,168,1,2023-2024,bundesliga
mats hummels,Dortmund,34,12,6,56.6,30,34,33,33,11,22,82,0,2023-2024,bundesliga
denis huseinbasic,Köln,17,15,6,64.5,20,18,13,26,1,25,14,0,2023-2024,bundesliga
iago,Augsburg,22,10,4,51.5,17,17,18,39,8,31,43,0,2023-2024,bundesliga
borja iglesias,Leverkusen,0,1,0,0.0,0,0,1,2,0,2,1,0,2023-2024,bundesliga
joel imasuen,Werder Bremen,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,bundesliga
thomas isherwood,Darmstadt 98,7,3,1,55.6,5,5,10,10,7,3,34,0,2023-2024,bundesliga
ko itakura,Gladbach,17,15,2,61.5,16,21,22,32,18,14,62,0,2023-2024,bundesliga
hiroki ito,Stuttgart,13,6,0,42.3,11,18,29,29,17,12,86,2,2023-2024,bundesliga
lee jaesung,Mainz 05,11,16,6,33.3,13,20,27,22,2,20,23,0,2023-2024,bundesliga
paul jaeckel,Union Berlin,4,3,0,55.6,5,2,4,3,2,1,7,0,2023-2024,bundesliga
kristijan jakic,Augsburg,14,10,4,45.5,15,14,20,13,1,12,15,0,2023-2024,bundesliga
kristijan jakic,Eint Frankfurt,1,2,0,33.3,1,3,2,1,0,1,2,0,2023-2024,bundesliga
tony jantschke,Gladbach,1,0,0,100.0,1,1,1,2,2,0,4,0,2023-2024,bundesliga
nuha jatta,RB Leipzig,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,bundesliga
fredrik jensen,Augsburg,9,8,6,50.0,14,11,12,30,1,29,21,0,2023-2024,bundesliga
moritz jenz,Wolfsburg,21,11,2,66.7,14,24,26,29,17,12,94,0,2023-2024,bundesliga
anthony jung,Werder Bremen,21,14,2,54.5,18,23,24,39,17,22,102,0,2023-2024,bundesliga
josip juranovic,Union Berlin,11,7,2,47.6,10,14,12,17,3,14,27,1,2023-2024,bundesliga
david jurasek,Hoffenheim,13,1,0,41.2,7,11,3,7,2,5,22,1,2023-2024,bundesliga
julian justvan,Hoffenheim,1,0,0,50.0,1,0,0,1,0,1,0,0,2023-2024,bundesliga
julian justvan,Darmstadt 98,2,7,1,17.6,3,4,11,12,2,10,6,1,2023-2024,bundesliga
ozan kabak,Hoffenheim,32,14,2,57.6,19,35,46,43,21,22,106,2,2023-2024,bundesliga
pavel kaderabek,Hoffenheim,10,15,6,45.0,18,19,23,22,8,14,68,0,2023-2024,bundesliga
florian kainz,Köln,8,13,7,43.6,17,20,13,20,6,14,23,1,2023-2024,bundesliga
sasa kalajdzic,Eint Frankfurt,0,2,0,,0,2,2,2,2,0,6,0,2023-2024,bundesliga
jakub kaminski,Wolfsburg,12,2,0,50.0,3,5,2,3,0,3,5,0,2023-2024,bundesliga
kevin kampl,RB Leipzig,8,9,2,47.6,10,8,11,19,7,12,14,1,2023-2024,bundesliga
harry kane,Bayern Munich,4,4,5,33.3,6,9,6,12,4,8,14,0,2023-2024,bundesliga
atakan karazor,Stuttgart,23,38,11,48.3,29,44,27,37,8,29,43,0,2023-2024,bundesliga
emir karic,Darmstadt 98,23,14,8,63.6,21,27,13,42,11,31,43,0,2023-2024,bundesliga
silas katompa,Stuttgart,3,2,0,25.0,3,3,0,9,0,9,4,0,2023-2024,bundesliga
mikkel kaufmann,Union Berlin,2,3,1,30.0,3,3,1,12,0,12,4,0,2023-2024,bundesliga
naby keita,Werder Bremen,1,0,0,0.0,0,1,2,2,0,2,1,0,2023-2024,bundesliga
yannik keitel,Freiburg,14,5,1,66.7,10,15,12,17,8,9,44,3,2023-2024,bundesliga
thomas keller,Heidenheim,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,bundesliga
aljoscha kemlein,Union Berlin,0,0,0,0.0,0,0,0,1,0,1,0,0,2023-2024,bundesliga
tobias kempe,Darmstadt 98,9,8,3,33.3,8,13,9,16,4,12,12,0,2023-2024,bundesliga
rani khedira,Union Berlin,15,19,1,65.4,17,22,22,12,5,7,38,0,2023-2024,bundesliga
luca kilian,Köln,15,1,0,64.3,9,9,7,12,5,7,28,0,2023-2024,bundesliga
joshua kimmich,Bayern Munich,25,15,5,66.7,26,33,14,32,4,28,28,1,2023-2024,bundesliga
christoph klarer,Darmstadt 98,30,4,3,66.7,24,22,21,31,20,11,94,1,2023-2024,bundesliga
tim kleindienst,Heidenheim,6,11,4,28.0,7,12,12,32,8,24,58,0,2023-2024,bundesliga
lukas klostermann,RB Leipzig,7,7,1,30.8,4,10,13,25,12,13,64,1,2023-2024,bundesliga
ansgar knauff,Eint Frankfurt,17,16,10,54.8,17,26,20,40,3,37,15,0,2023-2024,bundesliga
robin knoche,Union Berlin,27,7,0,63.3,19,22,13,27,19,8,73,0,2023-2024,bundesliga
gregor kobel,Dortmund,0,0,0,0.0,0,0,0,0,0,0,11,0,2023-2024,bundesliga
robin koch,Eint Frankfurt,26,12,0,63.0,17,23,32,33,24,9,136,2,2023-2024,bundesliga
dominik kohr,Mainz 05,36,25,4,63.2,36,42,43,27,6,21,58,0,2023-2024,bundesliga
randal kolo muani,Eint Frankfurt,0,0,0,,0,0,0,0,0,0,1,0,2023-2024,bundesliga
mert komur,Augsburg,3,0,0,60.0,3,3,0,0,0,0,1,0,2023-2024,bundesliga
manu kone,Gladbach,20,20,5,68.0,17,26,15,22,1,21,16,1,2023-2024,bundesliga
odilon kossounou,Leverkusen,11,12,7,57.7,15,20,27,27,3,24,43,1,2023-2024,bundesliga
tomas koubek,Augsburg,0,0,0,,0,0,0,0,0,0,1,1,2023-2024,bundesliga
matej kovar,Leverkusen,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,bundesliga
dawid kownacki,Werder Bremen,1,0,0,25.0,1,1,0,3,1,2,1,0,2023-2024,bundesliga
alex kral,Union Berlin,7,10,2,40.0,8,14,11,15,4,11,30,0,2023-2024,bundesliga
andrej kramaric,Hoffenheim,5,4,2,46.2,6,2,10,14,2,12,12,2,2023-2024,bundesliga
christoph kramer,Gladbach,5,5,0,14.3,2,5,4,7,1,6,6,0,2023-2024,bundesliga
frans kratzig,Bayern Munich,2,0,0,50.0,1,0,0,0,0,0,0,0,2023-2024,bundesliga
tom krau,Mainz 05,22,31,4,36.2,21,33,17,33,4,29,28,0,2023-2024,bundesliga
lukas kubler,Freiburg,35,13,2,61.9,26,24,37,36,14,22,57,1,2023-2024,bundesliga
mahmut kucuksahin,Augsburg,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,bundesliga
christian kuhlwetter,Heidenheim,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,bundesliga
moritzbroni kwarteng,Bochum,0,3,0,14.3,1,0,2,4,0,4,0,0,2023-2024,bundesliga
maxence lacroix,Wolfsburg,28,18,2,70.7,29,29,24,35,12,23,121,0,2023-2024,bundesliga
aissa laidouni,Union Berlin,4,12,5,33.3,4,12,12,26,2,24,14,2,2023-2024,bundesliga
konrad laimer,Bayern Munich,25,20,11,42.3,22,36,18,42,6,36,13,2,2023-2024,bundesliga
stefan lainer,Gladbach,15,8,0,58.3,14,16,5,13,6,7,28,0,2023-2024,bundesliga
hugo larsson,Eint Frankfurt,18,10,4,53.6,15,18,29,34,7,27,30,1,2023-2024,bundesliga
diogo leite,Union Berlin,31,15,6,49.0,25,36,47,48,22,26,155,1,2023-2024,bundesliga
maxim leitsch,Mainz 05,5,1,0,50.0,3,3,4,2,0,2,13,0,2023-2024,bundesliga
christopher lenz,RB Leipzig,2,0,0,100.0,1,1,2,0,0,0,2,0,2023-2024,bundesliga
christopher lenz,Eint Frankfurt,0,1,0,100.0,1,1,0,0,0,0,1,0,2023-2024,bundesliga
jamie leweling,Stuttgart,4,6,8,29.4,5,10,5,21,1,20,13,0,2023-2024,bundesliga
