Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Bolck_Pass,Clearences,Err,Season,Competition
davide biraschi,Genoa,1,2,0,33.3,1,3,2,0,0,0,5,0,2023-2024,serie-a
samuele birindelli,Monza,16,7,5,56.0,14,19,18,30,11,19,48,0,2023-2024,serie-a
alexis blin,Lecce,11,19,3,34.9,15,19,22,16,2,14,39,0,2023-2024,serie-a
jerome boateng,Salernitana,0,0,0,,0,0,4,6,5,1,21,0,2023-2024,serie-a
emil bohinen,Genoa,0,1,0,,0,1,0,1,0,1,3,0,2023-2024,serie-a
emil bohinen,Salernitana,5,3,0,20.0,2,6,14,8,2,6,6,1,2023-2024,serie-a
daniel boloca,Sassuolo,18,25,5,58.7,27,33,14,23,13,10,33,2,2023-2024,serie-a
giacomo bonaventura,Fiorentina,6,10,10,42.9,9,13,14,16,1,15,10,0,2023-2024,serie-a
federico bonazzoli,Hellas Verona,1,3,0,12.5,1,1,3,9,1,8,3,0,2023-2024,serie-a
warren bondo,Monza,16,10,3,76.5,13,22,6,13,3,10,13,0,2023-2024,serie-a
giovanni bonfanti,Atalanta,2,2,0,66.7,2,2,1,1,1,0,1,0,2023-2024,serie-a
kevin bonifazi,Bologna,0,4,0,50.0,1,0,0,0,0,0,7,1,2023-2024,serie-a
kevin bonifazi,Frosinone,2,3,0,66.7,2,3,3,1,0,1,9,0,2023-2024,serie-a
gennaro borrelli,Frosinone,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
erik botheim,Salernitana,2,0,0,0.0,0,0,0,3,0,3,2,0,2023-2024,serie-a
mehdi bourabia,Frosinone,1,4,0,50.0,2,4,0,3,0,3,4,0,2023-2024,serie-a
edoardo bove,Roma,16,31,13,58.7,27,31,11,21,1,20,11,1,2023-2024,serie-a
domagoj bradaric,Salernitana,13,10,6,60.0,15,20,32,22,7,15,62,1,2023-2024,serie-a
josip brekalo,Fiorentina,6,2,0,18.2,2,6,1,7,0,7,0,0,2023-2024,serie-a
gleison bremer,Juventus,32,21,5,72.4,21,42,40,45,27,18,147,0,2023-2024,serie-a
brenner,Udinese,1,5,2,57.1,4,7,0,2,0,2,2,0,2023-2024,serie-a
marco brescianini,Frosinone,13,12,3,36.0,9,13,10,22,5,17,37,0,2023-2024,serie-a
dylan bronn,Salernitana,0,0,0,0.0,0,0,0,2,0,2,4,0,2023-2024,serie-a
tajon buchanan,Inter,0,0,1,50.0,1,1,0,1,0,1,4,0,2023-2024,serie-a
alessandro buongiorno,Torino,43,24,3,70.6,24,39,69,20,12,8,131,0,2023-2024,serie-a
rarescatalin burnete,Lecce,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
jovane cabral,Salernitana,4,7,2,33.3,3,9,1,3,0,3,4,0,2023-2024,serie-a
liberato cacace,Empoli,24,13,3,63.2,24,24,19,23,6,17,56,0,2023-2024,serie-a
jens cajuste,Napoli,13,17,6,54.1,20,24,4,20,3,17,15,0,2023-2024,serie-a
davide calabria,Milan,38,25,7,61.1,44,38,24,26,7,19,49,1,2023-2024,serie-a
riccardo calafiori,Bologna,28,16,3,68.8,22,32,50,38,13,25,74,3,2023-2024,serie-a
mattia caldara,Milan,1,0,0,100.0,1,1,1,1,1,0,1,0,2023-2024,serie-a
luca caldirola,Monza,19,4,2,59.1,13,14,29,26,17,9,53,0,2023-2024,serie-a
hakan calhanoglu,Inter,29,29,8,65.3,32,33,24,29,13,16,22,0,2023-2024,serie-a
francesco camarda,Milan,0,0,0,0.0,0,0,0,0,0,0,0,0,2023-2024,serie-a
nicolo cambiaghi,Empoli,15,20,16,45.7,16,39,14,26,1,25,8,0,2023-2024,serie-a
andrea cambiaso,Juventus,23,15,9,58.1,25,30,11,28,3,25,26,1,2023-2024,serie-a
matteo cancellieri,Empoli,12,16,7,36.1,13,22,6,19,0,19,18,0,2023-2024,serie-a
antonio candreva,Salernitana,8,8,2,36.0,9,13,7,9,0,9,23,0,2023-2024,serie-a
luigi canotto,Frosinone,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
gianluca caprari,Monza,1,1,0,0.0,0,1,2,0,0,0,0,0,2023-2024,serie-a
elia caprile,Empoli,1,0,0,100.0,1,0,0,0,0,0,16,2,2023-2024,serie-a
francesco caputo,Empoli,0,0,2,0.0,0,0,1,4,0,4,3,0,2023-2024,serie-a
andrea carboni,Monza,24,12,2,64.5,20,22,17,23,13,10,56,1,2023-2024,serie-a
valentin carboni,Monza,10,12,3,30.8,8,15,7,12,1,11,4,0,2023-2024,serie-a
marco carnesecchi,Atalanta,0,0,0,,0,0,0,0,0,0,22,3,2023-2024,serie-a
nicolo casale,Lazio,13,2,0,40.0,6,9,12,19,16,3,61,0,2023-2024,serie-a
giuseppe caso,Frosinone,2,0,2,66.7,2,3,0,0,0,0,0,0,2023-2024,serie-a
valentin castellanos,Lazio,1,12,9,30.0,6,10,2,22,2,20,18,0,2023-2024,serie-a
samu castillejo,Sassuolo,5,5,2,36.8,7,10,1,16,1,15,3,0,2023-2024,serie-a
santiago castro,Bologna,0,1,1,33.3,1,1,1,1,0,1,1,0,2023-2024,serie-a
gaetano castrovilli,Fiorentina,1,2,0,12.5,1,2,2,4,0,4,3,0,2023-2024,serie-a
danilo cataldi,Lazio,7,16,1,44.4,8,12,17,15,7,8,19,1,2023-2024,serie-a
emil ceide,Sassuolo,1,1,0,100.0,1,2,0,6,1,5,0,0,2023-2024,serie-a
zeki celik,Roma,10,10,3,56.0,14,16,8,12,5,7,25,0,2023-2024,serie-a
fabien centonze,Hellas Verona,10,4,0,50.0,5,8,10,14,2,12,18,0,2023-2024,serie-a
michele cerofolini,Frosinone,0,0,0,,0,0,0,0,0,0,5,1,2023-2024,serie-a
alberto cerri,Empoli,1,1,1,40.0,2,3,3,3,1,2,7,0,2023-2024,serie-a
leonardo cerri,Juventus,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
charlys,Hellas Verona,0,0,0,,0,0,1,0,0,0,0,0,2023-2024,serie-a
walid cheddira,Frosinone,1,8,3,50.0,4,7,5,6,1,5,10,0,2023-2024,serie-a
federico chiesa,Juventus,7,6,7,23.1,3,10,6,17,1,16,4,0,2023-2024,serie-a
oliver christensen,Fiorentina,0,0,0,,0,0,0,0,0,0,1,0,2023-2024,serie-a
samuel chukwueze,Milan,11,5,2,52.9,9,7,6,3,1,2,3,0,2023-2024,serie-a
alphadjo cisse,Hellas Verona,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
giorgio cittadini,Monza,1,0,0,100.0,1,1,0,1,1,0,0,0,2023-2024,serie-a
giorgio cittadini,Genoa,4,1,0,100.0,3,4,3,1,0,1,5,0,2023-2024,serie-a
patrick ciurria,Monza,13,13,4,61.9,13,18,9,20,5,15,28,0,2023-2024,serie-a
lorenzo colombo,Monza,3,9,5,57.1,8,12,0,18,5,13,14,0,2023-2024,serie-a
andrea colpani,Monza,6,13,6,55.0,11,15,14,11,4,7,14,0,2023-2024,serie-a
pietro comuzzo,Fiorentina,1,0,0,100.0,1,1,1,1,0,1,2,0,2023-2024,serie-a
andrea consigli,Sassuolo,0,0,0,,0,0,1,1,0,1,19,1,2023-2024,serie-a
nikita contini baranovsky,Napoli,0,0,0,,0,0,0,0,0,0,1,0,2023-2024,serie-a
diego coppola,Hellas Verona,25,9,2,60.6,20,22,27,26,9,17,89,1,2023-2024,serie-a
tommaso corazza,Bologna,9,1,0,44.4,4,4,5,2,0,2,3,0,2023-2024,serie-a
jeppe corfitzen,Lecce,0,1,0,100.0,1,0,0,0,0,0,0,0,2023-2024,serie-a
giacomo corona,Empoli,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
joao costa,Roma,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
benoit costil,Salernitana,1,1,0,66.7,2,1,0,0,0,0,5,1,2023-2024,serie-a
lassana coulibaly,Salernitana,20,21,6,44.9,22,32,16,23,5,18,29,0,2023-2024,serie-a
mamadou coulibaly,Salernitana,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
alessio cragno,Sassuolo,0,0,0,,0,0,0,0,0,0,3,1,2023-2024,serie-a
bryan cristante,Roma,33,28,11,56.0,28,41,25,36,6,30,55,2,2023-2024,serie-a
juan cruz,Hellas Verona,0,0,2,,0,2,1,1,0,1,0,0,2023-2024,serie-a
juan cuadrado,Inter,2,2,0,60.0,3,3,1,6,1,5,2,0,2023-2024,serie-a
marvin cuni,Frosinone,1,3,4,75.0,3,3,1,10,1,9,0,0,2023-2024,serie-a
danilo dambrosio,Monza,34,20,3,68.3,28,34,14,22,13,9,31,0,2023-2024,serie-a
flavius daniliuc,Salernitana,12,5,2,47.4,9,11,8,13,4,9,15,0,2023-2024,serie-a
danilo,Juventus,38,18,4,66.7,32,36,37,34,15,19,94,0,2023-2024,serie-a
matteo darmian,Inter,23,15,10,37.7,20,22,13,27,11,16,55,0,2023-2024,serie-a
juan david cabal,Hellas Verona,19,14,3,62.1,18,27,26,30,9,21,55,2,2023-2024,serie-a
keinan davis,Udinese,0,0,0,,0,0,0,0,0,0,3,0,2023-2024,serie-a
pawe dawidowicz,Hellas Verona,33,18,2,58.6,17,30,24,17,9,8,114,1,2023-2024,serie-a
charles de ketelaere,Atalanta,3,12,18,50.0,10,21,7,30,2,28,6,0,2023-2024,serie-a
mattia de sciglio,Juventus,0,0,0,,0,0,1,1,0,1,2,0,2023-2024,serie-a
lorenzo de silvestri,Bologna,5,2,3,57.1,4,8,6,9,4,5,27,0,2023-2024,serie-a
koni de winter,Genoa,26,13,5,67.7,21,25,21,30,10,20,78,0,2023-2024,serie-a
gregoire defrel,Sassuolo,7,5,5,46.7,7,8,3,10,0,10,9,0,2023-2024,serie-a
alessandro deiola,Cagliari,13,16,4,38.3,18,19,9,16,6,10,37,0,2023-2024,serie-a
alessandro dellavalle,Torino,0,0,0,,0,0,1,1,1,0,0,0,2023-2024,serie-a
diego demme,Napoli,0,1,0,0.0,0,1,0,0,0,0,0,0,2023-2024,serie-a
leander dendoncker,Napoli,0,0,0,,0,0,0,1,1,0,0,0,2023-2024,serie-a
mattia destro,Empoli,0,2,0,100.0,1,1,2,4,0,4,3,0,2023-2024,serie-a
federico di francesco,Lecce,0,1,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
raffaele di gennaro,Inter,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
michele di gregorio,Monza,1,0,0,25.0,1,0,1,1,0,1,10,2,2023-2024,serie-a
giovanni di lorenzo,Napoli,26,26,6,47.1,32,36,24,43,16,27,45,0,2023-2024,serie-a
alessandro di pardo,Cagliari,3,0,1,0.0,0,1,5,9,2,7,7,0,2023-2024,serie-a
boulaye dia,Salernitana,2,2,0,33.3,1,2,3,5,0,5,7,0,2023-2024,serie-a
federico dimarco,Inter,19,14,9,48.6,17,25,9,18,3,15,34,1,2023-2024,serie-a
tiago djalo,Juventus,0,0,0,,0,0,0,1,0,1,1,0,2023-2024,serie-a
koffi djidji,Torino,9,5,0,75.0,3,9,10,10,5,5,20,0,2023-2024,serie-a
berat djimsiti,Atalanta,29,12,1,61.3,19,24,57,53,33,20,100,0,2023-2024,serie-a
dodo,Fiorentina,1,4,0,40.0,2,3,5,2,0,2,11,0,2023-2024,serie-a
josh doig,Hellas Verona,9,7,0,76.5,13,9,4,12,3,9,17,1,2023-2024,serie-a
josh doig,Sassuolo,16,9,0,55.6,15,17,16,31,10,21,38,0,2023-2024,serie-a
nicolas dominguez,Bologna,1,0,0,0.0,0,0,0,3,0,3,2,0,2023-2024,serie-a
giulio donati,Monza,0,0,0,,0,0,0,0,0,0,1,1,2023-2024,serie-a
patrick dorgu,Lecce,22,17,4,64.7,22,22,9,16,5,11,45,2,2023-2024,serie-a
alberto dossena,Cagliari,43,12,0,66.7,32,35,45,50,27,23,172,2,2023-2024,serie-a
radu dragusin,Genoa,9,6,1,88.9,8,11,21,18,12,6,87,3,2023-2024,serie-a
ondrej duda,Hellas Verona,17,35,7,59.6,31,39,26,29,12,17,21,0,2023-2024,serie-a
denzel dumfries,Inter,9,11,2,39.1,9,13,12,15,6,9,33,1,2023-2024,serie-a
alfred duncan,Fiorentina,13,15,7,42.9,15,22,11,27,5,22,13,0,2023-2024,serie-a
paulo dybala,Roma,3,10,9,11.1,2,13,3,12,0,12,6,1,2023-2024,serie-a
festy ebosele,Udinese,23,9,1,60.0,21,20,10,33,2,31,27,0,2023-2024,serie-a
enzo ebosse,Udinese,1,0,0,0.0,0,1,1,0,0,0,0,0,2023-2024,serie-a
tyronne ebuehi,Empoli,9,5,0,63.6,7,9,6,9,4,5,27,1,2023-2024,serie-a
ederson,Atalanta,38,38,7,69.8,44,49,41,48,8,40,33,1,2023-2024,serie-a
kingsley ehizibue,Udinese,16,4,2,61.1,11,14,8,21,3,18,36,0,2023-2024,serie-a
emmanuel ekong,Empoli,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
caleb ekuban,Genoa,2,4,2,55.6,5,4,1,11,3,8,7,0,2023-2024,serie-a
elif elmas,Napoli,1,3,0,100.0,2,3,2,2,0,2,8,0,2023-2024,serie-a
martin erlic,Sassuolo,26,8,3,66.7,20,22,28,31,16,15,128,1,2023-2024,serie-a
giovanni fabbian,Bologna,9,7,1,58.3,7,10,7,5,2,3,11,0,2023-2024,serie-a
nicolo fagioli,Juventus,1,3,1,42.9,3,3,4,3,0,3,1,0,2023-2024,serie-a
wladimiro falcone,Lecce,0,0,0,,0,0,1,1,0,1,21,2,2023-2024,serie-a
davide faraoni,Hellas Verona,5,6,2,70.0,7,10,6,9,5,4,21,0,2023-2024,serie-a
davide faraoni,Fiorentina,5,2,2,45.5,5,4,5,3,1,2,14,0,2023-2024,serie-a
federico fazio,Salernitana,14,4,0,57.1,8,11,17,22,19,3,99,1,2023-2024,serie-a
jacopo fazzini,Empoli,27,13,9,56.6,30,25,12,21,3,18,18,0,2023-2024,serie-a
lewis ferguson,Bologna,16,17,4,43.2,16,21,17,25,8,17,27,1,2023-2024,serie-a
andrea ferraris,Monza,1,0,0,,0,1,0,0,0,0,0,0,2023-2024,serie-a
joao ferreira,Udinese,36,18,4,58.6,34,42,29,27,6,21,89,0,2023-2024,serie-a
seydou fini,Genoa,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
vincenzo fiorillo,Salernitana,0,0,0,,0,0,0,0,0,0,0,1,2023-2024,serie-a
alessandro florenzi,Milan,26,12,5,54.2,26,21,20,16,9,7,25,1,2023-2024,serie-a
michael folorunsho,Hellas Verona,21,22,7,40.4,23,28,17,45,12,33,44,2,2023-2024,serie-a
davide frattesi,Inter,3,7,0,50.0,4,6,5,9,3,6,19,0,2023-2024,serie-a
morten frendrup,Genoa,47,70,16,60.4,55,72,51,55,14,41,42,1,2023-2024,serie-a
remo freuler,Bologna,41,32,5,55.1,38,50,36,37,9,28,53,2,2023-2024,serie-a
gerardo fusco,Salernitana,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
matteo gabbia,Milan,15,13,1,75.0,18,20,10,11,6,5,48,0,2023-2024,serie-a
gianluca gaetano,Cagliari,0,4,3,28.6,2,4,3,4,0,4,4,0,2023-2024,serie-a
gianluca gaetano,Napoli,0,4,0,50.0,2,1,1,5,2,3,4,0,2023-2024,serie-a
roberto gagliardini,Monza,27,25,9,62.0,31,30,31,30,11,19,38,0,2023-2024,serie-a
pablo galdames millan,Genoa,0,0,0,,0,0,0,1,0,1,0,0,2023-2024,serie-a
antonino gallo,Lecce,31,11,1,63.3,31,27,25,34,9,25,67,0,2023-2024,serie-a
luca garritano,Frosinone,7,2,1,33.3,5,5,4,13,0,13,8,1,2023-2024,serie-a
federico gatti,Juventus,16,16,1,79.2,19,19,19,26,15,11,90,1,2023-2024,serie-a
francesco gelli,Frosinone,8,4,7,41.7,10,13,11,19,3,16,27,1,2023-2024,serie-a
luca gemello,Torino,0,0,0,0.0,0,0,0,0,0,0,1,1,2023-2024,serie-a
valentin gendrey,Lecce,35,16,4,65.2,30,33,35,40,11,29,99,0,2023-2024,serie-a
fares ghedjemis,Frosinone,1,0,1,0.0,0,0,1,2,0,2,2,0,2023-2024,serie-a
lautaro gianetti,Udinese,7,2,0,80.0,4,4,19,10,6,4,39,0,2023-2024,serie-a
mario gila,Lazio,23,8,1,55.9,19,14,20,27,14,13,69,0,2023-2024,serie-a
gvidas gineitis,Torino,3,8,0,57.1,4,7,4,10,4,6,9,1,2023-2024,serie-a
olivier giroud,Milan,6,6,5,14.3,2,11,6,14,3,11,22,0,2023-2024,serie-a
edoardo goldaniga,Cagliari,9,3,0,40.0,4,7,15,11,7,4,37,1,2023-2024,serie-a
pierluigi gollini,Napoli,1,0,0,100.0,1,1,1,0,0,0,2,0,2023-2024,serie-a
papu gomez,Monza,0,0,0,0.0,0,0,1,0,0,0,0,0,2023-2024,serie-a
iron gomis,Salernitana,2,2,0,0.0,0,1,2,2,0,2,2,0,2023-2024,serie-a
joan gonzalez,Lecce,16,12,3,60.7,17,18,5,20,3,17,9,0,2023-2024,serie-a
nicolas gonzalez,Fiorentina,15,8,5,28.6,8,18,12,26,1,25,9,0,2023-2024,serie-a
alberto grassi,Empoli,13,13,4,38.5,10,18,41,26,11,15,37,0,2023-2024,serie-a
matteo guendouzi,Lazio,11,18,5,42.9,21,15,21,24,6,18,24,1,2023-2024,serie-a
axel guessand,Udinese,0,1,0,100.0,1,1,0,1,0,1,0,0,2023-2024,serie-a
albert gumundsson,Genoa,8,10,5,27.3,12,10,11,15,2,13,13,0,2023-2024,serie-a
emmanuel gyasi,Empoli,18,13,3,46.9,15,17,5,30,12,18,27,1,2023-2024,serie-a
norbert gyomber,Salernitana,30,6,0,76.9,20,18,23,33,23,10,77,2,2023-2024,serie-a
nicolas haas,Empoli,1,2,2,100.0,3,3,1,1,0,1,1,0,2023-2024,serie-a
ridgeciano haps,Genoa,3,2,2,62.5,5,6,6,3,0,3,11,1,2023-2024,serie-a
abdou harroui,Frosinone,11,11,1,50.0,8,11,5,19,3,16,8,0,2023-2024,serie-a
hans hateboer,Atalanta,8,2,2,33.3,5,5,4,21,7,14,21,0,2023-2024,serie-a
pantelis hatzidiakos,Cagliari,12,10,0,58.8,10,10,13,14,5,9,30,1,2023-2024,serie-a
silvan hefti,Genoa,2,3,1,57.1,4,1,0,2,0,2,1,0,2023-2024,serie-a
liam henderson,Empoli,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
matheus henrique,Sassuolo,21,18,4,41.9,18,29,25,18,8,10,31,6,2023-2024,serie-a
thomas henry,Hellas Verona,0,0,0,,0,0,0,0,0,0,5,0,2023-2024,serie-a
theo hernandez,Milan,19,11,0,50.0,11,17,23,33,13,20,42,1,2023-2024,serie-a
isak hien,Hellas Verona,10,7,0,52.6,10,10,7,12,5,7,33,1,2023-2024,serie-a
isak hien,Atalanta,8,10,0,46.7,7,12,14,12,5,7,33,0,2023-2024,serie-a
emil holm,Atalanta,17,9,2,44.4,16,19,7,25,3,22,25,0,2023-2024,serie-a
martin hongla,Hellas Verona,9,13,2,72.7,8,13,7,8,3,5,24,0,2023-2024,serie-a
sydney van hooijdonk,Bologna,0,2,1,50.0,1,0,1,1,1,0,4,0,2023-2024,serie-a
dean huijsen,Roma,5,5,0,25.0,1,5,4,7,4,3,26,2,2023-2024,serie-a
dean huijsen,Juventus,0,0,0,,0,0,0,0,0,0,1,0,2023-2024,serie-a
elseid hysaj,Lazio,8,13,3,62.5,15,14,17,16,6,10,31,0,2023-2024,serie-a
arijon ibrahimovic,Frosinone,4,2,1,11.1,1,6,1,4,0,4,3,0,2023-2024,serie-a
jonathan ikone,Fiorentina,7,9,6,58.8,10,11,3,12,0,12,8,0,2023-2024,serie-a
chukwubuikem ikwuemesi,Salernitana,0,2,1,33.3,2,1,1,1,1,0,8,0,2023-2024,serie-a
ivan ilic,Torino,9,10,3,48.1,13,8,20,20,7,13,31,0,2023-2024,serie-a
samuel ilingjunior,Juventus,9,11,3,61.1,11,13,6,17,5,12,19,0,2023-2024,serie-a
ciro immobile,Lazio,2,5,4,21.4,3,9,5,9,3,6,11,0,2023-2024,serie-a
gino infantino,Fiorentina,0,1,0,0.0,0,1,3,4,0,4,1,0,2023-2024,serie-a
gustav isaksen,Lazio,2,1,1,11.1,1,3,4,11,1,10,4,0,2023-2024,serie-a
ardian ismajli,Empoli,18,6,2,78.3,18,16,23,28,17,11,126,1,2023-2024,serie-a
armando izzo,Monza,17,9,1,59.3,16,17,27,20,16,4,49,1,2023-2024,serie-a
filip jagieo,Genoa,0,0,0,0.0,0,0,1,1,1,0,0,0,2023-2024,serie-a
jakub jankto,Cagliari,9,1,2,40.0,8,9,5,5,1,4,20,0,2023-2024,serie-a
juan jesus,Napoli,28,12,2,69.7,23,19,23,23,12,11,67,1,2023-2024,serie-a
alejandro jimenez,Milan,2,0,0,40.0,2,1,0,0,0,0,4,0,2023-2024,serie-a
kaio jorge,Frosinone,0,1,5,75.0,3,4,1,6,0,6,0,0,2023-2024,serie-a
luka jovic,Milan,0,3,3,66.7,4,4,1,3,0,3,9,0,2023-2024,serie-a
hamed junior traore,Napoli,2,0,2,16.7,1,2,2,3,0,3,1,1,2023-2024,serie-a
