Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
ansgar knauff,Eint Frankfurt,18,16,7,46.2,12,22,12,23,4,19,24,0,2024-2025,bundesliga
magnus knudsen,Holstein Kiel,21,21,6,56.8,25,29,12,18,4,14,44,0,2024-2025,bundesliga
gregor kobel,Dortmund,0,0,0,,0,0,1,0,0,0,23,3,2024-2025,bundesliga
robin koch,Eint Frankfurt,14,8,2,45.5,10,11,25,39,25,14,197,4,2024-2025,bundesliga
derrick kohn,Werder Bremen,7,10,3,71.4,10,10,10,21,4,17,26,0,2024-2025,bundesliga
dominik kohr,Mainz 05,34,21,7,63.6,35,46,42,43,24,19,127,0,2024-2025,bundesliga
marco komenda,Holstein Kiel,12,13,1,73.3,11,17,6,23,11,12,68,0,2024-2025,bundesliga
mert komur,Augsburg,2,0,1,0.0,0,2,3,9,3,6,7,1,2024-2025,bundesliga
kacper koscierski,Bochum,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,bundesliga
henri koudossou,Augsburg,6,11,1,57.9,11,10,15,8,2,6,37,0,2024-2025,bundesliga
konstantinos koulierakis,Wolfsburg,25,13,2,62.5,25,20,33,34,14,20,147,2,2024-2025,bundesliga
matej kovar,Leverkusen,0,0,0,,0,0,0,0,0,0,0,1,2024-2025,bundesliga
andrej kramaric,Hoffenheim,5,8,2,54.5,6,8,7,16,3,13,11,1,2024-2025,bundesliga
frans kratzig,Heidenheim,14,12,6,57.1,12,18,17,12,1,11,15,0,2024-2025,bundesliga
frans kratzig,Stuttgart,1,0,1,33.3,1,1,0,2,1,1,1,0,2024-2025,bundesliga
tom krau,Bochum,20,13,2,50.0,19,18,11,26,2,24,19,1,2024-2025,bundesliga
rasmus kristensen,Eint Frankfurt,37,17,5,59.7,40,33,20,50,13,37,97,1,2024-2025,bundesliga
lukas kubler,Freiburg,17,20,3,56.3,27,21,53,32,13,19,61,3,2024-2025,bundesliga
jonah kusiasare,Bayern Munich,0,0,1,,0,0,0,0,0,0,0,0,2024-2025,bundesliga
moritzbroni kwarteng,Bochum,1,1,2,50.0,1,3,0,0,0,0,1,0,2024-2025,bundesliga
nediljko labrovic,Augsburg,0,0,0,,0,0,0,0,0,0,12,1,2024-2025,bundesliga
konrad laimer,Bayern Munich,19,22,8,47.9,23,27,8,24,1,23,24,1,2024-2025,bundesliga
stefan lainer,Gladbach,16,5,1,85.7,12,13,12,12,6,6,30,0,2024-2025,bundesliga
hugo larsson,Eint Frankfurt,17,25,5,50.0,21,27,30,42,11,31,35,1,2024-2025,bundesliga
diogo leite,Union Berlin,43,17,4,66.0,33,32,57,61,25,36,162,1,2024-2025,bundesliga
