Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
nabil aberdin,Getafe,0,0,0,0.0,0,0,0,0,0,0,4,0,2023-2024,laliga
abner,Betis,15,9,1,50.0,17,19,15,23,5,18,62,0,2023-2024,laliga
abdel abqar,Alavés,28,5,2,60.0,21,19,23,31,26,5,115,0,2023-2024,laliga
marcos acuna,Sevilla,20,12,1,64.3,9,21,4,12,2,10,25,0,2023-2024,laliga
julen agirrezabala,Athletic Club,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,laliga
lucien agoume,Sevilla,7,14,2,75.0,9,18,7,6,1,5,8,0,2023-2024,laliga
joseph aidoo,Celta Vigo,6,2,0,50.0,4,3,4,3,1,2,28,0,2023-2024,laliga
ilias akhomach,Villarreal,11,16,9,50.0,10,21,13,10,2,8,13,0,2023-2024,laliga
sergio akieme,Almería,18,7,2,81.3,13,15,10,14,4,10,34,0,2023-2024,laliga
paul akouokou,Betis,0,2,3,100.0,3,3,1,3,1,2,1,0,2023-2024,laliga
david alaba,Real Madrid,7,5,1,50.0,4,9,15,10,7,3,34,0,2023-2024,laliga
raul albiol,Villarreal,15,9,1,66.7,18,14,16,31,24,7,102,0,2023-2024,laliga
ruben alcaraz,Cádiz,39,52,6,41.3,50,59,33,60,14,46,55,2,2023-2024,laliga
omar alderete,Getafe,15,13,0,54.3,19,21,13,30,18,12,111,0,2023-2024,laliga
ivan alejo,Cádiz,23,11,6,29.8,17,23,7,20,0,20,17,0,2023-2024,laliga
carles alena,Getafe,7,14,3,41.7,10,8,4,14,3,11,13,0,2023-2024,laliga
mohamed ali cho,Real Sociedad,3,1,0,28.6,2,3,1,6,0,6,1,0,2023-2024,laliga
tadeo allende,Celta Vigo,3,2,1,66.7,4,1,3,3,0,3,3,0,2023-2024,laliga
domingos andre ribeiro almeida,Valencia,9,12,4,47.4,9,15,6,13,1,12,5,0,2023-2024,laliga
marcos alonso,Barcelona,2,3,0,75.0,3,3,4,2,0,2,6,0,2023-2024,laliga
adria altimira,Villarreal,9,6,1,37.5,9,7,5,18,5,13,18,0,2023-2024,laliga
sergi altimira,Betis,8,6,1,47.8,11,8,9,12,1,11,10,0,2023-2024,laliga
gaston alvarez,Getafe,43,20,5,64.9,37,37,35,40,11,29,80,0,2023-2024,laliga
hugo alvarez,Celta Vigo,8,3,3,45.0,9,9,5,4,1,3,9,0,2023-2024,laliga
yeray alvarez,Athletic Club,15,3,0,63.2,12,9,11,8,5,3,34,1,2023-2024,laliga
selim amallah,Valencia,7,7,3,33.3,3,12,11,13,0,13,6,0,2023-2024,laliga
amath,Mallorca,7,2,0,20.0,2,6,3,2,0,2,6,0,2023-2024,laliga
miguel angel rubio,Granada,14,6,0,66.7,14,12,28,31,18,13,74,2,2023-2024,laliga
fabrizio angileri,Getafe,1,0,0,33.3,1,1,4,0,0,0,8,0,2023-2024,laliga
mauro arambarri,Getafe,3,2,1,16.7,1,2,2,1,0,1,7,0,2023-2024,laliga
jon aramburu,Real Sociedad,12,10,2,60.0,15,15,7,8,3,5,17,0,2023-2024,laliga
julian araujo,Las Palmas,29,7,5,69.7,23,22,10,23,16,7,52,1,2023-2024,laliga
ronald araujo,Barcelona,11,15,1,70.6,12,22,12,20,11,9,66,2,2023-2024,laliga
adu ares,Athletic Club,4,2,2,66.7,2,4,1,1,0,1,0,0,2023-2024,laliga
jesus areso,Osasuna,25,13,7,81.6,31,24,18,36,15,21,58,0,2023-2024,laliga
matias arezo,Granada,2,5,0,20.0,1,3,1,4,1,3,4,0,2023-2024,laliga
inigo arguibide,Osasuna,0,1,0,,0,0,0,0,0,0,1,0,2023-2024,laliga
jose arnaiz,Osasuna,6,4,4,28.6,6,8,3,11,2,9,2,0,2023-2024,laliga
sergio arribas,Almería,16,17,1,45.2,14,17,16,20,1,19,8,1,2023-2024,laliga
kepa arrizabalaga,Real Madrid,0,0,0,0.0,0,0,0,0,0,0,4,0,2023-2024,laliga
iago aspas,Celta Vigo,4,6,1,6.7,1,6,10,23,3,20,8,0,2023-2024,laliga
ezequiel avila,Osasuna,1,1,1,27.3,3,2,4,14,0,14,8,0,2023-2024,laliga
ezequiel avila,Betis,0,2,0,33.3,1,1,1,2,0,2,4,0,2023-2024,laliga
cesar azpilicueta,Atlético Madrid,15,9,1,63.2,12,14,16,25,6,19,46,0,2023-2024,laliga
iddrisu baba,Almería,27,18,1,43.6,17,26,11,20,6,14,27,2,2023-2024,laliga
sran babic,Almería,0,2,0,100.0,1,2,0,1,1,0,2,0,2023-2024,laliga
loic bade,Sevilla,53,12,0,61.2,30,41,38,23,15,8,116,2,2023-2024,laliga
alex baena,Villarreal,10,16,8,42.6,20,21,13,23,2,21,17,1,2023-2024,laliga
eric bailly,Villarreal,4,1,0,100.0,2,3,9,8,8,0,38,2,2023-2024,laliga
cedric bakambu,Betis,0,1,0,,0,0,0,2,0,2,0,0,2023-2024,laliga
alejandro balde,Barcelona,11,6,3,63.6,7,11,5,14,1,13,21,1,2023-2024,laliga
ivan balliu,Rayo Vallecano,20,24,0,56.4,22,31,29,27,11,16,66,1,2023-2024,laliga
jonathan bamba,Celta Vigo,4,8,2,11.8,2,9,18,20,0,20,12,0,2023-2024,laliga
leo baptistao,Almería,12,8,5,36.0,9,16,11,13,1,12,22,0,2023-2024,laliga
kike barja,Osasuna,2,2,2,37.5,3,2,2,2,1,1,2,0,2023-2024,laliga
ander barrenetxea,Real Sociedad,7,16,9,38.5,10,21,6,18,1,17,5,0,2023-2024,laliga
pablo barrios,Atlético Madrid,15,29,1,47.5,19,25,28,20,3,17,24,2,2023-2024,laliga
marc bartra,Betis,3,1,0,80.0,4,3,3,3,1,2,10,0,2023-2024,laliga
augusto batalla,Granada,0,0,0,0.0,0,0,0,0,0,0,10,2,2023-2024,laliga
bebe,Rayo Vallecano,1,1,0,20.0,1,2,0,1,0,1,0,0,2023-2024,laliga
sheraldo becker,Real Sociedad,0,2,0,0.0,0,2,1,3,0,3,0,0,2023-2024,laliga
hector bellerin,Betis,14,16,4,37.7,20,22,22,13,5,8,40,1,2023-2024,laliga
jude bellingham,Real Madrid,14,18,10,33.3,12,34,21,55,5,50,17,0,2023-2024,laliga
fran beltran,Celta Vigo,22,23,11,38.1,24,32,18,28,2,26,34,0,2023-2024,laliga
carlos benavidez,Alavés,19,26,11,55.9,19,35,19,13,5,8,31,0,2023-2024,laliga
yuri berchiche,Athletic Club,13,14,6,57.6,19,25,20,28,9,19,62,0,2023-2024,laliga
alex berenguer,Athletic Club,9,9,5,29.2,7,14,5,23,0,23,13,0,2023-2024,laliga
antonio blanco,Alavés,29,27,5,36.0,31,36,35,25,2,23,30,0,2023-2024,laliga
daley blind,Girona,33,13,1,61.7,29,21,21,37,19,18,113,0,2023-2024,laliga
adri bosch,Granada,1,0,0,,0,1,0,0,0,0,1,0,2023-2024,laliga
yassine bounou,Sevilla,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,laliga
lucas boye,Granada,14,25,11,41.2,14,25,10,35,5,30,46,0,2023-2024,laliga
darko brasanac,Osasuna,1,0,0,100.0,1,0,0,1,0,1,0,0,2023-2024,laliga
brau,Granada,1,0,0,100.0,1,0,0,0,0,0,2,0,2023-2024,laliga
claudio bravo,Betis,0,0,0,0.0,0,0,0,0,0,0,2,0,2023-2024,laliga
ben brereton,Villarreal,1,0,1,0.0,0,2,0,0,0,0,0,0,2023-2024,laliga
ante budimir,Osasuna,2,11,8,35.7,5,15,5,19,5,14,18,0,2023-2024,laliga
manu bueno,Sevilla,4,0,0,100.0,3,2,0,3,0,3,1,0,2023-2024,laliga
pablo busto,Betis,0,0,1,100.0,1,1,1,0,0,0,3,0,2023-2024,laliga
jose callejon,Granada,10,3,0,36.4,8,6,5,7,1,6,10,0,2023-2024,laliga
eduardo camavinga,Real Madrid,39,29,8,59.0,23,47,29,36,8,28,29,1,2023-2024,laliga
sergio camello,Rayo Vallecano,3,10,3,40.0,6,5,3,10,2,8,15,0,2023-2024,laliga
jose campana,Las Palmas,1,1,0,0.0,0,2,2,3,2,1,3,0,2023-2024,laliga
joao cancelo,Barcelona,35,21,8,65.5,38,44,29,35,6,29,59,1,2023-2024,laliga
sergi canos,Valencia,7,11,5,41.7,10,13,11,14,2,12,9,0,2023-2024,laliga
etienne capoue,Villarreal,17,12,3,68.2,15,18,22,20,4,16,24,1,2023-2024,laliga
isaac carcelen,Cádiz,30,15,5,55.6,25,31,27,24,7,17,87,2,2023-2024,laliga
dani cardenas,Rayo Vallecano,0,0,0,,0,0,0,0,0,0,1,0,2023-2024,laliga
marc cardona,Las Palmas,3,4,2,8.3,1,8,2,5,0,5,7,0,2023-2024,laliga
sergi cardona,Las Palmas,52,29,9,57.3,55,55,46,45,7,38,102,0,2023-2024,laliga
johnny cardoso,Betis,19,24,5,66.7,22,29,32,20,5,15,31,0,2023-2024,laliga
carmona,Getafe,13,14,3,32.1,9,21,21,15,2,13,25,0,2023-2024,laliga
yannick carrasco,Atlético Madrid,3,1,0,28.6,2,4,1,2,0,2,6,0,2023-2024,laliga
alvaro carreras,Granada,8,4,1,45.5,5,8,7,5,1,4,9,1,2023-2024,laliga
dani carvajal,Real Madrid,28,15,4,54.8,23,32,22,28,9,19,54,4,2023-2024,laliga
william carvalho,Betis,11,7,2,62.5,10,12,8,8,1,7,9,1,2023-2024,laliga
marc casado,Barcelona,1,0,0,100.0,1,1,1,0,0,0,2,0,2023-2024,laliga
catena,Osasuna,26,6,1,54.3,19,18,15,24,15,9,119,3,2023-2024,laliga
dani ceballos,Real Madrid,4,5,1,35.7,5,5,0,9,2,7,4,1,2023-2024,laliga
