Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
reda belahyane,Nice,5,3,0,60.0,3,6,2,5,1,4,0,0,2022-2023,ligue1
youcef belaili,Ajaccio,3,9,6,40.0,8,10,5,10,1,9,4,0,2022-2023,ligue1
youcef belaili,Brest,3,2,0,28.6,2,2,1,2,0,2,1,0,2022-2023,ligue1
haris belkebla,Brest,35,40,5,51.8,44,48,52,32,6,26,21,3,2022-2023,ligue1
jeanricner bellegarde,Strasbourg,15,21,11,44.0,11,25,26,26,3,23,22,0,2022-2023,ligue1
jeanuel belocian,Rennes,3,5,2,55.6,5,7,6,6,3,3,11,0,2022-2023,ligue1
eliesse ben seghir,Monaco,4,12,2,33.3,4,10,4,18,1,17,1,0,2022-2023,ligue1
salim ben seghir,Marseille,0,0,0,,0,0,0,1,0,1,0,0,2022-2023,ligue1
wissam ben yedder,Monaco,2,5,9,30.8,4,9,4,15,0,15,0,0,2022-2023,ligue1
nabil bentaleb,Angers,31,35,8,59.0,36,40,44,33,11,22,29,3,2022-2023,ligue1
patrick berg,Lens,0,0,0,0.0,0,0,1,0,0,0,0,0,2022-2023,ligue1
mitchell van bergen,Reims,6,7,5,40.0,8,8,6,8,2,6,11,0,2022-2023,ligue1
quentin bernard,Auxerre,4,2,3,46.7,7,7,15,9,1,8,17,0,2022-2023,ligue1
paul bernardoni,Angers,2,0,0,66.7,2,0,1,1,0,1,12,1,2022-2023,ligue1
juan bernat,Paris S-G,18,9,5,53.8,21,16,9,11,2,9,22,1,2022-2023,ligue1
jason berthomier,Clermont Foot,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,ligue1
el bilal toure,Reims,0,0,0,,0,0,0,2,0,2,1,0,2022-2023,ligue1
jeanclaude billong,Clermont Foot,0,0,0,,0,0,1,1,1,0,0,0,2022-2023,ligue1
veljko birmancevic,Toulouse,5,4,4,33.3,7,7,7,12,2,10,1,0,2022-2023,ligue1
marco bizot,Brest,0,0,0,0.0,0,0,0,1,0,1,24,4,2022-2023,ligue1
ruben blanco,Marseille,0,0,0,,0,0,0,0,0,0,1,0,2022-2023,ligue1
ludovic blas,Nantes,17,19,11,34.7,17,30,19,26,1,25,8,0,2022-2023,ligue1
miha blazic,Angers,8,0,0,46.7,7,6,22,25,19,6,80,1,2022-2023,ligue1
joaquin blazquez,Brest,0,0,0,,0,0,0,0,0,0,2,0,2022-2023,ligue1
myron boadu,Monaco,0,2,1,14.3,1,3,0,1,0,1,1,0,2022-2023,ligue1
jerome boateng,Lyon,2,1,0,33.3,2,0,6,8,5,3,16,0,2022-2023,ligue1
antonin bobichon,Angers,0,0,0,,0,0,0,1,0,1,0,0,2022-2023,ligue1
quentin boisgard,Lorient,1,4,1,75.0,3,2,4,3,1,2,2,0,2022-2023,ligue1
neto borges,Clermont Foot,45,20,10,61.3,46,45,41,45,11,34,62,1,2022-2023,ligue1
kenjivan boto,Auxerre,2,0,1,50.0,2,2,1,0,0,0,3,0,2022-2023,ligue1
kouame botue,Ajaccio,2,1,1,0.0,0,2,0,1,0,1,1,0,2022-2023,ligue1
badredine bouanani,Nice,2,7,4,50.0,7,9,1,4,0,4,2,0,2022-2023,ligue1
hicham boudaoui,Nice,31,30,6,66.0,35,32,36,34,5,29,16,0,2022-2023,ligue1
franci bouebari,Strasbourg,1,2,0,60.0,3,0,2,0,0,0,2,0,2022-2023,ligue1
sofiane boufal,Angers,7,4,3,21.4,3,9,5,6,0,6,1,0,2022-2023,ligue1
ismael boura,Lens,4,2,0,83.3,5,4,2,2,1,1,3,0,2022-2023,ligue1
benjamin bourigeaud,Rennes,16,23,6,32.3,21,29,31,38,3,35,32,0,2022-2023,ligue1
bilal brahimi,Nice,2,5,1,14.3,1,5,4,4,0,4,0,0,2022-2023,ligue1
lilian brassier,Brest,31,8,3,71.9,23,30,53,42,19,23,132,1,2022-2023,ligue1
andreas bruus,Troyes,9,3,0,40.0,8,6,17,13,2,11,24,0,2022-2023,ligue1
joe bryan,Nice,3,2,0,100.0,4,4,1,2,0,2,1,0,2022-2023,ligue1
adam buksa,Lens,0,0,1,0.0,0,0,0,0,0,0,0,0,2022-2023,ligue1
maxime busi,Reims,9,11,1,44.8,13,16,14,14,6,8,24,0,2022-2023,ligue1
marcin buka,Nice,0,0,0,0.0,0,0,1,0,0,0,0,0,2022-2023,ligue1
remy cabella,Lille,21,28,15,45.3,29,37,17,41,5,36,7,1,2022-2023,ligue1
jimmy cabot,Lens,10,8,2,46.2,12,12,4,5,0,5,12,0,2022-2023,ligue1
jens cajuste,Reims,25,14,7,52.1,25,25,18,30,6,24,22,0,2022-2023,ligue1
duje caletacar,Marseille,0,0,0,,0,0,0,0,0,0,1,0,2022-2023,ligue1
mahdi camara,Brest,18,38,7,58.1,25,36,40,35,4,31,16,0,2022-2023,ligue1
mohamed camara,Monaco,38,39,6,52.2,48,45,27,45,6,39,14,1,2022-2023,ligue1
ousmane camara,Auxerre,0,0,1,,0,1,0,0,0,0,0,0,2022-2023,ligue1
ousmane camara,Angers,5,5,0,41.7,5,6,11,4,2,2,15,0,2022-2023,ligue1
axel camblan,Brest,1,1,0,0.0,0,2,0,0,0,0,0,0,2022-2023,ligue1
pierrick capelle,Angers,17,15,4,40.0,22,21,15,24,3,21,24,0,2022-2023,ligue1
maxence caqueret,Lyon,27,38,22,39.4,43,54,39,45,3,42,27,0,2022-2023,ligue1
irvin cardona,Brest,1,1,0,0.0,0,0,2,3,0,3,2,0,2022-2023,ligue1
igor carioca,Lorient,12,2,4,57.1,12,11,5,7,0,7,17,0,2022-2023,ligue1
matis carvalho,Montpellier,0,0,0,,0,0,1,0,0,0,0,0,2022-2023,ligue1
jeancharles castelletto,Nantes,29,12,2,61.1,22,26,58,35,22,13,90,0,2022-2023,ligue1
yoann cathline,Lorient,7,6,6,41.7,5,12,8,10,1,9,16,1,2022-2023,ligue1
maximiliano caufriez,Clermont Foot,31,8,1,71.4,20,24,34,33,18,15,70,0,2022-2023,ligue1
fabien centonze,Nantes,30,22,6,71.4,30,37,44,24,7,17,55,1,2022-2023,ligue1
florian chabrolle,Ajaccio,1,5,0,50.0,2,4,7,3,0,3,2,0,2022-2023,ligue1
el chadaille bitshiabu,Paris S-G,7,2,1,25.0,3,7,9,9,7,2,13,3,2022-2023,ligue1
fares chaibi,Toulouse,8,15,8,34.0,17,18,19,38,5,33,36,1,2022-2023,ligue1
muhammed cham,Clermont Foot,15,4,11,37.1,13,15,7,13,0,13,5,0,2022-2023,ligue1
gaetan charbonnier,Auxerre,0,2,0,0.0,0,1,0,2,0,2,5,0,2022-2023,ligue1
brendan chardonnet,Brest,27,18,0,52.6,20,27,63,40,19,21,86,1,2022-2023,ligue1
xavier chavalerin,Troyes,39,30,13,38.0,27,50,41,31,8,23,24,0,2022-2023,ligue1
ivane chegra,Ajaccio,6,1,1,36.4,4,3,1,0,0,0,0,0,2022-2023,ligue1
rayan cherki,Lyon,2,5,7,34.8,8,8,5,6,0,6,1,0,2022-2023,ligue1
ilyes cheti,Angers,4,0,2,62.5,5,4,4,5,1,4,7,0,2022-2023,ligue1
lucas chevalier,Lille,2,0,0,100.0,2,1,2,1,0,1,7,2,2022-2023,ligue1
pedro chirivella,Nantes,12,15,6,38.6,17,22,20,24,1,23,7,0,2022-2023,ligue1
joris chotard,Montpellier,37,23,4,51.3,40,34,40,40,11,29,42,1,2022-2023,ligue1
yanis cimignani,Ajaccio,3,7,1,80.0,4,5,2,5,1,4,2,0,2022-2023,ligue1
souleymane cisse,Clermont Foot,1,0,0,100.0,1,1,1,1,1,0,2,0,2022-2023,ligue1
alexis claudemaurice,Nice,2,1,0,100.0,3,2,2,0,0,0,1,0,2022-2023,ligue1
alexis claudemaurice,Lens,5,8,1,37.5,6,9,2,6,0,6,1,0,2022-2023,ligue1
jonathan clauss,Marseille,21,16,9,44.2,23,28,31,29,4,25,40,2,2022-2023,ligue1
marcus coco,Nantes,11,9,4,47.8,11,15,14,13,3,10,7,0,2022-2023,ligue1
alexandre coeff,Auxerre,6,4,0,44.4,4,5,8,9,4,5,35,1,2022-2023,ligue1
abdu conte,Troyes,14,8,3,54.5,12,17,6,13,6,7,25,0,2022-2023,ligue1
sebastien corchia,Nantes,10,2,4,50.0,11,6,14,9,3,6,21,0,2022-2023,ligue1
david costa,Lens,1,10,2,36.8,7,7,11,19,1,18,6,0,2022-2023,ligue1
logan costa,Toulouse,7,1,1,66.7,6,4,4,6,3,3,12,0,2022-2023,ligue1
nuno da costa,Auxerre,14,23,8,23.9,11,23,20,21,1,20,15,0,2022-2023,ligue1
benoit costil,Auxerre,2,0,0,50.0,2,0,0,0,0,0,5,0,2022-2023,ligue1
mathieu coutadeur,Ajaccio,13,10,0,28.6,8,13,19,19,3,16,21,0,2022-2023,ligue1
nicolas cozza,Montpellier,27,9,2,68.4,26,21,21,11,5,6,35,1,2022-2023,ligue1
damien da silva,Lyon,5,3,0,100.0,3,7,5,4,3,1,12,0,2022-2023,ligue1
andrea dacourt,Nice,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,ligue1
colin dagba,Strasbourg,17,10,5,73.1,19,20,17,18,2,16,19,0,2022-2023,ligue1
thijs dallinga,Toulouse,2,2,4,7.7,1,6,3,17,3,14,20,0,2022-2023,ligue1
flavius daniliuc,Nice,2,0,0,100.0,1,0,0,4,1,3,1,0,2022-2023,ligue1
kevin danois,Auxerre,0,1,0,,0,1,1,0,0,0,0,0,2022-2023,ligue1
kevin danso,Lens,25,11,1,63.3,19,19,33,48,34,14,124,0,2022-2023,ligue1
dante,Nice,45,21,4,61.0,36,40,47,52,31,21,125,2,2022-2023,ligue1
achraf dari,Brest,15,5,1,70.0,14,14,19,16,10,6,65,2,2022-2023,ligue1
jonathan david,Lille,6,11,7,37.0,10,17,8,20,2,18,13,0,2022-2023,ligue1
thibault de smet,Reims,10,14,0,29.7,11,17,20,28,5,23,40,1,2022-2023,ligue1
brecht dejaegere,Toulouse,10,20,10,29.4,15,23,14,25,5,20,11,0,2022-2023,ligue1
romain del castillo,Brest,13,17,9,44.4,16,24,11,14,1,13,5,0,2022-2023,ligue1
thomas delaine,Strasbourg,16,6,6,50.0,13,14,16,8,3,5,9,0,2022-2023,ligue1
