Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
asmir begovic,Everton,0,0,0,,0,0,0,0,0,0,1,0,2022-2023,premierleague
armel bella kotchap,Southampton,28,9,0,75.0,15,17,44,29,12,17,110,0,2022-2023,premierleague
said benrahma,West Ham,11,7,7,40.7,11,15,9,23,1,22,13,0,2022-2023,premierleague
rodrigo bentancur,Tottenham,15,21,9,57.1,16,28,20,28,15,13,22,0,2022-2023,premierleague
daniel bentley,Wolves,1,0,0,100.0,1,1,0,0,0,0,0,1,2022-2023,premierleague
victor bernth kristiansen,Leicester City,18,16,4,73.3,22,23,3,16,4,12,26,1,2022-2023,premierleague
owen bevan,Bournemouth,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,premierleague
giulian biancone,Nott'ham Forest,2,0,0,100.0,1,1,1,0,0,0,0,0,2022-2023,premierleague
philip billing,Bournemouth,21,33,9,26.2,11,36,31,48,8,40,58,1,2022-2023,premierleague
yves bissouma,Tottenham,6,6,4,28.6,2,13,12,15,6,9,10,0,2022-2023,premierleague
willy boly,Nott'ham Forest,8,3,2,61.5,8,6,12,13,4,9,45,0,2022-2023,premierleague
sven botman,Newcastle Utd,31,7,0,78.6,22,24,34,44,24,20,126,2,2022-2023,premierleague
jarrod bowen,West Ham,14,11,14,27.6,16,16,36,47,9,38,25,0,2022-2023,premierleague
james bree,Southampton,4,1,0,75.0,3,3,6,3,1,2,11,0,2022-2023,premierleague
armando broja,Chelsea,0,3,1,100.0,1,1,1,10,1,9,1,0,2022-2023,premierleague
david brooks,Bournemouth,1,0,0,0.0,0,0,2,2,0,2,5,0,2022-2023,premierleague
lewis brunt,Leicester City,0,0,0,,0,0,0,0,0,0,2,0,2022-2023,premierleague
emi buendia,Aston Villa,20,20,12,28.4,21,23,20,20,2,18,17,0,2022-2023,premierleague
hugo bueno,Wolves,23,6,4,51.5,17,16,10,14,1,13,36,0,2022-2023,premierleague
facundo buonanotte,Brighton,1,1,0,4.5,1,1,4,5,2,3,3,0,2022-2023,premierleague
dan burn,Newcastle Utd,29,23,8,50.7,34,38,32,42,16,26,120,2,2022-2023,premierleague
cafu,Nott'ham Forest,0,0,0,,0,0,0,0,0,0,1,0,2022-2023,premierleague
moises caicedo,Brighton,41,47,12,58.8,40,50,56,43,7,36,31,3,2022-2023,premierleague
tom cairney,Fulham,4,8,5,70.0,7,6,5,18,3,15,3,0,2022-2023,premierleague
duje caletacar,Southampton,9,4,1,66.7,6,10,15,15,11,4,65,1,2022-2023,premierleague
