Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
leo baptistao,Almería,13,16,3,39.4,13,20,19,17,2,15,12,0,2022-2023,laliga
keidi bare,Espanyol,7,5,3,53.8,7,8,11,8,2,6,8,0,2022-2023,laliga
kike barja,Osasuna,6,5,4,33.3,8,9,4,7,0,7,3,0,2022-2023,laliga
ander barrenetxea,Real Sociedad,15,6,0,42.9,12,15,5,15,1,14,7,0,2022-2023,laliga
pablo barrios,Atlético Madrid,3,10,6,53.3,8,10,9,12,2,10,6,1,2022-2023,laliga
rodrigo battaglia,Mallorca,7,5,0,42.9,6,5,5,16,7,9,18,0,2022-2023,laliga
bebe,Rayo Vallecano,0,0,0,0.0,0,0,0,1,0,1,0,0,2022-2023,laliga
hector bellerin,Barcelona,0,2,0,66.7,2,0,3,2,0,2,2,0,2022-2023,laliga
fran beltran,Celta Vigo,15,14,5,25.5,14,22,53,29,5,24,35,2,2022-2023,laliga
iker benito,Osasuna,0,3,1,50.0,2,3,2,0,0,0,4,0,2022-2023,laliga
karim benzema,Real Madrid,2,4,3,18.2,2,5,2,11,0,11,5,0,2022-2023,laliga
yuri berchiche,Athletic Club,28,20,8,59.3,35,32,40,37,12,25,59,1,2022-2023,laliga
alex berenguer,Athletic Club,17,25,16,38.3,23,37,10,37,4,33,6,0,2022-2023,laliga
pedro bigas,Elche,30,7,0,62.1,18,20,33,25,14,11,95,0,2022-2023,laliga
el bilal toure,Almería,2,1,1,0.0,0,3,1,6,1,5,23,0,2022-2023,laliga
antonio blanco,Cádiz,5,1,0,66.7,4,4,1,5,0,5,3,0,2022-2023,laliga
lautaro blanco,Elche,10,4,2,34.6,9,9,2,8,1,7,10,1,2022-2023,laliga
theo bongonda,Cádiz,11,14,3,42.5,17,20,6,21,2,19,14,0,2022-2023,laliga
yassine bounou,Sevilla,2,0,0,25.0,1,1,2,0,0,0,11,1,2022-2023,laliga
lucas boye,Elche,12,16,8,48.6,17,16,15,33,5,28,46,0,2022-2023,laliga
martin braithwaite,Espanyol,2,4,6,35.7,5,2,5,10,0,10,11,0,2022-2023,laliga
darko brasanac,Osasuna,12,10,7,52.2,12,20,12,14,2,12,9,0,2022-2023,laliga
claudio bravo,Betis,0,0,0,,0,0,2,0,0,0,1,1,2022-2023,laliga
ante budimir,Osasuna,0,12,7,20.0,2,9,5,10,0,10,19,0,2022-2023,laliga
manu bueno,Sevilla,3,3,1,62.5,5,4,0,0,0,0,2,0,2022-2023,laliga
santiago bueno,Girona,43,19,1,66.7,24,38,31,34,22,12,105,2,2022-2023,laliga
sergio busquets,Barcelona,24,26,8,56.9,29,26,27,32,6,26,36,2,2022-2023,laliga
leandro cabrera,Espanyol,34,12,0,65.1,28,24,43,37,23,14,114,2,2022-2023,laliga
cala,Cádiz,1,1,0,50.0,1,1,1,2,1,1,12,0,2022-2023,laliga
fernando calero,Espanyol,27,15,4,61.8,21,29,13,31,13,18,52,0,2022-2023,laliga
alexander callens,Girona,2,1,0,75.0,3,3,1,3,1,2,9,0,2022-2023,laliga
eduardo camavinga,Real Madrid,32,21,15,37.5,24,48,17,24,5,19,25,0,2022-2023,laliga
sergio camello,Rayo Vallecano,3,9,4,29.4,5,10,2,9,1,8,26,0,2022-2023,laliga
sergio canales,Betis,10,8,7,42.4,14,14,14,18,0,18,8,0,2022-2023,laliga
ander capa,Athletic Club,1,0,0,20.0,1,1,0,5,0,5,2,0,2022-2023,laliga
etienne capoue,Villarreal,6,13,2,55.6,10,12,19,12,5,7,20,1,2022-2023,laliga
isaac carcelen,Cádiz,41,22,6,65.1,41,51,19,35,11,24,80,1,2022-2023,laliga
juan carlos,Girona,0,0,0,,0,0,1,0,0,0,7,1,2022-2023,laliga
jose carlos lazo,Almería,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,laliga
jose carlos lazo,Espanyol,2,2,1,100.0,3,3,3,2,0,2,5,0,2022-2023,laliga
carmona,Elche,7,6,3,37.5,6,9,8,14,2,12,9,0,2022-2023,laliga
carmona,Sevilla,5,3,5,56.3,9,11,7,10,6,4,17,1,2022-2023,laliga
yannick carrasco,Atlético Madrid,21,10,4,42.6,23,14,12,23,1,22,19,0,2022-2023,laliga
dani carvajal,Real Madrid,15,12,5,51.4,18,18,15,24,6,18,49,0,2022-2023,laliga
william carvalho,Betis,18,23,2,38.6,17,27,16,27,6,21,22,0,2022-2023,laliga
casemiro,Real Madrid,0,0,0,,0,0,0,0,0,0,1,0,2022-2023,laliga
valentin castellanos,Girona,2,7,3,0.0,0,5,6,22,2,20,26,0,2022-2023,laliga
samu castillejo,Valencia,8,9,4,20.0,8,12,9,21,2,19,2,0,2022-2023,laliga
catena,Rayo Vallecano,23,4,2,48.1,13,14,28,32,25,7,159,1,2022-2023,laliga
edinson cavani,Valencia,3,3,1,20.0,3,4,2,10,3,7,11,0,2022-2023,laliga
dani ceballos,Real Madrid,13,15,15,39.1,25,29,25,23,2,21,6,1,2022-2023,laliga
alex centelles,Almería,16,3,3,72.7,16,14,11,13,2,11,40,0,2022-2023,laliga
franco cervi,Celta Vigo,29,36,11,50.0,33,46,36,33,1,32,16,0,2022-2023,laliga
pep chavarria,Rayo Vallecano,2,1,3,20.0,1,4,2,8,0,8,8,0,2022-2023,laliga
pape cheikh diop,Elche,0,0,0,0.0,0,0,0,0,0,0,0,0,2022-2023,laliga
andreas christensen,Barcelona,9,11,0,62.5,10,15,21,14,12,2,47,0,2022-2023,laliga
