nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
nabil aberdin,getafe,DF,2002,2,2,180,0,0,0,0,0,7,0,2023-2024,laliga
abner,betis,DF,2000,23,15,1400,0,1,3,0,14,33,58,2023-2024,laliga
abdel abqar,alaves,DF,1999,27,27,2312,0,0,10,0,7,49,1,2023-2024,laliga
marcos acuna,sevilla,DF,1991,21,18,1292,1,2,7,0,23,59,42,2023-2024,laliga
julen agirrezabala,athletic club,GK,2000,4,2,238,0,0,0,0,0,0,0,2023-2024,laliga
lucien agoume,sevilla,MF,2002,12,9,777,0,0,3,0,7,35,9,2023-2024,laliga
joseph aidoo,celta vigo,DF,1995,6,4,407,0,0,0,0,2,12,0,2023-2024,laliga
ilias akhomach,villarreal,"MF,FW",2004,31,17,1511,2,2,4,0,68,45,160,2023-2024,laliga
sergio akieme,almeria,DF,1997,19,19,1675,2,0,2,0,27,28,72,2023-2024,laliga
paul akouokou,betis,MF,1997,2,0,27,0,0,0,0,0,1,0,2023-2024,laliga
david alaba,real madrid,DF,1992,14,14,1154,0,1,2,0,9,51,13,2023-2024,laliga
raul albiol,villarreal,DF,1985,26,24,2031,0,1,6,0,8,62,0,2023-2024,laliga
ruben alcaraz,cadiz,MF,1991,36,36,3134,3,1,14,0,27,154,37,2023-2024,laliga
omar alderete,getafe,DF,1996,31,24,2195,0,1,8,1,23,98,9,2023-2024,laliga
ivan alejo,cadiz,MF,1995,30,21,1692,0,2,17,0,48,31,104,2023-2024,laliga
carles alena,getafe,MF,1998,29,10,1020,1,1,6,0,12,23,45,2023-2024,laliga
mohamed ali cho,real sociedad,"FW,MF",2004,11,1,249,0,0,0,0,16,3,19,2023-2024,laliga
tadeo allende,celta vigo,"MF,FW",1999,10,2,336,1,0,1,0,9,7,25,2023-2024,laliga
domingos andre ribeiro almeida,valencia,"FW,MF",2000,18,12,965,2,1,0,0,24,50,33,2023-2024,laliga
marcos alonso,barcelona,DF,1990,5,3,252,0,0,0,0,11,14,33,2023-2024,laliga
adria altimira,villarreal,"DF,MF",2001,11,10,775,0,0,3,0,10,29,15,2023-2024,laliga
sergi altimira,betis,MF,2001,14,6,568,1,0,1,0,10,31,8,2023-2024,laliga
gaston alvarez,getafe,DF,2000,34,29,2537,2,0,7,0,11,63,40,2023-2024,laliga
hugo alvarez,celta vigo,"MF,DF",2003,12,8,762,1,1,1,0,36,34,80,2023-2024,laliga
yeray alvarez,athletic club,DF,1995,19,14,1152,0,0,1,1,13,55,2,2023-2024,laliga
selim amallah,valencia,"FW,MF",1996,20,7,604,0,1,5,1,7,21,36,2023-2024,laliga
amath,mallorca,"FW,MF",1996,15,3,394,0,0,2,0,19,13,30,2023-2024,laliga
miguel angel rubio,granada,DF,1998,19,17,1560,1,0,5,0,7,27,1,2023-2024,laliga
fabrizio angileri,getafe,"DF,MF",1994,11,2,164,0,0,2,1,2,7,6,2023-2024,laliga
mauro arambarri,getafe,MF,1995,7,3,339,0,0,2,0,2,20,6,2023-2024,laliga
jon aramburu,real sociedad,DF,2002,11,5,543,0,0,3,0,6,26,25,2023-2024,laliga
julian araujo,las palmas,DF,2001,25,15,1462,1,0,5,0,23,74,47,2023-2024,laliga
ronald araujo,barcelona,DF,1999,25,21,1997,1,2,6,0,24,101,11,2023-2024,laliga
adu ares,athletic club,FW,2001,12,2,265,0,0,2,0,13,3,39,2023-2024,laliga
jesus areso,osasuna,DF,1999,37,29,2660,1,6,3,0,78,106,180,2023-2024,laliga
matias arezo,granada,FW,2002,14,3,369,0,0,1,0,6,5,17,2023-2024,laliga
inigo arguibide,osasuna,DF,2005,1,0,17,0,0,0,0,0,0,0,2023-2024,laliga
jose arnaiz,osasuna,"FW,MF",1995,26,9,929,2,1,3,0,23,11,85,2023-2024,laliga
sergio arribas,almeria,"MF,FW",2001,34,22,2047,9,4,1,0,56,81,94,2023-2024,laliga
kepa arrizabalaga,real madrid,GK,1994,14,13,1198,0,0,1,0,0,0,0,2023-2024,laliga
iago aspas,celta vigo,FW,1987,35,31,2707,9,10,6,1,84,161,202,2023-2024,laliga
ezequiel avila,osasuna,"FW,MF",1994,17,10,864,1,3,3,2,14,39,75,2023-2024,laliga
ezequiel avila,betis,FW,1994,6,4,298,1,0,4,1,7,6,31,2023-2024,laliga
cesar azpilicueta,atletico madrid,DF,1989,25,14,1423,0,2,4,0,39,77,39,2023-2024,laliga
iddrisu baba,almeria,MF,1996,25,14,1430,0,0,5,0,1,60,5,2023-2024,laliga
sran babic,almeria,DF,1996,1,1,90,0,0,0,0,1,6,0,2023-2024,laliga
loic bade,sevilla,DF,2000,28,27,2277,0,1,5,1,15,76,3,2023-2024,laliga
alex baena,villarreal,"MF,FW",2001,34,33,2579,2,14,11,1,84,165,181,2023-2024,laliga
eric bailly,villarreal,DF,1994,10,9,839,0,0,4,0,3,18,1,2023-2024,laliga
cedric bakambu,betis,FW,1991,4,2,194,0,0,1,0,5,4,12,2023-2024,laliga
alejandro balde,barcelona,DF,2003,18,15,1378,0,1,1,0,73,41,141,2023-2024,laliga
ivan balliu,rayo vallecano,DF,1992,33,32,2873,0,1,4,0,50,98,100,2023-2024,laliga
jonathan bamba,celta vigo,"MF,FW",1996,27,24,1981,3,2,0,0,107,80,169,2023-2024,laliga
leo baptistao,almeria,FW,1992,32,22,1837,6,0,6,1,26,45,88,2023-2024,laliga
kike barja,osasuna,"FW,MF",1997,16,3,303,0,0,3,0,17,8,41,2023-2024,laliga
ander barrenetxea,real sociedad,"FW,MF",2001,29,20,1427,4,1,1,0,56,39,163,2023-2024,laliga
pablo barrios,atletico madrid,MF,2003,24,17,1555,0,1,5,0,37,98,56,2023-2024,laliga
marc bartra,betis,DF,1991,3,3,225,0,0,1,0,2,5,0,2023-2024,laliga
augusto batalla,granada,GK,1996,17,17,1530,0,0,3,0,0,1,1,2023-2024,laliga
bebe,rayo vallecano,"MF,FW",1990,19,0,212,2,0,1,0,17,6,24,2023-2024,laliga
sheraldo becker,real sociedad,"FW,MF",1995,15,8,771,2,2,1,0,28,13,87,2023-2024,laliga
hector bellerin,betis,DF,1995,23,20,1711,0,1,0,1,32,81,80,2023-2024,laliga
jude bellingham,real madrid,MF,2003,28,27,2315,19,6,5,1,85,196,177,2023-2024,laliga
fran beltran,celta vigo,MF,1999,33,28,2428,0,0,2,0,28,134,30,2023-2024,laliga
carlos benavidez,alaves,MF,1998,29,10,1136,3,1,5,0,9,60,5,2023-2024,laliga
yuri berchiche,athletic club,DF,1990,27,22,1930,3,1,5,0,36,132,77,2023-2024,laliga
alex berenguer,athletic club,FW,1995,35,15,1592,7,3,4,0,61,30,143,2023-2024,laliga
antonio blanco,alaves,MF,2000,33,29,2426,0,1,5,1,20,133,22,2023-2024,laliga
daley blind,girona,DF,1990,34,33,2972,1,2,6,0,48,209,22,2023-2024,laliga
adri bosch,granada,DF,2001,1,0,26,0,0,0,0,1,1,1,2023-2024,laliga
