nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
max aarons,bournemouth,DF,2000,3,1,86,0,0,0,0,1,8,3,2024-2025,premier-league
joshua acheampong,chelsea,DF,2006,4,2,170,0,0,1,0,0,8,0,2024-2025,premier-league
tyler adams,bournemouth,MF,1999,28,21,1965,0,3,7,0,14,76,10,2024-2025,premier-league
tosin adarabioyo,chelsea,DF,1997,22,15,1409,1,1,4,0,5,42,1,2024-2025,premier-league
simon adingra,brighton,"FW,MF",2002,29,12,1097,2,2,0,0,50,18,136,2024-2025,premier-league
emmanuel agbadou,wolves,DF,1997,16,16,1410,1,0,3,0,6,31,2,2024-2025,premier-league
asher agbinone,crystal palace,MF,2005,2,0,6,0,0,0,0,2,0,1,2024-2025,premier-league
ola aina,nottham forest,DF,1996,35,35,2995,2,1,5,0,67,107,67,2024-2025,premier-league
rayan aitnouri,wolves,DF,2001,37,37,3109,4,7,7,1,89,108,176,2024-2025,premier-league
kristoffer ajer,brentford,DF,1998,24,17,1438,0,0,5,0,27,56,44,2024-2025,premier-league
manuel akanji,manchester city,DF,1995,26,23,2014,0,0,3,0,46,158,7,2024-2025,premier-league
nathan ake,manchester city,DF,1995,10,8,678,0,0,0,0,12,50,2,2024-2025,premier-league
carlos alcaraz,southampton,MF,2002,1,0,10,0,0,0,0,4,6,1,2024-2025,premier-league
carlos alcaraz,everton,"FW,MF",2002,15,7,764,2,3,4,0,19,42,21,2024-2025,premier-league
trent alexanderarnold,liverpool,DF,1998,33,28,2365,3,6,5,0,51,232,94,2024-2025,premier-league
alisson,liverpool,GK,1992,28,28,2508,0,0,0,0,0,1,0,2024-2025,premier-league
miguel almiron,newcastle utd,FW,1994,9,1,157,0,0,0,0,3,6,18,2024-2025,premier-league
olabade aluko,leicester city,DF,,1,0,2,0,0,0,0,0,0,0,2024-2025,premier-league
edson alvarez,west ham,MF,1997,28,20,1772,0,1,9,1,24,85,18,2024-2025,premier-league
will alves,leicester city,FW,2005,1,0,1,0,0,0,0,0,0,1,2024-2025,premier-league
harry amass,manchester utd,DF,2007,5,4,346,0,0,0,0,9,7,23,2024-2025,premier-league
samuel amoameyaw,southampton,"FW,DF",2006,2,0,28,0,0,1,0,1,0,3,2024-2025,premier-league
mathis amougou,chelsea,MF,2006,1,0,8,0,0,0,0,0,1,0,2024-2025,premier-league
joachim andersen,crystal palace,DF,1996,1,1,90,0,0,1,0,1,4,1,2024-2025,premier-league
joachim andersen,fulham,DF,1996,29,29,2583,0,0,6,1,16,112,2,2024-2025,premier-league
elliot anderson,nottham forest,MF,2002,37,33,2728,2,6,10,0,52,143,95,2024-2025,premier-league
andre,wolves,MF,2001,33,31,2472,0,0,7,0,10,109,11,2024-2025,premier-league
michail antonio,west ham,FW,1990,14,11,836,1,1,1,0,29,18,59,2024-2025,premier-league
antony,manchester utd,"DF,MF",2000,8,0,141,0,0,0,0,5,6,7,2024-2025,premier-league
julian araujo,bournemouth,DF,2001,12,7,497,0,0,2,0,4,14,22,2024-2025,premier-league
cameron archer,southampton,FW,2001,35,13,1441,2,0,0,0,22,14,66,2024-2025,premier-league
alphonse areola,west ham,GK,1993,26,25,2260,0,0,0,0,0,1,0,2024-2025,premier-league
joe aribo,southampton,"MF,DF",1996,32,21,2013,3,0,1,0,36,75,65,2024-2025,premier-league
adam armstrong,southampton,"FW,MF",1997,20,15,1248,2,2,4,0,25,21,79,2024-2025,premier-league
harrison armstrong,everton,MF,2007,3,0,48,0,0,1,0,1,1,0,2024-2025,premier-league
kepa arrizabalaga,bournemouth,GK,1994,31,31,2790,0,0,3,0,0,2,0,2024-2025,premier-league
marco asensio,aston villa,MF,1996,13,9,743,3,1,2,0,22,45,38,2024-2025,premier-league
brandon austin,tottenham,GK,1999,1,1,90,0,0,0,0,0,0,0,2024-2025,premier-league
taiwo awoniyi,nottham forest,FW,1997,26,3,416,1,0,0,0,6,7,20,2024-2025,premier-league
yasin ayari,brighton,MF,2003,34,22,1965,2,1,3,0,30,75,61,2024-2025,premier-league
jordan ayew,crystal palace,"FW,MF",1991,1,0,21,0,0,1,0,0,0,1,2024-2025,premier-league
jordan ayew,leicester city,"FW,MF",1991,30,19,1638,5,0,5,0,49,46,86,2024-2025,premier-league
benoit badiashile,chelsea,DF,2001,5,3,334,0,0,0,0,3,17,2,2024-2025,premier-league
leon bailey,aston villa,"FW,MF",1997,24,14,1139,1,2,3,0,58,35,121,2024-2025,premier-league
carlos baleba,brighton,MF,2004,34,31,2661,3,1,8,1,43,118,29,2024-2025,premier-league
ross barkley,aston villa,MF,1993,20,3,581,3,1,3,0,15,36,10,2024-2025,premier-league
harvey barnes,newcastle utd,FW,1997,33,17,1755,9,4,0,0,93,83,192,2024-2025,premier-league
calvin bassey,fulham,DF,1999,35,34,3074,1,0,7,0,39,116,15,2024-2025,premier-league
altay bayndr,manchester utd,GK,1998,4,4,360,0,0,0,0,0,0,0,2024-2025,premier-league
jan bednarek,southampton,DF,1996,30,30,2531,2,0,7,0,5,60,2,2024-2025,premier-league
armel bella kotchap,southampton,DF,2001,4,2,331,0,0,0,0,0,5,0,2024-2025,premier-league
jeanricner bellegarde,wolves,"MF,FW",1998,35,20,1677,2,7,3,0,52,43,89,2024-2025,premier-league
rodrigo bentancur,tottenham,MF,1997,26,21,1645,2,0,9,0,28,100,34,2024-2025,premier-league
daniel bentley,wolves,GK,1993,2,2,180,0,0,0,0,0,0,0,2024-2025,premier-league
sander berge,fulham,MF,1998,31,26,2224,0,0,6,0,29,124,9,2024-2025,premier-league
lucas bergvall,tottenham,MF,2006,27,11,1212,0,1,3,0,33,49,31,2024-2025,premier-league
victor bernth kristiansen,leicester city,DF,2002,30,29,2482,0,1,1,0,40,70,78,2024-2025,premier-league
beto,everton,FW,1998,30,15,1534,8,0,2,0,15,16,77,2024-2025,premier-league
philip billing,bournemouth,MF,1996,10,1,184,0,0,1,0,3,15,13,2024-2025,premier-league
yves bissouma,tottenham,MF,1996,28,16,1408,2,0,7,0,15,75,3,2024-2025,premier-league
oscar bobb,manchester city,FW,2003,3,0,16,0,0,0,0,1,1,1,2024-2025,premier-league
lamare bogarde,aston villa,"DF,MF",2004,8,5,476,0,0,2,0,12,14,9,2024-2025,premier-league
willy boly,nottham forest,DF,1991,6,1,150,0,0,1,0,0,2,0,2024-2025,premier-league
sven botman,newcastle utd,DF,2000,8,6,412,0,0,1,0,0,7,0,2024-2025,premier-league
jarrod bowen,west ham,"FW,MF",1996,34,34,2973,13,8,1,0,109,91,212,2024-2025,premier-league
conor bradley,liverpool,DF,2003,19,7,754,0,2,4,0,35,33,39,2024-2025,premier-league
jarrad branthwaite,everton,DF,2002,30,28,2511,0,1,4,0,10,66,2,2024-2025,premier-league
james bree,southampton,DF,1997,17,13,1075,0,1,0,0,13,34,43,2024-2025,premier-league
ben brereton,southampton,FW,1999,10,4,449,0,0,1,0,12,9,42,2024-2025,premier-league
nathan broadhead,ipswich town,"MF,FW",1998,18,7,702,2,0,1,0,20,14,33,2024-2025,premier-league
armando broja,everton,FW,2001,10,4,334,0,0,1,0,12,2,26,2024-2025,premier-league
david brooks,bournemouth,"FW,MF",1997,29,9,960,2,0,3,0,35,35,83,2024-2025,premier-league
emi buendia,aston villa,"MF,FW",1996,12,0,98,0,0,1,0,3,7,6,2024-2025,premier-league
santiago bueno,wolves,DF,1998,29,18,1687,0,0,2,0,1,28,1,2024-2025,premier-league
