nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
paxten aaronson,eint frankfurt,"MF,DF",2003,7,0,173,0,0,1,0,8,6,15,2022-2023,bundesliga
sargis adamyan,koln,"FW,MF",1993,24,4,644,1,2,3,0,12,24,58,2022-2023,bundesliga
karim adeyemi,dortmund,"FW,MF",2002,24,20,1386,6,5,9,0,49,47,131,2022-2023,bundesliga
amine adli,leverkusen,"FW,MF",2000,26,16,1435,5,3,2,2,46,49,137,2022-2023,bundesliga
felix agu,werder bremen,"DF,FW",1999,3,0,49,0,0,0,0,0,2,2,2022-2023,bundesliga
naouirou ahamada,stuttgart,MF,2002,17,17,1398,2,2,4,1,43,56,54,2022-2023,bundesliga
ludovic ajorque,mainz,"FW,MF",1994,17,15,1211,6,1,5,0,5,31,85,2022-2023,bundesliga
kevin akpoguma,hoffenheim,DF,1995,28,21,1950,0,0,11,0,17,85,23,2022-2023,bundesliga
lucas alario,eint frankfurt,"FW,MF",1992,20,2,331,1,0,0,0,2,8,17,2022-2023,bundesliga
faride alidou,eint frankfurt,"DF,MF",2001,15,0,182,0,1,0,0,8,16,24,2022-2023,bundesliga
eder alvarez balanta,schalke,"MF,FW",1993,6,3,238,0,0,3,0,3,12,0,2022-2023,bundesliga
lukas ambros,wolfsburg,MF,2004,1,0,17,0,0,0,0,0,0,0,2022-2023,bundesliga
nadiem amiri,leverkusen,"MF,FW",1996,25,9,977,4,1,6,0,30,55,30,2022-2023,bundesliga
robert andrich,leverkusen,MF,1994,29,28,2406,2,2,7,0,12,99,8,2022-2023,bundesliga
angelino,hoffenheim,DF,1997,33,30,2617,0,8,2,0,24,108,120,2022-2023,bundesliga
waldemar anton,stuttgart,DF,1996,34,34,2934,1,2,4,0,56,135,52,2022-2023,bundesliga
christopher antwiadjei,bochum,"FW,MF",1994,29,22,1981,3,6,2,0,67,36,231,2022-2023,bundesliga
