nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
brenden aaronson,union berlin,"MF,FW",2000,30,14,1267,2,2,3,1,37,56,91,2023-2024,bundesliga
paxten aaronson,eint frankfurt,MF,2003,7,1,101,0,1,0,0,2,5,7,2023-2024,bundesliga
junior adamu,freiburg,"FW,MF",2001,15,0,105,0,0,0,0,1,1,5,2023-2024,bundesliga
sargis adamyan,koln,"FW,MF",1993,20,8,801,1,2,2,0,15,18,42,2023-2024,bundesliga
karim adeyemi,dortmund,"FW,MF",2002,21,10,913,3,1,6,1,52,26,96,2023-2024,bundesliga
amine adli,leverkusen,"MF,FW",2000,23,8,898,4,6,5,0,32,39,131,2023-2024,bundesliga
felix agu,werder bremen,"DF,MF",1999,24,19,1614,0,0,2,0,32,32,90,2023-2024,bundesliga
ludovic ajorque,mainz,FW,1994,26,15,1360,2,0,4,0,5,21,88,2023-2024,bundesliga
kevin akpoguma,hoffenheim,DF,1995,17,11,1097,0,0,7,0,10,55,9,2023-2024,bundesliga
faride alidou,koln,"FW,MF",2001,26,14,1282,4,0,4,0,51,33,95,2023-2024,bundesliga
skelly alvero,werder bremen,MF,2002,6,1,123,1,0,1,0,1,9,6,2023-2024,bundesliga
nadiem amiri,mainz,MF,1996,15,15,1315,1,4,5,0,16,88,22,2023-2024,bundesliga
nadiem amiri,leverkusen,MF,1996,8,1,86,0,0,0,0,5,6,6,2023-2024,bundesliga
kofi amoako,wolfsburg,MF,2005,2,0,2,0,0,0,0,0,0,0,2023-2024,bundesliga
robert andrich,leverkusen,"MF,DF",1994,28,18,1690,4,2,4,0,20,97,14,2023-2024,bundesliga
waldemar anton,stuttgart,DF,1996,33,32,2886,0,3,7,0,38,172,15,2023-2024,bundesliga
christopher antwiadjei,bochum,"FW,MF",1994,25,11,1216,2,2,5,0,50,28,138,2023-2024,bundesliga
asaf arania,darmstadt,MF,2005,1,0,6,0,0,0,0,0,0,2,2023-2024,bundesliga
maximilian arnold,wolfsburg,MF,1994,30,27,2506,2,1,9,0,20,143,19,2023-2024,bundesliga
arthur,leverkusen,DF,2003,4,2,184,0,2,0,0,8,7,28,2023-2024,bundesliga
takuma asano,bochum,"FW,MF",1994,29,26,1986,6,1,2,0,56,32,167,2023-2024,bundesliga
jonathan asp jensen,bayern munich,FW,2006,1,0,1,0,0,0,0,0,0,0,2023-2024,bundesliga
noah atubolu,freiburg,GK,2002,34,34,3060,0,0,0,0,0,1,0,2023-2024,bundesliga
matthias bader,darmstadt,"DF,MF",1997,24,21,1802,1,2,1,0,38,67,66,2023-2024,bundesliga
ridle baku,wolfsburg,"DF,MF",1998,33,22,2013,1,0,4,0,37,85,130,2023-2024,bundesliga
samuel bamba,dortmund,FW,2004,2,0,47,0,0,0,0,5,2,7,2023-2024,bundesliga
aymen barkok,mainz,"MF,FW",1998,13,1,321,1,0,2,0,14,16,33,2023-2024,bundesliga
leandro barreiro martins,mainz,MF,2000,31,29,2606,4,1,8,0,22,93,46,2023-2024,bundesliga
daniel batz,mainz,GK,1991,4,4,360,0,0,0,0,0,0,0,2023-2024,bundesliga
maximilian bauer,augsburg,DF,2000,14,9,810,1,0,3,0,2,25,1,2023-2024,bundesliga
elias baum,eint frankfurt,"DF,MF",2005,4,0,28,0,0,0,0,0,0,2,2023-2024,bundesliga
oliver baumann,hoffenheim,GK,1990,34,34,3060,0,1,1,0,0,1,0,2023-2024,bundesliga
christoph baumgartner,rb leipzig,"MF,FW",1999,32,11,1158,5,1,3,0,36,47,86,2023-2024,bundesliga
ihlas bebou,hoffenheim,"FW,DF",1994,32,16,1636,7,5,3,0,42,38,145,2023-2024,bundesliga
adrian beck,heidenheim,"MF,FW",1997,23,11,974,1,1,1,0,17,29,43,2023-2024,bundesliga
sheraldo becker,union berlin,"FW,MF",1995,11,7,645,0,1,0,0,32,20,73,2023-2024,bundesliga
chris bedia,union berlin,"FW,MF",1996,7,0,145,1,0,0,0,1,1,6,2023-2024,bundesliga
donny van de beek,eint frankfurt,"MF,FW",1997,8,4,357,0,0,1,0,2,10,12,2023-2024,bundesliga
kevin behrens,wolfsburg,FW,1991,13,7,616,1,1,1,0,7,17,41,2023-2024,bundesliga
kevin behrens,union berlin,FW,1991,18,14,1262,4,0,3,0,11,45,93,2023-2024,bundesliga
maximilian beier,hoffenheim,"FW,MF",2002,33,29,2420,16,1,0,0,61,30,224,2023-2024,bundesliga
stefan bell,mainz,DF,1991,10,8,666,0,0,3,0,0,23,2,2023-2024,bundesliga
ramy bensebaini,dortmund,DF,1995,17,11,1033,0,0,4,1,17,75,63,2023-2024,bundesliga
mergim berisha,hoffenheim,FW,1998,6,0,144,0,0,0,0,2,3,13,2023-2024,bundesliga
mergim berisha,augsburg,FW,1998,2,2,122,0,0,0,0,3,1,5,2023-2024,bundesliga
bernardo,bochum,DF,1995,33,33,2924,1,0,9,0,26,127,38,2023-2024,bundesliga
matus bero,bochum,"MF,FW",1995,24,20,1661,1,1,6,0,12,48,71,2023-2024,bundesliga
janniklas beste,heidenheim,"FW,MF",1999,31,31,2603,8,11,4,0,80,57,136,2023-2024,bundesliga
pep biel,augsburg,"MF,FW",1996,11,0,285,0,0,1,0,2,16,16,2023-2024,bundesliga
tom bischof,hoffenheim,"MF,FW",2005,13,1,178,0,2,0,0,2,18,18,2023-2024,bundesliga
leonardo bittencourt,werder bremen,MF,1993,29,19,1578,1,2,9,0,61,85,74,2023-2024,bundesliga
hendry blank,dortmund,DF,2004,1,0,45,0,0,0,0,0,1,0,2023-2024,bundesliga
janis blaswich,rb leipzig,GK,1991,21,21,1890,0,0,0,0,0,3,0,2023-2024,bundesliga
sacha boey,bayern munich,DF,2000,2,1,109,0,0,1,0,1,5,8,2023-2024,bundesliga
victor boniface,leverkusen,FW,2000,23,18,1546,14,8,2,0,50,34,158,2023-2024,bundesliga
leonardo bonucci,union berlin,DF,1987,7,6,460,1,0,0,0,0,21,1,2023-2024,bundesliga
yvandro borges sanches,gladbach,"MF,FW",2004,3,0,18,0,0,0,0,1,0,0,2023-2024,bundesliga
sebastiaan bornauw,wolfsburg,DF,1999,20,16,1431,0,0,5,0,2,41,2,2023-2024,bundesliga
rafael borre,werder bremen,FW,1995,19,11,991,4,0,0,0,16,28,73,2023-2024,bundesliga
julian brandt,dortmund,"MF,FW",1996,32,26,2223,7,11,2,0,74,116,158,2023-2024,bundesliga
fabian bredlow,stuttgart,GK,1995,4,4,360,0,0,0,0,0,0,0,2023-2024,bundesliga
tim breithaupt,augsburg,MF,2002,16,6,629,0,0,3,0,0,21,2,2023-2024,bundesliga
maximilian breunig,freiburg,FW,2000,2,0,9,0,0,0,0,0,0,0,2023-2024,bundesliga
bennit broger,wolfsburg,FW,2006,1,0,11,0,0,0,0,0,0,0,2023-2024,bundesliga
john brooks,hoffenheim,DF,1993,21,18,1539,2,0,6,1,5,61,1,2023-2024,bundesliga
moritz broschinski,bochum,FW,2000,26,14,1247,2,3,4,0,18,10,92,2023-2024,bundesliga
alexander brunst,darmstadt,GK,1995,3,3,270,0,0,2,0,0,0,0,2023-2024,bundesliga
marius bulter,hoffenheim,"DF,FW",1993,30,15,1351,1,4,3,1,37,60,107,2023-2024,bundesliga
jonathan burkardt,mainz,"FW,MF",2000,21,18,1538,8,2,2,0,36,28,101,2023-2024,bundesliga
oliver burke,werder bremen,FW,1997,1,0,32,0,0,0,0,2,0,1,2023-2024,bundesliga
marnon busch,heidenheim,DF,1994,16,5,595,0,0,1,0,15,34,27,2023-2024,bundesliga
aurelio buta,eint frankfurt,"DF,MF",1997,30,20,1744,1,1,5,0,51,90,104,2023-2024,bundesliga
anthony caci,mainz,DF,1997,31,29,2486,2,3,8,0,43,144,75,2023-2024,bundesliga
emre can,dortmund,"MF,DF",1994,25,22,1953,2,2,5,0,35,110,18,2023-2024,bundesliga
irvin cardona,augsburg,"MF,DF",1997,3,0,54,0,0,1,0,3,2,6,2023-2024,bundesliga
rasmus carstensen,koln,"DF,FW",2000,23,18,1659,0,0,2,1,32,52,89,2023-2024,bundesliga
fabio carvalho,rb leipzig,MF,2002,9,1,165,0,0,0,0,8,9,13,2023-2024,bundesliga
koen casteels,wolfsburg,GK,1992,25,25,2250,0,0,2,0,0,1,0,2023-2024,bundesliga
vaclav cerny,wolfsburg,"FW,MF",1997,22,12,921,4,1,2,0,26,37,83,2023-2024,bundesliga
julian chabot,koln,DF,1998,32,32,2703,0,0,9,1,17,71,8,2023-2024,bundesliga
el chadaille bitshiabu,rb leipzig,"DF,MF",2005,6,0,34,0,0,0,0,2,1,5,2023-2024,bundesliga
fares chaibi,eint frankfurt,"MF,FW",2002,28,21,1912,2,4,2,0,53,86,143,2023-2024,bundesliga
timothy chandler,eint frankfurt,"MF,DF",1990,6,0,18,0,1,0,0,1,5,10,2023-2024,bundesliga
fabio chiarodia,gladbach,DF,2005,7,1,152,0,0,0,0,0,4,1,2023-2024,bundesliga
jacob christensen,koln,MF,2001,7,2,219,0,0,1,0,2,12,1,2023-2024,bundesliga
nnamdi collins,eint frankfurt,DF,2004,2,1,90,0,0,0,0,1,13,5,2023-2024,bundesliga
kingsley coman,bayern munich,FW,1996,17,15,1113,3,3,1,0,75,72,210,2023-2024,bundesliga
bambase conte,hoffenheim,"MF,FW",2003,7,0,48,0,0,0,0,3,2,8,2023-2024,bundesliga
danny da costa,mainz,DF,1993,19,9,830,0,1,1,0,22,40,53,2023-2024,bundesliga
nicolas cozza,wolfsburg,DF,1999,6,3,276,0,0,1,0,5,16,8,2023-2024,bundesliga
