nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
omar mascarell,elche,"MF,DF",1993,28,28,2447,0,1,6,0,27,116,6,2022-2023,laliga
jordi masip,valladolid,GK,1989,28,28,2507,0,0,4,0,0,0,0,2022-2023,laliga
jaime mata,getafe,"FW,MF",1988,18,5,437,1,1,5,0,2,10,33,2022-2023,laliga
borja mayoral,getafe,FW,1997,35,33,2759,8,2,4,0,58,64,166,2022-2023,laliga
mamadou mbaye,cadiz,DF,1998,14,7,760,0,0,2,0,2,13,1,2022-2023,laliga
fernando medrano,celta vigo,DF,2000,1,0,13,0,0,0,0,0,0,0,2022-2023,laliga
gonzalo melero,almeria,MF,1994,27,24,1855,4,3,5,0,31,97,37,2022-2023,laliga
memphis,atletico madrid,FW,1994,8,3,270,4,0,1,0,4,8,22,2022-2023,laliga
memphis,barcelona,FW,1994,2,2,114,1,0,0,0,2,7,19,2022-2023,laliga
houboulang mendes,almeria,DF,1998,14,11,886,0,1,2,0,18,18,30,2022-2023,laliga
brais mendez,real sociedad,MF,1997,34,28,2407,8,4,6,0,41,137,138,2022-2023,laliga
diego mendez,rayo vallecano,MF,2003,1,0,1,0,0,0,0,0,0,0,2022-2023,laliga
ferland mendy,real madrid,DF,1995,18,17,1351,0,1,2,0,23,56,73,2022-2023,laliga
jorge mere,cadiz,DF,1997,10,6,601,0,0,0,0,1,14,0,2022-2023,laliga
mikel merino,real sociedad,MF,1996,33,28,2494,2,9,5,1,30,172,107,2022-2023,laliga
roque mesa,valladolid,MF,1989,29,20,1617,2,1,11,1,29,116,24,2022-2023,laliga
eder militao,real madrid,DF,1998,33,30,2703,5,0,4,0,28,98,16,2022-2023,laliga
luis milla,getafe,MF,1994,27,22,1856,0,3,6,1,15,104,7,2022-2023,laliga
pere milla,elche,"FW,MF",1992,31,21,1843,6,1,7,0,23,65,83,2022-2023,laliga
marko milovanovic,almeria,FW,2003,2,0,15,0,0,1,0,0,1,3,2022-2023,laliga
oscar mingueza,celta vigo,DF,1999,21,13,1284,0,0,2,0,24,69,40,2022-2023,laliga
rafa mir,sevilla,FW,1997,26,16,1298,6,0,1,0,12,11,54,2022-2023,laliga
juan miranda,betis,DF,2000,21,16,1472,3,2,1,1,26,73,87,2022-2023,laliga
stefan mitrovic,getafe,DF,1990,22,18,1680,0,0,5,0,1,17,1,2022-2023,laliga
luka modric,real madrid,MF,1985,33,19,1744,4,3,7,0,50,182,87,2022-2023,laliga
johan mojica,villarreal,DF,1992,17,5,642,0,0,0,0,27,19,38,2022-2023,laliga
johan mojica,elche,"DF,MF",1992,3,3,270,0,0,2,0,14,9,11,2022-2023,laliga
nahuel molina,atletico madrid,DF,1998,33,33,2867,4,2,7,1,73,112,249,2022-2023,laliga
jon moncayola,osasuna,"MF,DF",1998,37,25,2448,1,3,6,0,34,175,50,2022-2023,laliga
monchu,valladolid,MF,1999,33,23,2031,3,2,10,0,17,111,25,2022-2023,laliga
cesar montes,espanyol,DF,1997,20,18,1590,3,0,6,0,13,41,4,2022-2023,laliga
gonzalo montiel,sevilla,DF,1997,28,17,1524,0,3,8,1,34,57,87,2022-2023,laliga
martin montoya,betis,DF,1991,6,6,453,0,0,1,0,6,16,12,2022-2023,laliga
alvaro morata,atletico madrid,FW,1992,36,23,1900,13,2,4,0,33,17,102,2022-2023,laliga
jon morcillo,athletic club,"FW,MF",1998,10,0,76,0,1,0,0,6,2,15,2022-2023,laliga
alberto moreno,villarreal,DF,1992,24,14,1296,0,1,7,0,41,47,97,2022-2023,laliga
alex moreno,betis,DF,1993,15,15,1350,0,3,1,0,49,44,76,2022-2023,laliga
diego moreno,osasuna,DF,2001,11,7,638,0,0,1,0,9,14,19,2022-2023,laliga
gerard moreno,villarreal,FW,1992,21,14,1230,7,3,4,0,21,68,108,2022-2023,laliga
tete morente,elche,"MF,DF",1996,32,23,2068,4,0,5,0,60,63,193,2022-2023,laliga
ilaix moriba,valencia,MF,2003,24,10,1011,0,2,6,2,16,67,30,2022-2023,laliga
manu morlanes,villarreal,MF,1999,4,2,158,0,0,0,1,1,6,1,2022-2023,laliga
manu morlanes,mallorca,MF,1999,12,9,706,1,0,3,0,10,26,6,2022-2023,laliga
loren moron,betis,FW,1993,2,0,15,0,0,1,0,0,0,0,2022-2023,laliga
cristhian mosquera,valencia,DF,2004,3,1,145,0,0,0,0,0,1,1,2022-2023,laliga
abdul mumin,rayo vallecano,DF,1998,16,9,922,0,0,2,0,5,19,1,2022-2023,laliga
iker muniain,athletic club,"MF,FW",1992,30,19,1689,0,3,2,0,50,154,103,2022-2023,laliga
aihen munoz,real sociedad,DF,1997,23,20,1756,0,1,2,0,37,57,87,2022-2023,laliga
iker munoz,osasuna,MF,2002,8,2,254,0,0,0,0,0,12,4,2022-2023,laliga
pablo munoz,rayo vallecano,MF,2003,2,0,12,0,0,0,0,0,1,1,2022-2023,laliga
vedat muriqi,mallorca,FW,1994,35,34,2937,15,3,6,1,28,60,152,2022-2023,laliga
yunus musah,valencia,MF,2002,33,26,2110,0,2,10,1,72,93,101,2022-2023,laliga
francisco mwepu,cadiz,FW,2000,1,0,21,0,0,0,0,0,1,2,2022-2023,laliga
nacho,real madrid,DF,1990,27,18,1637,1,1,7,0,18,75,34,2022-2023,laliga
juanjo narvaez,valladolid,"MF,FW",1995,5,1,148,0,0,0,0,0,0,9,2022-2023,laliga
matija nastasic,mallorca,DF,1993,14,10,906,1,0,3,0,4,25,1,2022-2023,laliga
roberto navarro,real sociedad,"MF,FW",2002,17,1,351,0,0,2,0,17,13,28,2022-2023,laliga
jesus navas,sevilla,"DF,FW",1985,32,21,1981,0,0,5,0,46,99,207,2022-2023,laliga
