nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
santiago castro,bologna,FW,2004,8,2,242,1,1,1,0,1,1,15,2023-2024,serie-a
gaetano castrovilli,fiorentina,"FW,MF",1997,6,5,367,1,2,0,0,14,12,25,2023-2024,serie-a
danilo cataldi,lazio,MF,1994,28,15,1361,1,0,8,0,9,69,7,2023-2024,serie-a
emil ceide,sassuolo,"FW,MF",2001,11,0,176,0,0,0,0,12,3,16,2023-2024,serie-a
zeki celik,roma,DF,1997,17,6,671,0,0,1,0,14,26,38,2023-2024,serie-a
fabien centonze,hellas verona,DF,1996,10,7,676,0,1,2,0,16,14,21,2023-2024,serie-a
michele cerofolini,frosinone,GK,1999,8,7,675,0,0,1,0,0,0,0,2023-2024,serie-a
alberto cerri,empoli,FW,1996,12,10,545,1,0,2,0,3,9,23,2023-2024,serie-a
leonardo cerri,juventus,DF,2003,1,0,7,0,0,0,0,0,0,2,2023-2024,serie-a
charlys,hellas verona,MF,2004,2,0,25,0,0,0,0,0,1,0,2023-2024,serie-a
walid cheddira,frosinone,FW,1998,36,24,2120,7,1,0,0,31,22,139,2023-2024,serie-a
federico chiesa,juventus,FW,1997,33,25,2197,9,2,1,0,111,70,216,2023-2024,serie-a
oliver christensen,fiorentina,GK,1999,4,4,360,0,0,0,0,0,0,0,2023-2024,serie-a
samuel chukwueze,milan,FW,1999,24,12,1017,1,3,1,0,52,51,135,2023-2024,serie-a
alphadjo cisse,hellas verona,FW,2006,1,0,8,0,0,0,0,0,0,0,2023-2024,serie-a
giorgio cittadini,monza,DF,2002,1,0,15,0,0,1,0,1,1,1,2023-2024,serie-a
giorgio cittadini,genoa,DF,2002,5,1,106,0,0,0,0,0,1,1,2023-2024,serie-a
patrick ciurria,monza,"DF,MF",1995,22,18,1598,0,1,2,0,41,68,94,2023-2024,serie-a
