nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
moussa diaby,aston villa,"FW,MF",1999,38,25,2174,6,8,1,0,94,72,183,2023-2024,premier-league
amad diallo,manchester utd,"FW,MF",2002,9,3,390,1,1,1,0,11,10,31,2023-2024,premier-league
amadou diallo,newcastle utd,MF,2003,1,0,1,0,0,0,0,0,0,0,2023-2024,premier-league
ruben dias,manchester city,DF,1997,30,28,2559,0,0,0,0,34,173,16,2023-2024,premier-league
luis diaz,liverpool,FW,1997,37,32,2629,8,5,3,0,137,113,302,2023-2024,premier-league
eric dier,tottenham,DF,1994,4,1,201,0,0,0,0,0,3,0,2023-2024,premier-league
lucas digne,aston villa,DF,1993,33,27,2410,1,3,7,0,42,77,200,2023-2024,premier-league
issa diop,fulham,DF,1997,18,16,1424,0,0,4,1,11,66,1,2023-2024,premier-league
axel disasi,chelsea,DF,1998,31,29,2579,2,0,6,0,30,112,21,2023-2024,premier-league
ben doak,liverpool,FW,2005,1,0,14,0,0,0,0,0,0,0,2023-2024,premier-league
lewis dobbin,everton,MF,2003,12,1,232,1,0,1,0,6,3,20,2023-2024,premier-league
matt doherty,wolves,"DF,MF",1992,30,9,1150,1,0,2,0,12,31,64,2023-2024,premier-league
jeremy doku,manchester city,"FW,MF",2002,29,18,1595,3,8,3,0,218,57,295,2023-2024,premier-league
nicolas dominguez,nottham forest,"MF,FW",1998,26,19,1495,2,2,4,0,14,91,43,2023-2024,premier-league
jamie donley,tottenham,FW,2005,3,0,3,0,0,1,0,0,0,0,2023-2024,premier-league
abdoulaye doucoure,everton,"FW,MF",1993,32,32,2629,7,1,7,0,55,97,140,2023-2024,premier-league
cheick doucoure,crystal palace,MF,2000,11,11,919,0,0,2,0,9,49,5,2023-2024,premier-league
alfie doughty,luton town,DF,1999,37,34,2925,2,8,5,0,94,106,164,2023-2024,premier-league
tommy doyle,wolves,MF,2001,26,11,1222,0,0,2,0,21,81,17,2023-2024,premier-league
radu dragusin,tottenham,DF,2002,9,4,429,0,0,1,0,5,8,1,2023-2024,premier-league
martin dubravka,newcastle utd,GK,1989,23,22,1985,0,0,1,0,0,0,0,2023-2024,premier-league
paul dummett,newcastle utd,DF,1991,5,0,20,0,0,0,0,1,1,0,2023-2024,premier-league
lewis dunk,brighton,DF,1991,33,33,2869,3,1,7,1,33,152,13,2023-2024,premier-league
jader duran,aston villa,"FW,MF",2003,23,3,475,5,0,5,0,9,9,25,2023-2024,premier-league
george earthy,west ham,FW,2004,3,0,34,1,0,0,0,0,1,3,2023-2024,premier-league
ederson,manchester city,GK,1993,33,33,2785,0,0,5,0,0,4,0,2023-2024,premier-league
odsonne edouard,crystal palace,"FW,MF",1998,30,17,1555,7,0,4,0,33,36,100,2023-2024,premier-league
john egan,sheffield utd,DF,1992,6,6,482,0,0,2,0,0,5,1,2023-2024,premier-league
hjalmar ekdal,burnley,DF,1998,8,5,437,0,0,2,0,5,11,1,2023-2024,premier-league
anthony elanga,nottham forest,"FW,MF",2002,36,25,2433,5,9,1,0,98,49,196,2023-2024,premier-league
harvey elliott,liverpool,"MF,FW",2003,34,11,1352,3,6,2,0,44,128,122,2023-2024,premier-league
mohamed elneny,arsenal,MF,1992,3,0,28,0,0,0,0,1,1,0,2023-2024,premier-league
emerson,tottenham,DF,1999,22,11,1161,1,0,4,0,21,57,35,2023-2024,premier-league
julio enciso,brighton,"MF,FW",2004,12,5,475,0,2,2,0,28,21,29,2023-2024,premier-league
wataru endo,liverpool,MF,1993,29,20,1722,1,0,10,0,10,101,21,2023-2024,premier-league
christian eriksen,manchester utd,MF,1992,22,12,1141,1,2,1,0,20,68,23,2023-2024,premier-league
maxime esteve,burnley,DF,2002,16,15,1309,0,0,6,0,15,40,3,2023-2024,premier-league
pervis estupinan,brighton,DF,1998,19,15,1243,2,3,4,0,47,83,88,2023-2024,premier-league
jonny evans,manchester utd,DF,1988,23,15,1392,0,1,2,0,7,37,1,2023-2024,premier-league
eberechi eze,crystal palace,"MF,FW",1998,27,24,2055,11,4,3,0,68,93,139,2023-2024,premier-league
ukasz fabianski,west ham,GK,1985,10,7,721,0,0,0,0,0,1,0,2023-2024,premier-league
romain faivre,bournemouth,"MF,FW",1998,5,0,41,0,0,1,0,4,5,4,2023-2024,premier-league
