nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
max aarons,valencia,"DF,MF",2000,4,1,120,0,0,2,0,0,6,10,2024-2025,laliga
rodrigo abajas,valencia,DF,2003,1,1,65,0,0,1,0,3,2,3,2024-2025,laliga
abel,osasuna,DF,2000,35,20,2074,2,0,3,0,50,77,92,2024-2025,laliga
nabil aberdin,getafe,MF,2002,7,4,263,0,0,1,0,2,6,2,2024-2025,laliga
abdel abqar,alaves,DF,1999,29,29,2463,0,1,13,0,16,79,4,2024-2025,laliga
akor adams,sevilla,FW,2000,4,1,134,0,0,0,0,0,5,5,2024-2025,laliga
adrian,betis,GK,1987,19,19,1710,0,0,3,0,0,0,0,2024-2025,laliga
julen agirrezabala,athletic club,GK,2000,14,14,1206,0,0,1,1,0,0,0,2024-2025,laliga
lucien agoume,sevilla,MF,2002,35,24,2114,1,3,5,1,29,135,23,2024-2025,laliga
alvaro aguado,espanyol,MF,1996,16,4,443,0,1,3,0,15,37,4,2024-2025,laliga
lorenzo aguado,real madrid,DF,2002,2,0,5,0,0,0,0,0,0,0,2024-2025,laliga
nayef aguerd,real sociedad,DF,1996,21,21,1760,0,0,5,0,26,75,1,2024-2025,laliga
joseph aidoo,valladolid,DF,1995,8,6,583,0,0,0,0,1,14,0,2024-2025,laliga
joseph aidoo,celta vigo,DF,1995,1,0,2,0,0,0,0,0,1,0,2024-2025,laliga
ilias akhomach,villarreal,"MF,FW",2004,11,7,584,1,0,1,0,30,12,64,2024-2025,laliga
david alaba,real madrid,DF,1992,7,4,317,0,0,1,0,2,7,4,2024-2025,laliga
ibrahim alani,valladolid,MF,2006,3,1,160,0,0,0,0,2,5,1,2024-2025,laliga
raul albiol,villarreal,DF,1985,15,14,1188,0,0,5,0,3,34,0,2024-2025,laliga
omar alderete,getafe,DF,1996,34,34,2971,1,0,8,0,25,112,7,2024-2025,laliga
carles alena,getafe,"MF,FW",1998,10,5,452,0,0,1,0,3,12,10,2024-2025,laliga
carles alena,alaves,"MF,FW",1998,14,13,1090,0,2,1,0,18,58,43,2024-2025,laliga
alfon,celta vigo,"FW,MF",1999,26,14,1371,5,2,1,1,89,22,170,2024-2025,laliga
tadeo allende,celta vigo,FW,1999,1,0,2,0,0,1,0,0,0,0,2024-2025,laliga
domingos andre ribeiro almeida,valencia,"MF,FW",2000,34,24,1977,0,4,2,0,45,142,77,2024-2025,laliga
iker almena,girona,"FW,DF",2004,2,0,48,0,1,0,0,6,2,10,2024-2025,laliga
marcos alonso,celta vigo,DF,1990,31,29,2647,3,0,10,2,64,215,49,2024-2025,laliga
adria altimira,leganes,"DF,FW",2001,22,19,1630,0,0,6,0,23,42,69,2024-2025,laliga
sergi altimira,betis,MF,2001,32,22,1972,0,1,4,0,25,99,30,2024-2025,laliga
hugo alvarez,celta vigo,"MF,DF",2003,26,16,1572,4,3,6,0,74,60,171,2024-2025,laliga
julian alvarez,atletico madrid,FW,2000,37,30,2509,17,4,5,0,79,92,162,2024-2025,laliga
yeray alvarez,athletic club,DF,1995,21,20,1781,1,0,4,0,19,105,0,2024-2025,laliga
selim amallah,valladolid,MF,1996,24,18,1376,3,1,6,0,24,57,27,2024-2025,laliga
amath,valladolid,"FW,DF",1996,13,5,375,0,1,1,0,10,12,29,2024-2025,laliga
marcos andre,valladolid,FW,1996,22,14,1188,1,2,5,0,11,16,39,2024-2025,laliga
leandro antonetti,sevilla,FW,2003,2,0,28,0,0,0,0,1,0,3,2024-2025,laliga
antoniu,espanyol,"FW,MF",2002,26,13,1022,0,1,3,0,35,28,63,2024-2025,laliga
antony,betis,FW,2000,17,15,1362,5,2,2,1,94,67,157,2024-2025,laliga
anuar,valladolid,"MF,FW",1995,26,21,1720,2,0,7,0,24,30,68,2024-2025,laliga
aritz arambarri,leganes,DF,1998,2,2,177,0,0,0,0,0,2,0,2024-2025,laliga
mauro arambarri,getafe,MF,1995,35,31,2661,10,0,10,0,17,75,55,2024-2025,laliga
jon aramburu,real sociedad,DF,2002,35,28,2460,1,1,8,0,26,97,53,2024-2025,laliga
ronald araujo,barcelona,DF,1999,12,11,754,1,1,3,0,6,49,3,2024-2025,laliga
adu ares,athletic club,FW,2001,1,0,19,0,0,0,0,1,3,2,2024-2025,laliga
jesus areso,osasuna,DF,1999,36,35,3079,0,3,9,0,101,106,203,2024-2025,laliga
david arguelles,getafe,MF,2002,1,0,7,0,0,0,0,1,0,0,2024-2025,laliga
jose arnaiz,osasuna,"FW,MF",1995,15,1,133,0,0,0,0,6,4,20,2024-2025,laliga
sergio arribas,betis,DF,2003,1,1,90,0,0,0,0,0,1,4,2024-2025,laliga
takuma asano,mallorca,"FW,MF",1994,21,13,1054,2,1,0,0,28,20,76,2024-2025,laliga
raul asencio,real madrid,DF,2003,23,18,1670,0,1,3,0,5,27,4,2024-2025,laliga
iago aspas,celta vigo,"FW,MF",1987,30,19,1745,10,5,6,1,50,132,143,2024-2025,laliga
yaser asprilla,girona,"FW,MF",2003,27,15,1405,3,1,2,0,72,77,140,2024-2025,laliga
ezequiel avila,betis,FW,1994,19,6,677,2,0,5,1,12,18,48,2024-2025,laliga
adam aznou,valladolid,DF,2006,13,10,876,0,0,1,0,16,25,26,2024-2025,laliga
cesar azpilicueta,atletico madrid,DF,1989,14,10,875,1,0,1,0,13,66,20,2024-2025,laliga
papa ba,girona,MF,2004,1,0,48,0,0,0,0,1,0,2,2024-2025,laliga
loic bade,sevilla,DF,2000,32,31,2686,1,1,7,1,11,62,6,2024-2025,laliga
alex baena,villarreal,"MF,FW",2001,32,30,2595,7,9,9,0,91,189,154,2024-2025,laliga
juma bah,valladolid,DF,2006,12,10,864,0,0,1,0,0,13,1,2024-2025,laliga
eric bailly,villarreal,DF,1994,12,8,617,0,0,2,1,1,18,0,2024-2025,laliga
stefan bajcetic,las palmas,"MF,DF",2004,14,12,969,1,0,4,0,8,39,9,2024-2025,laliga
cedric bakambu,betis,FW,1991,25,6,710,2,2,4,0,9,14,43,2024-2025,laliga
alejandro balde,barcelona,DF,2003,32,26,2284,0,4,2,0,107,93,246,2024-2025,laliga
ivan balliu,rayo vallecano,DF,1992,25,12,1200,0,0,3,0,8,46,21,2024-2025,laliga
jonathan bamba,celta vigo,"FW,MF",1996,12,10,811,0,1,1,0,31,30,71,2024-2025,laliga
adrian baquerin,valladolid,FW,2007,5,0,49,0,0,0,0,0,1,0,2024-2025,laliga
valentin barco,sevilla,"DF,FW",2004,7,3,288,0,0,0,0,4,13,13,2024-2025,laliga
borna barisic,leganes,DF,1992,1,1,9,0,0,0,0,0,0,0,2024-2025,laliga
