Player,Squad,Liga,Season,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle
inigo ruiz de galarreta,Athletic Club,La-Liga,2024-2025,153,618,222,8,978,23,0.696,5,0.217,1266,14,3,17,16
conor gallagher,Atlético Madrid,La-Liga,2024-2025,232,555,287,38,1062,42,0.405,18,0.429,1104,23,7,25,23
facundo garces,Alavés,La-Liga,2024-2025,122,137,21,13,280,0,,0,,187,0,0,2,0
alvaro garcia,Rayo Vallecano,La-Liga,2024-2025,204,357,611,127,1164,27,0.37,15,0.556,1484,28,25,61,16
eric garcia,Barcelona,La-Liga,2024-2025,369,927,225,25,1517,12,0.41700000000000004,5,0.41700000000000004,1877,12,1,17,5
fran garcia,Real Madrid,La-Liga,2024-2025,498,703,606,33,1792,23,0.348,15,0.652,2683,52,15,20,10
gonzalo garcia,Real Madrid,La-Liga,2024-2025,1,6,15,5,22,0,,0,,19,0,0,0,3
joan garcia,Espanyol,La-Liga,2024-2025,1341,7,1,1,1348,0,,0,,3182,0,0,2,0
pablo garcia,Betis,La-Liga,2024-2025,3,7,14,2,23,2,0.5,1,0.5,59,0,1,3,1
ruben garcia,Osasuna,La-Liga,2024-2025,205,649,629,64,1467,36,0.33299999999999996,20,0.556,1382,46,13,39,21
unai garcia,Osasuna,La-Liga,2024-2025,25,16,2,1,43,0,,0,,41,0,0,1,0
yarek gasiorowski,Valencia,La-Liga,2024-2025,295,309,22,6,620,0,,0,,736,2,0,1,0
gavi,Barcelona,La-Liga,2024-2025,107,601,240,34,943,18,0.5,5,0.278,1128,16,1,19,9
paulo gazzaniga,Girona,La-Liga,2024-2025,1283,6,0,0,1289,4,0.75,1,0.25,2167,0,0,1,0
bryan gil,Girona,La-Liga,2024-2025,110,356,568,82,1019,104,0.39399999999999996,52,0.5,2103,43,34,56,39
dani gomez,Valencia,La-Liga,2024-2025,12,49,78,22,137,10,0.3,7,0.7,103,4,2,11,8
moi gomez,Osasuna,La-Liga,2024-2025,92,337,146,7,571,26,0.5379999999999999,11,0.423,524,10,1,10,8
sergi gomez,Espanyol,La-Liga,2024-2025,280,131,8,4,419,0,,0,,376,0,0,1,0
sergio gomez,Real Sociedad,La-Liga,2024-2025,292,746,708,52,1724,51,0.431,25,0.49,1912,46,6,45,16
unai gomez,Athletic Club,La-Liga,2024-2025,63,215,168,21,439,29,0.414,12,0.414,617,17,3,23,21
fabio gonzalez,Las Palmas,La-Liga,2024-2025,5,41,11,2,57,0,,0,,85,0,0,1,0
peter gonzalez,Getafe,La-Liga,2024-2025,29,68,119,16,211,15,0.2,10,0.667,187,5,4,17,15
urko gonzalez,Espanyol,La-Liga,2024-2025,205,334,83,11,610,17,0.353,10,0.588,1133,14,3,18,12
urko gonzalez,Real Sociedad,La-Liga,2024-2025,7,10,3,1,20,0,,0,,5,0,0,1,2
andoni gorosabel,Athletic Club,La-Liga,2024-2025,292,547,252,13,1084,14,0.5,7,0.5,691,18,3,18,14
jose gragera,Espanyol,La-Liga,2024-2025,74,190,21,4,284,4,0.25,2,0.5,216,0,0,3,1
dominik greif,Mallorca,La-Liga,2024-2025,1098,11,0,0,1109,2,1.0,0,0.0,1668,0,0,1,0
antoine griezmann,Atlético Madrid,La-Liga,2024-2025,216,748,729,93,1676,35,0.429,18,0.514,2040,56,6,41,20
florian grillitsch,Valladolid,La-Liga,2024-2025,91,266,49,4,398,15,0.733,3,0.2,706,4,0,5,5
vicente guaita,Celta Vigo,La-Liga,2024-2025,1033,6,0,0,1039,0,,0,,1561,0,0,3,1
sergi guardiola,Rayo Vallecano,La-Liga,2024-2025,11,55,64,18,130,2,0.0,2,1.0,90,3,1,11,5
nemanja gudelj,Sevilla,La-Liga,2024-2025,703,789,150,5,1634,9,0.667,2,0.222,1401,8,0,19,3
javier guerra,Valencia,La-Liga,2024-2025,354,939,401,49,1669,78,0.37200000000000005,45,0.5770000000000001,2585,42,13,50,54
ander guevara,Alavés,La-Liga,2024-2025,265,761,189,12,1208,15,0.6,5,0.33299999999999996,1078,16,0,22,19
pape gueye,Villarreal,La-Liga,2024-2025,355,807,308,65,1456,33,0.33299999999999996,16,0.485,2199,28,7,33,19
