Player,Squad,Liga,Season,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err
alejandro balde,Barcelona,La-Liga,2024-2025,10,5,3,0.647,11,10,5,24,5,19,27,0
ivan balliu,Rayo Vallecano,La-Liga,2024-2025,8,5,4,0.33299999999999996,6,14,13,16,4,12,39,0
jonathan bamba,Celta Vigo,La-Liga,2024-2025,4,6,2,0.41700000000000004,5,7,5,6,0,6,6,0
adrian baquerin,Valladolid,La-Liga,2024-2025,0,1,0,,0,1,0,0,0,0,1,0
valentin barco,Sevilla,La-Liga,2024-2025,8,3,4,0.8,12,9,2,0,0,0,5,0
borna barisic,Leganés,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,0,0
kike barja,Osasuna,La-Liga,2024-2025,1,3,1,0.5,2,4,3,5,0,5,4,0
enzo barrenechea,Valencia,La-Liga,2024-2025,22,29,6,0.696,32,30,28,30,8,22,48,1
ander barrenetxea,Real Sociedad,La-Liga,2024-2025,7,14,5,0.261,6,19,11,15,0,15,16,1
pablo barrios,Atlético Madrid,La-Liga,2024-2025,23,20,3,0.489,23,26,34,18,5,13,33,9
thierno barry,Villarreal,La-Liga,2024-2025,2,5,4,0.4,4,8,0,15,2,13,19,0
marc bartra,Betis,La-Liga,2024-2025,20,13,0,0.5770000000000001,15,19,33,41,25,16,148,0
aboubacar bassinga,Las Palmas,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,0,0
augusto batalla,Rayo Vallecano,La-Liga,2024-2025,4,0,0,0.667,4,2,0,0,0,0,15,4
rafael bauza,Espanyol,La-Liga,2024-2025,3,1,1,0.5710000000000001,4,3,0,3,1,2,5,0
sheraldo becker,Real Sociedad,La-Liga,2024-2025,0,3,0,0.0,0,2,1,4,0,4,10,0
donny van de beek,Girona,La-Liga,2024-2025,17,7,5,0.5,13,18,10,19,3,16,12,0
luken beitia,Real Sociedad,La-Liga,2024-2025,1,0,0,1.0,1,1,0,0,0,0,2,0
ismael bekhoucha,Getafe,La-Liga,2024-2025,1,0,0,0.5,1,1,2,2,1,1,2,0
hector bellerin,Betis,La-Liga,2024-2025,7,4,2,0.588,10,7,6,5,3,2,21,0
jude bellingham,Real Madrid,La-Liga,2024-2025,20,27,14,0.667,28,33,28,37,2,35,23,1
fran beltran,Celta Vigo,La-Liga,2024-2025,24,21,5,0.429,24,35,26,26,6,20,34,4
carlos benavidez,Alavés,La-Liga,2024-2025,10,6,3,0.545,6,14,8,5,2,3,14,1
