Player,Liga,Pos,Squad,Height,Value
kerim alajbegovic,Bundesliga,Left Winger,Bayer 04 Leverkusen,1.85,
nathan tella,Bundesliga,Right Winger,Bayer 04 Leverkusen,1.73,15000000.0
victor boniface,Bundesliga,Centre-Forward,Bayer 04 Leverkusen,1.9,40000000.0
patrik schick,Bundesliga,Centre-Forward,Bayer 04 Leverkusen,1.91,27000000.0
artem stepanov,Bundesliga,Centre-Forward,Bayer 04 Leverkusen,1.92,800000.0
alejo sarco,Bundesliga,Centre-Forward,Bayer 04 Leverkusen,1.79,800000.0
maarten vandevoordt,Bundesliga,Goalkeeper,RB Leipzig,1.92,8000000.0
peter gulacsi,Bundesliga,Goalkeeper,RB Leipzig,1.93,2000000.0
leopold zingerle,Bundesliga,Goalkeeper,RB Leipzig,1.82,400000.0
fernando dickes,Bundesliga,Goalkeeper,RB Leipzig,1.93,
castello lukeba,Bundesliga,Centre-Back,RB Leipzig,1.84,40000000.0
mohamed simakan,Bundesliga,Centre-Back,RB Leipzig,1.87,23000000.0
el chadaille bitshiabu,Bundesliga,Centre-Back,RB Leipzig,1.96,18000000.0
willi orban,Bundesliga,Centre-Back,RB Leipzig,1.86,8000000.0
lukas klostermann,Bundesliga,Centre-Back,RB Leipzig,1.89,8000000.0
jonathan norbye,Bundesliga,Centre-Back,RB Leipzig,1.94,
david raum,Bundesliga,Left-Back,RB Leipzig,1.81,20000000.0
lionel voufack,Bundesliga,Left-Back,RB Leipzig,1.8,
lutsharel geertruida,Bundesliga,Right-Back,RB Leipzig,1.84,20000000.0
benjamin henrichs,Bundesliga,Right-Back,RB Leipzig,1.85,15000000.0
kosta nedeljkovic,Bundesliga,Right-Back,RB Leipzig,1.84,10000000.0
ridle baku,Bundesliga,Right-Back,RB Leipzig,1.76,9000000.0
leon ko,Bundesliga,Right-Back,RB Leipzig,1.89,
arthur vermeeren,Bundesliga,Defensive Midfield,RB Leipzig,1.8,22000000.0
nicolas seiwald,Bundesliga,Central Midfield,RB Leipzig,1.8,18000000.0
amadou haidara,Bundesliga,Central Midfield,RB Leipzig,1.78,16000000.0
xaver schlager,Bundesliga,Central Midfield,RB Leipzig,1.74,10000000.0
assan ouedraogo,Bundesliga,Central Midfield,RB Leipzig,1.91,7000000.0
kevin kampl,Bundesliga,Central Midfield,RB Leipzig,1.78,2500000.0
mika walther,Bundesliga,Central Midfield,RB Leipzig,1.82,
xavi simons,Bundesliga,Attacking Midfield,RB Leipzig,1.79,70000000.0
christoph baumgartner,Bundesliga,Attacking Midfield,RB Leipzig,1.8,12000000.0
viggo gebel,Bundesliga,Attacking Midfield,RB Leipzig,1.75,350000.0
nuha jatta,Bundesliga,Attacking Midfield,RB Leipzig,1.93,250000.0
faik sakar,Bundesliga,Attacking Midfield,RB Leipzig,1.78,200000.0
antonio nusa,Bundesliga,Left Winger,RB Leipzig,1.83,28000000.0
eljif elmas,Bundesliga,Left Winger,RB Leipzig,1.84,14000000.0
tidiam gomis,Bundesliga,Left Winger,RB Leipzig,1.83,3000000.0
benjamin sesko,Bundesliga,Centre-Forward,RB Leipzig,1.95,70000000.0
lois openda,Bundesliga,Centre-Forward,RB Leipzig,1.77,50000000.0
yussuf poulsen,Bundesliga,Centre-Forward,RB Leipzig,1.92,5000000.0
andre silva,Bundesliga,Centre-Forward,RB Leipzig,1.86,4000000.0
robert ramsak,Bundesliga,Centre-Forward,RB Leipzig,1.85,
gregor kobel,Bundesliga,Goalkeeper,Borussia Dortmund,1.96,40000000.0
alexander meyer,Bundesliga,Goalkeeper,Borussia Dortmund,1.95,800000.0
marcel lotka,Bundesliga,Goalkeeper,Borussia Dortmund,1.91,800000.0
silas ostrzinski,Bundesliga,Goalkeeper,Borussia Dortmund,1.98,200000.0
robin lisewski,Bundesliga,Goalkeeper,Borussia Dortmund,1.95,
nico schlotterbeck,Bundesliga,Centre-Back,Borussia Dortmund,1.91,40000000.0
waldemar anton,Bundesliga,Centre-Back,Borussia Dortmund,1.89,18000000.0
niklas sule,Bundesliga,Centre-Back,Borussia Dortmund,1.95,8000000.0
soumaila coulibaly,Bundesliga,Centre-Back,Borussia Dortmund,1.91,8000000.0
yannik luhrs,Bundesliga,Centre-Back,Borussia Dortmund,1.9,600000.0
filippo mane,Bundesliga,Centre-Back,Borussia Dortmund,1.88,600000.0
david lelle,Bundesliga,Centre-Back,Borussia Dortmund,1.9,200000.0
elias benkara,Bundesliga,Centre-Back,Borussia Dortmund,1.93,
tyler meiser,Bundesliga,Centre-Back,Borussia Dortmund,1.89,
daniel svensson,Bundesliga,Left-Back,Borussia Dortmund,1.83,12000000.0
ramy bensebaini,Bundesliga,Left-Back,Borussia Dortmund,1.87,7000000.0
almugera kabar,Bundesliga,Left-Back,Borussia Dortmund,1.86,1000000.0
yan couto,Bundesliga,Right-Back,Borussia Dortmund,1.68,20000000.0
julian ryerson,Bundesliga,Right-Back,Borussia Dortmund,1.83,20000000.0
niklas jessen,Bundesliga,Right-Back,Borussia Dortmund,1.82,225000.0
emre can,Bundesliga,Defensive Midfield,Borussia Dortmund,1.86,7000000.0
salih ozcan,Bundesliga,Defensive Midfield,Borussia Dortmund,1.83,4000000.0
ayman azhil,Bundesliga,Defensive Midfield,Borussia Dortmund,1.75,700000.0
felix nmecha,Bundesliga,Central Midfield,Borussia Dortmund,1.9,28000000.0
jobe bellingham,Bundesliga,Central Midfield,Borussia Dortmund,1.91,22000000.0
carney chukwuemeka,Bundesliga,Central Midfield,Borussia Dortmund,1.88,18000000.0
marcel sabitzer,Bundesliga,Central Midfield,Borussia Dortmund,1.78,8000000.0
pascal gro,Bundesliga,Central Midfield,Borussia Dortmund,1.81,5000000.0
kjell watjen,Bundesliga,Central Midfield,Borussia Dortmund,1.84,2500000.0
julian brandt,Bundesliga,Attacking Midfield,Borussia Dortmund,1.85,25000000.0
giovanni reyna,Bundesliga,Attacking Midfield,Borussia Dortmund,1.85,7000000.0
jamie gittens,Bundesliga,Left Winger,Borussia Dortmund,1.78,50000000.0
julien duranville,Bundesliga,Left Winger,Borussia Dortmund,1.73,8500000.0
rodney elongoyombo,Bundesliga,Left Winger,Borussia Dortmund,1.84,400000.0
mathis albert,Bundesliga,Left Winger,Borussia Dortmund,1.75,
karim adeyemi,Bundesliga,Right Winger,Borussia Dortmund,1.8,45000000.0
donyell malen,Bundesliga,Right Winger,Borussia Dortmund,1.76,25000000.0
cole campbell,Bundesliga,Right Winger,Borussia Dortmund,1.7,1500000.0
samuele inacio,Bundesliga,Second Striker,Borussia Dortmund,,
serhou guirassy,Bundesliga,Centre-Forward,Borussia Dortmund,1.87,45000000.0
maximilian beier,Bundesliga,Centre-Forward,Borussia Dortmund,1.85,25000000.0
sebastien haller,Bundesliga,Centre-Forward,Borussia Dortmund,1.9,3000000.0
jordi paulina,Bundesliga,Centre-Forward,Borussia Dortmund,1.91,250000.0
kevin trapp,Bundesliga,Goalkeeper,Eintracht Frankfurt,1.89,2500000.0
kaua santos,Bundesliga,Goalkeeper,Eintracht Frankfurt,1.97,2500000.0
nils ramming,Bundesliga,Goalkeeper,Eintracht Frankfurt,1.94,300000.0
jens grahl,Bundesliga,Goalkeeper,Eintracht Frankfurt,1.92,200000.0
yuriy obert,Bundesliga,Goalkeeper,Eintracht Frankfurt,1.9,50000.0
amil siljevic,Bundesliga,Goalkeeper,Eintracht Frankfurt,1.9,
arthur theate,Bundesliga,Centre-Back,Eintracht Frankfurt,1.85,24000000.0
robin koch,Bundesliga,Centre-Back,Eintracht Frankfurt,1.92,18000000.0
tuta,Bundesliga,Centre-Back,Eintracht Frankfurt,1.85,15000000.0
nnamdi collins,Bundesliga,Centre-Back,Eintracht Frankfurt,1.91,10000000.0
aurele amenda,Bundesliga,Centre-Back,Eintracht Frankfurt,1.97,7500000.0
nathaniel brown,Bundesliga,Left-Back,Eintracht Frankfurt,1.8,22000000.0
niels nkounkou,Bundesliga,Left-Back,Eintracht Frankfurt,1.8,3500000.0
rasmus kristensen,Bundesliga,Right-Back,Eintracht Frankfurt,1.87,14000000.0
timothy chandler,Bundesliga,Right-Back,Eintracht Frankfurt,1.87,350000.0
ellyes skhiri,Bundesliga,Defensive Midfield,Eintracht Frankfurt,1.85,7500000.0
eba bekir is,Bundesliga,Defensive Midfield,Eintracht Frankfurt,1.79,500000.0
noah fenyo,Bundesliga,Defensive Midfield,Eintracht Frankfurt,1.82,350000.0
hugo larsson,Bundesliga,Central Midfield,Eintracht Frankfurt,1.87,40000000.0
oscar hjlund,Bundesliga,Central Midfield,Eintracht Frankfurt,1.87,7500000.0
mahmoud dahoud,Bundesliga,Central Midfield,Eintracht Frankfurt,1.78,3500000.0
junior dina ebimbe,Bundesliga,Right Midfield,Eintracht Frankfurt,1.84,6000000.0
can uzun,Bundesliga,Attacking Midfield,Eintracht Frankfurt,1.86,18000000.0
fares chaibi,Bundesliga,Attacking Midfield,Eintracht Frankfurt,1.83,9000000.0
mario gotze,Bundesliga,Attacking Midfield,Eintracht Frankfurt,1.76,4000000.0
krisztian lisztes,Bundesliga,Attacking Midfield,Eintracht Frankfurt,1.83,2000000.0
jeanmatteo bahoya,Bundesliga,Left Winger,Eintracht Frankfurt,1.8,17000000.0
ansgar knauff,Bundesliga,Right Winger,Eintracht Frankfurt,1.8,15000000.0
omar marmoush,Bundesliga,Centre-Forward,Eintracht Frankfurt,1.83,75000000.0
hugo ekitike,Bundesliga,Centre-Forward,Eintracht Frankfurt,1.9,75000000.0
elye wahi,Bundesliga,Centre-Forward,Eintracht Frankfurt,1.84,22000000.0
igor matanovic,Bundesliga,Centre-Forward,Eintracht Frankfurt,1.94,5000000.0
michy batshuayi,Bundesliga,Centre-Forward,Eintracht Frankfurt,1.85,4000000.0
alexander nubel,Bundesliga,Goalkeeper,VfB Stuttgart,1.93,12000000.0
dennis seimen,Bundesliga,Goalkeeper,VfB Stuttgart,1.92,2500000.0
fabian bredlow,Bundesliga,Goalkeeper,VfB Stuttgart,1.9,800000.0
stefan drljaca,Bundesliga,Goalkeeper,VfB Stuttgart,1.92,325000.0
finn jeltsch,Bundesliga,Centre-Back,VfB Stuttgart,1.88,20000000.0
jeff chabot,Bundesliga,Centre-Back,VfB Stuttgart,1.95,12000000.0
anthony rouault,Bundesliga,Centre-Back,VfB Stuttgart,1.86,10000000.0
ameen aldakhil,Bundesliga,Centre-Back,VfB Stuttgart,1.87,7500000.0
luca jaquez,Bundesliga,Centre-Back,VfB Stuttgart,1.87,6000000.0
anrie chase,Bundesliga,Centre-Back,VfB Stuttgart,1.88,3000000.0
danaxel zagadou,Bundesliga,Centre-Back,VfB Stuttgart,1.96,2000000.0
maximilian mittelstadt,Bundesliga,Left-Back,VfB Stuttgart,1.8,20000000.0
ramon hendriks,Bundesliga,Left-Back,VfB Stuttgart,1.89,5000000.0
frans kratzig,Bundesliga,Left-Back,VfB Stuttgart,1.77,3500000.0
josha vagnoman,Bundesliga,Right-Back,VfB Stuttgart,1.9,10000000.0
leonidas stergiou,Bundesliga,Right-Back,VfB Stuttgart,1.81,5000000.0
pascal stenzel,Bundesliga,Right-Back,VfB Stuttgart,1.83,2000000.0
christopher olivier,Bundesliga,Right-Back,VfB Stuttgart,1.87,500000.0
angelo stiller,Bundesliga,Defensive Midfield,VfB Stuttgart,1.83,45000000.0
atakan karazor,Bundesliga,Defensive Midfield,VfB Stuttgart,1.91,12000000.0
yannik keitel,Bundesliga,Defensive Midfield,VfB Stuttgart,1.86,3500000.0
nikolas nartey,Bundesliga,Central Midfield,VfB Stuttgart,1.86,400000.0
enzo millot,Bundesliga,Attacking Midfield,VfB Stuttgart,1.75,35000000.0
chris fuhrich,Bundesliga,Left Winger,VfB Stuttgart,1.81,15000000.0
jacob bruun larsen,Bundesliga,Left Winger,VfB Stuttgart,1.83,5000000.0
justin diehl,Bundesliga,Left Winger,VfB Stuttgart,1.74,3000000.0
jarzinho malanga,Bundesliga,Left Winger,VfB Stuttgart,1.79,1700000.0
benjamin boakye,Bundesliga,Left Winger,VfB Stuttgart,1.8,500000.0
jamie leweling,Bundesliga,Right Winger,VfB Stuttgart,1.85,20000000.0
silas,Bundesliga,Right Winger,VfB Stuttgart,1.89,7000000.0
fabian rieder,Bundesliga,Right Winger,VfB Stuttgart,1.79,6000000.0
luca raimund,Bundesliga,Right Winger,VfB Stuttgart,1.88,400000.0
nick woltemade,Bundesliga,Second Striker,VfB Stuttgart,1.98,30000000.0
ermedin demirovic,Bundesliga,Centre-Forward,VfB Stuttgart,1.85,22000000.0
deniz undav,Bundesliga,Centre-Forward,VfB Stuttgart,1.79,20000000.0
el bilal toure,Bundesliga,Centre-Forward,VfB Stuttgart,1.85,15000000.0
wahid faghir,Bundesliga,Centre-Forward,VfB Stuttgart,1.86,700000.0
eliot bujupi,Bundesliga,Centre-Forward,VfB Stuttgart,1.88,500000.0
thomas kastanaras,Bundesliga,Centre-Forward,VfB Stuttgart,1.86,400000.0
kamil grabara,Bundesliga,Goalkeeper,VfL Wolfsburg,1.95,14000000.0
marius muller,Bundesliga,Goalkeeper,VfL Wolfsburg,1.92,1500000.0
pavao pervan,Bundesliga,Goalkeeper,VfL Wolfsburg,1.94,300000.0
niklas klinger,Bundesliga,Goalkeeper,VfL Wolfsburg,1.87,100000.0
maxence lacroix,Bundesliga,Centre-Back,VfL Wolfsburg,1.9,25000000.0
konstantinos koulierakis,Bundesliga,Centre-Back,VfL Wolfsburg,1.88,25000000.0
cedric zesiger,Bundesliga,Centre-Back,VfL Wolfsburg,1.94,7000000.0
denis vavro,Bundesliga,Centre-Back,VfL Wolfsburg,1.89,7000000.0
sebastiaan bornauw,Bundesliga,Centre-Back,VfL Wolfsburg,1.91,6000000.0
moritz jenz,Bundesliga,Centre-Back,VfL Wolfsburg,1.9,5000000.0
david odogu,Bundesliga,Centre-Back,VfL Wolfsburg,1.91,1500000.0
mathys angely,Bundesliga,Centre-Back,VfL Wolfsburg,1.9,600000.0
till neininger,Bundesliga,Centre-Back,VfL Wolfsburg,,
joakim maehle,Bundesliga,Left-Back,VfL Wolfsburg,1.85,14000000.0
nicolas cozza,Bundesliga,Left-Back,VfL Wolfsburg,1.78,3500000.0
rogerio,Bundesliga,Left-Back,VfL Wolfsburg,1.78,2500000.0
ridle baku,Bundesliga,Right-Back,VfL Wolfsburg,1.76,9000000.0
kilian fischer,Bundesliga,Right-Back,VfL Wolfsburg,1.82,6000000.0
mads roerslev,Bundesliga,Right-Back,VfL Wolfsburg,1.84,6000000.0
jan burger,Bundesliga,Right-Back,VfL Wolfsburg,1.8,
salih ozcan,Bundesliga,Defensive Midfield,VfL Wolfsburg,1.83,4000000.0
mattias svanberg,Bundesliga,Central Midfield,VfL Wolfsburg,1.85,12000000.0
aster vranckx,Bundesliga,Central Midfield,VfL Wolfsburg,1.83,7000000.0
maximilian arnold,Bundesliga,Central Midfield,VfL Wolfsburg,1.84,5000000.0
yannick gerhardt,Bundesliga,Central Midfield,VfL Wolfsburg,1.84,2500000.0
kevin paredes,Bundesliga,Left Midfield,VfL Wolfsburg,1.75,7500000.0
lovro majer,Bundesliga,Attacking Midfield,VfL Wolfsburg,1.78,17000000.0
bence dardai,Bundesliga,Attacking Midfield,VfL Wolfsburg,1.89,12000000.0
jakub kaminski,Bundesliga,Left Winger,VfL Wolfsburg,1.79,5000000.0
patrick wimmer,Bundesliga,Right Winger,VfL Wolfsburg,1.82,15000000.0
andreas skov olsen,Bundesliga,Right Winger,VfL Wolfsburg,1.87,14000000.0
bennit broger,Bundesliga,Right Winger,VfL Wolfsburg,1.81,500000.0
mohamed amoura,Bundesliga,Centre-Forward,VfL Wolfsburg,1.7,32000000.0
tiago tomas,Bundesliga,Centre-Forward,VfL Wolfsburg,1.8,12000000.0
jonas wind,Bundesliga,Centre-Forward,VfL Wolfsburg,1.9,12000000.0
lukas nmecha,Bundesliga,Centre-Forward,VfL Wolfsburg,1.85,3000000.0
kevin behrens,Bundesliga,Centre-Forward,VfL Wolfsburg,1.85,1000000.0
bartosz bialek,Bundesliga,Centre-Forward,VfL Wolfsburg,1.91,800000.0
jonathan akaegbobi,Bundesliga,Centre-Forward,VfL Wolfsburg,,
moritz nicolas,Bundesliga,Goalkeeper,Borussia Mönchengladbach,1.93,5000000.0
jonas omlin,Bundesliga,Goalkeeper,Borussia Mönchengladbach,1.9,2500000.0
tiago pereira cardoso,Bundesliga,Goalkeeper,Borussia Mönchengladbach,1.9,1500000.0
tobias sippel,Bundesliga,Goalkeeper,Borussia Mönchengladbach,1.83,300000.0
ko itakura,Bundesliga,Centre-Back,Borussia Mönchengladbach,1.88,12000000.0
nico elvedi,Bundesliga,Centre-Back,Borussia Mönchengladbach,1.89,8000000.0
marvin friedrich,Bundesliga,Centre-Back,Borussia Mönchengladbach,1.93,3500000.0
fabio chiarodia,Bundesliga,Centre-Back,Borussia Mönchengladbach,1.86,2000000.0
lukas ullrich,Bundesliga,Left-Back,Borussia Mönchengladbach,1.8,8000000.0
luca netz,Bundesliga,Left-Back,Borussia Mönchengladbach,1.84,6000000.0
joe scally,Bundesliga,Right-Back,Borussia Mönchengladbach,1.84,10000000.0
stefan lainer,Bundesliga,Right-Back,Borussia Mönchengladbach,1.75,1200000.0
julian weigl,Bundesliga,Defensive Midfield,Borussia Mönchengladbach,1.86,6000000.0
niklas swider,Bundesliga,Defensive Midfield,Borussia Mönchengladbach,1.88,250000.0
veit stange,Bundesliga,Defensive Midfield,Borussia Mönchengladbach,1.88,150000.0
manu kone,Bundesliga,Central Midfield,Borussia Mönchengladbach,1.85,40000000.0
rocco reitz,Bundesliga,Central Midfield,Borussia Mönchengladbach,1.76,15000000.0
philipp sander,Bundesliga,Central Midfield,Borussia Mönchengladbach,1.86,4000000.0
florian neuhaus,Bundesliga,Central Midfield,Borussia Mönchengladbach,1.85,3500000.0
kevin stoger,Bundesliga,Attacking Midfield,Borussia Mönchengladbach,1.75,3500000.0
robin hack,Bundesliga,Left Winger,Borussia Mönchengladbach,1.78,12000000.0
yvandro borges sanches,Bundesliga,Left Winger,Borussia Mönchengladbach,1.8,500000.0
noah pesch,Bundesliga,Left Winger,Borussia Mönchengladbach,1.83,300000.0
franck honorat,Bundesliga,Right Winger,Borussia Mönchengladbach,1.8,12000000.0
nathan ngoumou,Bundesliga,Right Winger,Borussia Mönchengladbach,1.85,4000000.0
charles herrmann,Bundesliga,Right Winger,Borussia Mönchengladbach,1.8,300000.0
tim kleindienst,Bundesliga,Centre-Forward,Borussia Mönchengladbach,1.94,17000000.0
alassane plea,Bundesliga,Centre-Forward,Borussia Mönchengladbach,1.81,5000000.0
tomas cvancara,Bundesliga,Centre-Forward,Borussia Mönchengladbach,1.9,3000000.0
grantleon ranos,Bundesliga,Centre-Forward,Borussia Mönchengladbach,1.8,500000.0
shio fukuda,Bundesliga,Centre-Forward,Borussia Mönchengladbach,1.78,500000.0
oliver baumann,Bundesliga,Goalkeeper,TSG 1899 Hoffenheim,1.87,3000000.0
luca philipp,Bundesliga,Goalkeeper,TSG 1899 Hoffenheim,1.92,750000.0
jakob busk,Bundesliga,Goalkeeper,TSG 1899 Hoffenheim,1.89,250000.0
lukas petersson,Bundesliga,Goalkeeper,TSG 1899 Hoffenheim,1.95,250000.0
benjamin lade,Bundesliga,Goalkeeper,TSG 1899 Hoffenheim,1.87,
tim philipp,Bundesliga,Goalkeeper,TSG 1899 Hoffenheim,1.92,
leo ostigard,Bundesliga,Centre-Back,TSG 1899 Hoffenheim,1.83,10000000.0
ozan kabak,Bundesliga,Centre-Back,TSG 1899 Hoffenheim,1.87,5000000.0
arthur chaves,Bundesliga,Centre-Back,TSG 1899 Hoffenheim,1.88,5000000.0
robin hranac,Bundesliga,Centre-Back,TSG 1899 Hoffenheim,1.9,3500000.0
tim drexler,Bundesliga,Centre-Back,TSG 1899 Hoffenheim,1.86,3000000.0
kevin akpoguma,Bundesliga,Centre-Back,TSG 1899 Hoffenheim,1.92,2500000.0
stanley nsoki,Bundesliga,Centre-Back,TSG 1899 Hoffenheim,1.84,2500000.0
attila szalai,Bundesliga,Centre-Back,TSG 1899 Hoffenheim,1.92,1700000.0
luca erlein,Bundesliga,Centre-Back,TSG 1899 Hoffenheim,1.9,300000.0
noah konig,Bundesliga,Centre-Back,TSG 1899 Hoffenheim,1.88,250000.0
david jurasek,Bundesliga,Left-Back,TSG 1899 Hoffenheim,1.83,5000000.0
alexander prass,Bundesliga,Left-Back,TSG 1899 Hoffenheim,1.8,5000000.0
christopher lenz,Bundesliga,Left-Back,TSG 1899 Hoffenheim,1.8,500000.0
hennes behrens,Bundesliga,Left-Back,TSG 1899 Hoffenheim,1.75,350000.0
valentin gendrey,Bundesliga,Right-Back,TSG 1899 Hoffenheim,1.79,7000000.0
pavel kaderabek,Bundesliga,Right-Back,TSG 1899 Hoffenheim,1.82,1700000.0
lars strobl,Bundesliga,Right-Back,TSG 1899 Hoffenheim,1.9,25000.0
anton stach,Bundesliga,Defensive Midfield,TSG 1899 Hoffenheim,1.94,14000000.0
florian grillitsch,Bundesliga,Defensive Midfield,TSG 1899 Hoffenheim,1.87,2000000.0
diadie samassekou,Bundesliga,Defensive Midfield,TSG 1899 Hoffenheim,1.77,1000000.0
tom bischof,Bundesliga,Central Midfield,TSG 1899 Hoffenheim,1.76,30000000.0
umut tohumcu,Bundesliga,Central Midfield,TSG 1899 Hoffenheim,1.75,6000000.0
grischa promel,Bundesliga,Central Midfield,TSG 1899 Hoffenheim,1.84,3000000.0
dennis geiger,Bundesliga,Central Midfield,TSG 1899 Hoffenheim,1.73,2000000.0
finn becker,Bundesliga,Central Midfield,TSG 1899 Hoffenheim,1.77,2000000.0
luka uric,Bundesliga,Central Midfield,TSG 1899 Hoffenheim,1.81,250000.0
andrej kramaric,Bundesliga,Attacking Midfield,TSG 1899 Hoffenheim,1.77,4000000.0
