Player,Pos,Squad,Height,Value,Season,Competition
thibaut courtois,Goalkeeper,Real Madrid,2.0,28000000.0,2023-2024,laliga
andriy lunin,Goalkeeper,Real Madrid,1.91,25000000.0,2023-2024,laliga
kepa arrizabalaga,Goalkeeper,Real Madrid,1.88,12000000.0,2023-2024,laliga
lucas canizares,Goalkeeper,Real Madrid,1.88,400000.0,2023-2024,laliga
mario de luis,Goalkeeper,Real Madrid,1.85,400000.0,2023-2024,laliga
diego pineiro,Goalkeeper,Real Madrid,1.85,50000.0,2023-2024,laliga
fran gonzalez,Goalkeeper,Real Madrid,1.99,,2023-2024,laliga
eder militao,Centre-Back,Real Madrid,1.86,60000000.0,2023-2024,laliga
antonio rudiger,Centre-Back,Real Madrid,1.9,25000000.0,2023-2024,laliga
david alaba,Centre-Back,Real Madrid,1.8,20000000.0,2023-2024,laliga
nacho fernandez,Centre-Back,Real Madrid,1.8,3000000.0,2023-2024,laliga
alvaro carrillo,Centre-Back,Real Madrid,1.82,300000.0,2023-2024,laliga
edgar pujol,Centre-Back,Real Madrid,1.77,250000.0,2023-2024,laliga
jacobo ramon,Centre-Back,Real Madrid,1.96,100000.0,2023-2024,laliga
ferland mendy,Left-Back,Real Madrid,1.8,22000000.0,2023-2024,laliga
fran garcia,Left-Back,Real Madrid,1.69,15000000.0,2023-2024,laliga
daniel carvajal,Right-Back,Real Madrid,1.73,12000000.0,2023-2024,laliga
lucas vazquez,Right-Back,Real Madrid,1.73,4000000.0,2023-2024,laliga
vinicius tobias,Right-Back,Real Madrid,1.77,3000000.0,2023-2024,laliga
alvaro odriozola,Right-Back,Real Madrid,1.76,2500000.0,2023-2024,laliga
aurelien tchouameni,Defensive Midfield,Real Madrid,1.88,100000000.0,2023-2024,laliga
mario martin,Defensive Midfield,Real Madrid,1.77,300000.0,2023-2024,laliga
federico valverde,Central Midfield,Real Madrid,1.82,120000000.0,2023-2024,laliga
eduardo camavinga,Central Midfield,Real Madrid,1.82,100000000.0,2023-2024,laliga
toni kroos,Central Midfield,Real Madrid,1.83,10000000.0,2023-2024,laliga
luka modric,Central Midfield,Real Madrid,1.72,6000000.0,2023-2024,laliga
dani ceballos,Central Midfield,Real Madrid,1.79,6000000.0,2023-2024,laliga
theo zidane,Central Midfield,Real Madrid,1.96,300000.0,2023-2024,laliga
jude bellingham,Attacking Midfield,Real Madrid,1.86,180000000.0,2023-2024,laliga
nico paz,Attacking Midfield,Real Madrid,1.86,10000000.0,2023-2024,laliga
vinicius junior,Left Winger,Real Madrid,1.76,180000000.0,2023-2024,laliga
rodrygo,Right Winger,Real Madrid,1.74,110000000.0,2023-2024,laliga
brahim diaz,Right Winger,Real Madrid,1.7,40000000.0,2023-2024,laliga
arda guler,Right Winger,Real Madrid,1.75,30000000.0,2023-2024,laliga
joselu,Centre-Forward,Real Madrid,1.91,5000000.0,2023-2024,laliga
alvaro rodriguez,Centre-Forward,Real Madrid,1.93,3500000.0,2023-2024,laliga
gonzalo garcia,Centre-Forward,Real Madrid,1.82,1000000.0,2023-2024,laliga
marcandre ter stegen,Goalkeeper,FC Barcelona,1.87,28000000.0,2023-2024,laliga
inaki pena,Goalkeeper,FC Barcelona,1.84,8000000.0,2023-2024,laliga
ander astralaga,Goalkeeper,FC Barcelona,1.9,1000000.0,2023-2024,laliga
diego kochen,Goalkeeper,FC Barcelona,1.9,100000.0,2023-2024,laliga
aron yaakobishvili,Goalkeeper,FC Barcelona,1.85,,2023-2024,laliga
ronald araujo,Centre-Back,FC Barcelona,1.92,70000000.0,2023-2024,laliga
andreas christensen,Centre-Back,FC Barcelona,1.87,40000000.0,2023-2024,laliga
pau cubarsi,Centre-Back,FC Barcelona,1.84,30000000.0,2023-2024,laliga
eric garcia,Centre-Back,FC Barcelona,1.82,20000000.0,2023-2024,laliga
