Player,Pos,Squad,Height,Value,Season,Competition
gianluigi donnarumma,Goalkeeper,Paris Saint-Germain,1.96,40000000.0,2023-2024,ligue-1
arnau tenas,Goalkeeper,Paris Saint-Germain,1.85,5000000.0,2023-2024,ligue-1
keylor navas,Goalkeeper,Paris Saint-Germain,1.85,1500000.0,2023-2024,ligue-1
sergio rico,Goalkeeper,Paris Saint-Germain,1.96,1500000.0,2023-2024,ligue-1
alexandre letellier,Goalkeeper,Paris Saint-Germain,1.93,250000.0,2023-2024,ligue-1
louis mouquet,Goalkeeper,Paris Saint-Germain,1.87,,2023-2024,ligue-1
marquinhos,Centre-Back,Paris Saint-Germain,1.83,50000000.0,2023-2024,ligue-1
lucas beraldo,Centre-Back,Paris Saint-Germain,1.86,30000000.0,2023-2024,ligue-1
milan skriniar,Centre-Back,Paris Saint-Germain,1.88,30000000.0,2023-2024,ligue-1
presnel kimpembe,Centre-Back,Paris Saint-Germain,1.83,12000000.0,2023-2024,ligue-1
danilo pereira,Centre-Back,Paris Saint-Germain,1.88,8000000.0,2023-2024,ligue-1
joane gadou,Centre-Back,Paris Saint-Germain,1.95,500000.0,2023-2024,ligue-1
nuno mendes,Left-Back,Paris Saint-Germain,1.8,55000000.0,2023-2024,ligue-1
lucas hernandez,Left-Back,Paris Saint-Germain,1.84,40000000.0,2023-2024,ligue-1
layvin kurzawa,Left-Back,Paris Saint-Germain,1.82,1800000.0,2023-2024,ligue-1
serif nhaga,Left-Back,Paris Saint-Germain,1.76,,2023-2024,ligue-1
achraf hakimi,Right-Back,Paris Saint-Germain,1.81,60000000.0,2023-2024,ligue-1
nordi mukiele,Right-Back,Paris Saint-Germain,1.87,10000000.0,2023-2024,ligue-1
yoram zague,Right-Back,Paris Saint-Germain,1.68,2500000.0,2023-2024,ligue-1
manuel ugarte,Defensive Midfield,Paris Saint-Germain,1.82,45000000.0,2023-2024,ligue-1
warren zaireemery,Central Midfield,Paris Saint-Germain,1.78,60000000.0,2023-2024,ligue-1
vitinha,Central Midfield,Paris Saint-Germain,1.72,50000000.0,2023-2024,ligue-1
fabian ruiz,Central Midfield,Paris Saint-Germain,1.89,30000000.0,2023-2024,ligue-1
carlos soler,Central Midfield,Paris Saint-Germain,1.8,20000000.0,2023-2024,ligue-1
senny mayulu,Central Midfield,Paris Saint-Germain,1.83,5000000.0,2023-2024,ligue-1
cher ndour,Central Midfield,Paris Saint-Germain,1.9,4000000.0,2023-2024,ligue-1
ethan mbappe,Central Midfield,Paris Saint-Germain,1.8,1500000.0,2023-2024,ligue-1
marco asensio,Attacking Midfield,Paris Saint-Germain,1.82,20000000.0,2023-2024,ligue-1
bradley barcola,Left Winger,Paris Saint-Germain,1.82,50000000.0,2023-2024,ligue-1
ismael gharbi,Left Winger,Paris Saint-Germain,1.73,7500000.0,2023-2024,ligue-1
ousmane dembele,Right Winger,Paris Saint-Germain,1.78,60000000.0,2023-2024,ligue-1
kangin lee,Right Winger,Paris Saint-Germain,1.74,25000000.0,2023-2024,ligue-1
