Player,Pos,Squad,Height,Value,Season,Competition
toni fernandez,Right Winger,FC Barcelona,1.75,3000000.0,2024-2025,laliga
ferran torres,Centre-Forward,FC Barcelona,1.84,40000000.0,2024-2025,laliga
robert lewandowski,Centre-Forward,FC Barcelona,1.85,12000000.0,2024-2025,laliga
pau victor,Centre-Forward,FC Barcelona,1.84,4000000.0,2024-2025,laliga
jan oblak,Goalkeeper,Atlético de Madrid,1.88,20000000.0,2024-2025,laliga
juan musso,Goalkeeper,Atlético de Madrid,1.91,3500000.0,2024-2025,laliga
horatiu moldovan,Goalkeeper,Atlético de Madrid,1.86,2200000.0,2024-2025,laliga
alejandro iturbe,Goalkeeper,Atlético de Madrid,1.86,2000000.0,2024-2025,laliga
antonio gomis,Goalkeeper,Atlético de Madrid,1.91,150000.0,2024-2025,laliga
robin le normand,Centre-Back,Atlético de Madrid,1.87,40000000.0,2024-2025,laliga
jose maria gimenez,Centre-Back,Atlético de Madrid,1.85,20000000.0,2024-2025,laliga
clement lenglet,Centre-Back,Atlético de Madrid,1.86,7500000.0,2024-2025,laliga
santiago mourino,Centre-Back,Atlético de Madrid,1.86,3000000.0,2024-2025,laliga
axel witsel,Centre-Back,Atlético de Madrid,1.86,2000000.0,2024-2025,laliga
cesar azpilicueta,Centre-Back,Atlético de Madrid,1.78,1500000.0,2024-2025,laliga
ilias kostis,Centre-Back,Atlético de Madrid,1.88,500000.0,2024-2025,laliga
geronimo spina,Centre-Back,Atlético de Madrid,1.87,200000.0,2024-2025,laliga
reinildo mandava,Left-Back,Atlético de Madrid,1.8,5000000.0,2024-2025,laliga
javi galan,Left-Back,Atlético de Madrid,1.72,4000000.0,2024-2025,laliga
nahuel molina,Right-Back,Atlético de Madrid,1.75,20000000.0,2024-2025,laliga
carlos gimenez,Right-Back,Atlético de Madrid,1.8,250000.0,2024-2025,laliga
arthur vermeeren,Defensive Midfield,Atlético de Madrid,1.8,22000000.0,2024-2025,laliga
pablo barrios,Central Midfield,Atlético de Madrid,1.81,55000000.0,2024-2025,laliga
conor gallagher,Central Midfield,Atlético de Madrid,1.82,40000000.0,2024-2025,laliga
rodrigo de paul,Central Midfield,Atlético de Madrid,1.8,25000000.0,2024-2025,laliga
koke,Central Midfield,Atlético de Madrid,1.76,8000000.0,2024-2025,laliga
javi serrano,Central Midfield,Atlético de Madrid,1.78,700000.0,2024-2025,laliga
aitor gismera,Central Midfield,Atlético de Madrid,1.82,250000.0,2024-2025,laliga
marcos llorente,Right Midfield,Atlético de Madrid,1.84,25000000.0,2024-2025,laliga
thomas lemar,Attacking Midfield,Atlético de Madrid,1.71,5000000.0,2024-2025,laliga
samuel lino,Left Winger,Atlético de Madrid,1.77,22000000.0,2024-2025,laliga
rodrigo riquelme,Left Winger,Atlético de Madrid,1.74,12000000.0,2024-2025,laliga
rayane belaid,Left Winger,Atlético de Madrid,1.75,600000.0,2024-2025,laliga
marcos paulo,Left Winger,Atlético de Madrid,1.86,450000.0,2024-2025,laliga
giuliano simeone,Right Winger,Atlético de Madrid,1.73,35000000.0,2024-2025,laliga
angel correa,Right Winger,Atlético de Madrid,1.71,10000000.0,2024-2025,laliga
german valera,Right Winger,Atlético de Madrid,1.7,1500000.0,2024-2025,laliga
victor mollejo,Right Winger,Atlético de Madrid,1.77,300000.0,2024-2025,laliga
julian alvarez,Centre-Forward,Atlético de Madrid,1.7,100000000.0,2024-2025,laliga
alexander srloth,Centre-Forward,Atlético de Madrid,1.95,25000000.0,2024-2025,laliga
antoine griezmann,Centre-Forward,Atlético de Madrid,1.76,18000000.0,2024-2025,laliga
carlos martin,Centre-Forward,Atlético de Madrid,1.8,2800000.0,2024-2025,laliga
omar janneh,Centre-Forward,Atlético de Madrid,1.88,1000000.0,2024-2025,laliga
adrian nino,Centre-Forward,Atlético de Madrid,1.84,800000.0,2024-2025,laliga
borja garces,Centre-Forward,Atlético de Madrid,1.83,300000.0,2024-2025,laliga
unai simon,Goalkeeper,Athletic Bilbao,1.9,28000000.0,2024-2025,laliga
julen agirrezabala,Goalkeeper,Athletic Bilbao,1.87,15000000.0,2024-2025,laliga
alex padilla,Goalkeeper,Athletic Bilbao,1.9,3000000.0,2024-2025,laliga
oier gastesi,Goalkeeper,Athletic Bilbao,1.9,150000.0,2024-2025,laliga
dani vivian,Centre-Back,Athletic Bilbao,1.84,40000000.0,2024-2025,laliga
aitor paredes,Centre-Back,Athletic Bilbao,1.85,22000000.0,2024-2025,laliga
yeray alvarez,Centre-Back,Athletic Bilbao,1.82,7000000.0,2024-2025,laliga
unai nunez,Centre-Back,Athletic Bilbao,1.86,3000000.0,2024-2025,laliga
unai egiluz,Centre-Back,Athletic Bilbao,1.86,600000.0,2024-2025,laliga
aimar dunabeitia,Centre-Back,Athletic Bilbao,1.84,150000.0,2024-2025,laliga
ander izagirre,Centre-Back,Athletic Bilbao,,50000.0,2024-2025,laliga
adama boiro,Left-Back,Athletic Bilbao,1.83,2500000.0,2024-2025,laliga
yuri berchiche,Left-Back,Athletic Bilbao,1.81,1400000.0,2024-2025,laliga
andoni gorosabel,Right-Back,Athletic Bilbao,1.74,5000000.0,2024-2025,laliga
inigo lekue,Right-Back,Athletic Bilbao,1.8,2000000.0,2024-2025,laliga
oscar de marcos,Right-Back,Athletic Bilbao,1.82,1500000.0,2024-2025,laliga
mikel vesga,Defensive Midfield,Athletic Bilbao,1.91,2500000.0,2024-2025,laliga
mikel jauregizar,Central Midfield,Athletic Bilbao,1.77,30000000.0,2024-2025,laliga
benat prados,Central Midfield,Athletic Bilbao,1.8,18000000.0,2024-2025,laliga
inigo ruiz de galarreta,Central Midfield,Athletic Bilbao,1.75,3000000.0,2024-2025,laliga
ander herrera,Central Midfield,Athletic Bilbao,1.82,800000.0,2024-2025,laliga
alejandro rego,Central Midfield,Athletic Bilbao,1.92,300000.0,2024-2025,laliga
oihan sancet,Attacking Midfield,Athletic Bilbao,1.88,60000000.0,2024-2025,laliga
unai gomez,Attacking Midfield,Athletic Bilbao,1.83,6000000.0,2024-2025,laliga
peio canales,Attacking Midfield,Athletic Bilbao,1.75,1000000.0,2024-2025,laliga
nico williams,Left Winger,Athletic Bilbao,1.81,70000000.0,2024-2025,laliga
alex berenguer,Left Winger,Athletic Bilbao,1.75,9000000.0,2024-2025,laliga
alvaro djalo,Left Winger,Athletic Bilbao,1.75,5000000.0,2024-2025,laliga
nico serrano,Left Winger,Athletic Bilbao,1.76,1200000.0,2024-2025,laliga
iker varela,Left Winger,Athletic Bilbao,1.88,300000.0,2024-2025,laliga
inaki williams,Right Winger,Athletic Bilbao,1.86,15000000.0,2024-2025,laliga
adu ares,Right Winger,Athletic Bilbao,1.83,1600000.0,2024-2025,laliga
aingeru olabarrieta,Right Winger,Athletic Bilbao,1.82,500000.0,2024-2025,laliga
endika bujan,Right Winger,Athletic Bilbao,1.7,300000.0,2024-2025,laliga
maroan sannadi,Centre-Forward,Athletic Bilbao,1.92,10000000.0,2024-2025,laliga
gorka guruzeta,Centre-Forward,Athletic Bilbao,1.88,9000000.0,2024-2025,laliga
javi marton,Centre-Forward,Athletic Bilbao,1.81,500000.0,2024-2025,laliga
alex remiro,Goalkeeper,Real Sociedad,1.91,18000000.0,2024-2025,laliga
unai marrero,Goalkeeper,Real Sociedad,1.89,600000.0,2024-2025,laliga
aitor fraga,Goalkeeper,Real Sociedad,,500000.0,2024-2025,laliga
egoitz arana,Goalkeeper,Real Sociedad,1.97,50000.0,2024-2025,laliga
nayef aguerd,Centre-Back,Real Sociedad,1.9,18000000.0,2024-2025,laliga
igor zubeldia,Centre-Back,Real Sociedad,1.81,12000000.0,2024-2025,laliga
jon martin,Centre-Back,Real Sociedad,1.87,8000000.0,2024-2025,laliga
jon pacheco,Centre-Back,Real Sociedad,1.84,6000000.0,2024-2025,laliga
aritz elustondo,Centre-Back,Real Sociedad,1.8,3000000.0,2024-2025,laliga
luken beitia,Centre-Back,Real Sociedad,,300000.0,2024-2025,laliga
javi lopez,Left-Back,Real Sociedad,1.83,7500000.0,2024-2025,laliga
aihen munoz,Left-Back,Real Sociedad,1.75,4000000.0,2024-2025,laliga
jon balda,Left-Back,Real Sociedad,1.74,300000.0,2024-2025,laliga
jon aramburu,Right-Back,Real Sociedad,1.76,15000000.0,2024-2025,laliga
hamari traore,Right-Back,Real Sociedad,1.75,2000000.0,2024-2025,laliga
alvaro odriozola,Right-Back,Real Sociedad,1.76,1000000.0,2024-2025,laliga
inaki ruperez,Right-Back,Real Sociedad,,300000.0,2024-2025,laliga
martin zubimendi,Defensive Midfield,Real Sociedad,1.81,60000000.0,2024-2025,laliga
urko gonzalez de zarate,Defensive Midfield,Real Sociedad,1.89,5000000.0,2024-2025,laliga
luka sucic,Central Midfield,Real Sociedad,1.85,15000000.0,2024-2025,laliga
benat turrientes,Central Midfield,Real Sociedad,1.81,10000000.0,2024-2025,laliga
jon ander olasagasti,Central Midfield,Real Sociedad,1.76,4000000.0,2024-2025,laliga
mikel rodriguez,Central Midfield,Real Sociedad,,250000.0,2024-2025,laliga
brais mendez,Attacking Midfield,Real Sociedad,1.84,22000000.0,2024-2025,laliga
arsen zakharyan,Attacking Midfield,Real Sociedad,1.83,9000000.0,2024-2025,laliga
pablo marin,Attacking Midfield,Real Sociedad,1.78,8000000.0,2024-2025,laliga
jon magunazelaia,Attacking Midfield,Real Sociedad,1.8,600000.0,2024-2025,laliga
mikel goti,Attacking Midfield,Real Sociedad,1.85,400000.0,2024-2025,laliga
sergio gomez,Left Winger,Real Sociedad,1.71,20000000.0,2024-2025,laliga
ander barrenetxea,Left Winger,Real Sociedad,1.75,15000000.0,2024-2025,laliga
sheraldo becker,Left Winger,Real Sociedad,1.8,2500000.0,2024-2025,laliga
arkaitz mariezkurrena,Left Winger,Real Sociedad,,700000.0,2024-2025,laliga
alex marchal,Left Winger,Real Sociedad,,500000.0,2024-2025,laliga
takefusa kubo,Right Winger,Real Sociedad,1.73,30000000.0,2024-2025,laliga
dani diaz,Right Winger,Real Sociedad,1.67,300000.0,2024-2025,laliga
mikel oyarzabal,Centre-Forward,Real Sociedad,1.81,25000000.0,2024-2025,laliga
orri oskarsson,Centre-Forward,Real Sociedad,1.86,15000000.0,2024-2025,laliga
umar sadiq,Centre-Forward,Real Sociedad,1.91,5000000.0,2024-2025,laliga
ekain orobengoa,Centre-Forward,Real Sociedad,,250000.0,2024-2025,laliga
rui silva,Goalkeeper,Real Betis Balompié,1.91,7000000.0,2024-2025,laliga
fran vieites,Goalkeeper,Real Betis Balompié,1.96,2000000.0,2024-2025,laliga
adrian,Goalkeeper,Real Betis Balompié,1.9,500000.0,2024-2025,laliga
guilherme fernandes,Goalkeeper,Real Betis Balompié,1.91,150000.0,2024-2025,laliga
german garcia,Goalkeeper,Real Betis Balompié,,50000.0,2024-2025,laliga
manu gonzalez,Goalkeeper,Real Betis Balompié,,,2024-2025,laliga
natan,Centre-Back,Real Betis Balompié,1.88,9000000.0,2024-2025,laliga
diego llorente,Centre-Back,Real Betis Balompié,1.86,6000000.0,2024-2025,laliga
nobel mendy,Centre-Back,Real Betis Balompié,1.87,4000000.0,2024-2025,laliga
marc bartra,Centre-Back,Real Betis Balompié,1.84,1000000.0,2024-2025,laliga
sergio arribas,Centre-Back,Real Betis Balompié,1.85,400000.0,2024-2025,laliga
rudy kohon,Centre-Back,Real Betis Balompié,1.87,400000.0,2024-2025,laliga
