Player,Squad,Season,Competition,Pos,Min,MP,Starts,Value,performance_score,penalty_score,adjusted_score,Evaluated_Position
aaron ramsdale,arsenal,2022-2023,premier-league,Goalkeeper,3420.0,38.0,38.0,40000000.0,0.15660150013256074,0.0089,0.14770150013256075,Goalkeeper
inaki pena,barcelona,2022-2023,laliga,Goalkeeper,73.0,2.0,0.0,4000000.0,0.3534585951769446,0.0615,0.2919585951769446,Goalkeeper
lennart grill,union berlin,2022-2023,bundesliga,Goalkeeper,450.0,5.0,5.0,1000000.0,0.36503577001746557,0.010000000000000002,0.35503577001746556,Goalkeeper
sergio herrera,osasuna,2022-2023,laliga,Goalkeeper,1530.0,17.0,17.0,8000000.0,0.3860132924968572,0.0132,0.3728132924968572,Goalkeeper
marco carnesecchi,cremonese,2022-2023,serie-a,Goalkeeper,2430.0,27.0,27.0,13000000.0,0.14977070042419433,0.0047,0.14507070042419432,Goalkeeper
alphonse areola,west ham,2022-2023,premier-league,Goalkeeper,309.0,5.0,2.0,8000000.0,0.13132030249214172,0.0029,0.1284203024921417,Goalkeeper
jan oblak,atlético madrid,2022-2023,laliga,Goalkeeper,2492.0,28.0,28.0,35000000.0,0.36887146153180284,0.0012,0.36767146153180286,Goalkeeper
joel robles,leeds united,2022-2023,premier-league,Goalkeeper,360.0,4.0,4.0,1000000.0,0.1409520984888077,0.02,0.12095209848880768,Goalkeeper
asmir begovic,everton,2022-2023,premier-league,Goalkeeper,90.0,1.0,1.0,800000.0,0.16273249933719636,0.0,0.16273249933719636,Goalkeeper
dean henderson,nott'ham forest,2022-2023,premier-league,Goalkeeper,1620.0,18.0,18.0,18000000.0,0.15527630090141298,0.0075,0.14777630090141297,Goalkeeper
simone perilli,hellas verona,2022-2023,serie-a,Goalkeeper,90.0,1.0,1.0,200000.0,0.11705889998674393,0.0,0.11705889998674393,Goalkeeper
francesco bardi,bologna,2022-2023,serie-a,Goalkeeper,90.0,1.0,1.0,400000.0,0.1303473028898239,0.02,0.1103473028898239,Goalkeeper
kepa arrizabalaga,real madrid,2023-2024,laliga,Goalkeeper,1198.0,14.0,13.0,12000000.0,0.3159411353585644,0.0024,0.31354113535856437,Goalkeeper
janis blaswich,rb leipzig,2023-2024,bundesliga,Goalkeeper,1890.0,21.0,21.0,2000000.0,0.33554570682688784,0.0075000000000000015,0.32804570682688783,Goalkeeper
koen casteels,wolfsburg,2023-2024,bundesliga,Goalkeeper,2250.0,25.0,25.0,6000000.0,0.3500704331386576,0.013200000000000002,0.3368704331386576,Goalkeeper
jason steele,brighton,2023-2024,premier-league,Goalkeeper,1530.0,17.0,17.0,3500000.0,0.13917613770071513,0.003,0.13617613770071513,Goalkeeper
alexander nubel,stuttgart,2023-2024,bundesliga,Goalkeeper,2700.0,30.0,30.0,12000000.0,0.3767115917260362,0.0074,0.36931159172603617,Goalkeeper
andriy lunin,real madrid,2023-2024,laliga,Goalkeeper,1890.0,21.0,21.0,25000000.0,0.35338410178397106,0.0055000000000000005,0.34788410178397106,Goalkeeper
robert sanchez,chelsea,2023-2024,premier-league,Goalkeeper,1433.0,16.0,16.0,20000000.0,0.13692497692894834,0.014000000000000002,0.12292497692894834,Goalkeeper
luca gemello,torino,2023-2024,serie-a,Goalkeeper,180.0,2.0,2.0,300000.0,0.1389223119117149,0.025,0.1139223119117149,Goalkeeper
juan musso,atalanta,2023-2024,serie-a,Goalkeeper,990.0,11.0,11.0,5000000.0,0.13589093445208286,0.0027,0.13319093445208285,Goalkeeper
matt turner,nott'ham forest,2023-2024,premier-league,Goalkeeper,1530.0,17.0,17.0,7000000.0,0.12658667580906768,0.0162,0.11038667580906769,Goalkeeper
martin dubravka,newcastle utd,2023-2024,premier-league,Goalkeeper,1985.0,23.0,22.0,1000000.0,0.13526408505557583,0.006300000000000001,0.12896408505557583,Goalkeeper
filip jrgensen,villarreal,2023-2024,laliga,Goalkeeper,3240.0,36.0,36.0,20000000.0,0.3560514081719637,0.009600000000000001,0.3464514081719637,Goalkeeper
daniele padelli,udinese,2024-2025,serie-a,Goalkeeper,90.0,1.0,1.0,150000.0,0.08654997420375901,0.0,0.08654997420375901,Goalkeeper
antonio sivera,alavés,2024-2025,laliga,Goalkeeper,2810.0,32.0,32.0,6000000.0,0.371774889967657,0.01,0.361774889967657,Goalkeeper
manuel neuer,bayern munich,2024-2025,bundesliga,Goalkeeper,1980.0,22.0,22.0,4000000.0,0.3217534439763716,0.0025000000000000005,0.3192534439763716,Goalkeeper
matej kovar,leverkusen,2024-2025,bundesliga,Goalkeeper,450.0,5.0,5.0,5000000.0,0.2967258738917927,0.010000000000000002,0.2867258738917927,Goalkeeper
ukasz skorupski,bologna,2024-2025,serie-a,Goalkeeper,2364.0,27.0,27.0,2500000.0,0.11822007945838899,0.0056,0.11262007945838899,Goalkeeper
josep martinez,inter,2024-2025,serie-a,Goalkeeper,450.0,5.0,5.0,12000000.0,0.10510858442484036,0.0,0.10510858442484036,Goalkeeper
marcandre ter stegen,barcelona,2024-2025,laliga,Goalkeeper,674.0,8.0,8.0,12000000.0,0.30180959355121717,0.013500000000000002,0.28830959355121716,Goalkeeper
lukas hradecky,leverkusen,2024-2025,bundesliga,Goalkeeper,2610.0,29.0,29.0,2000000.0,0.3588967181721213,0.0044,0.3544967181721213,Goalkeeper
juan musso,atlético madrid,2024-2025,laliga,Goalkeeper,180.0,2.0,2.0,3500000.0,0.2720543251293456,0.0,0.2720543251293456,Goalkeeper
vicente guaita,celta vigo,2024-2025,laliga,Goalkeeper,3060.0,34.0,34.0,700000.0,0.37027087310573553,0.005999999999999999,0.3642708731057355,Goalkeeper
kepa arrizabalaga,bournemouth,2024-2025,premier-league,Goalkeeper,2790.0,31.0,31.0,10000000.0,0.11473918977740048,0.0086,0.10613918977740049,Goalkeeper
christos mandas,lazio,2024-2025,serie-a,Goalkeeper,810.0,9.0,9.0,10000000.0,0.11558902907216644,0.0022,0.11338902907216644,Goalkeeper
simone scuffet,napoli,2024-2025,serie-a,Goalkeeper,90.0,1.0,1.0,2000000.0,0.11300701653420006,0.0,0.11300701653420006,Goalkeeper
david garcia,osasuna,2022-2023,laliga,Centre-Back,2680.0,32.0,31.0,20000000.0,0.29983635060752195,0.0333,0.26653635060752195,Centre-Back
ozan kabak,hoffenheim,2022-2023,bundesliga,Centre-Back,2388.0,30.0,28.0,10000000.0,0.27700279895286367,0.0568,0.22020279895286365,Centre-Back
rafael toloi,atalanta,2022-2023,serie-a,Centre-Back,2784.0,32.0,32.0,6000000.0,0.32865421476060364,0.0316,0.2970542147606036,Centre-Back
gary medel,bologna,2022-2023,serie-a,Centre-Back,1478.0,29.0,17.0,800000.0,0.2124473700409072,0.0291,0.18334737004090718,Centre-Back
william saliba,arsenal,2022-2023,premier-league,Centre-Back,2415.0,27.0,27.0,65000000.0,0.2586842750496454,0.0291,0.2295842750496454,Centre-Back
waldemar anton,stuttgart,2022-2023,bundesliga,Centre-Back,2934.0,34.0,34.0,4500000.0,0.34679784051080714,0.0339,0.31289784051080716,Centre-Back
juan jesus,napoli,2022-2023,serie-a,Centre-Back,933.0,15.0,10.0,3500000.0,0.2547971301307034,0.022099999999999998,0.23269713013070337,Centre-Back
federico fernandez,elche,2022-2023,laliga,Centre-Back,90.0,1.0,1.0,700000.0,0.1759428369028842,0.01,0.1659428369028842,Centre-Back
malick thiaw,milan,2022-2023,serie-a,Centre-Back,1362.0,20.0,15.0,20000000.0,0.25453546622494144,0.030500000000000003,0.22403546622494144,Centre-Back
gleison bremer,juventus,2022-2023,serie-a,Centre-Back,2634.0,30.0,30.0,40000000.0,0.30537997134641526,0.031299999999999994,0.27407997134641526,Centre-Back
danilo,juventus,2022-2023,serie-a,Centre-Back,3184.0,37.0,35.0,15000000.0,0.4049033423914887,0.0262,0.3787033423914887,Centre-Back
santiago bueno,girona,2022-2023,laliga,Centre-Back,3010.0,34.0,34.0,8000000.0,0.29924373063080395,0.0258,0.27344373063080396,Centre-Back
diego coppola,hellas verona,2022-2023,serie-a,Centre-Back,1177.0,19.0,11.0,4000000.0,0.19958464282735058,0.0281,0.1714846428273506,Centre-Back
felix garreta,betis,2022-2023,laliga,Centre-Back,90.0,1.0,1.0,200000.0,0.14822826511905576,0.02,0.12822826511905577,Centre-Back
dennis hadzikadunic,mallorca,2022-2023,laliga,Centre-Back,614.0,8.0,7.0,3000000.0,0.16278652836559582,0.0162,0.14658652836559583,Centre-Back
chris mepham,bournemouth,2022-2023,premier-league,Centre-Back,2199.0,26.0,24.0,8000000.0,0.28787743325135107,0.019200000000000002,0.26867743325135107,Centre-Back
gian marco ferrari,sassuolo,2022-2023,serie-a,Centre-Back,2223.0,33.0,24.0,2000000.0,0.2524332176158604,0.0293,0.2231332176158604,Centre-Back
unai nunez,celta vigo,2022-2023,laliga,Centre-Back,3151.0,36.0,35.0,6000000.0,0.28824168395860666,0.0216,0.26664168395860666,Centre-Back
maximilian wober,leeds united,2022-2023,premier-league,Centre-Back,1266.0,16.0,14.0,14000000.0,0.2555166165888777,0.0276,0.22791661658887769,Centre-Back
antonio rudiger,real madrid,2022-2023,laliga,Centre-Back,2415.0,33.0,26.0,32000000.0,0.24542409190633566,0.0104,0.23502409190633566,Centre-Back
renato veiga,augsburg,2022-2023,bundesliga,Centre-Back,639.0,13.0,7.0,1000000.0,0.2024755104196072,0.0534,0.1490755104196072,Centre-Back
carlos dominguez,celta vigo,2022-2023,laliga,Centre-Back,108.0,3.0,1.0,800000.0,0.2159202021565312,0.0166,0.1993202021565312,Centre-Back
adam webster,brighton,2022-2023,premier-league,Centre-Back,1985.0,27.0,23.0,25000000.0,0.2849401348355722,0.0258,0.2591401348355722,Centre-Back
tanguy nianzou,sevilla,2022-2023,laliga,Centre-Back,1366.0,19.0,16.0,7500000.0,0.21643828539289467,0.034300000000000004,0.18213828539289467,Centre-Back
andrew gravillon,torino,2022-2023,serie-a,Centre-Back,312.0,7.0,4.0,4000000.0,0.1804483758811486,0.0579,0.12254837588114859,Centre-Back
caleb okoli,atalanta,2022-2023,serie-a,Centre-Back,960.0,17.0,9.0,10000000.0,0.21386470957105735,0.0572,0.15666470957105735,Centre-Back
kenneth schmidt,freiburg,2022-2023,bundesliga,Centre-Back,251.0,5.0,3.0,3000000.0,0.1625675861527122,0.032299999999999995,0.1302675861527122,Centre-Back
gabriel magalhaes,arsenal,2022-2023,premier-league,Centre-Back,3409.0,38.0,38.0,55000000.0,0.29322570582719,0.0217,0.27152570582719,Centre-Back
fabian schar,newcastle utd,2022-2023,premier-league,Centre-Back,3206.0,36.0,36.0,10000000.0,0.3265572100775017,0.021200000000000004,0.3053572100775017,Centre-Back
mario gila,lazio,2023-2024,serie-a,Centre-Back,1809.0,21.0,21.0,13000000.0,0.20659494452404062,0.0329,0.1736949445240406,Centre-Back
attila szalai,freiburg,2023-2024,bundesliga,Centre-Back,103.0,3.0,0.0,4000000.0,0.15757017639489107,0.07850000000000001,0.07907017639489106,Centre-Back
kurt zouma,west ham,2023-2024,premier-league,Centre-Back,2838.0,33.0,32.0,25000000.0,0.18916361078355415,0.0167,0.17246361078355416,Centre-Back
leo skiri stigard,napoli,2023-2024,serie-a,Centre-Back,1625.0,25.0,18.0,8000000.0,0.20466021208859528,0.016100000000000003,0.18856021208859527,Centre-Back
saba sazonov,torino,2023-2024,serie-a,Centre-Back,356.0,12.0,2.0,2800000.0,0.13531811765674062,0.0482,0.08711811765674063,Centre-Back
tyrone mings,aston villa,2023-2024,premier-league,Centre-Back,30.0,1.0,1.0,13000000.0,0.15672524928646422,0.03,0.12672524928646423,Centre-Back
alessandro dellavalle,torino,2023-2024,serie-a,Centre-Back,15.0,1.0,0.0,800000.0,0.28919103189092277,0.0,0.28919103189092277,Centre-Back
timo hubers,köln,2023-2024,bundesliga,Centre-Back,2778.0,31.0,31.0,5500000.0,0.32353803151044336,0.0297,0.29383803151044335,Centre-Back
aritz elustondo,real sociedad,2023-2024,laliga,Centre-Back,812.0,15.0,7.0,5000000.0,0.15979574457207754,0.026500000000000003,0.13329574457207755,Centre-Back
juanpe,girona,2023-2024,laliga,Centre-Back,746.0,17.0,6.0,1000000.0,0.19347068061974454,0.0336,0.15987068061974455,Centre-Back
andreas christensen,barcelona,2023-2024,laliga,Centre-Back,1979.0,30.0,27.0,40000000.0,0.23703607598470197,0.0281,0.20893607598470199,Centre-Back
sam beukema,bologna,2023-2024,serie-a,Centre-Back,2547.0,30.0,29.0,18000000.0,0.24016898507303977,0.0276,0.21256898507303978,Centre-Back
thiago silva,chelsea,2023-2024,premier-league,Centre-Back,2527.0,31.0,28.0,1000000.0,0.2667642648162596,0.0181,0.24866426481625958,Centre-Back
axel disasi,chelsea,2023-2024,premier-league,Centre-Back,2579.0,31.0,29.0,40000000.0,0.2806849509172257,0.029699999999999997,0.25098495091722567,Centre-Back
eric garcia,barcelona,2023-2024,laliga,Centre-Back,57.0,2.0,0.0,20000000.0,0.17549035874721913,0.0632,0.11229035874721913,Centre-Back
danaxel zagadou,stuttgart,2023-2024,bundesliga,Centre-Back,1453.0,19.0,16.0,10000000.0,0.22649519550233455,0.0196,0.20689519550233454,Centre-Back
dominik kohr,mainz 05,2023-2024,bundesliga,Centre-Back,2184.0,31.0,27.0,3000000.0,0.2516589656249767,0.0547,0.1969589656249767,Centre-Back
clement lenglet,aston villa,2023-2024,premier-league,Centre-Back,1153.0,14.0,14.0,10000000.0,0.1891502218337466,0.0201,0.1690502218337466,Centre-Back
ohis felix uduokhai,augsburg,2023-2024,bundesliga,Centre-Back,2921.0,33.0,33.0,7000000.0,0.23486511879098773,0.028999999999999998,0.20586511879098773,Centre-Back
julian malatini,werder bremen,2023-2024,bundesliga,Centre-Back,602.0,11.0,6.0,2500000.0,0.1588740167438783,0.044899999999999995,0.1139740167438783,Centre-Back
koni de winter,genoa,2023-2024,serie-a,Centre-Back,2380.0,29.0,26.0,12000000.0,0.212339307645772,0.0441,0.168239307645772,Centre-Back
eric garcia,girona,2023-2024,laliga,Centre-Back,2637.0,30.0,30.0,20000000.0,0.31432934033187065,0.0279,0.2864293403318707,Centre-Back
david zima,torino,2023-2024,serie-a,Centre-Back,91.0,5.0,0.0,4000000.0,0.08194703574594668,0.029700000000000004,0.05224703574594668,Centre-Back
joe worrall,nott'ham forest,2023-2024,premier-league,Centre-Back,439.0,7.0,5.0,7500000.0,0.11826145407904913,0.037700000000000004,0.08056145407904913,Centre-Back
william saliba,arsenal,2023-2024,premier-league,Centre-Back,3420.0,38.0,38.0,80000000.0,0.2723738864092077,0.0257,0.24667388640920768,Centre-Back
igor zubeldia,real sociedad,2023-2024,laliga,Centre-Back,2518.0,30.0,29.0,22000000.0,0.2547540988941548,0.0438,0.21095409889415478,Centre-Back
martin erlic,sassuolo,2023-2024,serie-a,Centre-Back,2618.0,32.0,31.0,3000000.0,0.212068112741906,0.020300000000000002,0.191768112741906,Centre-Back
maxim leitsch,mainz 05,2023-2024,bundesliga,Centre-Back,379.0,7.0,4.0,1500000.0,0.14161862554120272,0.0071,0.13451862554120272,Centre-Back
robin knoche,union berlin,2023-2024,bundesliga,Centre-Back,1917.0,24.0,20.0,2500000.0,0.19948106325305082,0.0137,0.18578106325305083,Centre-Back
jarell quansah,liverpool,2023-2024,premier-league,Centre-Back,1190.0,17.0,13.0,22000000.0,0.22628295474939553,0.0193,0.20698295474939551,Centre-Back
carlos dominguez,celta vigo,2024-2025,laliga,Centre-Back,1181.0,19.0,13.0,3000000.0,0.20829543386703395,0.016300000000000002,0.19199543386703394,Centre-Back
federico barba,como,2024-2025,serie-a,Centre-Back,431.0,7.0,5.0,500000.0,0.09898468431792457,0.012599999999999998,0.08638468431792456,Centre-Back
samuel gigot,lazio,2024-2025,serie-a,Centre-Back,683.0,15.0,7.0,3000000.0,0.15651208897859792,0.0262,0.13031208897859792,Centre-Back
natan,betis,2024-2025,laliga,Centre-Back,2175.0,31.0,23.0,9000000.0,0.2624980757456523,0.035,0.2274980757456523,Centre-Back
sam beukema,bologna,2024-2025,serie-a,Centre-Back,3012.0,35.0,33.0,28000000.0,0.24737881183367752,0.017699999999999997,0.22967881183367753,Centre-Back
inigo martinez,barcelona,2024-2025,laliga,Centre-Back,2490.0,28.0,28.0,5000000.0,0.2887001277818091,0.0201,0.2686001277818091,Centre-Back
axel disasi,aston villa,2024-2025,premier-league,Centre-Back,490.0,7.0,5.0,22000000.0,0.14226968804376314,0.029500000000000002,0.11276968804376314,Centre-Back
harry maguire,manchester utd,2024-2025,premier-league,Centre-Back,1758.0,27.0,19.0,13000000.0,0.24229427959576877,0.0296,0.21269427959576875,Centre-Back
kevin akpoguma,hoffenheim,2024-2025,bundesliga,Centre-Back,2220.0,32.0,23.0,2500000.0,0.2495383918248133,0.027399999999999997,0.2221383918248133,Centre-Back
raul albiol,villarreal,2024-2025,laliga,Centre-Back,1188.0,15.0,14.0,1000000.0,0.16920066589446392,0.027600000000000003,0.1416006658944639,Centre-Back
lautaro valenti,parma,2024-2025,serie-a,Centre-Back,1556.0,20.0,18.0,1500000.0,0.16233573856227915,0.0386,0.12373573856227915,Centre-Back
leny yoro,manchester utd,2024-2025,premier-league,Centre-Back,1165.0,21.0,12.0,55000000.0,0.17655481194634573,0.027200000000000002,0.14935481194634573,Centre-Back
victor lindelof,manchester utd,2024-2025,premier-league,Centre-Back,704.0,16.0,6.0,8000000.0,0.12796531190041294,0.031000000000000003,0.09696531190041294,Centre-Back
micky van de ven,tottenham,2024-2025,premier-league,Centre-Back,1015.0,13.0,12.0,50000000.0,0.16516655059802668,0.0371,0.12806655059802668,Centre-Back
diego coppola,hellas verona,2024-2025,serie-a,Centre-Back,2927.0,34.0,33.0,10000000.0,0.26313788053933723,0.0319,0.23123788053933725,Centre-Back
lloyd kelly,newcastle utd,2024-2025,premier-league,Centre-Back,303.0,10.0,4.0,16000000.0,0.1382510561410806,0.05329999999999999,0.08495105614108062,Centre-Back
julian malatini,werder bremen,2024-2025,bundesliga,Centre-Back,454.0,10.0,5.0,2500000.0,0.1540449130639883,0.0337,0.12034491306398828,Centre-Back
ayden heaven,manchester utd,2024-2025,premier-league,Centre-Back,170.0,4.0,2.0,5000000.0,0.12226084399023422,0.0636,0.05866084399023422,Centre-Back
jahmai simpsonpusey,manchester city,2024-2025,premier-league,Centre-Back,96.0,2.0,1.0,5000000.0,0.07286616086921348,0.037599999999999995,0.035266160869213484,Centre-Back
ibrahima konate,liverpool,2024-2025,premier-league,Centre-Back,2560.0,31.0,30.0,60000000.0,0.27043611789682165,0.0246,0.24583611789682164,Centre-Back
kevin vogt,union berlin,2024-2025,bundesliga,Centre-Back,1367.0,18.0,16.0,1000000.0,0.1674086458730528,0.028000000000000004,0.1394086458730528,Centre-Back
noahkai banks,augsburg,2024-2025,bundesliga,Centre-Back,278.0,8.0,2.0,6000000.0,0.1333255047960192,0.038900000000000004,0.0944255047960192,Centre-Back
koni de winter,genoa,2024-2025,serie-a,Centre-Back,2135.0,25.0,23.0,22000000.0,0.26224399550236827,0.0461,0.21614399550236826,Centre-Back
adam obert,cagliari,2024-2025,serie-a,Centre-Back,1077.0,21.0,13.0,3000000.0,0.2065527425725682,0.0701,0.1364527425725682,Centre-Back
stanley nsoki,hoffenheim,2024-2025,bundesliga,Centre-Back,1308.0,22.0,16.0,2500000.0,0.18535634141419813,0.04990000000000001,0.13545634141419813,Centre-Back
rafa marin,napoli,2024-2025,serie-a,Centre-Back,142.0,4.0,1.0,7000000.0,0.10980122565704256,0.0379,0.07190122565704256,Centre-Back
dan burn,newcastle utd,2024-2025,premier-league,Centre-Back,3330.0,37.0,37.0,6000000.0,0.23776962998809176,0.0318,0.20596962998809176,Centre-Back
francesco acerbi,inter,2024-2025,serie-a,Centre-Back,1710.0,23.0,20.0,3000000.0,0.21272539161895626,0.0117,0.20102539161895627,Centre-Back
hauke wahl,st. pauli,2024-2025,bundesliga,Centre-Back,2970.0,33.0,33.0,1500000.0,0.22130617587787765,0.0192,0.20210617587787766,Centre-Back
gabriel magalhaes,arsenal,2024-2025,premier-league,Centre-Back,2363.0,28.0,28.0,75000000.0,0.20680234817559398,0.0207,0.18610234817559398,Centre-Back
pau navarro,villarreal,2024-2025,laliga,Centre-Back,916.0,17.0,8.0,3000000.0,0.14960471790620725,0.0245,0.12510471790620725,Centre-Back
jarell quansah,liverpool,2024-2025,premier-league,Centre-Back,495.0,13.0,4.0,20000000.0,0.14458680293485032,0.05249999999999999,0.09208680293485033,Centre-Back
pervis estupinan,brighton,2022-2023,premier-league,Left-Back,2675.0,35.0,31.0,32000000.0,0.2527947100297456,0.051899999999999995,0.20089471002974557,Left-Back
alex moreno,aston villa,2022-2023,premier-league,Left-Back,1329.0,19.0,14.0,15000000.0,0.2164632402611382,0.0706,0.1458632402611382,Left-Back
jaume costa,mallorca,2022-2023,laliga,Left-Back,2599.0,32.0,30.0,1200000.0,0.1789711433584028,0.0408,0.1381711433584028,Left-Back
sergio reguilon,atlético madrid,2022-2023,laliga,Left-Back,309.0,11.0,2.0,10000000.0,0.11870030926772011,0.0988,0.019900309267720115,Left-Back
tyrick mitchell,crystal palace,2022-2023,premier-league,Left-Back,2891.0,36.0,34.0,22000000.0,0.2050391340755752,0.039599999999999996,0.1654391340755752,Left-Back
ben chilwell,chelsea,2022-2023,premier-league,Left-Back,1408.0,23.0,15.0,35000000.0,0.20155913442949075,0.053,0.14855913442949076,Left-Back
toni lato,valencia,2022-2023,laliga,Left-Back,914.0,24.0,9.0,2500000.0,0.1273137662466898,0.0267,0.1006137662466898,Left-Back
federico dimarco,inter,2022-2023,serie-a,Left-Back,2069.0,33.0,26.0,35000000.0,0.21353703495960244,0.022600000000000002,0.19093703495960243,Left-Back
kieran tierney,arsenal,2022-2023,premier-league,Left-Back,795.0,27.0,6.0,25000000.0,0.1642899109368396,0.013600000000000001,0.1506899109368396,Left-Back
david raum,rb leipzig,2022-2023,bundesliga,Left-Back,1685.0,28.0,19.0,14000000.0,0.2468843219502585,0.040499999999999994,0.20638432195025852,Left-Back
pep chavarria,rayo vallecano,2022-2023,laliga,Left-Back,366.0,16.0,2.0,1500000.0,0.16082039049645644,0.0713,0.08952039049645644,Left-Back
stefan radu,lazio,2022-2023,serie-a,Left-Back,1.0,1.0,0.0,300000.0,0.16754378156056154,2.6999999999999997,-2.5324562184394384,Left-Back
ferland mendy,real madrid,2023-2024,laliga,Left-Back,1720.0,23.0,21.0,22000000.0,0.22930286718288187,0.044300000000000006,0.18500286718288186,Left-Back
matias vina,sassuolo,2023-2024,serie-a,Left-Back,1014.0,15.0,13.0,8000000.0,0.2578156783109141,0.041800000000000004,0.21601567831091412,Left-Back
paulo azzi,cagliari,2023-2024,serie-a,Left-Back,950.0,25.0,9.0,1000000.0,0.25897378906936275,0.030100000000000002,0.22887378906936273,Left-Back
davide bartesaghi,milan,2023-2024,serie-a,Left-Back,79.0,6.0,0.0,1000000.0,0.20998447080068763,0.06839999999999999,0.14158447080068765,Left-Back
kieran tierney,real sociedad,2023-2024,laliga,Left-Back,1238.0,20.0,14.0,12000000.0,0.27140964824636205,0.0204,0.25100964824636207,Left-Back
rico henry,brentford,2023-2024,premier-league,Left-Back,401.0,5.0,5.0,20000000.0,0.2161656078507415,0.07600000000000001,0.14016560785074147,Left-Back
rogerio,wolfsburg,2023-2024,bundesliga,Left-Back,906.0,13.0,10.0,5000000.0,0.27489481629801366,0.0397,0.23519481629801364,Left-Back
owen beck,liverpool,2023-2024,premier-league,Left-Back,8.0,1.0,0.0,1250000.0,0.20007665529439703,0.1125,0.08757665529439702,Left-Back
raphael guerreiro,bayern munich,2023-2024,bundesliga,Left-Back,1191.0,20.0,13.0,12000000.0,0.26655575715285507,0.035,0.23155575715285506,Left-Back
destiny udogie,tottenham,2023-2024,premier-league,Left-Back,2391.0,28.0,28.0,45000000.0,0.3331492219262562,0.0785,0.25464922192625616,Left-Back
carlos romero,villarreal,2023-2024,laliga,Left-Back,262.0,7.0,2.0,1500000.0,0.21177012893240424,0.048100000000000004,0.16367012893240424,Left-Back
sergio reguilon,brentford,2023-2024,premier-league,Left-Back,1118.0,16.0,14.0,12000000.0,0.3151570344837604,0.0554,0.2597570344837604,Left-Back
julio soler,bournemouth,2024-2025,premier-league,Left-Back,11.0,3.0,0.0,8000000.0,0.25651205714001957,0.0818,0.17471205714001958,Left-Back
marco sala,como,2024-2025,serie-a,Left-Back,261.0,8.0,3.0,900000.0,0.1980299305858315,0.058300000000000005,0.1397299305858315,Left-Back
charalampos lykogiannis,bologna,2024-2025,serie-a,Left-Back,1048.0,17.0,12.0,1500000.0,0.24902757021902414,0.0321,0.21692757021902415,Left-Back
paulo azzi,cagliari,2024-2025,serie-a,Left-Back,426.0,6.0,5.0,800000.0,0.19544951797060334,0.0465,0.14894951797060335,Left-Back
antonee robinson,fulham,2024-2025,premier-league,Left-Back,3167.0,36.0,35.0,35000000.0,0.3807084462553942,0.0426,0.33810844625539416,Left-Back
ramon hendriks,stuttgart,2024-2025,bundesliga,Left-Back,1154.0,25.0,10.0,5000000.0,0.20267300653869988,0.027200000000000002,0.17547300653869988,Left-Back
dimitris giannoulis,augsburg,2024-2025,bundesliga,Left-Back,2650.0,31.0,31.0,3000000.0,0.3329586418152728,0.0393,0.2936586418152728,Left-Back
carlos augusto,inter,2024-2025,serie-a,Left-Back,1625.0,28.0,15.0,26000000.0,0.22744839214095963,0.0312,0.19624839214095963,Left-Back
pervis estupinan,brighton,2024-2025,premier-league,Left-Back,2402.0,30.0,26.0,30000000.0,0.3024786612343844,0.055600000000000004,0.24687866123438437,Left-Back
aihen munoz,real sociedad,2024-2025,laliga,Left-Back,1098.0,21.0,13.0,4000000.0,0.1993092869510695,0.0378,0.1615092869510695,Left-Back
samuel dahl,roma,2024-2025,serie-a,Left-Back,43.0,2.0,0.0,7000000.0,0.1376809457147434,0.06280000000000001,0.0748809457147434,Left-Back
ryan sessegnon,fulham,2024-2025,premier-league,Left-Back,580.0,16.0,7.0,15000000.0,0.209308225476022,0.0901,0.11920822547602199,Left-Back
giovanni gonzalez,mallorca,2022-2023,laliga,Right-Back,926.0,15.0,9.0,2000000.0,0.18908928554461857,0.0409,0.14818928554461858,Right-Back
arnau martinez,girona,2022-2023,laliga,Right-Back,2732.0,33.0,32.0,15000000.0,0.3101486994992649,0.049300000000000004,0.26084869949926487,Right-Back
robert gumny,augsburg,2022-2023,bundesliga,Right-Back,2015.0,29.0,23.0,3500000.0,0.2117465411945233,0.0461,0.1656465411945233,Right-Back
pascal stenzel,stuttgart,2022-2023,bundesliga,Right-Back,333.0,12.0,3.0,1500000.0,0.2747576492691889,0.0216,0.2531576492691889,Right-Back
filippo terracciano,hellas verona,2022-2023,serie-a,Right-Back,821.0,20.0,7.0,1500000.0,0.23313742588526665,0.0417,0.19143742588526663,Right-Back
diogo dalot,manchester utd,2022-2023,premier-league,Right-Back,2154.0,26.0,24.0,40000000.0,0.33449481771298234,0.032,0.30249481771298237,Right-Back
kyle walker,manchester city,2022-2023,premier-league,Right-Back,1958.0,27.0,22.0,13000000.0,0.2625246679818035,0.0231,0.2394246679818035,Right-Back
gonzalo montiel,sevilla,2022-2023,laliga,Right-Back,1524.0,28.0,17.0,12000000.0,0.28079201663987147,0.0555,0.22529201663987147,Right-Back
tommaso barbieri,juventus,2022-2023,serie-a,Right-Back,109.0,3.0,2.0,1200000.0,0.19273167485474207,0.08259999999999999,0.11013167485474208,Right-Back
timothy fosumensah,leverkusen,2022-2023,bundesliga,Right-Back,191.0,11.0,1.0,2000000.0,0.165488019941024,0.051699999999999996,0.113788019941024,Right-Back
tariq lamptey,brighton,2022-2023,premier-league,Right-Back,453.0,20.0,3.0,12000000.0,0.33907089979221133,0.0577,0.2813708997922113,Right-Back
