Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
junior adamu,Freiburg,198,63.5,180,68.9,70,68.6,6,33.3,2.4,1.9,-0.4,7,8,0,2024-2025,bundesliga
karim adeyemi,Dortmund,298,74.3,202,81.2,123,80.5,23,69.6,6.0,4.1,0.0,10,19,2,2024-2025,bundesliga
amine adli,Leverkusen,267,74.2,202,84.2,99,72.7,19,31.6,0.7,1.9,-0.7,9,15,4,2024-2025,bundesliga
oladapo afolayan,St. Pauli,320,69.4,185,80.0,165,78.2,55,63.6,3.8,3.6,-2.8,23,14,10,2024-2025,bundesliga
felix agu,Werder Bremen,655,79.7,379,88.7,298,81.9,81,61.7,1.8,2.5,-1.8,36,22,12,2024-2025,bundesliga
erik ahlstrand,St. Pauli,10,76.9,7,100.0,4,50.0,0,,0.0,0.0,0.0,1,0,0,2024-2025,bundesliga
kevin akpoguma,Hoffenheim,1193,87.1,507,94.1,654,91.4,159,55.3,0.3,0.6,-0.3,101,10,0,2024-2025,bundesliga
andreas albers,St. Pauli,15,51.7,18,55.6,6,66.7,2,50.0,0.1,0.1,-0.1,1,0,0,2024-2025,bundesliga
ben alexander voll,St. Pauli,28,56.0,8,100.0,14,92.9,28,25.0,0.1,0.0,-0.1,0,0,0,2024-2025,bundesliga
skelly alvero,Werder Bremen,68,74.7,41,82.9,38,78.9,5,60.0,0.0,0.1,0.0,3,3,0,2024-2025,bundesliga
aurele amenda,Eint Frankfurt,58,84.1,27,88.9,29,89.7,9,77.8,0.3,0.3,-0.3,2,0,0,2024-2025,bundesliga
nadiem amiri,Mainz 05,1371,77.0,683,89.3,641,85.2,353,50.7,6.6,9.2,-1.6,173,57,9,2024-2025,bundesliga
