Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
mergim berisha,Augsburg,10,71.4,8,75.0,3,66.7,1,100.0,0.1,0.1,-0.1,1,1,1,2023-2024,bundesliga
bernardo,Bochum,1167,71.9,639,82.6,651,76.0,240,49.2,0.5,1.3,-0.5,122,14,10,2023-2024,bundesliga
matus bero,Bochum,355,66.4,241,75.1,181,71.3,53,49.1,1.3,1.9,-0.3,37,11,2,2023-2024,bundesliga
janniklas beste,Heidenheim,543,57.3,316,76.6,292,57.5,256,45.3,5.7,6.3,5.3,26,30,17,2023-2024,bundesliga
pep biel,Augsburg,99,80.5,54,94.4,41,78.0,19,57.9,0.2,0.3,-0.2,15,4,2,2023-2024,bundesliga
tom bischof,Hoffenheim,90,80.4,53,84.9,37,89.2,11,63.6,0.8,0.8,1.2,11,4,2,2023-2024,bundesliga
leonardo bittencourt,Werder Bremen,665,80.2,367,88.0,314,83.8,98,56.1,2.9,2.7,-0.9,64,20,7,2023-2024,bundesliga
hendry blank,Dortmund,58,98.3,26,100.0,27,100.0,6,83.3,0.0,0.0,0.0,1,0,0,2023-2024,bundesliga
janis blaswich,RB Leipzig,836,87.4,183,97.8,497,99.2,274,59.5,0.1,0.1,-0.1,10,0,0,2023-2024,bundesliga
sacha boey,Bayern Munich,58,84.1,47,87.2,16,93.8,2,50.0,0.0,0.0,0.0,4,0,0,2023-2024,bundesliga
victor boniface,Leverkusen,278,72.2,209,77.5,103,84.5,24,54.2,3.7,3.3,4.3,13,13,0,2023-2024,bundesliga
leonardo bonucci,Union Berlin,190,76.6,58,87.9,118,89.0,67,46.3,0.3,0.1,-0.3,17,2,1,2023-2024,bundesliga
yvandro borges sanches,Gladbach,7,63.6,5,80.0,3,66.7,1,100.0,0.0,0.0,0.0,2,0,0,2023-2024,bundesliga
sebastiaan bornauw,Wolfsburg,737,87.5,323,93.2,413,92.5,97,52.6,0.4,0.1,-0.4,23,0,0,2023-2024,bundesliga
rafael borre,Werder Bremen,223,74.1,166,81.3,82,76.8,20,65.0,1.8,1.9,-1.8,20,9,3,2023-2024,bundesliga
julian brandt,Dortmund,1054,79.9,584,88.9,424,84.9,220,58.2,9.5,7.5,1.5,63,32,8,2023-2024,bundesliga
fabian bredlow,Stuttgart,136,76.0,39,97.4,59,98.3,81,49.4,0.0,0.0,0.0,1,0,0,2023-2024,bundesliga
tim breithaupt,Augsburg,232,82.6,122,86.1,122,90.2,23,52.2,0.1,0.3,-0.1,20,3,0,2023-2024,bundesliga
maximilian breunig,Freiburg,1,50.0,1,100.0,1,0.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,bundesliga
bennit broger,Wolfsburg,2,50.0,3,66.7,1,0.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,bundesliga
john brooks,Hoffenheim,740,83.0,255,90.2,447,89.5,170,60.6,0.1,0.3,-0.1,56,3,1,2023-2024,bundesliga
moritz broschinski,Bochum,135,60.5,132,72.7,50,60.0,8,50.0,1.8,0.9,1.2,7,9,3,2023-2024,bundesliga
alexander brunst,Darmstadt 98,103,68.7,20,95.0,37,97.3,92,51.1,0.0,0.0,0.0,7,0,0,2023-2024,bundesliga
marius bulter,Hoffenheim,500,71.9,275,88.4,274,73.7,104,46.2,3.4,4.3,0.6,35,22,11,2023-2024,bundesliga
