Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
tom davies,Sheffield Utd,68,68.7,50,82.0,27,74.1,7,28.6,0.1,0.2,-0.1,6,1,0,2023-2024,premier-league
craig dawson,Wolves,1104,86.5,333,88.9,679,94.3,237,66.7,1.4,0.6,-0.4,52,2,0,2023-2024,premier-league
kevin de bruyne,Manchester City,732,75.4,481,88.6,293,76.1,134,49.3,11.5,7.1,-1.5,67,56,12,2023-2024,premier-league
bobby de cordovareid,Fulham,364,74.7,240,87.9,157,71.3,37,45.9,1.8,1.2,0.2,25,17,5,2023-2024,premier-league
hannes delcroix,Burnley,300,85.7,155,93.5,154,87.7,31,51.6,0.2,0.1,-0.2,24,3,2,2023-2024,premier-league
leander dendoncker,Aston Villa,45,80.4,28,85.7,22,86.4,4,50.0,0.0,0.0,0.0,1,0,0,2023-2024,premier-league
moussa diaby,Aston Villa,485,78.4,329,85.1,215,79.1,32,53.1,6.6,4.5,1.4,29,40,9,2023-2024,premier-league
amad diallo,Manchester Utd,149,87.6,115,91.3,37,86.5,5,80.0,1.1,0.5,-0.1,6,3,0,2023-2024,premier-league
amadou diallo,Newcastle Utd,1,100.0,1,100.0,0,,0,,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
ruben dias,Manchester City,2469,93.7,1076,96.6,1306,96.2,204,71.6,0.3,1.9,-0.3,220,12,3,2023-2024,premier-league
luis diaz,Liverpool,898,83.5,584,90.2,320,85.6,91,74.7,5.7,4.7,-0.7,62,45,3,2023-2024,premier-league
eric dier,Tottenham,125,88.7,57,91.2,72,95.8,10,30.0,0.0,0.0,0.0,3,0,0,2023-2024,premier-league
lucas digne,Aston Villa,1015,75.1,594,88.2,529,76.7,148,44.6,4.1,3.6,-1.1,49,34,15,2023-2024,premier-league
issa diop,Fulham,950,88.0,358,93.0,594,93.4,98,54.1,0.0,0.4,0.0,60,3,0,2023-2024,premier-league
axel disasi,Chelsea,2031,90.0,913,96.1,1124,93.4,168,51.2,0.3,1.0,-0.3,115,8,1,2023-2024,premier-league
ben doak,Liverpool,4,100.0,4,100.0,0,,0,,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
lewis dobbin,Everton,44,67.7,36,88.9,17,52.9,5,40.0,0.5,0.1,-0.5,0,3,1,2023-2024,premier-league
matt doherty,Wolves,515,78.9,348,85.1,212,82.1,55,56.4,1.3,0.9,-1.3,22,7,1,2023-2024,premier-league
jeremy doku,Manchester City,693,81.3,507,89.2,254,78.0,33,78.8,4.6,5.9,3.4,14,40,7,2023-2024,premier-league
nicolas dominguez,Nott'ham Forest,714,84.7,424,89.6,298,85.2,61,73.8,1.0,1.3,1.0,61,16,1,2023-2024,premier-league
jamie donley,Tottenham,1,100.0,1,100.0,0,,0,,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
abdoulaye doucoure,Everton,683,76.5,453,84.1,288,83.0,59,47.5,2.9,1.5,-1.9,43,18,1,2023-2024,premier-league
cheick doucoure,Crystal Palace,367,87.0,222,90.1,165,88.5,24,75.0,0.7,0.8,-0.7,39,5,0,2023-2024,premier-league
alfie doughty,Luton Town,1121,66.5,571,86.9,571,75.5,426,39.0,6.3,5.4,1.7,71,43,24,2023-2024,premier-league
tommy doyle,Wolves,801,83.9,331,93.4,399,90.5,178,59.6,0.4,0.9,-0.4,86,7,2,2023-2024,premier-league
radu dragusin,Tottenham,326,88.1,148,87.8,198,93.4,16,50.0,0.0,0.0,0.0,10,0,0,2023-2024,premier-league
martin dubravka,Newcastle Utd,519,79.7,135,98.5,278,98.2,232,47.0,0.1,0.0,-0.1,1,0,0,2023-2024,premier-league
paul dummett,Newcastle Utd,21,91.3,10,100.0,12,91.7,1,0.0,0.0,0.0,0.0,2,0,0,2023-2024,premier-league
lewis dunk,Brighton,2977,92.1,1382,97.2,1417,94.6,340,63.5,0.9,2.2,0.1,204,8,1,2023-2024,premier-league
jader duran,Aston Villa,83,68.6,69,73.9,29,82.8,5,60.0,0.3,0.2,-0.3,6,1,0,2023-2024,premier-league
george earthy,West Ham,16,94.1,13,92.3,4,100.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
ederson,Manchester City,1077,87.3,276,99.6,570,98.2,381,62.7,0.1,0.1,-0.1,25,1,0,2023-2024,premier-league
odsonne edouard,Crystal Palace,249,71.1,207,79.2,80,76.3,11,63.6,1.2,1.1,-1.2,12,15,1,2023-2024,premier-league
john egan,Sheffield Utd,128,69.2,49,77.6,92,85.9,38,23.7,0.0,0.0,0.0,5,1,0,2023-2024,premier-league
hjalmar ekdal,Burnley,191,88.0,71,93.0,120,90.8,17,70.6,0.1,0.0,-0.1,8,0,0,2023-2024,premier-league
anthony elanga,Nott'ham Forest,498,69.9,391,80.1,211,67.8,28,53.6,6.7,4.0,2.3,28,24,5,2023-2024,premier-league
harvey elliott,Liverpool,825,83.7,496,92.1,323,86.1,105,62.9,3.5,4.6,2.5,76,45,11,2023-2024,premier-league
mohamed elneny,Arsenal,39,97.5,19,94.7,21,100.0,0,,0.0,0.0,0.0,2,0,0,2023-2024,premier-league
emerson,Tottenham,937,90.3,558,94.8,362,93.6,45,71.1,0.4,0.9,-0.4,42,7,2,2023-2024,premier-league
julio enciso,Brighton,132,74.2,89,86.5,58,70.7,12,75.0,1.7,1.3,0.3,12,4,2,2023-2024,premier-league
wataru endo,Liverpool,1157,88.0,684,92.3,516,90.3,63,71.4,1.7,1.5,-1.7,109,18,2,2023-2024,premier-league
christian eriksen,Manchester Utd,648,80.5,384,88.5,277,82.7,98,56.1,2.3,2.3,-0.3,66,17,3,2023-2024,premier-league
maxime esteve,Burnley,690,84.0,343,89.8,371,90.6,79,45.6,0.0,0.2,0.0,41,0,0,2023-2024,premier-league
pervis estupinan,Brighton,809,84.1,524,91.6,313,86.3,64,50.0,3.5,2.3,-0.5,66,25,11,2023-2024,premier-league
jonny evans,Manchester Utd,729,87.6,350,92.3,374,92.0,72,55.6,1.2,0.3,-0.2,29,3,0,2023-2024,premier-league
eberechi eze,Crystal Palace,700,77.0,405,87.2,301,84.1,134,45.5,5.2,5.6,-1.2,48,45,7,2023-2024,premier-league
ukasz fabianski,West Ham,160,66.9,19,100.0,70,100.0,146,47.9,0.0,0.0,0.0,8,0,0,2023-2024,premier-league
romain faivre,Bournemouth,19,73.1,12,75.0,7,100.0,3,33.3,0.0,0.0,0.0,2,1,0,2023-2024,premier-league
ansu fati,Brighton,178,84.8,124,94.4,50,82.0,11,90.9,0.8,0.6,-0.8,14,7,0,2023-2024,premier-league
felipe,Nott'ham Forest,183,85.1,70,87.1,105,92.4,33,63.6,0.1,0.0,-0.1,10,0,0,2023-2024,premier-league
evan ferguson,Brighton,244,80.5,180,86.7,63,85.7,15,73.3,0.5,0.8,-0.5,11,4,0,2023-2024,premier-league
bruno fernandes,Manchester Utd,1590,73.0,876,87.4,698,76.2,432,53.0,11.8,10.2,-3.8,187,89,10,2023-2024,premier-league
enzo fernandez,Chelsea,1574,84.5,742,90.8,744,88.8,273,71.8,3.4,3.7,-1.4,177,43,4,2023-2024,premier-league
john fleck,Sheffield Utd,29,72.5,27,77.8,9,77.8,2,50.0,0.4,0.3,-0.4,1,1,0,2023-2024,premier-league
mark flekken,Brentford,1131,71.6,161,98.8,580,99.1,832,47.4,0.5,0.2,0.5,37,1,0,2023-2024,premier-league
phil foden,Manchester City,1511,85.5,1053,94.0,449,86.4,135,50.4,8.4,6.9,-0.4,71,57,5,2023-2024,premier-league
wes foderingham,Sheffield Utd,596,56.5,102,99.0,252,96.0,690,36.7,0.1,0.1,-0.1,19,2,0,2023-2024,premier-league
pablo fornals,West Ham,162,77.1,96,86.5,75,80.0,20,60.0,0.3,0.3,-0.3,19,6,1,2023-2024,premier-league
omari forson,Manchester Utd,30,90.9,17,100.0,12,83.3,0,,0.2,0.0,0.8,2,1,0,2023-2024,premier-league
lyle foster,Burnley,312,67.7,268,73.5,124,73.4,20,70.0,1.9,1.3,1.1,21,12,0,2023-2024,premier-league
matheus franca,Crystal Palace,51,64.6,29,69.0,29,82.8,13,38.5,0.9,0.5,0.1,4,2,0,2023-2024,premier-league
nathan fraser,Wolves,33,78.6,27,88.9,10,70.0,0,,0.1,0.1,-0.1,0,2,0,2023-2024,premier-league
cody gakpo,Liverpool,436,77.3,315,84.4,183,74.3,24,75.0,2.9,2.7,2.1,43,32,5,2023-2024,premier-league
conor gallagher,Chelsea,1801,89.2,1116,94.4,654,91.4,146,65.1,5.0,3.5,2.0,135,32,4,2023-2024,premier-league
idrissa gana gueye,Everton,758,84.4,428,89.7,361,87.8,66,59.1,1.1,0.8,-1.1,70,9,1,2023-2024,premier-league
alejandro garnacho,Manchester Utd,675,74.9,506,83.4,233,81.1,63,54.0,5.1,2.9,-1.1,26,22,4,2023-2024,premier-league
james garner,Everton,958,77.0,536,86.6,437,85.6,185,48.6,4.6,3.7,-2.6,98,24,6,2023-2024,premier-league
saman ghoddos,Brentford,325,72.5,187,87.7,167,78.4,78,34.6,1.1,1.0,-1.1,29,10,4,2023-2024,premier-league
morgan gibbswhite,Nott'ham Forest,1046,70.6,610,81.8,452,77.4,298,51.3,8.4,6.8,1.6,114,39,13,2023-2024,premier-league
bryan gil,Tottenham,127,80.9,81,85.2,62,87.1,2,50.0,0.2,0.3,-0.2,6,8,1,2023-2024,premier-league
alfie gilchrist,Chelsea,121,85.8,73,86.3,61,90.2,6,50.0,0.0,0.0,0.0,5,1,0,2023-2024,premier-league
ryan giles,Luton Town,140,64.2,85,87.1,85,65.9,39,23.1,0.2,0.6,-0.2,10,10,6,2023-2024,premier-league
billy gilmour,Brighton,1915,90.9,1093,96.0,759,92.6,170,62.4,2.0,2.5,-1.0,183,33,3,2023-2024,premier-league
ben godfrey,Everton,336,69.4,180,81.7,204,77.0,62,37.1,0.3,0.5,-0.3,32,6,2,2023-2024,premier-league
andre gomes,Everton,223,76.6,132,84.8,95,84.2,51,52.9,0.4,0.5,-0.4,24,6,1,2023-2024,premier-league
joao gomes,Wolves,1051,82.2,665,89.6,404,84.7,94,53.2,1.1,1.7,-0.1,73,23,5,2023-2024,premier-league
toti gomes,Wolves,1516,82.1,859,91.0,748,84.4,153,39.2,1.2,0.6,1.8,78,6,1,2023-2024,premier-league
joe gomez,Liverpool,1114,82.8,574,90.4,585,85.0,131,63.4,1.3,1.1,-0.3,83,20,7,2023-2024,premier-league
sergio gomez,Manchester City,46,85.2,31,93.5,17,88.2,2,50.0,0.2,0.2,0.8,1,2,1,2023-2024,premier-league
enso gonzalez,Wolves,6,100.0,2,100.0,3,100.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
anthony gordon,Newcastle Utd,803,76.1,559,86.9,282,75.9,136,51.5,8.0,5.6,2.0,54,39,12,2023-2024,premier-league
kaide gordon,Liverpool,1,100.0,0,,1,100.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
daniel gore,Manchester Utd,0,,0,,0,,0,,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
ryan gravenberch,Liverpool,415,82.3,302,87.1,140,87.1,12,66.7,0.9,1.4,-0.9,35,27,0,2023-2024,premier-league
ivo grbic,Sheffield Utd,148,49.7,23,100.0,54,88.9,217,35.0,0.0,0.0,0.0,1,0,0,2023-2024,premier-league
jack grealish,Manchester City,499,86.0,329,91.8,174,89.7,32,71.9,2.5,2.8,-1.5,15,25,0,2023-2024,premier-league
pascal gro,Brighton,2774,86.1,1674,94.6,1035,88.3,359,53.8,8.1,9.2,1.9,242,73,27,2023-2024,premier-league
marc guehi,Crystal Palace,1138,86.9,403,90.1,673,94.5,212,61.3,0.6,1.0,0.4,90,5,0,2023-2024,premier-league
