Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
andres guardado,Betis,253,84.9,108,93.5,115,88.7,58,72.4,0.2,0.3,-0.2,34,5,1,2023-2024,laliga
sergi guardiola,Cádiz,148,70.8,101,82.2,65,80.0,23,34.8,0.8,0.8,0.2,10,2,2,2023-2024,laliga
nemanja gudelj,Sevilla,914,86.1,374,92.5,535,91.0,114,62.3,0.4,0.4,0.6,82,2,2,2023-2024,laliga
goncalo guedes,Villarreal,255,76.6,159,85.5,121,81.0,28,57.1,1.5,1.1,0.5,19,23,8,2023-2024,laliga
javier guerra,Valencia,700,72.2,415,80.5,360,80.0,112,42.9,0.9,1.9,0.1,64,11,2,2023-2024,laliga
ander guevara,Alavés,1111,75.5,641,82.7,558,78.7,173,60.7,0.9,1.5,-0.9,167,21,2,2023-2024,laliga
hugo guillamon,Valencia,564,81.2,308,88.0,253,83.8,105,62.9,0.4,0.5,-0.4,62,3,1,2023-2024,laliga
marc guiu,Barcelona,8,100.0,3,100.0,3,100.0,0,,0.3,0.1,-0.3,0,1,0,2023-2024,laliga
arda guler,Real Madrid,183,83.9,121,95.0,61,82.0,21,47.6,0.1,0.5,-0.1,8,6,0,2023-2024,laliga
gerard gumbau,Granada,1079,71.7,525,85.7,524,81.3,371,50.4,4.0,4.0,-1.0,132,22,5,2023-2024,laliga
ilkay gundogan,Barcelona,2163,86.2,1186,92.3,904,91.8,313,58.1,10.3,9.8,-1.3,188,48,4,2023-2024,laliga
jon guridi,Alavés,643,77.5,389,83.8,303,82.8,78,61.5,3.5,2.9,0.5,67,23,4,2023-2024,laliga
gorka guruzeta,Athletic Club,422,68.3,324,76.2,179,72.1,38,55.3,2.4,1.8,2.6,38,14,3,2023-2024,laliga
miguel gutierrez,Girona,1595,86.0,916,93.9,685,86.1,146,65.8,7.5,6.8,-0.5,102,56,19,2023-2024,laliga
munir el haddadi,Las Palmas,584,76.8,386,86.8,227,78.9,76,50.0,1.9,2.8,0.1,40,22,1,2023-2024,laliga
ianis hagi,Alavés,194,64.5,119,84.0,93,65.6,65,47.7,2.0,1.8,0.0,21,12,4,2023-2024,laliga
luiz henrique,Betis,146,69.2,101,77.2,62,74.2,24,54.2,1.6,1.5,1.4,10,10,6,2023-2024,laliga
mario hermoso,Atlético Madrid,1676,86.1,879,94.2,737,89.4,260,60.0,0.8,1.1,0.2,162,18,6,2023-2024,laliga
javi hernandez,Cádiz,922,71.4,524,85.7,452,77.4,242,38.4,2.1,2.8,-0.1,73,24,18,2023-2024,laliga
aridane hernandez,Rayo Vallecano,675,85.7,272,91.2,387,91.0,114,59.6,0.0,0.1,0.0,20,0,0,2023-2024,laliga
luis hernandez,Cádiz,257,70.8,92,84.8,170,80.6,98,41.8,0.4,0.4,-0.4,27,1,0,2023-2024,laliga
jorge herrando,Osasuna,589,79.8,237,89.9,347,90.8,131,42.7,0.2,0.1,0.8,33,1,0,2023-2024,laliga
ander herrera,Athletic Club,643,85.1,369,91.3,271,86.3,71,62.0,1.2,1.9,1.8,67,17,3,2023-2024,laliga
cristian herrera,Las Palmas,92,91.1,69,95.7,25,92.0,1,100.0,0.0,0.1,0.0,6,0,0,2023-2024,laliga
sergio herrera,Osasuna,766,64.6,87,100.0,323,97.5,770,47.0,0.0,0.1,0.0,35,0,0,2023-2024,laliga
yangel herrera,Girona,972,85.5,608,91.0,377,84.9,88,67.0,2.4,1.9,-2.4,79,15,7,2023-2024,laliga
juan herzog,Las Palmas,195,88.6,127,95.3,68,91.2,12,41.7,0.0,0.0,0.0,2,0,0,2023-2024,laliga
martin hongla,Granada,237,83.7,95,91.6,131,90.1,48,60.4,0.0,0.1,0.0,20,1,0,2023-2024,laliga
xabier huarte armendariz,Osasuna,2,100.0,1,100.0,1,100.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,laliga
pablo ibanez,Osasuna,343,75.9,208,78.4,172,85.5,40,55.0,1.2,1.1,0.8,41,10,2,2023-2024,laliga
iglesias,Getafe,382,60.2,188,82.4,236,65.7,169,36.1,0.7,1.0,1.3,41,15,12,2023-2024,laliga
borja iglesias,Betis,83,82.2,66,86.4,23,87.0,6,66.7,0.9,0.7,0.1,2,6,0,2023-2024,laliga
imanol,Athletic Club,280,81.6,178,89.9,115,86.1,30,53.3,0.2,0.3,-0.2,24,6,3,2023-2024,laliga
isco,Betis,1201,80.0,699,90.7,442,83.9,239,56.1,6.4,6.4,-1.4,130,58,7,2023-2024,laliga
diego iturralde,Sevilla,9,64.3,5,100.0,7,57.1,2,0.0,0.0,0.0,0.0,0,0,0,2023-2024,laliga
