Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
keyliane abdallah,Marseille,1,100.0,1,100.0,0,,0,,0.0,0.0,0.0,0,0,0,2023-2024,ligue1
yunis abdelhamid,Reims,1552,84.5,548,88.9,976,91.5,252,56.0,0.3,0.6,-0.3,129,3,0,2023-2024,ligue1
salis abdul samed,Lens,796,88.9,433,90.8,360,91.7,54,75.9,0.5,1.1,-0.5,87,5,2,2023-2024,ligue1
laurent abergel,Lorient,1551,84.5,707,89.0,802,88.7,233,64.4,2.1,1.9,-1.1,188,23,3,2023-2024,ligue1
matthis abline,Nantes,162,70.1,128,71.1,68,76.5,11,81.8,2.0,0.9,-2.0,6,7,2,2023-2024,ligue1
zakaria aboukhlal,Toulouse,140,71.4,95,73.7,66,80.3,8,75.0,0.2,1.1,-0.2,10,9,1,2023-2024,ligue1
akor adams,Montpellier,250,64.9,185,67.6,126,70.6,29,48.3,1.9,1.4,-0.9,14,4,2,2023-2024,ligue1
nathaniel adjei,Lorient,578,86.4,246,87.8,323,91.0,73,71.2,0.1,0.5,-0.1,38,1,0,2023-2024,ligue1
adryelson,Lyon,5,100.0,3,100.0,2,100.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,ligue1
adson,Nantes,115,88.5,64,95.3,46,87.0,10,80.0,0.1,0.3,-0.1,11,4,0,2023-2024,ligue1
emmanuel agbadou,Reims,1599,87.0,525,90.7,926,92.3,343,70.0,1.5,1.6,-0.5,172,5,1,2023-2024,ligue1
ruben aguilar,Lens,1044,81.4,666,89.2,443,83.3,93,47.3,2.9,4.0,0.1,73,42,14,2023-2024,ligue1
tosin aiyegun,Lorient,154,75.9,98,74.5,70,82.9,15,66.7,0.3,0.3,-0.3,7,2,0,2023-2024,ligue1
sergio akieme,Reims,277,79.1,163,90.8,133,82.0,37,37.8,0.4,0.4,-0.4,15,4,2,2023-2024,ligue1
maghnes akliouche,Monaco,645,77.4,444,85.6,246,79.7,69,46.4,3.5,3.4,0.5,64,38,3,2023-2024,ligue1
paul akouokou,Lyon,158,85.4,73,83.6,81,93.8,19,73.7,0.0,0.1,0.0,16,0,0,2023-2024,ligue1
aboubacar ali,Strasbourg,22,64.7,19,73.7,12,58.3,0,,0.1,0.1,0.9,4,1,0,2023-2024,ligue1
mohamed ali cho,Nice,193,72.0,133,83.5,90,73.3,27,40.7,2.0,1.4,0.0,10,11,2,2023-2024,ligue1
nabil alioui,Le Havre,228,63.7,151,78.1,92,69.6,83,42.2,2.2,2.5,-1.2,35,15,3,2023-2024,ligue1
jim allevinah,Clermont Foot,589,79.3,375,85.6,264,78.0,42,47.6,1.2,1.4,-0.2,36,20,8,2023-2024,ligue1
skelly alvero,Lyon,159,82.4,95,87.4,75,80.0,16,75.0,0.0,0.2,0.0,17,3,1,2023-2024,ligue1
papa amadou diallo,Metz,167,65.0,121,71.1,98,65.3,24,50.0,0.9,0.7,0.1,17,6,2,2023-2024,ligue1
jordan amavi,Brest,47,87.0,20,90.0,29,86.2,4,100.0,0.0,0.0,0.0,2,0,0,2023-2024,ligue1
kelvin amian,Nantes,268,76.6,159,89.3,127,78.7,45,48.9,0.6,0.7,0.4,26,4,2,2023-2024,ligue1
michael amir murillo,Marseille,492,81.7,257,85.6,268,82.8,54,64.8,1.2,1.2,0.8,26,8,2,2023-2024,ligue1
benjamin andre,Lille,1598,83.3,860,87.3,733,88.4,199,61.8,1.3,2.2,-1.3,173,9,2,2023-2024,ligue1
komnen andric,Clermont Foot,45,76.3,33,78.8,18,83.3,2,50.0,0.2,0.1,-0.2,4,1,0,2023-2024,ligue1
angelo,Strasbourg,300,70.4,180,77.2,171,75.4,49,44.9,3.3,3.0,-0.3,32,25,9,2023-2024,ligue1
stredair appuah,Nantes,14,60.9,7,71.4,7,100.0,5,0.0,0.0,0.0,0.0,1,0,0,2023-2024,ligue1
yoel armougom,Clermont Foot,97,74.0,70,87.1,39,74.4,15,13.3,0.3,0.2,-0.3,5,6,3,2023-2024,ligue1
hakon arnar haraldsson,Lille,451,82.1,272,83.5,195,84.6,33,78.8,1.5,1.6,-1.5,38,11,1,2023-2024,ligue1
mohamed el arouch,Lyon,1,100.0,0,,1,100.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,ligue1
marco asensio,Paris S-G,545,83.1,334,91.0,208,88.9,68,39.7,5.8,4.3,-0.8,49,22,5,2023-2024,ligue1
joel asoro,Metz,94,63.9,64,73.4,40,72.5,23,47.8,0.3,0.3,0.7,9,6,3,2023-2024,ligue1
lorenz assignon,Rennes,516,86.0,236,93.2,284,87.0,47,72.3,1.8,1.3,-0.8,32,12,5,2023-2024,ligue1
youcef atal,Nice,214,89.9,132,94.7,73,91.8,19,73.7,0.8,0.4,-0.8,8,3,1,2023-2024,ligue1
valentin atangana edoa,Reims,155,86.6,60,83.3,97,92.8,12,83.3,0.1,0.3,-0.1,14,1,1,2023-2024,ligue1
arthur atta,Metz,301,75.1,154,78.6,157,83.4,65,60.0,1.3,0.5,0.7,37,12,4,2023-2024,ligue1
pierreemerick aubameyang,Marseille,444,67.3,357,73.1,204,69.1,39,41.0,5.6,4.4,2.4,29,27,5,2023-2024,ligue1
andre ayew,Le Havre,197,74.1,157,80.9,72,76.4,9,55.6,0.8,0.5,-0.8,26,4,1,2023-2024,ligue1
neil el aynaoui,Lens,576,86.0,344,87.8,230,90.9,43,58.1,0.8,0.9,1.2,66,10,1,2023-2024,ligue1
