Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
romain hamouma,Ajaccio,263,72.3,144,81.9,134,73.1,33,45.5,2.3,1.5,-0.3,29,8,1,2022-2023,ligue1
said hamulic,Toulouse,6,60.0,2,100.0,5,60.0,2,50.0,0.0,0.1,0.0,3,0,0,2022-2023,ligue1
amine harit,Marseille,221,81.5,154,86.4,70,87.1,22,59.1,1.5,1.6,-1.5,21,16,1,2022-2023,ligue1
rhys healey,Toulouse,8,53.3,6,50.0,3,33.3,0,,0.2,0.1,-0.2,0,0,0,2022-2023,ligue1
gauthier hein,Auxerre,588,75.6,321,87.9,252,76.6,156,51.9,3.1,2.3,-3.1,59,15,5,2022-2023,ligue1
henrique,Lyon,192,86.1,122,87.7,79,93.7,16,50.0,0.1,0.2,0.9,8,3,1,2022-2023,ligue1
christophe herelle,Brest,377,85.7,120,89.2,230,90.0,69,76.8,0.1,0.2,-0.1,9,2,0,2022-2023,ligue1
noah holm,Reims,27,61.4,21,76.2,14,64.3,4,25.0,0.3,0.1,-0.3,3,1,0,2022-2023,ligue1
franck honorat,Brest,691,66.3,430,76.7,326,72.4,201,43.3,9.4,7.5,-4.4,40,49,26,2022-2023,ligue1
cedric hountondji,Angers,1251,86.5,444,91.7,768,91.7,202,62.9,0.4,0.7,-0.4,50,3,0,2022-2023,ligue1
ilyes housni,Paris S-G,3,100.0,2,100.0,1,100.0,0,,0.0,0.0,0.0,0,0,0,2022-2023,ligue1
adrien hunou,Angers,572,76.0,363,79.1,268,84.0,47,51.1,2.3,0.9,-1.3,38,12,1,2022-2023,ligue1
mounaim el idrissy,Ajaccio,413,66.4,372,72.3,147,65.3,26,50.0,1.0,0.9,-1.0,33,9,1,2022-2023,ligue1
rares ilie,Nice,47,78.3,37,86.5,11,72.7,3,66.7,0.2,0.0,-0.2,2,0,0,2022-2023,ligue1
bonke innocent,Lorient,515,89.3,268,91.4,230,91.7,43,72.1,0.3,0.2,0.7,30,1,0,2022-2023,ligue1
ismaily,Lille,938,81.4,650,87.7,376,84.3,54,42.6,2.3,2.2,-1.3,67,14,1,2022-2023,ligue1
junya ito,Reims,708,62.9,479,75.8,392,64.5,151,39.1,8.0,9.2,-3.0,68,73,21,2022-2023,ligue1
ismail jakobs,Monaco,423,64.5,300,77.0,214,64.5,78,33.3,1.5,1.4,0.5,36,18,10,2022-2023,ligue1
