Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
tijjani reijnders,Milan,1355,87.5,702,91.2,632,91.6,141,70.2,3.5,3.6,0.5,135,56,2,2024-2025,serie-a
pepe reina,Como,278,76.4,68,100.0,134,97.8,162,48.8,0.0,0.0,0.0,4,0,0,2024-2025,serie-a
devyne rensch,Roma,213,81.9,146,87.0,85,84.7,17,47.1,0.8,0.8,0.2,14,4,2,2024-2025,serie-a
mateo retegui,Atalanta,440,76.5,314,84.1,168,80.4,34,64.7,4.9,2.2,3.1,29,9,1,2024-2025,serie-a
samuele ricci,Torino,1177,88.0,537,90.7,635,91.8,128,68.8,0.6,1.2,0.4,102,13,0,2024-2025,serie-a
amir richardson,Fiorentina,539,87.6,278,93.9,263,88.6,40,70.0,0.6,0.7,0.4,46,6,1,2024-2025,serie-a
sergi roberto,Como,457,90.3,325,92.9,131,96.2,19,68.4,0.7,0.5,0.3,28,6,0,2024-2025,serie-a
alessio romagnoli,Lazio,1624,91.8,709,95.1,877,95.7,136,64.7,0.3,0.3,-0.3,107,5,0,2024-2025,serie-a
marten de roon,Atalanta,1950,86.4,799,90.1,1119,90.4,274,66.8,2.3,2.9,1.7,236,27,3,2024-2025,serie-a
jonas rouhi,Juventus,126,79.2,67,94.0,69,79.7,16,43.8,0.0,0.0,0.0,9,0,0,2024-2025,serie-a
nicolo rovella,Lazio,1862,89.6,767,94.5,984,93.7,264,69.3,2.2,2.1,0.8,174,24,3,2024-2025,serie-a
amir rrahmani,Napoli,2531,91.0,911,94.8,1411,95.6,407,72.0,1.1,0.7,1.9,202,9,0,2024-2025,serie-a
tommaso rubino,Fiorentina,1,33.3,0,,3,33.3,0,,0.0,0.1,0.0,0,0,0,2024-2025,serie-a
matteo ruggeri,Atalanta,1107,84.2,663,92.3,484,86.6,117,48.7,2.0,1.8,1.0,67,24,21,2024-2025,serie-a
stefano sabelli,Genoa,825,68.5,372,88.4,532,73.5,232,37.9,1.9,1.7,0.1,79,31,12,2024-2025,serie-a
alexis saelemaekers,Roma,630,81.5,427,90.2,220,84.5,72,52.8,2.6,2.0,0.4,35,22,7,2024-2025,serie-a
