Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
tammy abraham,Roma,19,47.5,25,56.0,9,44.4,1,0.0,0.1,0.0,-0.1,1,1,0,2023-2024,serie-a
francesco acerbi,Inter,1615,90.7,650,92.5,908,94.3,179,73.7,1.8,1.3,-0.8,58,5,2,2023-2024,serie-a
yacine adli,Milan,1125,86.5,534,91.6,534,91.2,177,67.8,2.2,2.0,-0.2,149,16,6,2023-2024,serie-a
michel aebischer,Bologna,1370,91.2,773,94.3,562,93.4,103,76.7,1.5,1.0,-0.5,117,9,1,2023-2024,serie-a
lucien agoume,Inter,5,100.0,3,100.0,2,100.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,serie-a
marley ake,Udinese,0,,0,,0,,0,,0.0,0.0,0.0,0,0,0,2023-2024,serie-a
ebenezer akinsanmiro,Inter,7,87.5,6,100.0,1,100.0,0,,0.0,0.0,0.0,1,1,0,2023-2024,serie-a
jeandaniel akpaakpro,Monza,220,83.7,128,88.3,104,91.3,15,80.0,0.1,0.2,-0.1,14,0,0,2023-2024,serie-a
david akpan ankeye,Genoa,8,88.9,3,66.7,3,100.0,0,,0.0,0.4,0.0,0,1,0,2023-2024,serie-a
luis alberto,Lazio,1303,77.6,797,89.2,538,82.2,239,43.5,4.7,4.8,2.3,172,48,4,2023-2024,serie-a
carlos alcaraz,Juventus,143,86.7,79,86.1,62,90.3,19,89.5,0.1,0.4,0.9,20,4,0,2023-2024,serie-a
pontus almqvist,Lecce,351,73.4,282,79.4,120,70.8,20,85.0,2.7,1.8,-1.7,14,12,4,2023-2024,serie-a
lorenzo amatucci,Fiorentina,22,88.0,7,85.7,14,100.0,2,100.0,0.0,0.1,0.0,3,0,0,2023-2024,serie-a
bruno amione,Hellas Verona,217,79.5,99,83.8,132,86.4,33,45.5,0.0,0.0,0.0,11,0,0,2023-2024,serie-a
felipe anderson,Lazio,1012,75.7,690,87.1,411,77.9,96,49.0,6.3,4.7,-0.3,66,50,4,2023-2024,serie-a
angelino,Roma,546,76.4,285,90.2,284,77.8,123,50.4,1.6,1.5,-0.6,36,21,13,2023-2024,serie-a
houssem aouar,Roma,300,83.6,181,91.7,133,85.0,21,66.7,0.5,0.6,-0.5,25,3,1,2023-2024,serie-a
simone aresti,Cagliari,0,0.0,0,,0,,1,0.0,0.0,0.0,0.0,0,0,0,2023-2024,serie-a
marko arnautovic,Inter,203,74.9,154,80.5,68,80.9,11,72.7,2.6,2.1,0.4,9,10,1,2023-2024,serie-a
kristjan asllani,Inter,662,89.0,306,96.7,302,94.0,120,65.0,1.1,0.8,0.9,47,4,1,2023-2024,serie-a
emil audero,Inter,166,84.3,45,97.8,100,96.0,49,51.0,0.0,0.0,0.0,1,0,0,2023-2024,serie-a
tommaso augello,Cagliari,919,69.1,481,86.9,550,73.3,233,38.6,2.0,2.4,-1.0,68,31,20,2023-2024,serie-a
carlos augusto,Inter,921,83.8,509,91.6,422,87.4,95,64.2,2.8,2.1,0.2,45,15,9,2023-2024,serie-a
yann aurel bisseck,Inter,590,92.0,253,94.1,313,94.6,55,85.5,0.5,0.4,-0.5,27,4,1,2023-2024,serie-a
sardar azmoun,Roma,108,69.2,90,76.7,42,81.0,5,40.0,1.4,0.5,-1.4,9,4,1,2023-2024,serie-a
paulo azzi,Cagliari,322,66.1,216,81.0,181,65.7,59,32.2,0.7,0.4,-0.7,24,10,6,2023-2024,serie-a
oussama el azzouzi,Bologna,352,90.3,174,91.4,147,93.9,50,84.0,0.6,0.2,1.4,21,0,0,2023-2024,serie-a
milan badelj,Genoa,1136,80.7,579,87.0,547,86.7,189,58.2,1.1,1.4,1.9,140,23,4,2023-2024,serie-a
