Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
carmona,Getafe,33,3,29,71,47.4,2023-2024,laliga
yannick carrasco,Atlético Madrid,2,1,8,15,0.0,2023-2024,laliga
alvaro carreras,Granada,6,1,14,29,66.7,2023-2024,laliga
dani carvajal,Real Madrid,23,2,49,120,52.5,2023-2024,laliga
william carvalho,Betis,13,0,4,47,72.7,2023-2024,laliga
marc casado,Barcelona,0,0,0,2,,2023-2024,laliga
catena,Osasuna,47,1,0,129,66.3,2023-2024,laliga
dani ceballos,Real Madrid,5,0,8,38,28.6,2023-2024,laliga
alex centelles,Almería,10,1,44,42,57.7,2023-2024,laliga
franco cervi,Celta Vigo,6,2,18,54,42.9,2023-2024,laliga
pep chavarria,Rayo Vallecano,8,3,70,68,56.5,2023-2024,laliga
andreas christensen,Barcelona,26,0,0,107,71.1,2023-2024,laliga
chumi,Almería,23,0,2,93,58.1,2023-2024,laliga
victor chust,Cádiz,15,0,2,83,51.0,2023-2024,laliga
pathe ciss,Rayo Vallecano,27,4,3,127,54.3,2023-2024,laliga
silvi clua,Girona,1,0,0,0,,2023-2024,laliga
saul coco,Las Palmas,19,0,1,104,61.1,2023-2024,laliga
santi comesana,Villarreal,33,1,5,85,54.4,2023-2024,laliga
copete,Mallorca,36,0,10,75,55.6,2023-2024,laliga
francis coquelin,Villarreal,18,1,2,60,52.4,2023-2024,laliga
theo corbeanu,Granada,2,0,12,13,80.0,2023-2024,laliga
jesus corona,Sevilla,1,0,2,2,,2023-2024,laliga
angel correa,Atlético Madrid,24,17,40,63,27.8,2023-2024,laliga
thierry correia,Valencia,41,2,48,153,33.3,2023-2024,laliga
jaume costa,Mallorca,25,2,63,78,44.8,2023-2024,laliga
samu costa,Mallorca,62,6,24,164,66.3,2023-2024,laliga
thibaut courtois,Real Madrid,0,0,0,6,100.0,2023-2024,laliga
yan couto,Girona,35,7,111,153,23.5,2023-2024,laliga
crespo,Rayo Vallecano,19,0,3,31,64.3,2023-2024,laliga
cristian,Valencia,0,0,0,1,100.0,2023-2024,laliga
juan cruz armada,Osasuna,20,1,21,89,55.3,2023-2024,laliga
juan cruz,Betis,2,0,0,4,100.0,2023-2024,laliga
pau cubarsi,Barcelona,15,0,1,59,51.9,2023-2024,laliga
ivan cuellar,Mallorca,0,0,0,1,,2023-2024,laliga
jorge cuenca,Villarreal,25,0,13,82,61.2,2023-2024,laliga
eric curbelo,Las Palmas,0,0,0,11,0.0,2023-2024,laliga
alberto dadie,Real Sociedad,4,0,1,2,,2023-2024,laliga
sergi darder,Mallorca,19,1,149,124,36.4,2023-2024,laliga
rodrigo de paul,Atlético Madrid,27,1,46,145,55.6,2023-2024,laliga
mouctar diakhaby,Valencia,9,0,0,67,65.8,2023-2024,laliga
moussa diakite,Cádiz,0,0,0,1,,2023-2024,laliga
assane diao,Betis,12,1,9,47,38.9,2023-2024,laliga
brahim diaz,Real Madrid,22,5,31,74,25.0,2023-2024,laliga
victor diaz,Granada,0,0,0,6,75.0,2023-2024,laliga
famara diedhiou,Granada,6,0,2,5,66.7,2023-2024,laliga
stole dimitrievski,Rayo Vallecano,0,0,0,37,85.7,2023-2024,laliga
djene,Getafe,51,1,30,175,56.1,2023-2024,laliga
marko dmitrovic,Sevilla,0,0,0,13,100.0,2023-2024,laliga
jaume domenech,Valencia,0,0,0,1,0.0,2023-2024,laliga
carlos dominguez,Celta Vigo,15,0,3,71,54.5,2023-2024,laliga
mario dominguez,Valencia,0,0,1,0,0.0,2023-2024,laliga
carlos dotor,Celta Vigo,14,0,9,49,38.5,2023-2024,laliga
anastasios douvikas,Celta Vigo,18,6,2,22,55.6,2023-2024,laliga
artem dovbyk,Girona,27,33,1,24,49.4,2023-2024,laliga
domingos duarte,Getafe,8,0,1,45,58.3,2023-2024,laliga
ruben duarte,Alavés,31,0,70,93,50.9,2023-2024,laliga
