Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
fabio chiarodia,Gladbach,1,0,1,4,62.5,2023-2024,bundesliga
jacob christensen,Köln,4,0,5,18,0.0,2023-2024,bundesliga
nnamdi collins,Eint Frankfurt,0,0,2,7,0.0,2023-2024,bundesliga
kingsley coman,Bayern Munich,6,1,60,50,54.5,2023-2024,bundesliga
bambase conte,Hoffenheim,3,0,1,7,50.0,2023-2024,bundesliga
danny da costa,Mainz 05,7,0,40,60,33.3,2023-2024,bundesliga
nicolas cozza,Wolfsburg,1,0,4,12,25.0,2023-2024,bundesliga
tomas cvancara,Gladbach,9,4,3,16,43.4,2023-2024,bundesliga
finn dahmen,Augsburg,2,0,0,64,66.7,2023-2024,bundesliga
mahmoud dahoud,Stuttgart,0,0,6,23,28.6,2023-2024,bundesliga
lukas daschner,Bochum,4,0,20,24,29.4,2023-2024,bundesliga
david datro fofana,Union Berlin,8,4,11,25,37.0,2023-2024,bundesliga
alphonso davies,Bayern Munich,16,0,31,179,60.9,2023-2024,bundesliga
olivier deman,Werder Bremen,27,0,45,80,47.1,2023-2024,bundesliga
ermedin demirovic,Augsburg,60,16,10,107,36.4,2023-2024,bundesliga
sepp van den berg,Mainz 05,31,0,2,176,68.7,2023-2024,bundesliga
samuele di benedetto,Stuttgart,0,0,0,1,,2023-2024,bundesliga
justin diehl,Köln,2,0,18,8,0.0,2023-2024,bundesliga
eric dier,Bayern Munich,12,1,7,66,69.4,2023-2024,bundesliga
florian dietz,Köln,1,0,0,2,20.0,2023-2024,bundesliga
junior dina ebimbe,Eint Frankfurt,49,3,21,112,56.2,2023-2024,bundesliga
eren dinkci,Heidenheim,28,2,79,155,31.4,2023-2024,bundesliga
ritsu doan,Freiburg,26,2,61,97,42.9,2023-2024,bundesliga
danilho doekhi,Union Berlin,13,0,4,68,55.8,2023-2024,bundesliga
niklas dorsch,Augsburg,19,0,3,113,33.3,2023-2024,bundesliga
nikola dovedan,Heidenheim,10,0,8,43,19.4,2023-2024,bundesliga
damion downs,Köln,1,0,1,4,14.3,2023-2024,bundesliga
dion drena beljo,Augsburg,9,6,3,12,54.5,2023-2024,bundesliga
tim drexler,Hoffenheim,4,0,0,24,17.6,2023-2024,bundesliga
marvin ducksch,Werder Bremen,6,18,159,83,33.3,2023-2024,bundesliga
julien duranville,Dortmund,3,0,0,0,100.0,2023-2024,bundesliga
maximilian eggestein,Freiburg,32,2,9,167,54.3,2023-2024,bundesliga
lilian egloff,Stuttgart,2,0,0,8,,2023-2024,bundesliga
hugo ekitike,Eint Frankfurt,12,6,9,21,34.1,2023-2024,bundesliga
elif elmas,RB Leipzig,4,0,0,9,0.0,2023-2024,bundesliga
nico elvedi,Gladbach,13,1,3,137,61.0,2023-2024,bundesliga
arne engels,Augsburg,24,1,80,61,38.7,2023-2024,bundesliga
ohis felix uduokhai,Augsburg,29,0,3,150,62.0,2023-2024,bundesliga
edimilson fernandes,Mainz 05,10,2,53,88,50.0,2023-2024,bundesliga
nacho ferri,Eint Frankfurt,1,0,0,2,50.0,2023-2024,bundesliga
max finkgrafe,Köln,19,0,61,104,46.0,2023-2024,bundesliga
kilian fischer,Wolfsburg,4,0,11,10,0.0,2023-2024,bundesliga
jonas fohrenbach,Heidenheim,15,2,73,148,62.7,2023-2024,bundesliga
emil forsberg,RB Leipzig,4,0,8,19,40.0,2023-2024,bundesliga
philipp forster,Bochum,6,0,28,27,22.2,2023-2024,bundesliga
bartol franjic,Darmstadt 98,20,0,4,63,47.2,2023-2024,bundesliga
marco friedl,Werder Bremen,31,1,4,138,49.4,2023-2024,bundesliga
marvin friedrich,Gladbach,10,0,2,68,66.1,2023-2024,bundesliga
jeremie frimpong,Leverkusen,21,12,93,94,50.0,2023-2024,bundesliga
chris fuhrich,Stuttgart,6,3,100,119,22.2,2023-2024,bundesliga
shio fukuda,Gladbach,1,0,0,2,42.9,2023-2024,bundesliga
niclas fullkrug,Werder Bremen,2,3,0,3,52.2,2023-2024,bundesliga
niclas fullkrug,Dortmund,26,11,5,39,39.2,2023-2024,bundesliga
cristian gamboa,Bochum,14,0,23,74,57.1,2023-2024,bundesliga
dennis geiger,Hoffenheim,2,0,0,1,50.0,2023-2024,bundesliga
yannick gerhardt,Wolfsburg,18,2,27,78,50.9,2023-2024,bundesliga
anwar el ghazi,Mainz 05,1,0,1,2,,2023-2024,bundesliga
benedikt gimber,Heidenheim,40,0,3,87,53.9,2023-2024,bundesliga
matthias ginter,Freiburg,8,0,16,100,63.3,2023-2024,bundesliga
jamie gittens,Dortmund,12,0,13,37,28.6,2023-2024,bundesliga
klaus gjasula,Darmstadt 98,23,0,7,69,55.7,2023-2024,bundesliga
serge gnabry,Bayern Munich,6,1,10,26,60.0,2023-2024,bundesliga
leon goretzka,Bayern Munich,23,2,10,171,55.4,2023-2024,bundesliga
robin gosens,Union Berlin,29,17,64,100,57.7,2023-2024,bundesliga
mario gotze,Eint Frankfurt,14,1,54,152,38.1,2023-2024,bundesliga
jeffrey gouweleeuw,Augsburg,25,4,18,156,57.1,2023-2024,bundesliga
jens grahl,Eint Frankfurt,0,0,0,1,100.0,2023-2024,bundesliga
ryan gravenberch,Bayern Munich,1,0,0,0,,2023-2024,bundesliga
michael gregoritsch,Freiburg,16,6,11,62,49.5,2023-2024,bundesliga
vincenzo grifo,Freiburg,13,6,173,130,37.5,2023-2024,bundesliga
florian grillitsch,Hoffenheim,27,0,17,171,52.3,2023-2024,bundesliga
alex grimaldo,Leverkusen,14,3,202,168,38.7,2023-2024,bundesliga
christian gro,Werder Bremen,15,2,8,54,36.4,2023-2024,bundesliga
brajan gruda,Mainz 05,28,9,53,97,32.6,2023-2024,bundesliga
ilia gruev,Werder Bremen,0,0,0,0,,2023-2024,bundesliga
raphael guerreiro,Bayern Munich,3,0,42,59,28.6,2023-2024,bundesliga
josuha guilavogui,Mainz 05,5,0,0,29,53.8,2023-2024,bundesliga
serhou guirassy,Stuttgart,18,18,1,39,54.2,2023-2024,bundesliga
peter gulacsi,RB Leipzig,0,0,0,12,100.0,2023-2024,bundesliga
manuel gulde,Freiburg,17,1,3,78,59.8,2023-2024,bundesliga
robert gumny,Augsburg,7,0,8,22,60.0,2023-2024,bundesliga
christian gunter,Freiburg,8,1,62,32,33.3,2023-2024,bundesliga
janik haberer,Union Berlin,22,1,15,95,51.3,2023-2024,bundesliga
robin hack,Gladbach,17,9,44,79,42.1,2023-2024,bundesliga
amadou haidara,RB Leipzig,14,2,4,96,65.4,2023-2024,bundesliga
sebastien haller,Dortmund,8,3,0,10,47.5,2023-2024,bundesliga
andreas hancheolsen,Mainz 05,13,1,0,38,65.9,2023-2024,bundesliga
isak hansenaaren,Werder Bremen,1,0,0,4,,2023-2024,bundesliga
genki haraguchi,Stuttgart,2,0,0,2,,2023-2024,bundesliga
makoto hasebe,Eint Frankfurt,4,0,1,13,57.1,2023-2024,bundesliga
thorgan hazard,Dortmund,0,0,0,0,0.0,2023-2024,bundesliga
dominique heintz,Köln,7,1,23,30,50.0,2023-2024,bundesliga
benjamin henrichs,RB Leipzig,27,2,67,163,51.1,2023-2024,bundesliga
patrick herrmann,Gladbach,3,0,5,6,50.0,2023-2024,bundesliga
piero hincapie,Leverkusen,16,0,8,78,57.1,2023-2024,bundesliga
adam hlozek,Leverkusen,8,1,0,20,44.4,2023-2024,bundesliga
nicolas hofler,Freiburg,29,0,2,152,50.5,2023-2024,bundesliga
jonas hofmann,Leverkusen,14,13,126,77,20.0,2023-2024,bundesliga
philipp hofmann,Bochum,20,4,3,44,54.1,2023-2024,bundesliga
lucas holer,Freiburg,25,7,12,104,44.0,2023-2024,bundesliga
fabian holland,Darmstadt 98,34,1,26,103,27.3,2023-2024,bundesliga
benedict hollerbach,Union Berlin,29,4,44,59,33.3,2023-2024,bundesliga
gerrit holtmann,Darmstadt 98,8,0,12,31,41.7,2023-2024,bundesliga
franck honorat,Gladbach,9,6,236,138,47.2,2023-2024,bundesliga
mathias honsak,Darmstadt 98,14,3,11,32,38.5,2023-2024,bundesliga
fraser hornby,Darmstadt 98,5,1,4,8,45.8,2023-2024,bundesliga
lukas hradecky,Leverkusen,0,0,0,51,88.9,2023-2024,bundesliga
timo hubers,Köln,44,1,3,211,66.9,2023-2024,bundesliga
mats hummels,Dortmund,12,0,3,99,61.3,2023-2024,bundesliga
denis huseinbasic,Köln,28,0,15,114,50.0,2023-2024,bundesliga
iago,Augsburg,14,4,44,117,52.6,2023-2024,bundesliga
borja iglesias,Leverkusen,2,1,1,5,40.0,2023-2024,bundesliga
joel imasuen,Werder Bremen,0,0,0,0,,2023-2024,bundesliga
thomas isherwood,Darmstadt 98,8,1,1,17,57.1,2023-2024,bundesliga
ko itakura,Gladbach,28,0,5,78,55.9,2023-2024,bundesliga
hiroki ito,Stuttgart,17,2,23,125,44.1,2023-2024,bundesliga
lee jaesung,Mainz 05,19,9,17,95,34.0,2023-2024,bundesliga
paul jaeckel,Union Berlin,0,0,0,14,71.4,2023-2024,bundesliga
kristijan jakic,Augsburg,18,0,6,79,52.0,2023-2024,bundesliga
kristijan jakic,Eint Frankfurt,5,0,1,12,62.5,2023-2024,bundesliga
tony jantschke,Gladbach,1,0,0,1,50.0,2023-2024,bundesliga
nuha jatta,RB Leipzig,0,0,0,0,,2023-2024,bundesliga
fredrik jensen,Augsburg,14,5,91,60,53.3,2023-2024,bundesliga
moritz jenz,Wolfsburg,26,0,0,81,68.6,2023-2024,bundesliga
anthony jung,Werder Bremen,15,1,23,142,62.9,2023-2024,bundesliga
josip juranovic,Union Berlin,4,0,104,87,42.9,2023-2024,bundesliga
