id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
11333,Josip Juranovic,2,16,0,0.018234293907880783,0,0.09793679416179657,1,1,0,0,S,Union Berlin,0,0.018234293907880783,0.018234293907880783,0
11699,Ameen Al Dakhil,3,124,0,0.06256280839443207,0,0.08149907365441322,1,2,0,0,D S,VfB Stuttgart,0,0.06256280839443207,0.3527492433786392,0.3378157317638397
11835,Senne Lynen,9,797,0,0.16704663541167974,0,0.2547622714191675,2,5,1,0,M,Werder Bremen,0,0.16704663541167974,2.0331290122121572,1.8370835091918707
11850,Cédric Zesiger,6,210,0,0.045929525047540665,0,0.16650092601776123,1,1,1,0,D S,Augsburg,0,0.045929525047540665,0.2867628391832113,0.1202619131654501
11851,Václav Cerny,2,40,0,0.07103131711483002,0,0,1,0,0,0,S,Wolfsburg,0,0.07103131711483002,0.09345263987779617,0.022421324625611305
11853,Patrick Mainka,10,900,0,0.31603994965553284,1,0.7337566055357456,7,3,1,0,D,FC Heidenheim,0,0.31603994965553284,2.061006280593574,1.9980284264311194
11855,Adrian Beck,9,306,0,0.08965901285409927,0,0.27874213084578514,2,5,0,0,M S,FC Heidenheim,0,0.08965901285409927,1.8537731021642685,1.645913453772664
11856,Marvin Pieringer,4,56,0,0.053911127150058746,0,0.05803173966705799,1,2,0,0,S,FC Heidenheim,0,0.053911127150058746,0.11194286681711674,0
11859,Omar Traoré,10,682,0,0.10529309697449207,1,1.159892275929451,5,6,1,0,D S,FC Heidenheim,0,0.10529309697449207,1.4535390576347709,1.0716115273535252
11864,Benedikt Gimber,7,410,0,0,0,0,0,0,1,0,D S,FC Heidenheim,0,0,0.34367696940898895,0.34367696940898895
11865,Jan Schöppner,9,725,0,0.2528483420610428,0,0.8107089996337891,4,1,3,0,M,FC Heidenheim,0,0.2528483420610428,2.371637678705156,2.161787568591535
11867,Victor Boniface,8,269,0,0.8368782438337803,2,0.9271468929946423,14,3,1,0,F S,Werder Bremen,0,0.8368782438337803,2.0351585149765015,0.5931688286364079
11868,Arthur,6,405,0,0.6581857861019671,1,0.721719928085804,5,3,0,0,D S,Bayer Leverkusen,0,0.6581857861019671,2.948185071349144,2.0801292583346367
11871,Nicolas Seiwald,10,819,0,0.33124878630042076,0,0.18901092186570168,5,4,0,0,M S,RasenBallsport Leipzig,0,0.33124878630042076,4.1316239684820175,3.7869192622601986
11892,Leart Paqarada,1,6,0,0,0,0,0,0,0,0,D,FC Heidenheim,0,0,0,0
11911,Hugo Larsson,8,527,0,0.13428575173020363,2,0.24736923724412918,3,7,0,0,M S,Eintracht Frankfurt,0,0.13428575173020363,1.6710899695754051,1.3214778900146484
11917,Mathias Honsak,7,359,0,0.8007484190165997,0,0.18083825521171093,10,3,0,0,M S,FC Heidenheim,0,0.8007484190165997,1.5189084559679031,0.6039845943450928
11981,Benedict Hollerbach,6,382,0,0.17622716166079044,1,0.6828983277082443,5,2,0,0,F M,Mainz 05,0,0.17622716166079044,1.166207805275917,0.39381302520632744
11982,Jan-Niklas Beste,7,585,0,0.7285671830177307,0,1.0376450419425964,6,9,2,0,M,Freiburg,0,0.7285671830177307,2.342811532318592,1.5517979711294174
11991,Lukas Ullrich,10,627,0,0.16839975118637085,0,0.3204665444791317,3,8,1,0,D S,Borussia M.Gladbach,0,0.16839975118637085,3.1425894498825073,2.920304849743843
12013,Skelly Alvero,2,23,0,0,0,0,0,0,0,0,S,Werder Bremen,0,0,0.07283493131399155,0.07283493131399155
12070,Jordy Makengo,8,560,0,0,0,0.21329142525792122,0,3,1,0,D S,Freiburg,0,0,1.0896191112697124,1.0896191112697124
12075,Kauã Santos,4,360,0,0,0,0,0,0,0,0,GK,Eintracht Frankfurt,0,0,0.527815967798233,0.527815967798233
12360,Julián Malatini,2,91,0,0,0,0,0,0,1,0,D S,Werder Bremen,0,0,0.5204257871955633,0.5204257871955633
12421,Andrej Ilic,9,747,0,3.730006530880928,4,2.058640183880925,21,13,3,0,F,Union Berlin,0,2.972229853272438,4.79285815730691,0.445712398737669
12430,Nnamdi Collins,8,458,0,0.016776444390416145,1,0.37910133600234985,1,1,1,0,D S,Eintracht Frankfurt,0,0.016776444390416145,2.9930163957178593,2.597138613462448
12431,Isak Hansen-Aaröen,1,1,0,0,0,0,0,0,0,0,S,Werder Bremen,0,0,0,0
12470,Max Moerstedt,6,99,0,0.04311027377843857,0,0,1,0,0,0,S,Hoffenheim,0,0.04311027377843857,0.7087290287017822,0.6656187474727631
12626,Max Rosenfelder,4,112,0,0,0,0,0,0,0,0,D S,Freiburg,0,0,0.5591775178909302,0.5591775178909302
12761,Yukinari Sugawara,9,795,0,1.0886988826096058,3,0.8973012454807758,16,10,0,0,D,Werder Bremen,0,1.0886988826096058,2.3318831622600555,1.0791592840105295
12775,Kosta Nedeljkovic,2,7,0,0,0,0,0,0,0,0,S,RasenBallsport Leipzig,0,0,0,0
