Player,Liga,Season,Pos,Squad,Height,Value
joao urbaez,La-Liga,2024-2025,Centre-Back,cd leganes,1.79,50000.0
javi hernandez,La-Liga,2024-2025,Left-Back,cd leganes,1.8,2500000.0
enric franquesa,La-Liga,2024-2025,Left-Back,cd leganes,1.75,1500000.0
borna barisic,La-Liga,2024-2025,Left-Back,cd leganes,1.86,800000.0
iker bachiller,La-Liga,2024-2025,Left-Back,cd leganes,1.69,25000.0
valentin rosier,La-Liga,2024-2025,Right-Back,cd leganes,1.75,3000000.0
adria altimira,La-Liga,2024-2025,Right-Back,cd leganes,1.7,1500000.0
yvan neyou,La-Liga,2024-2025,Defensive Midfield,cd leganes,1.8,3000000.0
renato tapia,La-Liga,2024-2025,Defensive Midfield,cd leganes,1.85,2000000.0
julian chicco,La-Liga,2024-2025,Defensive Midfield,cd leganes,1.87,500000.0
carlos guirao,La-Liga,2024-2025,Defensive Midfield,cd leganes,1.75,300000.0
seydouba cisse,La-Liga,2024-2025,Central Midfield,cd leganes,1.78,3000000.0
darko brasanac,La-Liga,2024-2025,Central Midfield,cd leganes,1.78,500000.0
alex gil,La-Liga,2024-2025,Central Midfield,cd leganes,1.84,100000.0
fer rodriguez,La-Liga,2024-2025,Central Midfield,cd leganes,1.82,
hugo solozabal,La-Liga,2024-2025,Central Midfield,cd leganes,,
oscar rodriguez,La-Liga,2024-2025,Attacking Midfield,cd leganes,1.74,2000000.0
roberto lopez,La-Liga,2024-2025,Attacking Midfield,cd leganes,1.79,1000000.0
juan cruz,La-Liga,2024-2025,Left Winger,cd leganes,1.8,5000000.0
yan diomande,La-Liga,2024-2025,Left Winger,cd leganes,1.8,1500000.0
duk,La-Liga,2024-2025,Left Winger,cd leganes,1.82,1000000.0
munir el haddadi,La-Liga,2024-2025,Right Winger,cd leganes,1.77,1500000.0
naim garcia,La-Liga,2024-2025,Right Winger,cd leganes,1.8,300000.0
piri,La-Liga,2024-2025,Right Winger,cd leganes,1.76,
adrian rosell,La-Liga,2024-2025,Right Winger,cd leganes,,
dani raba,La-Liga,2024-2025,Second Striker,cd leganes,1.85,2500000.0
sebastien haller,La-Liga,2024-2025,Centre-Forward,cd leganes,1.9,3000000.0
miguel de la fuente,La-Liga,2024-2025,Centre-Forward,cd leganes,1.82,2000000.0
diego garcia,La-Liga,2024-2025,Centre-Forward,cd leganes,1.88,1500000.0
suleiman el haddadi,La-Liga,2024-2025,Centre-Forward,cd leganes,1.75,
ederson,Premier-League,2024-2025,Goalkeeper,manchester city,1.88,20000000.0
stefan ortega,Premier-League,2024-2025,Goalkeeper,manchester city,1.85,8000000.0
marcus bettinelli,Premier-League,2024-2025,Goalkeeper,manchester city,1.93,600000.0
scott carson,Premier-League,2024-2025,Goalkeeper,manchester city,1.88,100000.0
spike brits,Premier-League,2024-2025,Goalkeeper,manchester city,,
max hudson,Premier-League,2024-2025,Goalkeeper,manchester city,1.91,
josko gvardiol,Premier-League,2024-2025,Centre-Back,manchester city,1.85,75000000.0
ruben dias,Premier-League,2024-2025,Centre-Back,manchester city,1.87,65000000.0
abdukodir khusanov,Premier-League,2024-2025,Centre-Back,manchester city,1.86,35000000.0
vitor reis,Premier-League,2024-2025,Centre-Back,manchester city,1.86,30000000.0
manuel akanji,Premier-League,2024-2025,Centre-Back,manchester city,1.88,28000000.0
john stones,Premier-League,2024-2025,Centre-Back,manchester city,1.88,25000000.0
nathan ake,Premier-League,2024-2025,Centre-Back,manchester city,1.8,25000000.0
jahmai simpsonpusey,Premier-League,2024-2025,Centre-Back,manchester city,1.87,5000000.0
max alleyne,Premier-League,2024-2025,Centre-Back,manchester city,1.85,500000.0
kaden braithwaite,Premier-League,2024-2025,Centre-Back,manchester city,,
rayan aitnouri,Premier-League,2024-2025,Left-Back,manchester city,1.8,35000000.0
josh wilsonesbrand,Premier-League,2024-2025,Left-Back,manchester city,1.76,4000000.0
rico lewis,Premier-League,2024-2025,Right-Back,manchester city,1.7,40000000.0
kyle walker,Premier-League,2024-2025,Right-Back,manchester city,1.83,4000000.0
issa kabore,Premier-League,2024-2025,Right-Back,manchester city,1.8,4000000.0
rodri,Premier-League,2024-2025,Defensive Midfield,manchester city,1.91,110000000.0
kalvin phillips,Premier-League,2024-2025,Defensive Midfield,manchester city,1.79,12000000.0
jacob wright,Premier-League,2024-2025,Defensive Midfield,manchester city,1.78,800000.0
tijjani reijnders,Premier-League,2024-2025,Central Midfield,manchester city,1.85,60000000.0
nico gonzalez,Premier-League,2024-2025,Central Midfield,manchester city,1.88,40000000.0
matheus nunes,Premier-League,2024-2025,Central Midfield,manchester city,1.83,35000000.0
mateo kovacic,Premier-League,2024-2025,Central Midfield,manchester city,1.77,20000000.0
nico oreilly,Premier-League,2024-2025,Central Midfield,manchester city,1.93,18000000.0
ilkay gundogan,Premier-League,2024-2025,Central Midfield,manchester city,1.8,5000000.0
bernardo silva,Premier-League,2024-2025,Attacking Midfield,manchester city,1.73,38000000.0
kevin de bruyne,Premier-League,2024-2025,Attacking Midfield,manchester city,1.81,20000000.0
james mcatee,Premier-League,2024-2025,Attacking Midfield,manchester city,1.8,20000000.0
claudio echeverri,Premier-League,2024-2025,Attacking Midfield,manchester city,1.71,18000000.0
jeremy doku,Premier-League,2024-2025,Left Winger,manchester city,1.73,50000000.0
jack grealish,Premier-League,2024-2025,Left Winger,manchester city,1.8,28000000.0
phil foden,Premier-League,2024-2025,Right Winger,manchester city,1.71,100000000.0
savinho,Premier-League,2024-2025,Right Winger,manchester city,1.76,50000000.0
rayan cherki,Premier-League,2024-2025,Right Winger,manchester city,1.77,45000000.0
oscar bobb,Premier-League,2024-2025,Right Winger,manchester city,1.75,25000000.0
farid alfaruprecht,Premier-League,2024-2025,Right Winger,manchester city,1.81,
erling haaland,Premier-League,2024-2025,Centre-Forward,manchester city,1.95,180000000.0
omar marmoush,Premier-League,2024-2025,Centre-Forward,manchester city,1.83,75000000.0
divin mubama,Premier-League,2024-2025,Centre-Forward,manchester city,1.83,4000000.0
robert sanchez,Premier-League,2024-2025,Goalkeeper,chelsea fc,1.97,20000000.0
filip jrgensen,Premier-League,2024-2025,Goalkeeper,chelsea fc,1.92,18000000.0
mike penders,Premier-League,2024-2025,Goalkeeper,chelsea fc,2.0,12000000.0
gabriel slonina,Premier-League,2024-2025,Goalkeeper,chelsea fc,1.93,3500000.0
lucas bergstrom,Premier-League,2024-2025,Goalkeeper,chelsea fc,2.05,700000.0
marcus bettinelli,Premier-League,2024-2025,Goalkeeper,chelsea fc,1.93,600000.0
max merrick,Premier-League,2024-2025,Goalkeeper,chelsea fc,,
ted curd,Premier-League,2024-2025,Goalkeeper,chelsea fc,1.9,
levi colwill,Premier-League,2024-2025,Centre-Back,chelsea fc,1.87,55000000.0
renato veiga,Premier-League,2024-2025,Centre-Back,chelsea fc,1.9,25000000.0
trevoh chalobah,Premier-League,2024-2025,Centre-Back,chelsea fc,1.92,25000000.0
wesley fofana,Premier-League,2024-2025,Centre-Back,chelsea fc,1.85,25000000.0
axel disasi,Premier-League,2024-2025,Centre-Back,chelsea fc,1.91,22000000.0
benoit badiashile,Premier-League,2024-2025,Centre-Back,chelsea fc,1.94,22000000.0
tosin adarabioyo,Premier-League,2024-2025,Centre-Back,chelsea fc,1.97,20000000.0
mamadou sarr,Premier-League,2024-2025,Centre-Back,chelsea fc,1.94,20000000.0
aaron anselmino,Premier-League,2024-2025,Centre-Back,chelsea fc,1.86,8000000.0
harrison murraycampbell,Premier-League,2024-2025,Centre-Back,chelsea fc,1.89,500000.0
kaiden wilson,Premier-League,2024-2025,Centre-Back,chelsea fc,,
marc cucurella,Premier-League,2024-2025,Left-Back,chelsea fc,1.73,35000000.0
ben chilwell,Premier-League,2024-2025,Left-Back,chelsea fc,1.8,15000000.0
ishe samuelssmith,Premier-League,2024-2025,Left-Back,chelsea fc,1.86,700000.0
malo gusto,Premier-League,2024-2025,Right-Back,chelsea fc,1.78,35000000.0
reece james,Premier-League,2024-2025,Right-Back,chelsea fc,1.8,30000000.0
josh acheampong,Premier-League,2024-2025,Right-Back,chelsea fc,1.9,8000000.0
genesis antwi,Premier-League,2024-2025,Right-Back,chelsea fc,,350000.0
richard olise,Premier-League,2024-2025,Right-Back,chelsea fc,1.73,
moises caicedo,Premier-League,2024-2025,Defensive Midfield,chelsea fc,1.78,90000000.0
romeo lavia,Premier-League,2024-2025,Defensive Midfield,chelsea fc,1.81,40000000.0
dario essugo,Premier-League,2024-2025,Defensive Midfield,chelsea fc,1.78,20000000.0
sam raksakyi,Premier-League,2024-2025,Defensive Midfield,chelsea fc,,800000.0
landon emenalo,Premier-League,2024-2025,Defensive Midfield,chelsea fc,1.8,
enzo fernandez,Premier-League,2024-2025,Central Midfield,chelsea fc,1.78,75000000.0
andrey santos,Premier-League,2024-2025,Central Midfield,chelsea fc,1.8,35000000.0
kiernan dewsburyhall,Premier-League,2024-2025,Central Midfield,chelsea fc,1.76,20000000.0
carney chukwuemeka,Premier-League,2024-2025,Central Midfield,chelsea fc,1.88,18000000.0
cesare casadei,Premier-League,2024-2025,Central Midfield,chelsea fc,1.92,15000000.0
mathis amougou,Premier-League,2024-2025,Central Midfield,chelsea fc,1.77,10000000.0
kiano dyer,Premier-League,2024-2025,Central Midfield,chelsea fc,1.78,
reggie walsh,Premier-League,2024-2025,Central Midfield,chelsea fc,1.76,
cole palmer,Premier-League,2024-2025,Attacking Midfield,chelsea fc,1.85,120000000.0
harvey vale,Premier-League,2024-2025,Attacking Midfield,chelsea fc,1.81,1500000.0
omari kellyman,Premier-League,2024-2025,Attacking Midfield,chelsea fc,1.91,1500000.0
jadon sancho,Premier-League,2024-2025,Left Winger,chelsea fc,1.8,28000000.0
tyrique george,Premier-League,2024-2025,Left Winger,chelsea fc,1.81,10000000.0
mykhaylo mudryk,Premier-League,2024-2025,Left Winger,chelsea fc,1.75,
pedro neto,Premier-League,2024-2025,Right Winger,chelsea fc,1.74,50000000.0
noni madueke,Premier-League,2024-2025,Right Winger,chelsea fc,1.82,40000000.0
ato ampah,Premier-League,2024-2025,Right Winger,chelsea fc,1.91,
joao felix,Premier-League,2024-2025,Second Striker,chelsea fc,1.81,20000000.0
joao pedro,Premier-League,2024-2025,Centre-Forward,chelsea fc,1.82,50000000.0
nicolas jackson,Premier-League,2024-2025,Centre-Forward,chelsea fc,1.87,50000000.0
liam delap,Premier-League,2024-2025,Centre-Forward,chelsea fc,1.86,40000000.0
christopher nkunku,Premier-League,2024-2025,Centre-Forward,chelsea fc,1.77,35000000.0
deivid washington,Premier-League,2024-2025,Centre-Forward,chelsea fc,1.87,8000000.0
marc guiu,Premier-League,2024-2025,Centre-Forward,chelsea fc,1.87,8000000.0
david datro fofana,Premier-League,2024-2025,Centre-Forward,chelsea fc,1.82,6000000.0
shumaira mheuka,Premier-League,2024-2025,Centre-Forward,chelsea fc,1.85,800000.0
david raya,Premier-League,2024-2025,Goalkeeper,arsenal fc,1.83,40000000.0
aaron ramsdale,Premier-League,2024-2025,Goalkeeper,arsenal fc,1.9,16000000.0
neto,Premier-League,2024-2025,Goalkeeper,arsenal fc,1.9,1500000.0
jack porter,Premier-League,2024-2025,Goalkeeper,arsenal fc,1.87,400000.0
alexei rojas,Premier-League,2024-2025,Goalkeeper,arsenal fc,1.87,250000.0
tommy setford,Premier-League,2024-2025,Goalkeeper,arsenal fc,1.85,
william saliba,Premier-League,2024-2025,Centre-Back,arsenal fc,1.92,80000000.0
gabriel magalhaes,Premier-League,2024-2025,Centre-Back,arsenal fc,1.9,75000000.0
jakub kiwior,Premier-League,2024-2025,Centre-Back,arsenal fc,1.89,28000000.0
takehiro tomiyasu,Premier-League,2024-2025,Centre-Back,arsenal fc,1.88,18000000.0
ayden heaven,Premier-League,2024-2025,Centre-Back,arsenal fc,1.89,5000000.0
zane monlouis,Premier-League,2024-2025,Centre-Back,arsenal fc,1.86,400000.0
maldini kacurri,Premier-League,2024-2025,Centre-Back,arsenal fc,1.89,300000.0
brayden clarke,Premier-League,2024-2025,Centre-Back,arsenal fc,,
myles lewisskelly,Premier-League,2024-2025,Left-Back,arsenal fc,1.78,45000000.0
riccardo calafiori,Premier-League,2024-2025,Left-Back,arsenal fc,1.88,35000000.0
oleksandr zinchenko,Premier-League,2024-2025,Left-Back,arsenal fc,1.75,20000000.0
kieran tierney,Premier-League,2024-2025,Left-Back,arsenal fc,1.8,9000000.0
jurrien timber,Premier-League,2024-2025,Right-Back,arsenal fc,1.79,55000000.0
ben white,Premier-League,2024-2025,Right-Back,arsenal fc,1.86,45000000.0
josh robinson,Premier-League,2024-2025,Right-Back,arsenal fc,,
josh nichols,Premier-League,2024-2025,Right-Back,arsenal fc,,
thomas partey,Premier-League,2024-2025,Defensive Midfield,arsenal fc,1.85,14000000.0
jorginho,Premier-League,2024-2025,Defensive Midfield,arsenal fc,1.8,6000000.0
jack henryfrancis,Premier-League,2024-2025,Defensive Midfield,arsenal fc,1.81,200000.0
michal rosiak,Premier-League,2024-2025,Defensive Midfield,arsenal fc,1.8,
declan rice,Premier-League,2024-2025,Central Midfield,arsenal fc,1.88,120000000.0
mikel merino,Premier-League,2024-2025,Central Midfield,arsenal fc,1.89,35000000.0
salaheddine oulad mhand,Premier-League,2024-2025,Central Midfield,arsenal fc,1.77,400000.0
jimi gower,Premier-League,2024-2025,Central Midfield,arsenal fc,1.81,
martin degaard,Premier-League,2024-2025,Attacking Midfield,arsenal fc,1.78,85000000.0
ethan nwaneri,Premier-League,2024-2025,Attacking Midfield,arsenal fc,1.76,55000000.0
gabriel martinelli,Premier-League,2024-2025,Left Winger,arsenal fc,1.78,55000000.0
leandro trossard,Premier-League,2024-2025,Left Winger,arsenal fc,1.72,22000000.0
reiss nelson,Premier-League,2024-2025,Left Winger,arsenal fc,1.75,16000000.0
bukayo saka,Premier-League,2024-2025,Right Winger,arsenal fc,1.78,150000000.0
raheem sterling,Premier-League,2024-2025,Right Winger,arsenal fc,1.7,10000000.0
ismeal kabia,Premier-League,2024-2025,Right Winger,arsenal fc,1.75,
kai havertz,Premier-League,2024-2025,Centre-Forward,arsenal fc,1.93,65000000.0
gabriel jesus,Premier-League,2024-2025,Centre-Forward,arsenal fc,1.75,32000000.0
eddie nketiah,Premier-League,2024-2025,Centre-Forward,arsenal fc,1.75,18000000.0
nathan butleroyedeji,Premier-League,2024-2025,Centre-Forward,arsenal fc,1.77,1000000.0
alisson,Premier-League,2024-2025,Goalkeeper,liverpool fc,1.93,20000000.0
caoimhin kelleher,Premier-League,2024-2025,Goalkeeper,liverpool fc,1.88,20000000.0
vitezslav jaros,Premier-League,2024-2025,Goalkeeper,liverpool fc,1.9,4000000.0
harvey davies,Premier-League,2024-2025,Goalkeeper,liverpool fc,1.9,500000.0
ibrahima konate,Premier-League,2024-2025,Centre-Back,liverpool fc,1.94,60000000.0
virgil van dijk,Premier-League,2024-2025,Centre-Back,liverpool fc,1.95,23000000.0
joe gomez,Premier-League,2024-2025,Centre-Back,liverpool fc,1.88,20000000.0
jarell quansah,Premier-League,2024-2025,Centre-Back,liverpool fc,1.9,20000000.0
amara nallo,Premier-League,2024-2025,Centre-Back,liverpool fc,1.86,1000000.0
konstantinos tsimikas,Premier-League,2024-2025,Left-Back,liverpool fc,1.79,18000000.0
andrew robertson,Premier-League,2024-2025,Left-Back,liverpool fc,1.78,18000000.0
james norris,Premier-League,2024-2025,Left-Back,liverpool fc,1.72,150000.0
trent alexanderarnold,Premier-League,2024-2025,Right-Back,liverpool fc,1.8,75000000.0
conor bradley,Premier-League,2024-2025,Right-Back,liverpool fc,1.81,30000000.0
isaac mabaya,Premier-League,2024-2025,Right-Back,liverpool fc,1.86,
ryan gravenberch,Premier-League,2024-2025,Defensive Midfield,liverpool fc,1.9,75000000.0
wataru endo,Premier-League,2024-2025,Defensive Midfield,liverpool fc,1.78,8000000.0
tyler morton,Premier-League,2024-2025,Defensive Midfield,liverpool fc,1.85,7000000.0
alexis mac allister,Premier-League,2024-2025,Central Midfield,liverpool fc,1.76,100000000.0
curtis jones,Premier-League,2024-2025,Central Midfield,liverpool fc,1.85,45000000.0
trey nyoni,Premier-League,2024-2025,Central Midfield,liverpool fc,1.8,4500000.0
james mcconnell,Premier-League,2024-2025,Central Midfield,liverpool fc,1.8,2000000.0
dominik szoboszlai,Premier-League,2024-2025,Attacking Midfield,liverpool fc,1.87,80000000.0
harvey elliott,Premier-League,2024-2025,Attacking Midfield,liverpool fc,1.7,30000000.0
kieran morrison,Premier-League,2024-2025,Attacking Midfield,liverpool fc,1.8,
luis diaz,Premier-League,2024-2025,Left Winger,liverpool fc,1.8,70000000.0
cody gakpo,Premier-League,2024-2025,Left Winger,liverpool fc,1.93,70000000.0
diogo jota,Premier-League,2024-2025,Left Winger,liverpool fc,1.78,40000000.0
trent konedoherty,Premier-League,2024-2025,Left Winger,liverpool fc,1.75,
rio ngumoha,Premier-League,2024-2025,Left Winger,liverpool fc,1.7,
mohamed salah,Premier-League,2024-2025,Right Winger,liverpool fc,1.75,50000000.0
federico chiesa,Premier-League,2024-2025,Right Winger,liverpool fc,1.75,14000000.0
ranel young,Premier-League,2024-2025,Right Winger,liverpool fc,,
darwin nunez,Premier-League,2024-2025,Centre-Forward,liverpool fc,1.87,45000000.0
jayden danns,Premier-League,2024-2025,Centre-Forward,liverpool fc,1.83,800000.0
andre onana,Premier-League,2024-2025,Goalkeeper,manchester united,1.9,25000000.0
altay bayndr,Premier-League,2024-2025,Goalkeeper,manchester united,1.98,8000000.0
tom heaton,Premier-League,2024-2025,Goalkeeper,manchester united,1.88,200000.0
dermot mee,Premier-League,2024-2025,Goalkeeper,manchester united,1.83,
hubert graczyk,Premier-League,2024-2025,Goalkeeper,manchester united,1.87,
elyh harrison,Premier-League,2024-2025,Goalkeeper,manchester united,1.82,
will murdock,Premier-League,2024-2025,Goalkeeper,manchester united,,
leny yoro,Premier-League,2024-2025,Centre-Back,manchester united,1.9,55000000.0
lisandro martinez,Premier-League,2024-2025,Centre-Back,manchester united,1.75,40000000.0
matthijs de ligt,Premier-League,2024-2025,Centre-Back,manchester united,1.89,38000000.0
harry maguire,Premier-League,2024-2025,Centre-Back,manchester united,1.94,13000000.0
victor lindelof,Premier-League,2024-2025,Centre-Back,manchester united,1.87,8000000.0
ayden heaven,Premier-League,2024-2025,Centre-Back,manchester united,1.89,5000000.0
tyler fredricson,Premier-League,2024-2025,Centre-Back,manchester united,1.88,3000000.0
jonny evans,Premier-League,2024-2025,Centre-Back,manchester united,1.88,1000000.0
godwill kukonki,Premier-League,2024-2025,Centre-Back,manchester united,1.96,
patrick dorgu,Premier-League,2024-2025,Left-Back,manchester united,1.85,25000000.0
luke shaw,Premier-League,2024-2025,Left-Back,manchester united,1.78,12000000.0
tyrell malacia,Premier-League,2024-2025,Left-Back,manchester united,1.69,8000000.0
harry amass,Premier-League,2024-2025,Left-Back,manchester united,1.81,5000000.0
diogo dalot,Premier-League,2024-2025,Right-Back,manchester united,1.83,30000000.0
noussair mazraoui,Premier-League,2024-2025,Right-Back,manchester united,1.83,25000000.0
habeeb ogunneye,Premier-League,2024-2025,Right-Back,manchester united,,
jaydan kamason,Premier-League,2024-2025,Right-Back,manchester united,1.78,
manuel ugarte,Premier-League,2024-2025,Defensive Midfield,manchester united,1.82,45000000.0
casemiro,Premier-League,2024-2025,Defensive Midfield,manchester united,1.85,10000000.0
toby collyer,Premier-League,2024-2025,Defensive Midfield,manchester united,1.8,5000000.0
sekou kone,Premier-League,2024-2025,Defensive Midfield,manchester united,1.76,
scott mctominay,Premier-League,2024-2025,Central Midfield,manchester united,1.91,50000000.0
kobbie mainoo,Premier-League,2024-2025,Central Midfield,manchester united,1.8,50000000.0
daniel gore,Premier-League,2024-2025,Central Midfield,manchester united,,800000.0
jack moorhouse,Premier-League,2024-2025,Central Midfield,manchester united,1.84,
jayce fitzgerald,Premier-League,2024-2025,Central Midfield,manchester united,,
bruno fernandes,Premier-League,2024-2025,Attacking Midfield,manchester united,1.79,50000000.0
mason mount,Premier-League,2024-2025,Attacking Midfield,manchester united,1.81,28000000.0
christian eriksen,Premier-League,2024-2025,Attacking Midfield,manchester united,1.82,4000000.0
jack fletcher,Premier-League,2024-2025,Attacking Midfield,manchester united,,
marcus rashford,Premier-League,2024-2025,Left Winger,manchester united,1.85,50000000.0
alejandro garnacho,Premier-League,2024-2025,Left Winger,manchester united,1.8,45000000.0
jadon sancho,Premier-League,2024-2025,Left Winger,manchester united,1.8,28000000.0
james scanlon,Premier-League,2024-2025,Left Winger,manchester united,1.8,
amad diallo,Premier-League,2024-2025,Right Winger,manchester united,1.73,45000000.0
antony,Premier-League,2024-2025,Right Winger,manchester united,1.72,35000000.0
facundo pellistri,Premier-League,2024-2025,Right Winger,manchester united,1.75,8000000.0
bendito mantato,Premier-League,2024-2025,Right Winger,manchester united,1.8,
rasmus hjlund,Premier-League,2024-2025,Centre-Forward,manchester united,1.91,35000000.0
joshua zirkzee,Premier-League,2024-2025,Centre-Forward,manchester united,1.93,30000000.0
chido obi,Premier-League,2024-2025,Centre-Forward,manchester united,1.88,5000000.0
ethan wheatley,Premier-League,2024-2025,Centre-Forward,manchester united,1.87,
guglielmo vicario,Premier-League,2024-2025,Goalkeeper,tottenham hotspur,1.94,32000000.0
antonin kinsky,Premier-League,2024-2025,Goalkeeper,tottenham hotspur,1.9,15000000.0
fraser forster,Premier-League,2024-2025,Goalkeeper,tottenham hotspur,2.01,1000000.0
brandon austin,Premier-League,2024-2025,Goalkeeper,tottenham hotspur,1.88,600000.0
alfie whiteman,Premier-League,2024-2025,Goalkeeper,tottenham hotspur,1.88,500000.0
cristian romero,Premier-League,2024-2025,Centre-Back,tottenham hotspur,1.85,50000000.0
micky van de ven,Premier-League,2024-2025,Centre-Back,tottenham hotspur,1.93,50000000.0
kevin danso,Premier-League,2024-2025,Centre-Back,tottenham hotspur,1.9,25000000.0
radu dragusin,Premier-League,2024-2025,Centre-Back,tottenham hotspur,1.91,25000000.0
ben davies,Premier-League,2024-2025,Centre-Back,tottenham hotspur,1.81,6000000.0
alfie dorrington,Premier-League,2024-2025,Centre-Back,tottenham hotspur,,700000.0
dante cassanova,Premier-League,2024-2025,Centre-Back,tottenham hotspur,,
maeson king,Premier-League,2024-2025,Centre-Back,tottenham hotspur,,
malachi hardy,Premier-League,2024-2025,Centre-Back,tottenham hotspur,1.9,
destiny udogie,Premier-League,2024-2025,Left-Back,tottenham hotspur,1.88,40000000.0
djed spence,Premier-League,2024-2025,Left-Back,tottenham hotspur,1.84,20000000.0
sergio reguilon,Premier-League,2024-2025,Left-Back,tottenham hotspur,1.78,6000000.0
pedro porro,Premier-League,2024-2025,Right-Back,tottenham hotspur,1.73,38000000.0
archie gray,Premier-League,2024-2025,Defensive Midfield,tottenham hotspur,1.87,38000000.0
rodrigo bentancur,Premier-League,2024-2025,Defensive Midfield,tottenham hotspur,1.87,30000000.0
yves bissouma,Premier-League,2024-2025,Defensive Midfield,tottenham hotspur,1.82,25000000.0
lucas bergvall,Premier-League,2024-2025,Central Midfield,tottenham hotspur,1.87,38000000.0
pape matar sarr,Premier-League,2024-2025,Central Midfield,tottenham hotspur,1.84,32000000.0
callum olusesi,Premier-League,2024-2025,Central Midfield,tottenham hotspur,,500000.0
rio kyerematen,Premier-League,2024-2025,Central Midfield,tottenham hotspur,,
dejan kulusevski,Premier-League,2024-2025,Attacking Midfield,tottenham hotspur,1.86,50000000.0
james maddison,Premier-League,2024-2025,Attacking Midfield,tottenham hotspur,1.75,42000000.0
alfie devine,Premier-League,2024-2025,Attacking Midfield,tottenham hotspur,1.82,3500000.0
luca williamsbarnett,Premier-League,2024-2025,Attacking Midfield,tottenham hotspur,1.75,
brennan johnson,Premier-League,2024-2025,Left Winger,tottenham hotspur,1.86,40000000.0
heungmin son,Premier-League,2024-2025,Left Winger,tottenham hotspur,1.84,20000000.0
wilson odobert,Premier-League,2024-2025,Left Winger,tottenham hotspur,1.82,20000000.0
mikey moore,Premier-League,2024-2025,Left Winger,tottenham hotspur,1.8,18000000.0
timo werner,Premier-League,2024-2025,Left Winger,tottenham hotspur,1.8,7000000.0
minhyeok yang,Premier-League,2024-2025,Right Winger,tottenham hotspur,1.76,3500000.0
damola ajayi,Premier-League,2024-2025,Right Winger,tottenham hotspur,1.76,
dominic solanke,Premier-League,2024-2025,Centre-Forward,tottenham hotspur,1.86,40000000.0
mathys tel,Premier-League,2024-2025,Centre-Forward,tottenham hotspur,1.83,35000000.0
richarlison,Premier-League,2024-2025,Centre-Forward,tottenham hotspur,1.84,20000000.0
will lankshear,Premier-League,2024-2025,Centre-Forward,tottenham hotspur,1.89,3000000.0
dane scarlett,Premier-League,2024-2025,Centre-Forward,tottenham hotspur,1.8,2000000.0
emiliano martinez,Premier-League,2024-2025,Goalkeeper,aston villa,1.95,20000000.0
joe gauci,Premier-League,2024-2025,Goalkeeper,aston villa,1.94,1500000.0
robin olsen,Premier-League,2024-2025,Goalkeeper,aston villa,1.96,1000000.0
oliwier zych,Premier-League,2024-2025,Goalkeeper,aston villa,1.93,800000.0
sam proctor,Premier-League,2024-2025,Goalkeeper,aston villa,,
ezri konsa,Premier-League,2024-2025,Centre-Back,aston villa,1.83,35000000.0
pau torres,Premier-League,2024-2025,Centre-Back,aston villa,1.92,32000000.0
axel disasi,Premier-League,2024-2025,Centre-Back,aston villa,1.91,22000000.0
diego carlos,Premier-League,2024-2025,Centre-Back,aston villa,1.85,9500000.0
lamare bogarde,Premier-League,2024-2025,Centre-Back,aston villa,1.85,6000000.0
tyrone mings,Premier-League,2024-2025,Centre-Back,aston villa,1.96,5000000.0
kortney hause,Premier-League,2024-2025,Centre-Back,aston villa,1.91,1000000.0
sil swinkels,Premier-League,2024-2025,Centre-Back,aston villa,1.9,150000.0
ian maatsen,Premier-League,2024-2025,Left-Back,aston villa,1.78,28000000.0
lucas digne,Premier-League,2024-2025,Left-Back,aston villa,1.78,10000000.0
travis patterson,Premier-League,2024-2025,Left-Back,aston villa,,
matty cash,Premier-League,2024-2025,Right-Back,aston villa,1.85,25000000.0
kosta nedeljkovic,Premier-League,2024-2025,Right-Back,aston villa,1.84,10000000.0
andres garcia,Premier-League,2024-2025,Right-Back,aston villa,1.85,7000000.0
triston rowe,Premier-League,2024-2025,Right-Back,aston villa,,
amadou onana,Premier-League,2024-2025,Defensive Midfield,aston villa,1.95,50000000.0
boubacar kamara,Premier-League,2024-2025,Defensive Midfield,aston villa,1.84,40000000.0
youri tielemans,Premier-League,2024-2025,Central Midfield,aston villa,1.77,38000000.0
jacob ramsey,Premier-League,2024-2025,Central Midfield,aston villa,1.8,32000000.0
john mcginn,Premier-League,2024-2025,Central Midfield,aston villa,1.78,16000000.0
ross barkley,Premier-League,2024-2025,Central Midfield,aston villa,1.89,6000000.0
aidan borland,Premier-League,2024-2025,Central Midfield,aston villa,1.77,
morgan rogers,Premier-League,2024-2025,Attacking Midfield,aston villa,1.87,55000000.0
marco asensio,Premier-League,2024-2025,Attacking Midfield,aston villa,1.82,20000000.0
emiliano buendia,Premier-League,2024-2025,Attacking Midfield,aston villa,1.72,15000000.0
jamaldeen jimohaloba,Premier-League,2024-2025,Attacking Midfield,aston villa,,300000.0
bradley burrowes,Premier-League,2024-2025,Attacking Midfield,aston villa,,
marcus rashford,Premier-League,2024-2025,Left Winger,aston villa,1.85,50000000.0
jaden philogene,Premier-League,2024-2025,Left Winger,aston villa,1.81,16000000.0
kadan young,Premier-League,2024-2025,Left Winger,aston villa,1.76,300000.0
ben broggio,Premier-League,2024-2025,Left Winger,aston villa,1.81,
leon bailey,Premier-League,2024-2025,Right Winger,aston villa,1.78,28000000.0
donyell malen,Premier-League,2024-2025,Right Winger,aston villa,1.76,25000000.0
