Player,Liga,Season,Pos,Squad,Height,Value
lamine yamal,La-Liga,2024-2025,Right Winger,fc barcelona,1.8,200000000.0
toni fernandez,La-Liga,2024-2025,Right Winger,fc barcelona,1.75,3000000.0
ferran torres,La-Liga,2024-2025,Centre-Forward,fc barcelona,1.84,40000000.0
robert lewandowski,La-Liga,2024-2025,Centre-Forward,fc barcelona,1.85,12000000.0
pau victor,La-Liga,2024-2025,Centre-Forward,fc barcelona,1.84,4000000.0
jan oblak,La-Liga,2024-2025,Goalkeeper,atletico de madrid,1.88,20000000.0
juan musso,La-Liga,2024-2025,Goalkeeper,atletico de madrid,1.91,3500000.0
horatiu moldovan,La-Liga,2024-2025,Goalkeeper,atletico de madrid,1.86,2200000.0
alejandro iturbe,La-Liga,2024-2025,Goalkeeper,atletico de madrid,1.86,2000000.0
antonio gomis,La-Liga,2024-2025,Goalkeeper,atletico de madrid,1.91,150000.0
robin le normand,La-Liga,2024-2025,Centre-Back,atletico de madrid,1.87,40000000.0
jose maria gimenez,La-Liga,2024-2025,Centre-Back,atletico de madrid,1.85,20000000.0
clement lenglet,La-Liga,2024-2025,Centre-Back,atletico de madrid,1.86,7500000.0
santiago mourino,La-Liga,2024-2025,Centre-Back,atletico de madrid,1.86,3000000.0
axel witsel,La-Liga,2024-2025,Centre-Back,atletico de madrid,1.86,2000000.0
cesar azpilicueta,La-Liga,2024-2025,Centre-Back,atletico de madrid,1.78,1500000.0
ilias kostis,La-Liga,2024-2025,Centre-Back,atletico de madrid,1.88,500000.0
geronimo spina,La-Liga,2024-2025,Centre-Back,atletico de madrid,1.87,200000.0
reinildo mandava,La-Liga,2024-2025,Left-Back,atletico de madrid,1.8,5000000.0
javi galan,La-Liga,2024-2025,Left-Back,atletico de madrid,1.72,4000000.0
marcos llorente,La-Liga,2024-2025,Right-Back,atletico de madrid,1.84,25000000.0
nahuel molina,La-Liga,2024-2025,Right-Back,atletico de madrid,1.75,20000000.0
carlos gimenez,La-Liga,2024-2025,Right-Back,atletico de madrid,1.8,250000.0
