Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
alex baena,Villarreal,2001.0,32,30,2595,7,9,9,0,91,189,154,2024-2025,laliga
juma bah,Valladolid,2006.0,12,10,864,0,0,1,0,0,13,1,2024-2025,laliga
eric bailly,Villarreal,1994.0,12,8,617,0,0,2,1,1,18,0,2024-2025,laliga
stefan bajcetic,Las Palmas,2004.0,14,12,969,1,0,4,0,8,39,9,2024-2025,laliga
cedric bakambu,Betis,1991.0,25,6,710,2,2,4,0,9,14,43,2024-2025,laliga
alejandro balde,Barcelona,2003.0,32,26,2284,0,4,2,0,107,93,246,2024-2025,laliga
ivan balliu,Rayo Vallecano,1992.0,25,12,1200,0,0,3,0,8,46,21,2024-2025,laliga
jonathan bamba,Celta Vigo,1996.0,12,10,811,0,1,1,0,31,30,71,2024-2025,laliga
adrian baquerin,Valladolid,2007.0,5,0,49,0,0,0,0,0,1,0,2024-2025,laliga
valentin barco,Sevilla,2004.0,7,3,288,0,0,0,0,4,13,13,2024-2025,laliga
borna barisic,Leganés,1992.0,1,1,9,0,0,0,0,0,0,0,2024-2025,laliga
kike barja,Osasuna,1997.0,15,3,315,0,1,3,0,22,4,39,2024-2025,laliga
enzo barrenechea,Valencia,2001.0,30,26,2191,1,2,6,0,21,126,16,2024-2025,laliga
ander barrenetxea,Real Sociedad,2001.0,30,14,1263,1,3,6,0,43,48,152,2024-2025,laliga
pablo barrios,Atlético Madrid,2003.0,31,28,2330,1,4,4,1,29,142,69,2024-2025,laliga
thierno barry,Villarreal,2002.0,35,25,2323,11,4,4,0,44,27,124,2024-2025,laliga
marc bartra,Betis,1991.0,25,23,2099,2,1,2,0,7,68,1,2024-2025,laliga
aboubacar bassinga,Las Palmas,2005.0,1,0,4,0,0,0,0,0,0,0,2024-2025,laliga
augusto batalla,Rayo Vallecano,1996.0,32,32,2880,0,0,6,0,0,2,0,2024-2025,laliga
rafael bauza,Espanyol,2005.0,5,2,183,0,0,1,0,1,7,3,2024-2025,laliga
sheraldo becker,Real Sociedad,1995.0,22,11,995,2,1,1,1,51,23,110,2024-2025,laliga
donny van de beek,Girona,1997.0,26,16,1421,2,2,5,0,17,45,85,2024-2025,laliga
luken beitia,Real Sociedad,2004.0,1,0,8,0,0,0,0,0,0,0,2024-2025,laliga
ismael bekhoucha,Getafe,2004.0,5,0,69,0,0,2,0,1,1,1,2024-2025,laliga
hector bellerin,Betis,1995.0,9,6,580,0,2,1,0,3,24,22,2024-2025,laliga
jude bellingham,Real Madrid,2003.0,31,29,2488,9,8,5,1,74,199,143,2024-2025,laliga
fran beltran,Celta Vigo,1999.0,34,29,2421,2,1,3,0,28,152,29,2024-2025,laliga
carlos benavidez,Alavés,1998.0,18,6,487,1,1,3,0,4,26,5,2024-2025,laliga
iker benito,Osasuna,2002.0,2,0,37,0,0,0,0,2,0,4,2024-2025,laliga
