Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
abner,Betis,2000,13,7,607,0,0,2,0,8,16,25,2022-2023,laliga
alvaro aceves,Valladolid,2003,1,0,13,0,0,0,0,0,0,0,2022-2023,laliga
marcos acuna,Sevilla,1991,30,21,1912,3,2,10,3,49,102,94,2022-2023,laliga
julen agirrezabala,Athletic Club,2000,8,7,675,0,0,0,0,0,0,0,2022-2023,laliga
alvaro aguado,Valladolid,1996,34,18,1888,1,2,4,0,29,139,50,2022-2023,laliga
joseph aidoo,Celta Vigo,1995,35,35,3119,3,0,6,1,15,95,2,2022-2023,laliga
sergio akieme,Almería,1997,29,27,2297,1,0,5,0,60,58,84,2022-2023,laliga
babatunde akinsola,Valladolid,2003,1,0,11,0,0,0,0,1,0,3,2022-2023,laliga
paul akouokou,Betis,1997,12,3,447,0,0,3,0,1,10,1,2022-2023,laliga
david alaba,Real Madrid,1992,23,21,1838,1,3,3,0,16,67,60,2022-2023,laliga
angel alarcon,Barcelona,2004,4,0,25,0,0,0,0,0,1,2,2022-2023,laliga
tomas alarcon,Cádiz,1999,4,2,223,0,0,2,1,2,9,6,2022-2023,laliga
jordi alba,Barcelona,1989,24,14,1419,2,3,6,1,42,141,157,2022-2023,laliga
raul albiol,Villarreal,1985,25,24,2119,0,0,6,0,12,100,3,2022-2023,laliga
ruben alcaraz,Cádiz,1991,31,22,2043,3,0,11,1,30,105,20,2022-2023,laliga
omar alderete,Getafe,1996,25,23,2047,1,1,9,0,28,96,8,2022-2023,laliga
ivan alejo,Cádiz,1995,31,13,1311,0,1,13,1,52,16,103,2022-2023,laliga
carles alena,Getafe,1998,35,26,2119,2,2,12,1,24,87,78,2022-2023,laliga
alejandro alfaro,Elche,2002,1,0,15,0,0,0,0,0,0,0,2022-2023,laliga
angel algobia,Getafe,1999,26,11,1138,0,0,3,0,10,42,11,2022-2023,laliga
mohamed ali cho,Real Sociedad,2004,19,5,587,1,2,1,0,30,8,63,2022-2023,laliga
domingos andre ribeiro almeida,Valencia,2000,34,29,2539,2,4,3,0,74,197,71,2022-2023,laliga
marcos alonso,Barcelona,1990,24,11,1172,1,0,3,0,26,71,13,2022-2023,laliga
carlos alvarez,Sevilla,2003,1,0,10,0,0,1,0,0,0,1,2022-2023,laliga
gaston alvarez,Getafe,2000,22,16,1501,2,0,7,1,11,38,27,2022-2023,laliga
yeray alvarez,Athletic Club,1995,28,27,2332,1,1,7,1,32,152,8,2022-2023,laliga
selim amallah,Valladolid,1996,7,3,267,2,1,2,1,11,10,9,2022-2023,laliga
amath,Mallorca,1996,28,12,1227,2,0,2,1,33,16,69,2022-2023,laliga
jordan amavi,Getafe,1994,5,1,200,0,0,2,1,4,5,5,2022-2023,laliga
marcos andre,Valencia,1996,17,3,447,1,0,2,1,2,7,20,2022-2023,laliga
fabrizio angileri,Getafe,1994,15,7,585,0,0,2,1,4,16,14,2022-2023,laliga
