Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
tyronne ebuehi,Empoli,33,71.7,74.1,76.9,100.0,0.0,0.1,0.0,3,1,1,2024-2025,serie-a
ederson,Atalanta,1700,86.5,87.7,92.8,74.4,4.3,4.8,-3.3,193,41,5,2024-2025,serie-a
kingsley ehizibue,Udinese,753,76.7,86.6,79.9,51.6,2.2,1.8,-1.2,29,21,16,2024-2025,serie-a
jeff ekhator,Genoa,110,66.7,74.7,64.6,50.0,1.0,0.6,0.0,8,4,0,2024-2025,serie-a
jurgen ekkelenkamp,Udinese,550,79.7,85.8,82.7,63.0,1.3,1.2,0.7,42,11,2,2024-2025,serie-a
emmanuel ekong,Empoli,30,68.2,70.8,78.6,100.0,0.1,0.1,-0.1,2,2,0,2024-2025,serie-a
caleb ekuban,Genoa,72,67.3,69.6,75.0,33.3,0.8,0.2,2.2,6,1,0,2024-2025,serie-a
mikael ellertsson,Venezia,431,71.0,80.4,74.3,30.0,1.6,1.8,0.4,23,8,1,2024-2025,serie-a
elif elmas,Torino,270,80.4,89.8,83.8,50.0,0.4,1.1,-0.4,22,15,5,2024-2025,serie-a
emerson,Milan,784,86.2,90.9,91.0,59.3,0.7,1.1,-0.7,44,14,5,2024-2025,serie-a
yannik engelhardt,Como,622,88.7,92.8,93.0,69.0,1.5,1.4,-0.5,39,2,0,2024-2025,serie-a
martin erlic,Bologna,220,91.7,95.0,94.3,77.8,0.0,0.0,0.0,12,0,0,2024-2025,serie-a
sebastiano esposito,Empoli,445,60.2,73.5,64.1,44.8,2.1,2.1,-2.1,57,31,5,2024-2025,serie-a
estanis,Bologna,7,87.5,100.0,100.0,,0.2,0.2,-0.2,0,0,0,2024-2025,serie-a
nahuel estevez,Parma,237,75.7,86.5,82.0,50.0,0.8,0.5,-0.8,26,1,0,2024-2025,serie-a
