Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
tammy abraham,Roma,19,47.5,56.0,44.4,0.0,0.1,0.0,-0.1,1,1,0,2023-2024,serie-a
francesco acerbi,Inter,1615,90.7,92.5,94.3,73.7,1.8,1.3,-0.8,58,5,2,2023-2024,serie-a
yacine adli,Milan,1125,86.5,91.6,91.2,67.8,2.2,2.0,-0.2,149,16,6,2023-2024,serie-a
michel aebischer,Bologna,1370,91.2,94.3,93.4,76.7,1.5,1.0,-0.5,117,9,1,2023-2024,serie-a
lucien agoume,Inter,5,100.0,100.0,100.0,,0.0,0.0,0.0,0,0,0,2023-2024,serie-a
marley ake,Udinese,0,,,,,0.0,0.0,0.0,0,0,0,2023-2024,serie-a
ebenezer akinsanmiro,Inter,7,87.5,100.0,100.0,,0.0,0.0,0.0,1,1,0,2023-2024,serie-a
jeandaniel akpaakpro,Monza,220,83.7,88.3,91.3,80.0,0.1,0.2,-0.1,14,0,0,2023-2024,serie-a
david akpan ankeye,Genoa,8,88.9,66.7,100.0,,0.0,0.4,0.0,0,1,0,2023-2024,serie-a
luis alberto,Lazio,1303,77.6,89.2,82.2,43.5,4.7,4.8,2.3,172,48,4,2023-2024,serie-a
carlos alcaraz,Juventus,143,86.7,86.1,90.3,89.5,0.1,0.4,0.9,20,4,0,2023-2024,serie-a
pontus almqvist,Lecce,351,73.4,79.4,70.8,85.0,2.7,1.8,-1.7,14,12,4,2023-2024,serie-a
lorenzo amatucci,Fiorentina,22,88.0,85.7,100.0,100.0,0.0,0.1,0.0,3,0,0,2023-2024,serie-a
bruno amione,Hellas Verona,217,79.5,83.8,86.4,45.5,0.0,0.0,0.0,11,0,0,2023-2024,serie-a
felipe anderson,Lazio,1012,75.7,87.1,77.9,49.0,6.3,4.7,-0.3,66,50,4,2023-2024,serie-a
angelino,Roma,546,76.4,90.2,77.8,50.4,1.6,1.5,-0.6,36,21,13,2023-2024,serie-a
houssem aouar,Roma,300,83.6,91.7,85.0,66.7,0.5,0.6,-0.5,25,3,1,2023-2024,serie-a
simone aresti,Cagliari,0,0.0,,,0.0,0.0,0.0,0.0,0,0,0,2023-2024,serie-a
marko arnautovic,Inter,203,74.9,80.5,80.9,72.7,2.6,2.1,0.4,9,10,1,2023-2024,serie-a
kristjan asllani,Inter,662,89.0,96.7,94.0,65.0,1.1,0.8,0.9,47,4,1,2023-2024,serie-a
