Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
nabil aberdin,Getafe,60,75.9,84.6,85.3,41.2,0.0,0.0,0.0,4,0,0,2023-2024,laliga
abner,Betis,615,77.2,89.1,76.6,46.8,1.0,1.0,0.0,20,7,2,2023-2024,laliga
abdel abqar,Alavés,553,72.6,86.0,89.1,44.0,0.2,0.2,-0.2,61,2,0,2023-2024,laliga
marcos acuna,Sevilla,628,74.1,87.5,79.9,51.4,1.5,2.1,0.5,52,19,12,2023-2024,laliga
julen agirrezabala,Athletic Club,67,67.0,100.0,100.0,39.6,0.0,0.0,0.0,2,0,0,2023-2024,laliga
lucien agoume,Sevilla,301,83.6,86.5,88.9,73.8,0.6,0.3,-0.6,36,5,1,2023-2024,laliga
joseph aidoo,Celta Vigo,145,78.4,89.1,82.4,54.3,0.1,0.0,-0.1,8,1,0,2023-2024,laliga
ilias akhomach,Villarreal,372,77.3,86.9,75.9,50.0,2.6,2.5,-0.6,20,24,6,2023-2024,laliga
sergio akieme,Almería,620,77.4,90.8,82.9,43.2,2.2,2.1,-2.2,30,14,12,2023-2024,laliga
paul akouokou,Betis,16,94.1,87.5,100.0,100.0,0.0,0.0,0.0,0,0,0,2023-2024,laliga
david alaba,Real Madrid,810,89.6,96.3,90.0,58.3,0.7,0.8,0.3,56,5,0,2023-2024,laliga
raul albiol,Villarreal,1095,86.1,90.8,92.9,63.1,0.8,0.6,0.2,64,1,0,2023-2024,laliga
ruben alcaraz,Cádiz,1271,80.3,90.6,87.3,55.1,1.4,1.6,-0.4,151,16,3,2023-2024,laliga
omar alderete,Getafe,678,64.2,77.9,79.6,43.5,1.0,0.8,0.0,98,14,1,2023-2024,laliga
ivan alejo,Cádiz,245,50.9,71.8,47.6,37.5,1.3,2.8,0.7,17,25,22,2023-2024,laliga
carles alena,Getafe,308,77.8,85.2,82.6,64.4,1.6,1.0,-0.6,31,3,2,2023-2024,laliga
mohamed ali cho,Real Sociedad,38,57.6,71.9,66.7,11.1,0.1,0.3,-0.1,1,0,0,2023-2024,laliga
tadeo allende,Celta Vigo,60,61.2,75.0,54.5,62.5,0.4,0.2,-0.4,5,2,1,2023-2024,laliga
domingos andre ribeiro almeida,Valencia,315,78.9,90.6,79.8,57.5,1.2,0.9,-0.2,29,10,0,2023-2024,laliga
marcos alonso,Barcelona,180,84.1,93.8,85.1,38.1,0.5,0.3,-0.5,10,3,1,2023-2024,laliga
adria altimira,Villarreal,389,83.7,86.5,88.1,73.8,0.1,0.2,-0.1,25,5,2,2023-2024,laliga
sergi altimira,Betis,289,90.3,92.2,94.8,83.3,0.3,0.3,-0.3,26,2,0,2023-2024,laliga
gaston alvarez,Getafe,754,74.1,87.3,81.3,43.7,0.6,0.4,-0.6,64,5,3,2023-2024,laliga
hugo alvarez,Celta Vigo,380,83.5,91.6,87.3,29.6,1.5,1.8,-0.5,19,15,3,2023-2024,laliga
yeray alvarez,Athletic Club,572,80.6,86.7,91.5,49.2,0.1,0.4,-0.1,38,3,0,2023-2024,laliga
selim amallah,Valencia,120,73.2,83.1,69.6,50.0,0.3,0.3,0.7,11,3,0,2023-2024,laliga
amath,Mallorca,76,67.3,76.4,63.2,75.0,0.4,0.3,-0.4,8,4,2,2023-2024,laliga
miguel angel rubio,Granada,622,80.3,87.8,88.1,48.3,0.1,0.1,-0.1,24,3,0,2023-2024,laliga
fabrizio angileri,Getafe,68,66.0,78.9,69.4,44.4,1.3,0.9,-1.3,4,4,3,2023-2024,laliga
mauro arambarri,Getafe,114,80.3,87.3,85.7,72.0,0.0,0.1,0.0,17,2,2,2023-2024,laliga
jon aramburu,Real Sociedad,254,79.1,89.4,83.2,40.7,0.0,0.1,0.0,25,2,1,2023-2024,laliga
julian araujo,Las Palmas,680,81.8,89.4,84.4,57.3,1.2,0.9,-1.2,69,12,4,2023-2024,laliga
ronald araujo,Barcelona,1458,88.8,93.9,94.0,62.4,1.4,1.7,0.6,111,6,1,2023-2024,laliga
adu ares,Athletic Club,79,76.0,84.9,79.4,55.6,0.0,0.1,0.0,5,0,0,2023-2024,laliga
jesus areso,Osasuna,1021,74.6,87.8,76.1,49.4,3.6,2.9,2.4,77,40,24,2023-2024,laliga
matias arezo,Granada,52,63.4,70.5,52.4,75.0,0.1,0.1,-0.1,3,2,1,2023-2024,laliga
inigo arguibide,Osasuna,1,25.0,33.3,,,0.0,0.0,0.0,0,0,0,2023-2024,laliga
jose arnaiz,Osasuna,233,73.3,86.6,76.5,48.8,1.8,1.6,-0.8,6,5,1,2023-2024,laliga
sergio arribas,Almería,588,78.3,86.2,85.7,41.6,3.7,3.3,0.3,51,26,4,2023-2024,laliga
kepa arrizabalaga,Real Madrid,386,84.6,98.9,99.6,51.8,0.0,0.0,0.0,2,0,0,2023-2024,laliga
iago aspas,Celta Vigo,949,72.7,81.5,78.4,48.5,10.1,9.3,-0.1,99,55,6,2023-2024,laliga
ezequiel avila,Osasuna,232,62.5,77.0,63.6,54.1,2.3,2.7,0.7,25,18,7,2023-2024,laliga
ezequiel avila,Betis,55,60.4,86.7,60.0,35.3,0.1,0.1,-0.1,2,2,0,2023-2024,laliga
cesar azpilicueta,Atlético Madrid,867,83.8,93.9,85.0,45.9,2.4,1.9,-0.4,74,15,2,2023-2024,laliga
iddrisu baba,Almería,543,83.0,84.5,88.3,77.6,0.6,0.4,-0.6,51,3,2,2023-2024,laliga
sran babic,Almería,58,93.5,100.0,90.2,100.0,0.0,0.0,0.0,2,0,0,2023-2024,laliga
loic bade,Sevilla,1113,82.7,90.8,88.9,53.3,0.5,0.5,0.5,79,1,0,2023-2024,laliga
alex baena,Villarreal,893,71.2,85.7,75.2,52.9,9.2,9.5,4.8,95,59,15,2023-2024,laliga
eric bailly,Villarreal,337,87.5,91.1,91.0,70.7,0.0,0.0,0.0,12,1,0,2023-2024,laliga
cedric bakambu,Betis,26,66.7,70.0,58.3,,0.3,0.4,-0.3,1,0,0,2023-2024,laliga
alejandro balde,Barcelona,694,84.9,90.9,86.7,52.4,1.2,1.5,-0.2,26,20,7,2023-2024,laliga
ivan balliu,Rayo Vallecano,1116,75.1,88.3,78.3,47.1,2.6,2.3,-1.6,77,18,10,2023-2024,laliga
jonathan bamba,Celta Vigo,590,76.7,87.3,72.6,55.6,4.7,3.7,-2.7,38,33,10,2023-2024,laliga
leo baptistao,Almería,366,64.4,73.1,66.2,46.9,1.8,1.0,-1.8,21,8,2,2023-2024,laliga
kike barja,Osasuna,83,72.8,88.0,70.6,47.1,0.5,0.4,-0.5,0,6,3,2023-2024,laliga
ander barrenetxea,Real Sociedad,372,67.0,81.4,63.8,55.3,1.3,1.1,-0.3,15,15,4,2023-2024,laliga
pablo barrios,Atlético Madrid,728,83.4,88.4,87.5,64.8,1.9,1.0,-0.9,75,16,0,2023-2024,laliga
marc bartra,Betis,101,85.6,92.9,92.3,61.9,0.0,0.0,0.0,5,0,0,2023-2024,laliga
augusto batalla,Granada,445,64.6,100.0,99.0,42.3,0.0,0.1,0.0,26,0,0,2023-2024,laliga
bebe,Rayo Vallecano,63,60.6,74.4,70.0,33.3,0.2,0.5,-0.2,5,4,3,2023-2024,laliga
sheraldo becker,Real Sociedad,154,63.4,81.5,59.4,41.7,1.8,1.8,0.2,1,10,3,2023-2024,laliga
