Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
paxten aaronson,Eint Frankfurt,51,71.8,94.7,60.9,16.7,0.0,0.1,0.0,3,0,0,2022-2023,bundesliga
sargis adamyan,Köln,123,68.7,80.3,75.0,62.5,0.8,1.4,1.2,7,11,2,2022-2023,bundesliga
karim adeyemi,Dortmund,335,73.3,81.1,77.6,48.1,3.7,3.7,1.3,17,25,0,2022-2023,bundesliga
amine adli,Leverkusen,427,75.6,81.1,83.1,52.9,1.7,1.9,1.3,26,10,0,2022-2023,bundesliga
felix agu,Werder Bremen,16,64.0,80.0,90.0,33.3,0.1,0.1,-0.1,1,1,0,2022-2023,bundesliga
naouirou ahamada,Stuttgart,449,84.9,92.1,91.7,52.5,1.2,0.9,0.8,38,7,2,2022-2023,bundesliga
ludovic ajorque,Mainz 05,243,58.6,66.2,52.9,78.6,1.7,1.6,-0.7,17,8,0,2022-2023,bundesliga
kevin akpoguma,Hoffenheim,814,79.5,86.2,88.3,51.2,0.5,0.8,-0.5,83,10,3,2022-2023,bundesliga
lucas alario,Eint Frankfurt,56,65.9,70.7,71.4,80.0,0.0,0.4,0.0,4,0,0,2022-2023,bundesliga
faride alidou,Eint Frankfurt,74,73.3,92.7,71.7,22.2,0.5,0.3,0.5,8,7,3,2022-2023,bundesliga
eder alvarez balanta,Schalke 04,64,70.3,72.4,87.2,50.0,0.3,0.2,-0.3,11,0,0,2022-2023,bundesliga
lukas ambros,Wolfsburg,3,100.0,100.0,100.0,,0.0,0.0,0.0,0,0,0,2022-2023,bundesliga
nadiem amiri,Leverkusen,423,83.4,91.0,88.7,66.2,1.1,1.8,-0.1,38,9,1,2022-2023,bundesliga
robert andrich,Leverkusen,1218,83.7,88.0,85.4,66.7,1.2,0.9,0.8,77,11,2,2022-2023,bundesliga
angelino,Hoffenheim,1012,65.5,84.6,70.3,42.2,7.2,7.7,0.8,82,52,29,2022-2023,bundesliga
waldemar anton,Stuttgart,1629,79.1,85.7,87.5,51.5,1.4,1.4,0.6,112,16,4,2022-2023,bundesliga
christopher antwiadjei,Bochum,432,60.7,81.5,59.7,31.9,3.8,3.8,2.2,17,30,15,2022-2023,bundesliga
charles aranguiz,Leverkusen,248,79.7,88.3,87.5,38.5,0.2,0.2,-0.2,21,3,0,2022-2023,bundesliga
maximilian arnold,Wolfsburg,1269,77.3,88.9,87.0,55.1,4.9,4.9,-1.9,115,19,2,2022-2023,bundesliga
takuma asano,Bochum,237,69.3,80.3,73.5,34.8,2.1,2.1,0.9,18,18,7,2022-2023,bundesliga
fisnik asllani,Hoffenheim,37,58.7,65.1,71.4,,0.2,0.1,-0.2,1,0,0,2022-2023,bundesliga
mehmet aydin,Schalke 04,178,63.6,78.6,68.6,42.9,0.8,0.3,-0.8,13,5,3,2022-2023,bundesliga
ayman azhil,Leverkusen,0,,,,,0.0,0.0,0.0,0,0,0,2022-2023,bundesliga
sardar azmoun,Leverkusen,162,65.6,68.5,73.2,75.0,2.5,1.4,-1.5,23,9,0,2022-2023,bundesliga
sanoussy ba,RB Leipzig,0,,,,,0.0,0.0,0.0,0,0,0,2022-2023,bundesliga
mitchel bakker,Leverkusen,764,78.9,87.7,78.7,50.5,2.0,1.3,0.0,36,14,2,2022-2023,bundesliga
ridle baku,Wolfsburg,1216,78.4,86.3,82.5,59.9,4.1,5.0,-1.1,116,37,14,2022-2023,bundesliga
aymen barkok,Mainz 05,181,68.6,77.3,70.3,70.0,0.9,1.2,0.1,18,7,1,2022-2023,bundesliga
leandro barreiro martins,Mainz 05,379,68.0,79.3,69.4,36.4,2.2,1.3,0.8,48,5,1,2022-2023,bundesliga
