Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
abner,Betis,252,71.8,87.2,70.1,38.1,0.1,0.5,-0.1,18,3,1,2022-2023,laliga
alvaro aceves,Valladolid,7,87.5,100.0,100.0,50.0,0.0,0.0,0.0,0,0,0,2022-2023,laliga
marcos acuna,Sevilla,970,74.2,89.4,77.4,49.2,4.3,5.7,-2.3,71,38,19,2022-2023,laliga
julen agirrezabala,Athletic Club,171,71.0,100.0,96.8,43.2,0.0,0.0,0.0,2,0,0,2022-2023,laliga
alvaro aguado,Valladolid,930,81.4,88.9,86.5,70.7,2.2,2.0,-0.2,111,11,2,2022-2023,laliga
joseph aidoo,Celta Vigo,1525,86.4,87.2,92.8,66.8,0.1,0.3,-0.1,83,4,0,2022-2023,laliga
sergio akieme,Almería,821,77.4,88.7,81.6,40.6,2.0,2.2,-2.0,43,22,17,2022-2023,laliga
babatunde akinsola,Valladolid,2,100.0,,100.0,,0.0,0.0,0.0,0,0,0,2022-2023,laliga
paul akouokou,Betis,160,92.0,97.3,95.7,77.8,0.0,0.1,0.0,13,1,0,2022-2023,laliga
david alaba,Real Madrid,1042,87.6,96.0,87.6,53.5,1.1,1.3,1.9,68,9,4,2022-2023,laliga
angel alarcon,Barcelona,5,62.5,71.4,0.0,,0.0,0.0,0.0,0,1,0,2022-2023,laliga
tomas alarcon,Cádiz,78,82.1,87.5,79.4,80.0,0.1,0.1,-0.1,11,1,0,2022-2023,laliga
jordi alba,Barcelona,1217,83.4,91.8,84.6,56.1,6.2,6.7,-3.2,120,43,15,2022-2023,laliga
raul albiol,Villarreal,1303,88.5,92.0,93.3,74.9,0.0,0.5,0.0,98,5,0,2022-2023,laliga
ruben alcaraz,Cádiz,827,79.1,85.8,87.6,63.0,1.3,1.2,-1.3,93,16,8,2022-2023,laliga
omar alderete,Getafe,509,58.0,70.2,74.1,35.1,0.8,1.0,0.2,69,12,0,2022-2023,laliga
ivan alejo,Cádiz,219,55.9,74.0,49.5,39.3,2.4,1.6,-1.4,10,24,20,2022-2023,laliga
carles alena,Getafe,607,75.0,84.1,78.1,57.5,1.6,1.8,0.4,71,20,6,2022-2023,laliga
alejandro alfaro,Elche,1,100.0,,,,0.0,0.0,0.0,0,0,0,2022-2023,laliga
angel algobia,Getafe,420,80.6,84.8,87.8,63.4,0.6,0.3,-0.6,35,4,4,2022-2023,laliga
mohamed ali cho,Real Sociedad,108,65.5,87.8,50.9,29.4,1.7,1.6,0.3,6,10,7,2022-2023,laliga
domingos andre ribeiro almeida,Valencia,1110,79.2,89.9,81.6,51.6,3.4,4.0,0.6,143,43,13,2022-2023,laliga
marcos alonso,Barcelona,896,89.2,93.3,93.1,69.2,0.3,0.9,-0.3,70,9,4,2022-2023,laliga
carlos alvarez,Sevilla,4,100.0,100.0,100.0,,0.0,0.0,0.0,0,0,0,2022-2023,laliga
gaston alvarez,Getafe,350,60.4,84.2,59.6,29.1,0.2,0.4,-0.2,27,4,3,2022-2023,laliga
yeray alvarez,Athletic Club,1123,80.7,88.4,88.8,56.8,1.1,0.8,-0.1,137,11,4,2022-2023,laliga
selim amallah,Valladolid,63,75.9,78.9,76.7,75.0,0.3,0.2,0.7,7,2,0,2022-2023,laliga
amath,Mallorca,215,71.9,84.5,64.1,47.4,0.8,0.6,-0.8,13,5,3,2022-2023,laliga
jordan amavi,Getafe,51,53.1,71.8,50.0,27.3,0.0,0.0,0.0,2,0,0,2022-2023,laliga
marcos andre,Valencia,43,67.2,65.6,78.3,25.0,0.4,0.2,-0.4,4,1,0,2022-2023,laliga
fabrizio angileri,Getafe,153,58.8,77.0,59.6,40.5,0.0,0.1,0.0,13,1,0,2022-2023,laliga
josep antoni gaya,Mallorca,6,85.7,100.0,100.0,,0.0,0.0,0.0,0,0,0,2022-2023,laliga
jose antonio,Cádiz,8,80.0,100.0,100.0,0.0,0.0,0.0,1.0,2,1,0,2022-2023,laliga
anuar,Valladolid,30,75.0,78.3,90.0,,0.5,0.0,-0.5,3,0,0,2022-2023,laliga
