Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
jerome roussillon,Union Berlin,45,63.4,75.0,69.7,40.0,0.0,0.0,0.0,6,2,0,2024-2025,bundesliga
julian ryerson,Dortmund,1234,85.3,92.8,91.4,51.4,4.5,4.8,-1.5,82,31,22,2024-2025,bundesliga
frederik rnnow,Union Berlin,619,68.6,99.0,98.7,43.9,0.0,0.1,0.0,24,3,0,2024-2025,bundesliga
elias saad,St. Pauli,182,76.2,88.7,77.1,60.0,0.8,1.1,1.2,17,14,3,2024-2025,bundesliga
marcel sabitzer,Dortmund,728,84.8,93.5,85.8,55.4,1.6,1.6,-1.6,75,12,2,2024-2025,bundesliga
faik sakar,RB Leipzig,0,,,,,0.0,0.0,0.0,0,0,0,2024-2025,bundesliga
manolis saliakas,St. Pauli,958,71.8,87.5,77.1,43.6,2.6,2.9,-1.6,77,31,14,2024-2025,bundesliga
roland sallai,Freiburg,11,64.7,66.7,100.0,33.3,0.1,0.0,-0.1,2,0,0,2024-2025,bundesliga
diadie samassekou,Hoffenheim,144,92.3,91.4,98.1,57.1,0.0,0.1,0.0,15,2,0,2024-2025,bundesliga
philipp sander,Gladbach,610,80.9,91.5,84.7,39.2,0.6,1.0,-0.6,50,7,4,2024-2025,bundesliga
james sands,St. Pauli,155,76.0,84.4,86.1,40.0,0.0,0.1,0.0,8,3,0,2024-2025,bundesliga
leroy sane,Bayern Munich,750,82.5,89.4,84.9,64.4,5.5,6.1,-0.5,24,35,7,2024-2025,bundesliga
kaishu sano,Mainz 05,1153,80.1,86.0,84.6,61.1,1.2,2.0,-1.2,133,19,1,2024-2025,bundesliga
kaua santos,Eint Frankfurt,205,69.5,98.2,98.9,41.7,0.0,0.0,0.0,4,0,0,2024-2025,bundesliga
joe scally,Gladbach,1300,83.4,92.6,87.2,50.0,1.1,1.3,-1.1,60,15,7,2024-2025,bundesliga
andras schafer,Union Berlin,414,73.5,84.1,76.3,39.4,0.9,1.3,0.1,30,12,2,2024-2025,bundesliga
patrik schick,Leverkusen,287,78.0,82.1,78.9,75.0,0.6,0.9,-0.6,11,6,0,2024-2025,bundesliga
stefan schimmer,Heidenheim,32,60.4,57.1,69.6,66.7,0.3,0.3,-0.3,0,2,1,2024-2025,bundesliga
xaver schlager,RB Leipzig,85,86.7,97.8,88.1,40.0,0.7,0.4,-0.7,6,1,0,2024-2025,bundesliga
keven schlotterbeck,Augsburg,577,84.5,92.6,91.4,50.0,0.6,0.5,0.4,40,3,1,2024-2025,bundesliga
