Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
james abankwah,Udinese,23,79.3,93.3,75.0,40.0,0.0,0.0,0.0,0,0,0,2022-2023,serie-a
oliver abildgaard,Hellas Verona,115,59.0,68.2,57.7,48.1,0.4,0.3,-0.4,17,3,2,2022-2023,serie-a
tammy abraham,Roma,342,66.7,76.2,62.6,66.7,3.7,2.8,-0.7,18,17,2,2022-2023,serie-a
christian acella,Cremonese,9,100.0,100.0,100.0,,0.0,0.0,0.0,0,0,0,2022-2023,serie-a
francesco acerbi,Inter,1455,88.5,91.8,91.9,73.8,1.1,1.2,0.9,86,14,3,2022-2023,serie-a
yacine adli,Milan,49,64.5,75.0,70.8,56.3,0.3,0.2,-0.3,6,2,0,2022-2023,serie-a
michel aebischer,Bologna,557,82.6,91.0,84.8,52.9,0.6,0.5,-0.6,37,7,1,2022-2023,serie-a
felix afenagyan,Cremonese,146,75.6,86.1,73.9,57.1,0.1,0.2,-0.1,3,0,0,2022-2023,serie-a
kevin agudelo,Spezia,531,72.2,84.5,76.5,55.6,3.0,2.6,-2.0,58,31,2,2022-2023,serie-a
ola aina,Torino,402,73.9,90.5,75.1,51.6,2.1,1.9,-1.1,35,14,9,2022-2023,serie-a
emanuel aiwum,Cremonese,646,79.1,89.5,84.2,41.2,0.4,0.8,-0.4,48,7,1,2022-2023,serie-a
jeandaniel akpaakpro,Empoli,302,74.4,83.1,81.4,50.0,1.0,1.2,0.0,24,9,2,2022-2023,serie-a
luis alberto,Lazio,1640,82.5,91.8,86.7,48.7,7.0,6.3,0.0,210,56,1,2022-2023,serie-a
agustin alvarez,Sassuolo,68,81.0,82.7,76.5,75.0,0.4,0.3,0.6,4,2,0,2022-2023,serie-a
kelvin amian,Spezia,830,74.8,86.1,77.3,45.0,2.3,2.2,-1.3,80,19,10,2022-2023,serie-a
bruno amione,Hellas Verona,11,68.8,100.0,71.4,0.0,0.0,0.0,0.0,0,0,0,2022-2023,serie-a
bruno amione,Sampdoria,821,79.6,87.3,86.2,50.4,0.6,0.8,0.4,38,3,1,2022-2023,serie-a
ethan ampadu,Spezia,1254,81.0,88.1,89.3,53.0,1.1,0.9,-0.1,106,14,4,2022-2023,serie-a
sofyan amrabat,Fiorentina,1323,88.8,89.3,93.9,84.1,1.1,1.6,-0.1,158,23,10,2022-2023,serie-a
felipe anderson,Lazio,1093,77.5,85.3,79.6,57.0,4.8,4.2,-2.8,61,47,6,2022-2023,serie-a
janis antiste,Sassuolo,13,72.2,72.7,80.0,0.0,0.0,0.0,0.0,0,0,0,2022-2023,serie-a
marcos antonio,Lazio,380,90.5,95.3,90.8,73.3,0.3,0.3,0.7,40,2,0,2022-2023,serie-a
valentin antov,Monza,201,87.8,91.4,91.8,63.3,0.0,0.1,0.0,12,2,0,2022-2023,serie-a
marko arnautovic,Bologna,328,70.2,76.9,76.8,53.1,1.9,1.4,-1.9,17,14,1,2022-2023,serie-a
tolgay arslan,Udinese,485,80.2,87.4,84.5,70.3,1.6,1.6,-1.6,51,19,4,2022-2023,serie-a
santiago ascacibar,Cremonese,358,82.3,87.9,93.1,60.7,0.4,0.5,-0.4,50,7,2,2022-2023,serie-a
kristoffer askildsen,Lecce,165,61.3,68.4,65.0,50.0,0.4,0.4,-0.4,20,2,0,2022-2023,serie-a
kristjan asllani,Inter,402,88.0,97.9,91.9,65.6,0.9,1.0,-0.9,27,6,1,2022-2023,serie-a
emil audero,Sampdoria,617,67.1,100.0,99.2,48.8,0.0,0.1,0.0,16,0,0,2022-2023,serie-a
tommaso augello,Sampdoria,1283,72.3,87.4,74.2,48.3,3.9,3.8,1.1,84,45,28,2022-2023,serie-a
carlos augusto,Monza,1430,83.2,91.6,85.1,61.7,3.7,3.4,1.3,75,27,7,2022-2023,serie-a
kaan ayhan,Sassuolo,288,86.7,96.6,92.2,66.7,0.0,0.0,0.0,20,0,0,2022-2023,serie-a
jaime baez,Cremonese,32,66.7,80.0,76.5,50.0,0.1,0.3,-0.1,7,2,2,2022-2023,serie-a
nedim bajrami,Empoli,260,74.7,81.9,82.3,46.5,1.2,0.7,-0.2,19,6,0,2022-2023,serie-a
nedim bajrami,Sassuolo,245,69.0,86.2,73.0,30.8,1.5,1.6,-1.5,13,11,0,2022-2023,serie-a
tiemoue bakayoko,Milan,17,85.0,80.0,92.3,100.0,0.0,0.0,0.0,3,0,0,2022-2023,serie-a
tommaso baldanzi,Empoli,534,82.5,92.5,85.0,46.3,1.8,1.8,-1.8,38,17,1,2022-2023,serie-a
fode ballotoure,Milan,234,83.3,91.4,86.6,50.0,0.2,0.3,-0.2,13,8,5,2022-2023,serie-a
lameck banda,Lecce,278,65.0,79.0,63.3,39.4,1.3,1.1,-0.3,17,7,1,2022-2023,serie-a
filippo bandinelli,Empoli,773,73.7,87.3,78.9,46.4,2.6,2.4,-2.6,62,36,21,2022-2023,serie-a
antonin barak,Hellas Verona,11,78.6,70.0,100.0,,0.0,0.0,0.0,2,0,0,2022-2023,serie-a
antonin barak,Fiorentina,590,82.1,89.4,82.2,70.0,1.6,1.1,-1.6,59,14,2,2022-2023,serie-a
andrea barberis,Monza,140,84.3,89.3,85.1,72.7,0.4,0.2,0.6,16,1,1,2022-2023,serie-a
tommaso barbieri,Juventus,43,67.2,81.5,64.0,50.0,0.0,0.0,0.0,1,0,0,2022-2023,serie-a
francesco bardi,Bologna,18,78.3,100.0,100.0,63.6,0.0,0.0,0.0,1,0,0,2022-2023,serie-a
nicolo barella,Inter,1306,81.6,88.5,86.2,57.6,5.6,4.1,0.4,150,50,15,2022-2023,serie-a
enzo barrenechea,Juventus,98,85.2,94.2,93.3,54.5,0.0,0.0,0.0,6,0,0,2022-2023,serie-a
musa barrow,Bologna,583,72.3,90.1,73.9,44.0,4.7,3.3,3.3,43,29,12,2022-2023,serie-a
federico baschirotto,Lecce,1049,73.3,84.6,83.3,48.6,0.7,0.8,-0.7,86,7,3,2022-2023,serie-a
toma basic,Lazio,214,73.0,82.1,84.7,21.4,0.4,0.4,-0.4,14,5,2,2022-2023,serie-a
alberto basso,Cremonese,2,100.0,100.0,100.0,,0.0,0.0,0.0,0,0,0,2022-2023,serie-a
alessandro bastoni,Inter,1384,82.8,90.2,90.1,63.9,2.7,2.9,-0.7,130,29,11,2022-2023,serie-a
simone bastoni,Spezia,367,61.6,84.7,61.1,38.0,1.7,1.3,2.3,35,11,8,2022-2023,serie-a
brian bayeye,Torino,30,60.0,87.5,64.7,66.7,0.0,0.0,0.0,2,1,1,2022-2023,serie-a
rodrigo becao,Udinese,1089,77.8,89.1,83.7,53.6,0.6,0.9,0.4,77,5,2,2022-2023,serie-a
julius beck,Spezia,5,100.0,,100.0,100.0,0.0,0.0,0.0,0,0,0,2022-2023,serie-a
raoul bellanova,Inter,238,77.8,88.9,74.5,59.0,0.4,0.4,-0.4,9,6,5,2022-2023,serie-a
andrea belotti,Roma,171,66.3,76.3,72.6,55.6,1.6,0.7,0.4,6,5,0,2022-2023,serie-a
marco benassi,Fiorentina,91,86.7,100.0,80.5,83.9,0.1,0.1,-0.1,11,1,0,2022-2023,serie-a
marco benassi,Cremonese,248,72.1,84.6,79.0,45.5,0.4,0.5,-0.4,17,4,2,2022-2023,serie-a
ismael bennacer,Milan,1219,85.7,91.7,89.3,66.2,3.3,3.1,-1.3,123,28,4,2022-2023,serie-a
domenico berardi,Sassuolo,614,67.5,75.8,70.7,63.0,6.6,5.9,0.4,38,56,10,2022-2023,serie-a
bartosz bereszynski,Sampdoria,471,73.1,90.5,68.1,38.4,0.1,0.3,-0.1,32,10,3,2022-2023,serie-a
bartosz bereszynski,Napoli,87,82.9,91.5,78.8,80.0,0.2,0.1,0.8,5,3,0,2022-2023,serie-a
marco bertini,Lazio,0,,,,,0.0,0.0,0.0,0,0,0,2022-2023,serie-a
beto,Udinese,190,63.5,71.5,59.7,53.8,2.6,1.9,-1.6,9,4,0,2022-2023,serie-a
matteo bianchetti,Cremonese,729,78.0,86.1,87.9,46.2,0.5,0.5,-0.5,49,8,2,2022-2023,serie-a
alessandro bianco,Fiorentina,67,85.9,85.3,82.4,100.0,0.0,0.0,0.0,11,1,0,2022-2023,serie-a
jaka bijol,Udinese,1170,84.7,87.7,93.3,61.3,1.6,1.7,0.4,54,5,1,2022-2023,serie-a
cristiano biraghi,Fiorentina,1433,71.9,89.1,78.4,43.0,5.5,5.8,-1.5,114,35,23,2022-2023,serie-a
samuele birindelli,Monza,572,73.6,85.8,76.4,43.9,2.2,1.9,-1.2,27,19,13,2022-2023,serie-a
kristijan bistrovic,Lecce,101,72.1,86.5,72.9,64.0,0.4,0.5,-0.4,10,2,1,2022-2023,serie-a
alexis blin,Lecce,766,79.5,85.0,82.2,61.5,1.1,0.8,-1.1,88,13,3,2022-2023,serie-a
jeremie boga,Atalanta,381,80.2,86.9,83.2,61.3,2.8,3.3,2.2,23,24,8,2022-2023,serie-a
emil bohinen,Salernitana,404,84.3,90.8,87.0,57.1,0.7,0.3,-0.7,25,5,1,2022-2023,serie-a
giacomo bonaventura,Fiorentina,754,82.3,89.5,86.0,61.9,3.1,2.5,-2.1,57,30,4,2022-2023,serie-a
