Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
raul albiol,Villarreal,727,89.4,94.7,93.5,66.1,0.0,0.1,0.0,26,1,0,2024-2025,laliga
omar alderete,Getafe,724,65.5,81.3,79.1,44.5,0.9,0.9,-0.9,132,15,2,2024-2025,laliga
carles alena,Getafe,93,79.5,81.8,86.4,54.5,0.1,0.1,-0.1,9,3,1,2024-2025,laliga
carles alena,Alavés,359,76.1,88.7,78.7,52.1,1.3,1.3,0.7,35,14,2,2024-2025,laliga
alfon,Celta Vigo,263,69.8,88.5,71.2,40.7,2.6,2.1,-0.6,8,7,1,2024-2025,laliga
tadeo allende,Celta Vigo,1,33.3,50.0,,,0.0,0.0,0.0,0,0,0,2024-2025,laliga
domingos andre ribeiro almeida,Valencia,798,84.3,93.5,87.1,62.6,3.2,4.9,0.8,96,24,5,2024-2025,laliga
iker almena,Girona,23,71.9,92.9,71.4,0.0,0.7,0.4,0.3,0,0,0,2024-2025,laliga
marcos alonso,Celta Vigo,2139,89.2,94.5,94.6,62.5,1.3,2.0,-1.3,226,21,6,2024-2025,laliga
adria altimira,Leganés,483,78.5,87.3,78.5,55.7,0.5,0.7,-0.5,34,10,2,2024-2025,laliga
sergi altimira,Betis,1123,89.3,92.1,92.3,81.2,1.7,1.2,-0.7,91,13,0,2024-2025,laliga
hugo alvarez,Celta Vigo,799,78.9,87.2,82.9,56.1,1.1,2.1,1.9,35,15,3,2024-2025,laliga
julian alvarez,Atlético Madrid,717,74.2,83.1,80.1,46.5,5.3,5.3,-1.3,45,38,5,2024-2025,laliga
yeray alvarez,Athletic Club,994,84.1,89.6,93.4,51.8,0.2,0.4,-0.2,80,3,2,2024-2025,laliga
selim amallah,Valladolid,318,78.3,91.0,83.9,59.2,1.1,1.1,-0.1,42,11,0,2024-2025,laliga
amath,Valladolid,86,76.8,92.5,81.3,53.3,0.5,0.5,0.5,4,4,2,2024-2025,laliga
marcos andre,Valladolid,138,65.7,76.7,64.6,77.8,0.8,0.3,1.2,13,3,0,2024-2025,laliga
leandro antonetti,Sevilla,2,50.0,100.0,0.0,,0.0,0.0,0.0,0,0,0,2024-2025,laliga
antoniu,Espanyol,148,67.0,81.7,70.1,28.6,1.1,1.1,-0.1,10,7,3,2024-2025,laliga
antony,Betis,622,81.0,88.5,77.1,54.7,3.5,2.9,-1.5,34,43,7,2024-2025,laliga
anuar,Valladolid,411,81.4,87.1,82.7,54.8,1.2,0.7,-1.2,19,3,2,2024-2025,laliga
aritz arambarri,Leganés,49,73.1,84.6,82.9,33.3,0.0,0.0,0.0,1,0,0,2024-2025,laliga
mauro arambarri,Getafe,586,73.3,79.8,80.8,49.6,0.6,0.6,-0.6,74,4,1,2024-2025,laliga
jon aramburu,Real Sociedad,1190,78.4,89.9,77.6,40.2,1.1,1.4,-0.1,82,11,6,2024-2025,laliga
ronald araujo,Barcelona,666,91.9,93.2,95.6,71.4,0.4,0.2,0.6,51,3,0,2024-2025,laliga
adu ares,Athletic Club,5,55.6,60.0,66.7,,0.0,0.0,0.0,0,1,0,2024-2025,laliga
jesus areso,Osasuna,1139,72.4,88.3,72.9,46.6,3.5,3.1,-0.5,96,50,30,2024-2025,laliga
david arguelles,Getafe,3,60.0,75.0,,0.0,0.0,0.0,0.0,0,0,0,2024-2025,laliga
jose arnaiz,Osasuna,52,67.5,88.9,53.3,40.0,0.1,0.4,-0.1,2,4,3,2024-2025,laliga
sergio arribas,Betis,37,68.5,95.7,60.0,40.0,0.0,0.0,0.0,1,0,0,2024-2025,laliga
takuma asano,Mallorca,148,67.6,84.5,71.6,23.5,0.7,0.6,0.3,8,3,2,2024-2025,laliga
raul asencio,Real Madrid,927,93.8,96.5,96.3,69.5,0.6,0.4,0.4,47,3,0,2024-2025,laliga
iago aspas,Celta Vigo,661,75.4,81.4,79.4,69.5,4.6,3.9,0.4,74,35,4,2024-2025,laliga
yaser asprilla,Girona,471,72.1,85.2,77.0,53.9,2.8,3.4,-1.8,35,38,9,2024-2025,laliga
ezequiel avila,Betis,166,69.7,80.9,71.8,53.3,1.0,1.0,-1.0,1,11,6,2024-2025,laliga
adam aznou,Valladolid,245,71.4,85.7,71.2,43.2,0.3,0.4,-0.3,17,4,2,2024-2025,laliga
cesar azpilicueta,Atlético Madrid,581,86.6,93.8,89.2,44.4,0.1,0.4,-0.1,46,4,1,2024-2025,laliga
papa ba,Girona,5,38.5,37.5,50.0,50.0,0.0,0.0,0.0,1,0,0,2024-2025,laliga
loic bade,Sevilla,1562,85.7,93.7,94.0,53.4,0.7,0.2,0.3,94,3,0,2024-2025,laliga
alex baena,Villarreal,857,66.6,79.7,73.5,49.6,11.7,12.6,-2.7,95,72,19,2024-2025,laliga
juma bah,Valladolid,330,81.1,90.1,92.7,42.5,0.0,0.0,0.0,15,0,0,2024-2025,laliga
eric bailly,Villarreal,280,87.5,94.5,90.9,56.1,0.0,0.0,0.0,18,0,0,2024-2025,laliga
stefan bajcetic,Las Palmas,300,71.8,79.3,81.6,54.5,0.2,0.3,-0.2,28,8,0,2024-2025,laliga
cedric bakambu,Betis,84,66.7,76.9,53.6,50.0,0.6,0.8,1.4,9,5,0,2024-2025,laliga
alejandro balde,Barcelona,1306,88.0,93.5,90.5,60.6,3.4,2.8,0.6,51,39,11,2024-2025,laliga
ivan balliu,Rayo Vallecano,492,75.8,90.8,78.9,40.0,0.5,0.4,-0.5,38,6,4,2024-2025,laliga
jonathan bamba,Celta Vigo,287,78.8,86.3,83.3,58.3,1.8,1.6,-0.8,20,13,6,2024-2025,laliga
adrian baquerin,Valladolid,9,90.0,100.0,100.0,50.0,0.0,0.0,0.0,0,1,0,2024-2025,laliga
valentin barco,Sevilla,139,72.8,87.5,71.7,43.3,0.6,0.3,-0.6,12,3,0,2024-2025,laliga
borna barisic,Leganés,3,75.0,100.0,100.0,,0.0,0.0,0.0,0,0,0,2024-2025,laliga
kike barja,Osasuna,74,64.9,82.5,70.3,57.1,1.2,1.3,-0.2,3,8,7,2024-2025,laliga
