goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
2,1,0,16,69.57,17,65.38,1,33.33,15,2,91.5,33,67.35,866,0,5,0,10,0,0,0,12,2,0,0,0,0,92,2,764,5,1,33.33,38,46.91,6,38,0,0,8,3,1,25.0,0,0,0.74,0,0,0,Edmond Tapsoba,Bayer 04 Leverkusen,883262,2681
1,1,0,26,56.52,25,59.52,5,50.0,16,0,90.87,51,57.95,900,7,8,1,10,0,0,0,6,1,0,0,0,0,116,0,756,2,2,40.0,28,43.75,8,51,7,0,5,1,2,20.0,0,0,0.28,0,1,0,Waldemar Anton,Borussia Dortmund,799046,2673
3,4,0,38,47.5,8,66.67,10,50.0,19,1,83.95,46,50.0,857,9,13,14,10,0,0,0,15,2,0,0,0,0,183,3,455,15,8,21.62,36,51.43,10,7,6,0,22,6,10,13.64,0,0,3.1,0,0,0,Nadiem Amiri,1. FSV Mainz 05,327755,2556
0,0,0,27,69.23,35,70.0,4,100.0,9,0,88.37,62,69.66,637,15,10,0,8,0,0,0,8,1,0,0,0,0,56,0,509,1,0,0.0,33,53.23,13,54,2,1,7,4,1,0.0,0,0,0.34,0,0,0,Jeff Chabot,VfB Stuttgart,863271,2677
0,1,0,1,100.0,3,100.0,0,0.0,0,0,69.23,4,100.0,900,1,0,0,10,35,23,11,16,2,5,6,7,6,12,0,252,1,0,0.0,58,34.52,0,15,0,0,1,0,0,0.0,0,0,0.04,1,0,0,Kamil Grabara,VfL Wolfsburg,902080,2524
4,2,0,31,57.41,13,65.0,5,62.5,16,0,75.64,44,59.46,653,10,12,3,8,0,0,0,9,0,0,0,0,0,43,1,208,2,0,0.0,12,50.0,7,14,5,1,14,6,3,28.57,0,0,1.96,0,0,0,Jens Stage,SV Werder Bremen,830142,2534
4,0,0,27,46.55,4,28.57,6,54.55,13,1,81.96,31,43.06,900,8,3,12,10,0,0,0,13,2,0,0,0,0,79,5,209,19,9,33.33,5,38.46,6,13,11,1,23,9,6,17.39,2,2,2.63,0,0,0,Jakub Kamiński,1. FC Köln,801263,2671
3,2,0,39,50.0,2,12.5,29,67.44,6,2,78.47,41,43.62,532,4,5,17,10,0,0,0,7,0,0,0,0,0,70,1,164,9,2,28.57,7,77.78,5,2,4,2,12,7,3,25.0,0,1,1.61,0,0,0,Yan Diomande,RB Leipzig,2087085,36360
0,1,0,8,50.0,3,60.0,1,33.33,4,2,93.34,11,52.38,796,3,1,2,10,0,0,0,11,1,0,0,0,0,205,3,883,13,8,26.67,49,76.56,7,12,3,1,12,2,4,0.0,0,1,0.77,0,1,1,Aleix García,Bayer 04 Leverkusen,796047,2681
1,0,0,29,61.7,9,45.0,8,72.73,10,3,89.47,38,56.72,776,11,6,3,10,0,0,0,10,1,0,0,0,0,160,4,578,17,11,31.43,16,45.71,8,12,7,2,4,3,1,25.0,0,0,1.62,0,0,0,Angelo Stiller,VfB Stuttgart,901882,2677
1,1,0,11,36.67,13,65.0,0,0.0,9,0,95.71,24,48.0,788,2,15,2,9,0,0,0,5,1,0,0,0,0,79,0,625,2,0,0.0,12,50.0,9,43,4,0,3,1,1,33.33,0,0,0.15,0,0,0,Jonathan Tah,FC Bayern München,227672,2672
2,2,0,30,68.18,7,50.0,3,60.0,17,1,86.88,37,63.79,669,10,3,4,9,0,0,0,5,1,0,0,0,0,91,2,384,9,6,23.08,12,44.44,13,23,5,0,12,6,2,16.67,0,0,1.28,0,0,0,Maximilian Mittelstädt,VfB Stuttgart,788949,2677
1,2,0,19,52.78,4,66.67,1,100.0,10,2,84.83,23,54.76,810,8,6,4,9,0,0,0,13,2,0,0,0,0,60,7,369,18,16,42.11,35,44.87,13,32,7,0,6,3,1,16.67,0,0,0.22,0,1,0,Maximilian Arnold,VfL Wolfsburg,147289,2524
1,2,0,29,48.33,3,33.33,6,54.55,18,1,77.64,32,46.38,900,5,14,2,10,0,0,0,13,0,0,0,0,0,100,4,441,30,25,32.47,29,37.66,14,37,10,1,10,2,2,10.0,1,2,0.82,0,1,0,David Raum,RB Leipzig,856076,36360
2,0,0,24,61.54,0,0.0,13,59.09,3,0,80.25,24,58.54,641,8,1,4,9,0,0,0,6,1,0,0,0,0,56,3,126,18,10,20.41,3,33.33,0,0,1,0,17,8,4,11.76,1,1,1.01,0,0,0,Jean-Luc Dompé,Hamburger SV,789192,2676
0,3,0,18,62.07,24,64.86,0,0.0,15,0,91.05,42,63.64,711,3,4,6,9,0,0,0,9,1,0,0,0,0,69,0,580,2,0,0.0,20,54.05,8,39,1,0,4,1,0,0.0,0,0,0.13,1,0,0,Loïc Badé,Bayer 04 Leverkusen,1006489,2681
0,1,0,1,100.0,0,0.0,0,0.0,0,0,79.5,1,50.0,900,1,0,0,10,35,19,16,14,2,6,2,4,2,8,0,380,0,0,0.0,72,42.35,0,6,0,0,0,0,0,0.0,0,0,,0,0,0,Daniel Heuer Fernandes,Hamburger SV,113442,2676
1,1,0,22,56.41,15,62.5,1,33.33,20,0,88.1,37,58.73,666,1,8,4,9,0,0,0,7,1,0,0,0,0,52,0,333,1,2,33.33,20,54.05,11,28,3,1,9,5,0,11.11,0,0,0.65,0,0,0,Philipp Sander,Borussia M'gladbach,939880,2527
4,1,0,24,64.86,45,76.27,0,0.0,19,0,75.59,69,71.88,900,6,5,1,10,0,0,0,16,1,0,0,0,0,34,0,226,4,0,0.0,20,34.48,14,51,6,2,18,4,4,22.22,0,0,2.13,0,1,0,Danilho Doekhi,1. FC Union Berlin,830803,2547
1,0,0,14,73.68,18,60.0,1,100.0,10,0,84.87,32,65.31,400,3,5,0,7,0,0,0,4,0,0,0,0,0,54,0,202,4,0,0.0,7,43.75,13,17,1,1,4,2,0,25.0,0,0,0.4,0,0,0,Chema Andrés,VfB Stuttgart,1464641,2677
0,0,0,1,100.0,2,100.0,0,0.0,0,0,66.08,3,100.0,900,1,0,0,10,24,15,9,13,1,6,7,2,7,23,0,261,0,0,0.0,106,44.17,0,9,0,0,0,0,0,0.0,0,0,,0,0,0,Noah Atubolu,SC Freiburg,980626,2538
0,2,0,22,64.71,16,72.73,1,50.0,14,0,88.15,38,67.86,803,8,4,1,9,0,0,0,14,1,0,0,0,0,66,0,424,1,0,0.0,48,64.86,10,55,6,0,2,0,0,0.0,0,1,0.05,1,1,0,Marco Friedl,SV Werder Bremen,825771,2534
3,1,0,42,45.65,9,47.37,13,44.83,16,3,79.15,51,45.95,815,13,8,20,10,0,0,0,9,4,0,0,0,0,106,6,243,13,12,32.43,7,50.0,8,5,7,2,19,7,6,15.79,0,0,1.81,0,0,0,Ritsu Doan,Eintracht Frankfurt,790965,2674
1,1,0,31,54.39,10,66.67,7,53.85,17,4,81.47,41,56.94,890,8,10,5,10,0,0,0,14,1,0,0,0,0,81,6,299,15,12,26.09,22,48.89,7,39,5,0,6,2,1,16.67,0,0,0.15,0,0,0,Vladimír Coufal,TSG Hoffenheim,138024,2569
0,0,0,1,100.0,1,100.0,0,0.0,1,0,76.79,2,100.0,900,0,0,0,10,34,21,13,18,1,4,2,4,4,14,1,215,1,0,0.0,59,47.58,0,9,0,0,0,0,0,0.0,0,0,,0,0,0,Moritz Nicolas,Borussia M'gladbach,578166,2527
3,1,0,14,51.85,2,33.33,5,55.56,1,3,84.75,16,48.48,603,8,3,6,10,0,0,0,10,1,0,0,0,0,80,4,239,14,16,36.36,7,50.0,5,3,1,0,13,8,3,23.08,0,0,2.11,0,0,0,Andrej Kramarić,TSG Hoffenheim,67647,2569
1,0,0,30,61.22,23,62.16,10,76.92,13,1,81.84,53,61.63,900,7,4,7,10,0,0,0,16,2,0,0,0,0,105,1,320,5,0,0.0,15,45.45,21,19,5,0,8,2,2,12.5,0,4,0.45,0,0,0,Kaishu Sano,1. FSV Mainz 05,1028307,2556
