goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
1,0,1,25,64.1,7,50.0,2,40.0,13,4,79.53,32,60.38,434,11,8,2,5,0,0,0,3,0,0,0,0,0,37,3,136,5,6,42.86,9,39.13,4,17,1,0,2,1,1,50.0,0,0,0.61,0,0,0,Emil Holm,Bologna,965264,2685
1,1,0,33,50.0,5,50.0,7,46.67,20,3,84.69,38,50.0,846,6,9,8,11,0,0,0,7,2,0,0,0,0,196,5,520,26,14,35.0,34,61.82,2,6,9,0,11,1,4,9.09,0,0,1.22,0,0,1,Nicolò Barella,Inter,363856,2697
0,2,1,23,58.97,42,70.0,3,75.0,19,0,90.84,65,65.66,718,1,11,2,9,0,0,0,2,1,0,0,0,0,44,0,476,3,0,0.0,20,60.61,10,43,2,0,11,1,4,0.0,0,0,0.39,0,2,0,Jacobo Ramón,Como,1403348,2704
2,0,0,37,44.05,5,71.43,15,46.88,7,3,84.16,42,46.15,826,15,7,17,10,0,0,0,6,2,0,0,0,0,118,5,271,24,10,26.32,7,63.64,3,3,6,1,26,10,11,7.69,1,1,2.3,0,1,0,Kenan Yıldız,Juventus,1149011,2687
0,1,0,30,69.77,24,58.54,2,66.67,18,0,89.27,54,64.29,955,11,5,3,11,0,0,0,8,1,0,0,0,0,43,0,541,1,1,100.0,49,62.82,10,45,5,1,6,1,1,0.0,1,0,0.31,0,0,0,Mario Gila Fuentes,Lazio,965828,2699
3,0,0,31,51.67,12,52.17,3,27.27,11,0,75.63,43,51.81,413,17,12,7,6,0,0,0,4,0,0,0,0,0,29,1,90,4,0,0.0,0,0.0,8,2,4,2,11,5,2,27.27,1,0,1.83,0,0,0,Matteo Cancellieri,Lazio,1017649,2699
0,0,0,2,40.0,4,50.0,0,0.0,1,0,94.23,6,46.15,135,1,1,1,2,0,0,0,0,1,0,0,0,0,8,0,98,1,0,0.0,13,92.86,2,22,1,0,0,0,0,0.0,0,0,,0,0,0,Raúl Albiol,Pisa,3041,2737
0,0,0,0,0.0,6,85.71,0,0.0,0,0,58.58,6,85.71,630,3,0,0,7,29,18,11,6,0,10,2,3,2,2,0,157,0,0,0.0,44,28.76,0,6,0,0,0,0,0,0.0,0,0,,0,0,0,Emil Audero,Cremonese,318603,2761
4,0,0,20,48.78,7,53.85,2,33.33,4,3,79.8,27,50.0,417,14,7,10,11,0,0,0,5,1,0,0,0,0,43,4,79,9,0,0.0,3,100.0,0,2,0,1,8,4,1,50.0,0,4,1.66,0,0,0,Ange-Yoan Bonny,Inter,1086223,2697
1,0,0,13,56.52,1,50.0,3,75.0,9,1,83.18,14,56.0,239,1,2,4,6,0,0,0,1,0,0,0,0,0,20,1,89,9,8,23.53,4,44.44,1,3,3,0,3,2,0,33.33,0,0,0.39,0,0,0,Filip Kostić,Juventus,126588,2687
2,0,0,25,55.56,7,53.85,2,66.67,17,1,80.07,32,55.17,665,6,8,9,9,0,0,0,7,0,0,0,0,0,68,3,229,14,14,29.79,24,50.0,4,3,2,0,19,4,8,10.53,0,1,1.06,0,0,0,Medon Berisha,Lecce,1142149,2689
0,0,0,1,100.0,2,66.67,0,0.0,1,0,70.79,3,75.0,990,2,0,0,11,32,19,13,3,2,9,4,0,4,4,0,252,0,0,0.0,74,41.81,0,2,0,0,0,0,0,0.0,0,0,,0,0,0,Mile Svilar,Roma,793986,2702
0,0,0,5,62.5,7,41.18,0,0.0,2,2,85.79,12,48.0,346,3,2,0,4,0,0,0,2,2,0,0,0,0,12,0,169,3,0,0.0,15,46.88,2,22,0,0,4,1,1,0.0,0,0,0.33,0,0,0,Bremer,Juventus,885197,2687
2,2,0,30,44.12,6,50.0,15,65.22,6,0,82.81,36,45.0,565,9,7,18,9,0,0,0,5,1,0,0,0,0,119,3,212,14,5,22.73,10,66.67,1,0,6,0,8,3,2,25.0,0,1,0.81,0,0,0,Charles De Ketelaere,Atalanta,960441,2686
4,2,0,31,44.93,5,41.67,5,31.25,12,3,78.42,36,44.44,757,15,12,6,9,0,0,0,8,2,0,0,0,0,63,2,189,11,5,27.78,13,54.17,8,10,9,2,14,8,0,28.57,0,7,2.9,0,0,0,Domenico Berardi,Sassuolo,253367,2793
1,0,0,0,0.0,0,0.0,0,0.0,0,0,77.78,0,0.0,10,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,7,0,0,0.0,0,0.0,1,0,0,0,1,1,0,100.0,0,0,0.87,0,0,0,Lorran,Pisa,1459764,2737
1,1,0,21,67.74,3,33.33,6,85.71,9,0,89.2,24,60.0,414,6,5,2,9,0,0,0,2,0,0,0,0,0,83,0,314,4,0,0.0,14,56.0,7,5,3,0,5,1,3,20.0,0,0,0.3,0,0,0,Billy Gilmour,Napoli,907668,2714
0,0,0,4,80.0,0,0.0,1,100.0,0,0,84.62,4,80.0,25,3,0,0,1,0,0,0,0,0,0,0,0,0,6,0,11,0,1,33.33,0,0.0,0,0,1,0,0,0,0,0.0,0,0,,0,0,0,Samuel Chukwueze,Milan,822470,2692
0,1,0,2,66.67,3,100.0,0,0.0,0,0,61.29,5,83.33,990,2,0,0,11,36,20,16,10,4,10,9,3,9,45,0,247,0,0,0.0,114,42.38,0,10,1,0,0,0,0,0.0,0,0,,0,0,0,Zion Suzuki,Parma,905351,2690
4,1,0,34,45.95,30,65.22,7,50.0,15,1,84.63,64,53.33,932,12,10,15,11,0,0,0,10,0,0,0,0,0,94,1,413,10,4,26.67,7,46.67,10,11,10,1,19,8,2,21.05,1,0,2.22,0,1,0,Frank Anguissa,Napoli,787941,2714
1,1,0,34,73.91,44,65.67,1,100.0,25,0,90.09,78,69.03,911,9,9,2,11,0,0,0,10,0,0,0,0,0,20,0,382,0,0,0.0,23,57.5,15,59,2,1,8,1,2,12.5,0,0,1.07,0,1,0,Tiago Gabriel,Lecce,1651825,2689
2,2,0,51,57.95,2,40.0,9,60.0,7,4,84.72,53,56.99,624,35,14,5,11,0,0,0,4,0,0,0,0,0,58,4,122,13,9,40.91,2,66.67,2,2,13,1,13,4,5,15.38,0,1,1.04,0,0,0,Nicolò Cambiaghi,Bologna,971005,2685
0,0,0,42,60.87,19,59.38,6,50.0,25,1,88.6,61,60.4,960,12,12,4,11,0,0,0,15,1,0,0,0,0,84,1,583,6,0,0.0,62,65.96,13,45,6,1,10,0,6,0.0,0,0,0.67,0,1,0,Oumar Solet,Udinese,892979,2695
0,0,0,2,66.67,8,100.0,1,100.0,0,0,74.22,10,90.91,990,2,1,0,11,33,16,17,9,2,6,7,6,8,11,0,262,0,0,0.0,69,43.67,0,13,0,0,0,0,0,0.0,0,0,,0,0,0,Marco Carnesecchi,Atalanta,865646,2686
0,0,0,1,100.0,0,0.0,0,0.0,0,0,85.4,1,100.0,810,1,0,0,9,21,15,6,8,3,1,2,0,2,4,0,269,0,0,0.0,53,54.08,0,2,0,0,0,0,0,0.0,0,0,,0,0,0,Yann Sommer,Inter,16206,2697
3,2,0,64,56.64,7,41.18,8,34.78,15,0,82.37,71,54.62,862,41,9,15,10,0,0,0,5,1,0,0,0,0,77,2,243,10,2,14.29,9,60.0,11,4,10,3,16,6,3,18.75,0,0,2.04,0,0,0,Mattia Zaccagni,Lazio,293581,2699
2,0,0,7,46.67,5,33.33,1,50.0,0,0,78.57,12,40.0,191,7,3,3,3,0,0,0,2,0,0,0,0,0,4,0,22,1,0,0.0,0,0.0,3,1,1,2,6,4,0,33.33,0,3,1.92,0,0,0,Andrea Belotti,Cagliari,220223,2719
0,3,0,42,60.87,26,50.0,2,100.0,23,1,87.23,68,56.2,985,18,19,2,11,0,0,0,2,2,0,0,0,0,57,2,478,5,2,22.22,28,45.16,24,44,6,0,6,2,1,0.0,0,2,0.35,0,2,0,Gianluca Mancini,Roma,611210,2702
2,0,0,24,60.0,22,61.11,5,55.56,14,1,90.15,46,60.53,923,5,7,3,11,0,0,0,9,0,0,0,0,0,79,0,558,7,2,28.57,23,47.92,5,43,3,1,5,2,0,40.0,0,1,1.52,0,1,1,Strahinja Pavlović,Milan,965893,2692
1,0,0,16,69.57,28,65.12,0,0.0,10,0,84.93,44,66.67,851,6,7,0,10,0,0,0,7,3,0,0,0,0,23,0,372,3,0,0.0,19,39.58,10,50,1,0,1,1,0,100.0,0,0,0.49,0,0,0,Alessandro Circati,Parma,1155423,2690
4,0,0,21,51.22,6,37.5,5,38.46,1,1,78.57,27,47.37,451,15,7,5,7,0,0,0,6,0,0,0,0,0,42,5,110,5,0,0.0,2,66.67,1,2,2,4,15,8,3,26.67,1,1,3.22,0,0,0,Rafael Leão,Milan,851284,2692
4,1,0,11,30.56,2,25.0,4,57.14,5,0,86.75,13,29.55,569,2,5,8,8,0,0,0,5,0,0,0,0,0,115,1,334,15,5,20.0,16,59.26,5,0,9,0,16,7,5,25.0,1,1,3.29,0,0,0,Kevin De Bruyne,Napoli,70996,2714
1,1,0,10,37.04,1,25.0,5,38.46,4,2,79.38,11,35.48,534,1,3,4,9,0,0,0,4,0,0,0,0,0,65,1,204,13,6,24.0,17,54.84,4,8,2,0,7,4,2,14.29,0,1,0.22,0,1,0,Leonardo Spinazzola,Napoli,148899,2714
