goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
6,1,0,73,43.71,13,26.53,15,30.0,40,5,74.97,86,39.81,2544,18,23,21,33,0,0,0,32,2,0,0,0,0,243,15,608,90,74,34.58,23,52.27,21,15,15,4,47,17,15,12.77,2,9,4.81,0,0,1,Franck Honorat,Stade Brestois,280453,1715
3,1,0,86,48.86,0,0.0,53,49.53,18,4,82.51,86,47.25,1057,15,11,17,22,0,0,0,10,0,0,0,0,0,230,12,420,30,24,32.88,13,68.42,2,1,8,4,42,15,16,7.14,1,2,3.61,0,0,0,Edon Zhegrova,Lille,887766,1643
0,1,0,0,0.0,0,0.0,0,0.0,0,0,76.47,0,0.0,90,0,0,0,1,5,2,3,1,0,1,0,0,0,1,0,13,0,0,0.0,5,55.56,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rémy Descamps,Nantes,788180,1647
0,0,0,0,0.0,0,0.0,0,0.0,0,0,37.5,0,0.0,81,0,0,0,1,4,3,1,0,0,1,0,0,0,0,0,12,0,0,0.0,8,29.63,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ghjuvanni Quilichini,Ajaccio,1133562,1660
5,5,0,239,50.64,12,32.43,68,50.37,108,5,84.67,251,49.31,3037,64,42,55,35,0,0,0,40,7,0,0,0,0,416,10,1662,68,33,24.26,105,63.25,34,32,70,1,45,18,12,11.11,1,2,3.55,0,1,1,Enzo Le Fée,Lorient,984014,1656
2,5,0,177,58.61,20,40.0,57,64.04,47,6,81.65,197,55.97,2427,73,36,44,30,0,0,0,40,5,0,0,0,0,289,6,890,57,46,37.4,44,47.83,26,17,14,2,38,13,7,5.26,0,1,2.58,0,0,0,Jean-Ricner Bellegarde,RC Strasbourg,845273,1659
3,2,0,58,56.31,7,46.67,7,70.0,31,0,90.37,65,55.08,1015,20,11,12,15,0,0,0,23,3,0,0,0,0,145,0,638,17,13,29.55,56,71.79,23,10,19,0,13,5,1,23.08,0,0,2.87,0,0,0,Florian Tardieu,Troyes,234142,1652
15,0,0,103,48.82,54,45.0,28,50.91,46,3,70.79,157,47.43,2762,29,26,33,37,0,0,0,24,7,0,0,0,0,187,9,492,47,19,25.68,11,47.83,9,13,23,7,86,46,21,17.44,3,7,13.55,0,0,0,Gaëtan Laborde,Nice,149730,1661
1,6,0,96,57.14,73,71.57,8,61.54,70,2,90.14,169,62.59,3300,18,38,9,37,0,0,0,29,7,0,0,0,0,183,4,2369,12,0,0.0,156,54.36,47,121,23,2,23,5,3,4.35,1,0,1.5,0,2,0,Dante,Nice,3577,1661
1,7,0,159,56.38,78,65.0,3,33.33,122,1,83.03,237,58.96,3154,34,54,6,36,0,0,0,47,3,0,0,0,0,173,3,1438,13,4,44.44,158,54.67,73,172,58,1,27,6,4,3.7,1,1,1.71,0,1,0,Andrei Girotto,Nantes,794836,1647
24,6,0,112,43.41,16,20.0,29,42.65,24,4,82.75,128,37.87,3176,59,41,52,37,0,0,0,38,4,0,0,0,0,301,9,710,54,2,28.57,15,93.75,9,12,17,19,106,56,17,22.64,8,23,23.96,0,0,1,Jonathan David,Lille,935564,1643
1,12,0,185,54.57,92,59.74,19,57.58,128,1,84.36,277,56.19,2919,39,57,34,34,0,0,0,32,3,0,0,0,0,480,3,1937,21,0,0.0,175,67.05,46,54,56,1,24,4,11,4.17,1,1,1.6,0,0,0,Benjamin André,Lille,51665,1643
0,0,0,2,100.0,0,0.0,0,0.0,1,1,97.14,2,100.0,49,1,0,0,3,0,0,0,1,0,0,0,0,0,13,1,68,2,0,0.0,3,100.0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Leandro Paredes,Paris Saint-Germain,255389,1644
0,0,0,1,100.0,1,100.0,1,100.0,0,0,42.25,2,100.0,180,1,0,0,2,9,5,4,2,0,0,0,1,0,7,0,30,0,0,0.0,20,32.79,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Donovan Léon,Auxerre,159837,1646
6,0,0,157,61.09,3,23.08,96,66.21,25,2,86.44,160,59.26,1288,36,16,24,29,0,0,0,12,1,0,0,0,0,221,6,427,30,6,25.0,7,77.78,5,2,12,0,26,12,5,23.08,1,0,2.69,0,0,0,Jérémy Doku,Stade Rennais,934386,1658
0,2,0,11,84.62,17,94.44,2,100.0,2,0,76.38,28,90.32,2790,10,0,0,31,107,64,43,25,6,35,8,9,9,11,0,663,1,0,0.0,192,49.48,1,22,2,0,0,0,0,0.0,0,0,0.0,2,3,0,Yehvann Diouf,Stade de Reims,845183,1682
21,2,0,77,43.26,13,36.11,19,40.43,11,4,71.22,90,42.06,2530,47,42,24,38,0,0,0,17,4,0,0,0,0,125,12,287,24,2,6.67,8,57.14,2,6,11,14,104,51,16,20.19,2,22,18.45,0,0,0,Loïs Openda,RC Lens,835480,1648
5,10,1,166,54.25,18,64.29,22,64.71,97,5,83.93,184,55.09,2773,47,43,20,32,0,0,0,37,4,0,0,0,0,272,6,1186,16,7,17.07,175,66.79,52,42,66,1,43,13,12,11.63,1,1,2.03,0,1,0,Pierre Lees Melou,Stade Brestois,801306,1715
1,1,0,80,61.54,6,66.67,15,71.43,44,2,86.35,86,61.87,1660,21,13,13,27,0,0,0,35,5,0,0,0,0,243,4,734,37,21,23.86,100,76.34,25,8,20,0,30,9,5,3.33,0,5,1.74,0,0,0,Hamza Sakhi,Auxerre,340547,1646
14,3,0,116,42.96,35,33.33,43,57.33,27,3,75.85,151,40.27,2697,46,44,62,35,0,0,0,22,5,0,0,0,0,340,13,672,55,8,21.62,47,71.21,5,6,21,11,66,32,18,21.21,1,28,12.6,0,0,0,Alexis Sánchez,Olympique de Marseille,34120,1641
