goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
0,4,0,18,52.94,6,60.0,2,25.0,9,1,77.78,24,54.55,347,7,6,4,8,0,0,0,1,0,0,0,0,0,14,1,77,1,0,0.0,3,50.0,7,2,1,0,3,0,2,0.0,0,0,0.15,0,0,0,Tim Iroegbunam,Everton,1085950,48
0,1,0,6,46.15,12,80.0,0,0.0,4,0,72.17,18,64.29,282,2,4,0,7,0,0,0,3,0,0,0,0,0,21,0,83,0,0,0.0,6,27.27,6,14,3,0,2,1,0,0.0,0,0,0.13,0,0,0,James Hill,Bournemouth,1156586,60
1,0,0,16,43.24,1,100.0,6,40.0,5,1,82.46,17,44.74,229,5,2,8,7,0,0,0,3,0,0,0,0,0,22,1,47,4,1,20.0,0,0.0,0,1,2,2,9,3,2,11.11,0,1,1.41,0,0,0,Brajan Gruda,Brighton & Hove Albion,1198075,30
1,1,0,5,31.25,1,16.67,0,0.0,3,1,88.89,6,27.27,197,2,4,2,7,0,0,0,6,1,0,0,0,0,21,1,88,4,5,71.43,7,50.0,2,4,4,0,1,1,0,100.0,0,0,0.79,0,0,0,James Milner,Brighton & Hove Albion,791,30
0,1,0,16,53.33,3,37.5,1,20.0,6,0,93.83,19,50.0,301,9,6,2,7,0,0,0,2,0,0,0,0,0,33,0,152,2,0,0.0,0,0.0,0,3,2,0,0,0,0,0.0,0,0,,0,1,0,Lamare Bogarde,Aston Villa,1089388,40
3,0,0,18,35.29,11,36.67,11,57.89,4,1,72.73,29,35.8,637,3,13,11,10,0,0,0,9,1,0,0,0,0,40,0,88,6,0,0.0,1,100.0,1,14,1,2,16,4,5,18.75,0,2,2.35,0,0,0,Hugo Ekitiké,Liverpool,1048422,44
0,3,0,33,62.26,7,33.33,6,85.71,17,0,84.76,40,54.05,735,10,7,5,10,0,0,0,9,2,0,0,0,0,83,0,228,2,8,32.0,11,45.83,2,20,8,0,4,2,1,0.0,0,2,0.26,0,0,0,Ferdi Kadıoğlu,Brighton & Hove Albion,825844,30
0,0,0,4,26.67,1,25.0,3,37.5,1,0,90.7,5,26.32,173,0,2,2,5,0,0,0,0,0,0,0,0,0,25,0,78,1,0,0.0,5,55.56,0,1,3,0,6,0,2,0.0,0,0,0.23,0,0,0,Ethan Nwaneri,Arsenal,1401702,42
0,3,0,17,58.62,21,65.63,2,100.0,12,0,92.08,38,62.3,990,3,5,1,11,0,0,0,11,4,0,0,0,0,47,0,756,1,0,0.0,22,44.0,8,57,6,0,8,0,2,0.0,0,1,0.57,0,1,0,Lewis Dunk,Brighton & Hove Albion,115365,30
0,0,0,1,33.33,0,0.0,1,50.0,0,0,89.36,1,25.0,61,0,0,0,3,0,0,0,0,0,0,0,0,0,18,0,42,1,2,20.0,2,66.67,1,1,1,0,0,0,0,0.0,0,0,,0,0,0,Antonee Robinson,Fulham,803174,43
0,0,0,12,60.0,6,54.55,0,0.0,9,0,80.59,18,58.06,283,3,3,3,6,0,0,0,4,1,0,0,0,0,29,0,137,5,4,40.0,9,39.13,1,16,0,0,0,0,0,0.0,0,0,,0,0,0,Freddie Potts,West Ham United,1089582,37
1,0,0,12,37.5,1,50.0,3,23.08,2,0,80.0,13,38.24,467,7,3,6,11,0,0,0,4,2,0,0,0,0,49,2,96,7,6,30.0,3,75.0,1,2,3,1,12,3,4,8.33,0,1,1.25,0,0,0,Harvey Barnes,Newcastle United,855647,39
4,0,0,13,30.95,13,33.33,4,26.67,5,0,60.32,26,32.1,676,4,8,9,11,0,0,0,7,1,0,0,0,0,18,0,38,0,0,0.0,0,0.0,0,7,2,0,24,7,7,16.67,0,4,2.49,0,0,0,Wilson Isidor,Sunderland,877980,41
0,0,0,3,37.5,0,0.0,2,40.0,0,0,90.74,3,37.5,88,1,0,1,4,0,0,0,0,0,0,0,0,0,24,0,49,2,0,0.0,1,100.0,0,2,1,1,4,2,1,0.0,0,0,0.33,0,0,0,Jadon Sancho,Aston Villa,851100,40
0,0,0,9,60.0,18,56.25,1,100.0,6,0,86.75,27,57.45,645,2,6,1,9,0,0,0,8,2,0,0,0,0,8,2,347,4,0,0.0,17,45.95,6,43,0,0,2,1,0,0.0,0,0,0.13,0,1,0,Sven Botman,Newcastle United,910046,39
1,0,1,22,53.66,3,50.0,4,80.0,12,1,85.26,25,53.19,553,6,7,5,9,0,0,0,4,1,0,0,0,0,83,1,266,6,2,15.38,8,47.06,8,6,7,0,4,1,1,25.0,0,0,0.69,0,1,0,Malo Gusto,Chelsea,996958,38
1,1,0,15,44.12,3,30.0,1,25.0,7,0,84.77,18,40.91,437,7,7,4,9,0,0,0,4,4,0,0,0,0,34,1,167,6,6,35.29,5,33.33,3,11,5,0,4,3,0,25.0,0,1,0.73,0,1,1,Maxim De Cuyper,Brighton & Hove Albion,997152,30
0,2,0,24,48.98,14,53.85,2,50.0,13,0,82.72,38,50.67,651,9,11,5,9,0,0,0,6,2,0,0,0,0,64,1,201,5,0,0.0,3,50.0,11,12,7,1,8,2,2,0.0,0,0,0.68,0,1,0,Joelinton,Newcastle United,560128,39
0,0,0,22,56.41,7,70.0,1,50.0,16,0,85.53,29,59.18,307,5,9,3,9,0,0,0,11,0,0,0,0,0,32,0,130,1,0,0.0,4,50.0,4,11,4,0,2,0,0,0.0,0,0,0.05,0,0,0,Manuel Ugarte,Manchester United,846425,35
0,0,0,6,50.0,0,0.0,0,0.0,3,1,89.08,6,46.15,194,3,1,3,5,0,0,0,3,0,0,0,0,0,24,1,106,2,0,0.0,5,55.56,3,5,2,0,1,0,0,0.0,0,0,0.02,0,0,0,Rico Lewis,Manchester City,1136731,17
3,0,0,10,34.48,2,50.0,4,33.33,3,0,79.66,12,36.36,362,3,1,8,11,0,0,0,6,0,0,0,0,0,27,0,47,3,1,33.33,1,33.33,0,1,2,2,13,4,2,23.08,0,1,1.42,0,0,0,Donyell Malen,Aston Villa,803039,40
2,2,0,18,42.86,15,34.09,6,85.71,5,1,64.08,33,38.37,584,8,13,9,8,0,0,0,12,0,0,0,0,0,31,1,66,6,0,0.0,4,66.67,0,9,2,0,8,2,4,25.0,0,6,1.3,0,0,0,Lyle Foster,Burnley,901907,6
