goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
14,0,0,88,42.72,284,67.46,18,35.29,16,4,61.12,372,59.33,3126,57,43,34,37,0,0,0,52,6,0,0,0,0,267,3,643,35,4,12.9,22,44.9,7,45,18,8,97,41,24,14.43,1,11,,0,0,0,Joselu,Deportivo Alavés,69418,2885
0,1,0,21,67.74,2,50.0,6,66.67,7,1,94.04,23,65.71,262,8,3,2,3,0,0,0,2,1,0,0,0,0,39,1,142,3,2,22.22,13,81.25,2,2,2,0,0,0,0,0.0,0,0,,0,0,0,Miguel Gutiérrez,Real Madrid,908716,2829
0,0,0,0,0.0,0,0.0,0,0.0,0,0,85.07,0,0.0,180,0,1,0,2,7,6,1,2,0,3,0,1,0,0,0,57,0,0,0.0,12,63.16,0,3,0,0,0,0,0,0.0,0,0,,0,0,0,Andriy Lunin,Real Madrid,857574,2829
2,5,0,82,50.62,6,30.0,32,66.67,18,8,90.12,88,48.35,2049,32,24,22,28,0,0,0,18,2,0,0,0,0,563,10,1477,38,11,22.92,106,79.7,20,9,21,1,27,11,12,7.41,2,1,,0,0,1,Luka Modrić,Real Madrid,15466,2829
8,1,1,93,62.84,19,48.72,31,59.62,5,4,75.0,112,59.89,1272,57,15,19,24,0,0,0,19,3,0,0,0,0,144,7,315,19,3,16.67,24,60.0,7,8,4,4,39,15,7,20.51,2,9,,0,0,0,João Félix,Atlético Madrid,851671,2836
11,4,0,94,54.34,12,41.38,19,50.0,29,5,74.42,106,52.48,2480,46,21,13,32,0,0,0,27,6,0,0,0,0,243,5,614,54,43,29.25,54,43.55,14,25,26,2,41,21,5,26.83,1,2,,0,0,1,Carlos Soler,Valencia,832427,2828
2,2,2,92,64.34,77,60.63,24,61.54,40,1,88.85,169,62.59,2737,28,15,12,32,0,0,0,20,5,0,0,0,0,234,4,1865,17,5,27.78,126,58.6,21,98,10,0,13,3,3,15.38,0,2,,0,2,0,Jules Koundé,Sevilla,827212,2833
1,5,0,100,59.88,83,66.94,11,55.0,50,2,89.26,183,62.89,3033,39,38,7,34,0,0,0,28,2,0,0,0,0,184,2,1779,12,1,9.09,129,56.58,52,105,19,1,33,8,7,3.03,1,1,,2,1,0,Éder Militão,Real Madrid,822519,2829
2,7,0,87,55.77,22,48.89,11,64.71,41,0,85.49,109,54.23,1105,35,30,11,14,0,0,0,10,2,0,0,0,0,156,0,548,14,6,26.09,59,61.46,13,13,23,0,23,6,6,8.7,0,1,,0,0,0,Rubén Alcaraz,Cádiz,259339,4488
11,0,0,13,38.24,7,35.0,4,66.67,2,1,75.54,20,37.04,1092,7,7,8,17,0,0,0,10,0,0,0,0,0,49,3,176,8,0,0.0,5,83.33,2,3,5,7,37,20,6,29.73,0,7,,0,0,0,Pierre-Emerick Aubameyang,Barcelona,51498,2817
