Player,Squad,GA,SoTA,Save%,CS%,PKatt,P_Save%,Season,Competition
alisson,Liverpool,29,100,72.0,32.1,1,0.0,2024-2025,premierleague
alphonse areola,West Ham,41,115,64.3,20.0,0,,2024-2025,premierleague
kepa arrizabalaga,Bournemouth,39,134,73.9,25.8,4,0.0,2024-2025,premierleague
brandon austin,Tottenham,2,4,50.0,0.0,0,,2024-2025,premierleague
altay bayndr,Manchester Utd,10,17,41.2,25.0,0,,2024-2025,premierleague
daniel bentley,Wolves,4,12,66.7,50.0,0,,2024-2025,premierleague
martin dubravka,Newcastle Utd,12,41,70.7,50.0,0,,2024-2025,premierleague
ederson,Manchester City,26,78,69.2,38.5,2,0.0,2024-2025,premierleague
ukasz fabianski,West Ham,21,71,74.6,15.4,3,0.0,2024-2025,premierleague
mark flekken,Brentford,55,203,73.4,18.9,1,0.0,2024-2025,premierleague
fraser forster,Tottenham,15,42,69.0,14.3,2,0.0,2024-2025,premierleague
dean henderson,Crystal Palace,51,150,66.7,28.9,2,50.0,2024-2025,premierleague
mads hermansen,Leicester City,58,155,64.5,3.7,4,25.0,2024-2025,premierleague
vitezslav jaros,Liverpool,0,1,100.0,,0,,2024-2025,premierleague
sam johnstone,Wolves,17,39,61.5,0.0,2,0.0,2024-2025,premierleague
filip jrgensen,Chelsea,9,28,71.4,16.7,1,0.0,2024-2025,premierleague
caoimhin kelleher,Liverpool,12,37,67.6,40.0,1,100.0,2024-2025,premierleague
tom king,Wolves,0,0,,,0,,2024-2025,premierleague
antonin kinsky,Tottenham,11,32,65.6,16.7,0,,2024-2025,premierleague
bernd leno,Fulham,54,159,67.9,13.2,4,25.0,2024-2025,premierleague
joe lumley,Southampton,7,20,65.0,0.0,0,,2024-2025,premierleague
emiliano martinez,Aston Villa,45,142,69.0,21.6,2,50.0,2024-2025,premierleague
alex mccarthy,Southampton,13,37,70.3,0.0,2,0.0,2024-2025,premierleague
arijanet muric,Ipswich Town,33,100,70.0,5.6,3,0.0,2024-2025,premierleague
neto,Bournemouth,2,13,84.6,0.0,0,,2024-2025,premierleague
robin olsen,Aston Villa,6,14,64.3,100.0,1,0.0,2024-2025,premierleague
andre onana,Manchester Utd,44,132,68.9,26.5,4,25.0,2024-2025,premierleague
stefan ortega,Manchester City,18,50,68.0,25.0,2,0.0,2024-2025,premierleague
alex palmer,Ipswich Town,30,71,59.2,0.0,1,0.0,2024-2025,premierleague
jordan pickford,Everton,44,163,73.0,31.6,2,100.0,2024-2025,premierleague
nick pope,Newcastle Utd,35,120,71.7,28.6,2,50.0,2024-2025,premierleague
hakon rafn valdimarsson,Brentford,2,4,50.0,100.0,0,,2024-2025,premierleague
aaron ramsdale,Southampton,66,188,67.6,10.0,7,28.6,2024-2025,premierleague
david raya,Arsenal,34,120,74.2,34.2,3,0.0,2024-2025,premierleague
jose sa,Wolves,48,117,63.2,24.1,7,28.6,2024-2025,premierleague
robert sanchez,Chelsea,34,127,76.4,31.3,5,20.0,2024-2025,premierleague
matz sels,Nott'ham Forest,46,165,73.9,34.2,3,0.0,2024-2025,premierleague
jason steele,Brighton,1,4,75.0,50.0,0,,2024-2025,premierleague
jakub stolarczyk,Leicester City,16,44,63.6,20.0,0,,2024-2025,premierleague
mark travers,Bournemouth,5,25,80.0,20.0,0,,2024-2025,premierleague
bart verbruggen,Brighton,58,143,65.7,19.4,9,0.0,2024-2025,premierleague
guglielmo vicario,Tottenham,37,102,64.7,16.7,1,0.0,2024-2025,premierleague
christian walton,Ipswich Town,19,39,56.4,14.3,2,0.0,2024-2025,premierleague
danny ward,Leicester City,6,10,40.0,0.0,0,,2024-2025,premierleague
