Player,Squad,GA,SoTA,Save%,CS%,PKatt,P_Save%,Season,Competition
alaa bellaarouch,Strasbourg,26,63,63.5,13.3,4,25.0,2023-2024,ligue-1
dimitry bertaud,Montpellier,11,34,67.6,0.0,0,,2023-2024,ligue-1
marco bizot,Brest,34,129,75.2,40.6,3,33.3,2023-2024,ligue-1
ruben blanco,Marseille,2,6,66.7,0.0,0,,2023-2024,ligue-1
marcin buka,Nice,29,105,77.1,50.0,8,37.5,2023-2024,ligue-1
lucas chevalier,Lille,32,123,76.4,45.5,5,40.0,2023-2024,ligue-1
gregoire coudert,Brest,0,4,100.0,100.0,0,,2023-2024,ligue-1
remy descamps,Nantes,11,37,73.0,16.7,2,0.0,2023-2024,ligue-1
arthur desmas,Le Havre,43,153,72.5,21.2,3,50.0,2023-2024,ligue-1
mory diaw,Clermont Foot,54,188,74.5,16.7,8,14.3,2023-2024,ligue-1
guillaume dietsch,Metz,1,3,66.7,,0,,2023-2024,ligue-1
yehvann diouf,Reims,47,137,70.1,23.5,7,14.3,2023-2024,ligue-1
gianluigi donnarumma,Paris S-G,20,110,84.5,40.0,4,25.0,2023-2024,ligue-1
mathieu gorgelin,Le Havre,2,5,80.0,0.0,1,0.0,2023-2024,ligue-1
philipp kohn,Monaco,32,97,72.2,22.7,6,16.7,2023-2024,ligue-1
alban lafont,Nantes,43,118,70.3,25.0,8,0.0,2023-2024,ligue-1
jeanlouis leca,Lens,2,2,0.0,0.0,0,,2023-2024,ligue-1
benjamin lecomte,Montpellier,37,137,75.9,33.3,5,20.0,2023-2024,ligue-1
anthony lopes,Lyon,49,155,71.0,29.0,6,20.0,2023-2024,ligue-1
pau lopez,Marseille,39,124,71.0,21.2,3,0.0,2023-2024,ligue-1
radosaw majecki,Monaco,10,54,81.5,58.3,0,,2023-2024,ligue-1
steve mandanda,Rennes,46,147,70.7,20.6,3,0.0,2023-2024,ligue-1
vito mannone,Lille,2,5,60.0,0.0,0,,2023-2024,ligue-1
yvon mvogo,Lorient,66,207,72.0,11.8,8,0.0,2023-2024,ligue-1
keylor navas,Paris S-G,6,12,58.3,25.0,1,0.0,2023-2024,ligue-1
massamba ndiaye,Clermont Foot,6,24,79.2,0.0,1,0.0,2023-2024,ligue-1
alexandre oukidja,Metz,57,185,72.4,17.6,6,0.0,2023-2024,ligue-1
denis petric,Nantes,1,1,0.0,,0,,2023-2024,ligue-1
guillaume restes,Toulouse,46,139,69.8,17.6,4,0.0,2023-2024,ligue-1
remy riou,Lyon,6,14,57.1,33.3,0,,2023-2024,ligue-1
brice samba,Lens,35,136,78.7,42.4,8,14.3,2023-2024,ligue-1
matz sels,Strasbourg,24,62,62.9,15.8,1,0.0,2023-2024,ligue-1
arnau tenas,Paris S-G,7,25,72.0,20.0,0,,2023-2024,ligue-1
