Player,Squad,GA,SoTA,Save%,CS%,PKatt,P_Save%,Season,Competition
alisson,Liverpool,43,147,72.1,37.8,4,33.3,2022-2023,premier-league
alphonse areola,West Ham,7,16,68.8,50.0,2,0.0,2022-2023,premier-league
kepa arrizabalaga,Chelsea,33,120,73.3,31.0,1,0.0,2022-2023,premier-league
gavin bazunu,Southampton,56,120,54.2,12.5,2,50.0,2022-2023,premier-league
asmir begovic,Everton,0,4,100.0,100.0,0,,2022-2023,premier-league
daniel bentley,Wolves,3,13,76.9,0.0,0,,2022-2023,premier-league
martin dubravka,Newcastle Utd,1,9,88.9,0.0,0,,2022-2023,premier-league
ederson,Manchester City,32,77,62.3,31.4,3,0.0,2022-2023,premier-league
ukasz fabianski,West Ham,48,154,70.1,22.2,4,33.3,2022-2023,premier-league
fraser forster,Tottenham,24,55,60.0,23.1,3,33.3,2022-2023,premier-league
david de gea,Manchester Utd,43,142,71.1,44.7,3,33.3,2022-2023,premier-league
vicente guaita,Crystal Palace,34,116,72.4,22.2,2,0.0,2022-2023,premier-league
dean henderson,Nott'ham Forest,31,85,65.9,33.3,5,50.0,2022-2023,premier-league
wayne hennessey,Nott'ham Forest,5,14,64.3,33.3,0,,2022-2023,premier-league
daniel iversen,Leicester City,22,59,66.1,8.3,2,0.0,2022-2023,premier-league
sam johnstone,Crystal Palace,10,34,76.5,33.3,2,0.0,2022-2023,premier-league
caoimhin kelleher,Liverpool,4,10,60.0,0.0,0,,2022-2023,premier-league
bernd leno,Fulham,51,192,77.1,22.2,8,12.5,2022-2023,premier-league
hugo lloris,Tottenham,39,117,67.5,28.0,1,0.0,2022-2023,premier-league
emiliano martinez,Aston Villa,38,132,74.2,30.6,5,20.0,2022-2023,premier-league
alex mccarthy,Southampton,17,30,46.7,0.0,1,0.0,2022-2023,premier-league
edouard mendy,Chelsea,14,39,64.1,11.1,0,,2022-2023,premier-league
illan meslier,Leeds United,67,158,59.5,14.7,3,0.0,2022-2023,premier-league
keylor navas,Nott'ham Forest,32,83,66.3,5.9,4,0.0,2022-2023,premier-league
neto,Bournemouth,39,138,74.6,22.2,5,0.0,2022-2023,premier-league
robin olsen,Aston Villa,8,19,63.2,50.0,1,0.0,2022-2023,premier-league
stefan ortega,Manchester City,1,15,93.3,66.7,0,,2022-2023,premier-league
jordan pickford,Everton,57,181,71.3,21.6,6,16.7,2022-2023,premier-league
nick pope,Newcastle Utd,32,118,74.6,37.8,5,50.0,2022-2023,premier-league
aaron ramsdale,Arsenal,43,136,70.6,36.8,5,0.0,2022-2023,premier-league
david raya,Brentford,46,197,77.7,31.6,2,0.0,2022-2023,premier-league
joel robles,Leeds United,11,27,66.7,0.0,3,0.0,2022-2023,premier-league
marek rodak,Fulham,2,4,50.0,50.0,0,,2022-2023,premier-league
jose sa,Wolves,55,161,67.1,30.6,4,50.0,2022-2023,premier-league
robert sanchez,Brighton,30,74,66.2,26.1,6,16.7,2022-2023,premier-league
jason steele,Brighton,23,57,61.4,40.0,2,50.0,2022-2023,premier-league
mark travers,Bournemouth,32,66,54.5,18.2,2,0.0,2022-2023,premier-league
danny ward,Leicester City,46,119,63.0,23.1,3,33.3,2022-2023,premier-league
joseph whitworth,Crystal Palace,5,10,50.0,0.0,0,,2022-2023,premier-league
